Time_sample,Time_h,BESS_P_ch_A_W,BESS_P_ch_B_W,BESS_P_ch_C_W,BESS_P_dis_A_W,BESS_P_dis_B_W,BESS_P_dis_C_W,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,BESS_Q_A_var,BESS_Q_B_var,BESS_Q_C_var,BESS_Q_total_var,BESS_SOC_pu
30,0.5,0.005611853732423069,0.005611853732423069,0.005611853732423069,24749.156927031978,24749.156927031978,24749.156927031978,24749.151315178246,24749.151315178246,24749.151315178246,74247.45394553474,-3216.359235832932,-3216.359235832932,-3216.359235832932,-9649.077707498796,0.5000000000000002
60,1.0,0.00557329297444257,0.00557329297444257,0.00557329297444257,24920.392270655353,24920.392270655353,24920.392270655353,24920.386697362377,24920.386697362377,24920.386697362377,74761.16009208713,-2355.2185859353144,-2355.2185859353144,-2355.2185859353144,-7065.655757805944,0.4587514126976161
90,1.5,0.005533996222835333,0.005533996222835333,0.005533996222835333,25097.350993801247,25097.350993801247,25097.350993801247,25097.345459805023,25097.345459805023,25097.345459805023,75292.03637941508,-550.0996631584181,-550.0996631584181,-550.0996631584181,-1650.2989894752545,0.41721743310406156
120,2.0,0.005648678107980316,0.005648678107980316,0.005648678107980316,24587.814607399174,24587.814607399174,24587.814607399174,24587.808958721067,24587.808958721067,24587.808958721067,73763.4268761632,-4612.213949288162,-4612.213949288162,-4612.213949288162,-13836.641847864488,0.3753885222519544
150,2.5,0.005553911732710035,0.005553911732710035,0.005553911732710035,25007.355730439613,25007.355730439613,25007.355730439613,25007.35017652788,25007.35017652788,25007.35017652788,75022.05052958365,-2131.2324682153994,-2131.2324682153994,-2131.2324682153994,-6393.697404646198,0.33440883886551853
180,3.0,0.005552061348896048,0.005552061348896048,0.005552061348896048,25015.69013629333,25015.69013629333,25015.69013629333,25015.68458423198,25015.68458423198,25015.68458423198,75047.05375269594,-1819.1102840235797,-1819.1102840235797,-1819.1102840235797,-5457.330852070739,0.2927299201459
210,3.5,0.005532719991365496,0.005532719991365496,0.005532719991365496,25103.140185704262,25103.140185704262,25103.140185704262,25103.13465298427,25103.13465298427,25103.13465298427,75309.40395895281,440.35225193797874,440.35225193797874,440.35225193797874,1321.0567558139362,0.25103711074798957
240,4.0,-6.327177652041338e-09,-6.327177652041338e-09,-6.327177652041338e-09,802.8310308847632,802.8310308847632,802.8310308847632,802.8310308910903,802.8310308910903,802.8310308910903,2408.493092673271,-23009.315238082807,-23009.315238082807,-23009.315238082807,-69027.94571424842,0.2091985512409878
270,4.5,-7.460077735566128e-09,-7.460077735566128e-09,-7.460077735566128e-09,3348.1314966569494,3348.1314966569494,3348.1314966569494,3348.1314966644095,3348.1314966644095,3348.1314966644095,10044.394489993228,-22934.05978305346,-22934.05978305346,-22934.05978305346,-68802.17934916037,0.20786049952262672
300,5.0,-6.853382031336551e-09,-6.853382031336551e-09,-6.853382031336551e-09,7612.490548182978,7612.490548182978,7612.490548182978,7612.490548189831,7612.490548189831,7612.490548189831,22837.471644569494,-22193.147654832595,-22193.147654832595,-22193.147654832595,-66579.44296449778,0.20228028036152176
330,5.5,3.9934578409687494e-08,3.9934578409687494e-08,3.9934578409687494e-08,4.186246820132595e-08,4.186246820132595e-08,4.186246820132595e-08,1.9278897916384584e-09,1.9278897916384584e-09,1.9278897916384584e-09,5.783669374915375e-09,-22589.64336845422,-22589.64336845422,-22589.64336845422,-67768.93010536267,0.18959279611445415
