Time_sample,Time_h,PV_architecture,PV_available_P_W,PV_command_P_W,PV_Q_command_var,PV_curtailment_W,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,CentralSolar_P_curtailment_W
30,0.5,central,0.0,-1.310428664564116e-15,7.340283792052579e-08,1.310428664564116e-15,0.0,-1.310428664564116e-15,7.340283792052579e-08,1.310428664564116e-15
60,1.0,central,0.0,-1.316470217817624e-15,-4.789844460720763e-07,1.316470217817624e-15,0.0,-1.316470217817624e-15,-4.789844460720763e-07,1.316470217817624e-15
90,1.5,central,0.0,-1.3215964151443709e-15,-1.410565317068414e-06,1.3215964151443709e-15,0.0,-1.3215964151443709e-15,-1.410565317068414e-06,1.3215964151443709e-15
120,2.0,central,0.0,-1.3077960688920525e-15,-6.486610637895035e-08,1.3077960688920525e-15,0.0,-1.3077960688920525e-15,-6.486610637895035e-08,1.3077960688920525e-15
150,2.5,central,0.0,-1.31915878915273e-15,-3.5967570541687996e-08,1.31915878915273e-15,0.0,-1.31915878915273e-15,-3.5967570541687996e-08,1.31915878915273e-15
180,3.0,central,0.0,-1.3187035688359522e-15,-2.396360642749746e-07,1.3187035688359522e-15,0.0,-1.3187035688359522e-15,-2.396360642749746e-07,1.3187035688359522e-15
210,3.5,central,0.0,-1.3210856688708073e-15,3.008445900831438e-07,1.3210856688708073e-15,0.0,-1.3210856688708073e-15,3.008445900831438e-07,1.3210856688708073e-15
240,4.0,central,802.8310228511782,-8.4248688551438e-09,-2.7177759727708696e-08,802.8310228596031,802.8310228511782,-8.4248688551438e-09,-2.7177759727708696e-08,802.8310228596031
270,4.5,central,3348.13146317036,-8.424875663592644e-09,-1.4113406012133207e-07,3348.1314631787845,3348.13146317036,-8.424875663592644e-09,-1.4113406012133207e-07,3348.1314631787845
300,5.0,central,7612.490472052799,-8.424880465246583e-09,-1.7068708493329908e-07,7612.490472061224,7612.490472052799,-8.424880465246583e-09,-1.7068708493329908e-07,7612.490472061224
330,5.5,central,16214.672980009611,16214.673079957698,-1.0710801419141659e-07,0.0,16214.672980009611,16214.673079957698,-1.0710801419141659e-07,0.0
360,6.0,central,32040.626329922346,32040.626429870437,-1.9629036163627612e-07,0.0,32040.626329922346,32040.626429870437,-1.9629036163627612e-07,0.0
390,6.5,central,67541.17105030791,67541.171150256,-2.241120953864656e-08,0.0,67541.17105030791,67541.171150256,-2.241120953864656e-08,0.0
420,7.0,central,81235.98201122369,81235.9301007935,2.566684773111291e-07,0.05191043019294739,81235.98201122369,81235.9301007935,2.566684773111291e-07,0.05191043019294739
450,7.5,central,139783.09169335256,139783.08553736852,2.8159461938254596e-08,0.00615598403965123,139783.09169335256,139783.08553736852,2.8159461938254596e-08,0.00615598403965123
480,8.0,central,137806.99617541744,137806.98976190906,-3.961493783278107e-08,0.006413508381228894,137806.99617541744,137806.98976190906,-3.961493783278107e-08,0.006413508381228894
510,8.5,central,157786.37576376746,157786.37083424124,-1.2719499622096663e-06,0.00492952621425502,157786.37576376746,157786.37083424124,-1.2719499622096663e-06,0.00492952621425502
540,9.0,central,172443.48122961321,172443.4770579504,-5.135693006693505e-07,0.00417166281840764,172443.48122961321,172443.4770579504,-5.135693006693505e-07,0.00417166281840764
570,9.5,central,185006.28302110874,185006.27942189432,2.2638180687293133e-07,0.003599214425776154,185006.28302110874,185006.27942189432,2.2638180687293133e-07,0.003599214425776154
600,10.0,central,119416.07162306807,119416.063286017,-5.639634113745499e-09,0.008337051069247536,119416.07162306807,119416.063286017,-5.639634113745499e-09,0.008337051069247536
630,10.5,central,229745.74207171457,229745.7394786799,7.073928858737862e-07,0.002593034674646333,229745.74207171457,229745.7394786799,7.073928858737862e-07,0.002593034674646333
660,11.0,central,235990.30875364214,235990.3062750763,-3.1102555142046185e-06,0.002478565846104175,235990.30875364214,235990.3062750763,-3.1102555142046185e-06,0.002478565846104175
690,11.5,central,232588.44417352724,232588.44163400916,-2.608975179654502e-06,0.0025395180855412036,232588.44417352724,232588.44163400916,-2.608975179654502e-06,0.0025395180855412036
720,12.0,central,137662.54700039705,137662.54043123798,7.266540884297469e-07,0.006569159071659669,137662.54700039705,137662.54043123798,7.266540884297469e-07,0.006569159071659669
750,12.5,central,86507.1933071255,86507.15907254096,-4.6013304990059166e-08,0.03423458454199135,86507.1933071255,86507.15907254096,-4.6013304990059166e-08,0.03423458454199135
780,13.0,central,63436.07803724001,63436.078137188095,-1.579473434679189e-07,0.0,63436.07803724001,63436.078137188095,-1.579473434679189e-07,0.0
810,13.5,central,220843.12489531777,220843.12222097442,3.445408778502311e-07,0.0026743433554656804,220843.12489531777,220843.12222097442,3.445408778502311e-07,0.0026743433554656804
840,14.0,central,219014.5041579911,219014.5014144179,3.160073636877219e-07,0.0027435731899458915,219014.5041579911,219014.5014144179,3.160073636877219e-07,0.0027435731899458915
870,14.5,central,209104.784648659,209104.78177975235,3.022398224755227e-07,0.002868906653020531,209104.784648659,209104.78177975235,3.022398224755227e-07,0.002868906653020531
900,15.0,central,169589.67598894524,169589.67168536532,4.667342425708473e-07,0.004303579917177558,169589.67598894524,169589.67168536532,4.667342425708473e-07,0.004303579917177558
930,15.5,central,108386.17806758464,108386.1656160451,-1.3769334160911191e-06,0.01245153954369016,108386.17806758464,108386.1656160451,-1.3769334160911191e-06,0.01245153954369016
960,16.0,central,167971.81180257935,167971.80758956875,2.636013175482437e-07,0.004213010601233691,167971.81180257935,167971.80758956875,2.636013175482437e-07,0.004213010601233691
990,16.5,central,124580.44620067778,124580.4380650691,6.101237428630828e-08,0.00813560867391061,124580.44620067778,124580.4380650691,6.101237428630828e-08,0.00813560867391061
1020,17.0,central,58867.659044205095,38311.9211746433,2.091939658092131e-06,20555.737869561795,58867.659044205095,38311.9211746433,2.091939658092131e-06,20555.737869561795
1050,17.5,central,21386.15526279812,-8.424881675765998e-09,-1.0320447378606257e-06,21386.155262806544,21386.15526279812,-8.424881675765998e-09,-1.0320447378606257e-06,21386.155262806544
