Time_sample,Time_h,PV_architecture,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,NetCentral_P_injection_A_W,NetCentral_P_injection_B_W,NetCentral_P_injection_C_W,NetCentral_P_injection_total_W,BESS_SOC_pu
30,0.5,central,0.0,-1.310428664564116e-15,7.340283792052579e-08,24749.151315178246,24749.151315178246,24749.151315178246,74247.45394553474,24749.151315178246,24749.151315178246,24749.151315178246,74247.45394553474,0.5000000000000002
60,1.0,central,0.0,-1.316470217817624e-15,-4.789844460720763e-07,24920.386697362377,24920.386697362377,24920.386697362377,74761.16009208713,24920.386697362377,24920.386697362377,24920.386697362377,74761.16009208713,0.4587514126976161
90,1.5,central,0.0,-1.3215964151443709e-15,-1.410565317068414e-06,25097.345459805023,25097.345459805023,25097.345459805023,75292.03637941508,25097.345459805023,25097.345459805023,25097.345459805023,75292.03637941508,0.41721743310406156
120,2.0,central,0.0,-1.3077960688920525e-15,-6.486610637895035e-08,24587.808958721067,24587.808958721067,24587.808958721067,73763.4268761632,24587.808958721067,24587.808958721067,24587.808958721067,73763.4268761632,0.3753885222519544
150,2.5,central,0.0,-1.31915878915273e-15,-3.5967570541687996e-08,25007.35017652788,25007.35017652788,25007.35017652788,75022.05052958365,25007.35017652788,25007.35017652788,25007.35017652788,75022.05052958365,0.33440883886551853
180,3.0,central,0.0,-1.3187035688359522e-15,-2.396360642749746e-07,25015.68458423198,25015.68458423198,25015.68458423198,75047.05375269594,25015.68458423198,25015.68458423198,25015.68458423198,75047.05375269594,0.2927299201459
210,3.5,central,0.0,-1.3210856688708073e-15,3.008445900831438e-07,25103.13465298427,25103.13465298427,25103.13465298427,75309.40395895281,25103.13465298427,25103.13465298427,25103.13465298427,75309.40395895281,0.25103711074798957
240,4.0,central,802.8310228511782,-8.4248688551438e-09,-2.7177759727708696e-08,802.8310308910903,802.8310308910903,802.8310308910903,2408.493092673271,802.831030888282,802.831030888282,802.831030888282,2408.4930926648462,0.2091985512409878
270,4.5,central,3348.13146317036,-8.424875663592644e-09,-1.4113406012133207e-07,3348.1314966644095,3348.1314966644095,3348.1314966644095,10044.394489993228,3348.1314966616014,3348.1314966616014,3348.1314966616014,10044.394489984803,0.20786049952262672
300,5.0,central,7612.490472052799,-8.424880465246583e-09,-1.7068708493329908e-07,7612.490548189831,7612.490548189831,7612.490548189831,22837.471644569494,7612.490548187023,7612.490548187023,7612.490548187023,22837.47164456107,0.20228028036152176
330,5.5,central,16214.672980009611,16214.673079957698,-1.0710801419141659e-07,1.9278897916384584e-09,1.9278897916384584e-09,1.9278897916384584e-09,5.783669374915375e-09,5404.891026654494,5404.891026654494,5404.891026654494,16214.673079963482,0.18959279611445415
