Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction
One-stage weighted objective,30,0.5,0.0,-1.310428664564116e-18,1.310428664564116e-18,0.5000000000000002,5.611853732423069e-06,24.74915692703198,24.749151315178246,-3.216359235832932,5.611853732423069e-06,24.74915692703198,24.749151315178246,-3.216359235832932,5.611853732423069e-06,24.74915692703198,24.749151315178246,-3.216359235832932,1.6835561197269208e-05,74.24747078109594,74.24745394553474,-9.649077707498796,6.55214332282058e-19,
One-stage weighted objective,60,1.0,0.0,-1.3164702178176241e-18,1.3164702178176241e-18,0.4587514126976161,5.573292974442569e-06,24.920392270655352,24.920386697362378,-2.3552185859353143,5.573292974442569e-06,24.920392270655352,24.920386697362378,-2.3552185859353143,5.573292974442569e-06,24.920392270655352,24.920386697362378,-2.3552185859353143,1.671987892332771e-05,74.76117681196605,74.76116009208712,-7.065655757805944,6.582351089088121e-19,
One-stage weighted objective,90,1.5,0.0,-1.321596415144371e-18,1.321596415144371e-18,0.41721743310406156,5.533996222835333e-06,25.097350993801246,25.097345459805023,-0.5500996631584182,5.533996222835333e-06,25.097350993801246,25.097345459805023,-0.5500996631584182,5.533996222835333e-06,25.097350993801246,25.097345459805023,-0.5500996631584182,1.6601988668506e-05,75.29205298140374,75.29203637941508,-1.6502989894752544,6.607982075721855e-19,
One-stage weighted objective,120,2.0,0.0,-1.3077960688920525e-18,1.3077960688920525e-18,0.3753885222519544,5.648678107980316e-06,24.587814607399174,24.587808958721066,-4.612213949288162,5.648678107980316e-06,24.587814607399174,24.587808958721066,-4.612213949288162,5.648678107980316e-06,24.587814607399174,24.587808958721066,-4.612213949288162,1.694603432394095e-05,73.76344382219753,73.7634268761632,-13.836641847864488,6.538980344460262e-19,
One-stage weighted objective,150,2.5,0.0,-1.31915878915273e-18,1.31915878915273e-18,0.33440883886551853,5.553911732710035e-06,25.007355730439613,25.007350176527883,-2.1312324682153996,5.553911732710035e-06,25.007355730439613,25.007350176527883,-2.1312324682153996,5.553911732710035e-06,25.007355730439613,25.007350176527883,-2.1312324682153996,1.6661735198130106e-05,75.02206719131884,75.02205052958365,-6.393697404646198,6.59579394576365e-19,
One-stage weighted objective,180,3.0,0.0,-1.3187035688359521e-18,1.3187035688359521e-18,0.2927299201459,5.552061348896048e-06,25.01569013629333,25.01568458423198,-1.8191102840235795,5.552061348896048e-06,25.01569013629333,25.01568458423198,-1.8191102840235795,5.552061348896048e-06,25.01569013629333,25.01568458423198,-1.8191102840235795,1.6656184046688145e-05,75.04707040888,75.04705375269594,-5.457330852070739,6.593517844179761e-19,
One-stage weighted objective,210,3.5,0.0,-1.3210856688708072e-18,1.3210856688708072e-18,0.25103711074798957,5.532719991365496e-06,25.103140185704262,25.10313465298427,0.4403522519379787,5.532719991365496e-06,25.103140185704262,25.10313465298427,0.4403522519379787,5.532719991365496e-06,25.103140185704262,25.10313465298427,0.4403522519379787,1.659815997409649e-05,75.30942055711279,75.30940395895281,1.3210567558139361,6.605428344354036e-19,
One-stage weighted objective,240,4.0,0.8028310228511782,-8.4248688551438e-12,0.8028310228596031,0.2091985512409878,-6.327177652041339e-12,0.8028310308847633,0.8028310308910903,-23.009315238082806,-6.327177652041339e-12,0.8028310308847633,0.8028310308910903,-23.009315238082806,-6.327177652041339e-12,0.8028310308847633,0.8028310308910903,-23.009315238082806,-1.8981532956124015e-11,2.4084930926542896,2.408493092673271,-69.02794571424842,0.40141551142980153,1.0000000000104938
One-stage weighted objective,270,4.5,3.34813146317036,-8.424875663592644e-12,3.3481314631787846,0.20786049952262672,-7.460077735566129e-12,3.3481314966569493,3.3481314966644096,-22.93405978305346,-7.460077735566129e-12,3.3481314966569493,3.3481314966644096,-22.93405978305346,-7.460077735566129e-12,3.3481314966569493,3.3481314966644096,-22.93405978305346,-2.2380233206698383e-11,10.044394489970848,10.044394489993229,-68.80217934916037,1.6740657315893923,1.0000000000025162
One-stage weighted objective,300,5.0,7.6124904720528,-8.424880465246583e-12,7.612490472061224,0.20228028036152176,-6.853382031336551e-12,7.612490548182978,7.6124905481898315,-22.193147654832597,-6.853382031336551e-12,7.612490548182978,7.6124905481898315,-22.193147654832597,-6.853382031336551e-12,7.612490548182978,7.6124905481898315,-22.193147654832597,-2.0560146094009653e-11,22.837471644548934,22.837471644569494,-66.57944296449777,3.806245236030612,1.0000000000011067
One-stage weighted objective,330,5.5,16.21467298000961,16.2146730799577,0.0,0.18959279611445415,3.993457840968749e-11,4.186246820132595e-11,1.9278897916384586e-12,-22.589643368454222,3.993457840968749e-11,4.186246820132595e-11,1.9278897916384586e-12,-22.589643368454222,3.993457840968749e-11,4.186246820132595e-11,1.9278897916384586e-12,-22.589643368454222,1.1980373522906247e-10,1.2558740460397784e-10,5.783669374915375e-12,-67.76893010536267,0.0,0.0
