Time_sample,Time_h,Feeder_line,OPF_P_sending_A_kW,OPF_P_sending_B_kW,OPF_P_sending_C_kW,OPF_source_flow_total_kW,OPF_feeder_import_kW,OPF_feeder_export_kW,OPF_feeder_export_energy_kWh,sign_convention,units
30,0.5,feeder2_line1,-16.66241894364693,-20.838286030090224,-18.04671746039245,-55.54742243412961,0.0,55.54742243412961,27.773711217064804,positive source flow = import; negative source flow = export,kW; energy column kWh
60,1.0,feeder2_line1,-19.315894312896464,-21.14040805380726,-20.07011767449387,-60.526420041197596,0.0,60.526420041197596,30.263210020598798,positive source flow = import; negative source flow = export,kW; energy column kWh
90,1.5,feeder2_line1,-19.562213598537102,-21.087694129357093,-21.84627331230164,-62.496181040195836,0.0,62.496181040195836,31.248090520097918,positive source flow = import; negative source flow = export,kW; energy column kWh
120,2.0,feeder2_line1,-18.85318894030035,-21.63996774294213,-19.79973854245149,-60.29289522569397,0.0,60.29289522569397,30.146447612846984,positive source flow = import; negative source flow = export,kW; energy column kWh
150,2.5,feeder2_line1,-19.547981371736103,-21.98932687358187,-21.625050571440102,-63.16235881675807,0.0,63.16235881675807,31.581179408379036,positive source flow = import; negative source flow = export,kW; energy column kWh
180,3.0,feeder2_line1,-19.42657062822332,-21.07601854336866,-22.105110321431525,-62.6076994930235,0.0,62.6076994930235,31.30384974651175,positive source flow = import; negative source flow = export,kW; energy column kWh
210,3.5,feeder2_line1,-19.207276475983203,-20.534824048551467,-20.48804000768465,-60.23014053221932,0.0,60.23014053221932,30.11507026610966,positive source flow = import; negative source flow = export,kW; energy column kWh
240,4.0,feeder2_line1,4.1817501865723985,3.1001962217983747,3.1720939877485046,10.454040396119279,10.454040396119279,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
270,4.5,feeder2_line1,2.4828916052319583,0.27191545496903746,-1.101980893038587,1.6528261671624087,1.6528261671624087,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
300,5.0,feeder2_line1,-1.6116082554942603,-4.33694042843854,-4.002681778317049,-9.95123046224985,0.0,9.95123046224985,4.975615231124925,positive source flow = import; negative source flow = export,kW; energy column kWh
330,5.5,feeder2_line1,0.34045124023078277,-1.3336446072053532,-1.3492964198802966,-2.342489786854867,0.0,2.342489786854867,1.1712448934274335,positive source flow = import; negative source flow = export,kW; energy column kWh
360,6.0,feeder2_line1,-7.985014078635442,-6.614351239463599,-3.365610894233425,-17.964976212332466,0.0,17.964976212332466,8.982488106166233,positive source flow = import; negative source flow = export,kW; energy column kWh
390,6.5,feeder2_line1,-14.55200540766041,-18.74080006821871,-19.23914677623248,-52.5319522521116,0.0,52.5319522521116,26.2659761260558,positive source flow = import; negative source flow = export,kW; energy column kWh
420,7.0,feeder2_line1,-16.049112691494557,-19.120551921603525,-21.376630643940764,-56.54629525703884,0.0,56.54629525703884,28.27314762851942,positive source flow = import; negative source flow = export,kW; energy column kWh
450,7.5,feeder2_line1,-19.956104172514397,-19.643509257761714,-12.839930137747904,-52.439543568024014,0.0,52.439543568024014,26.219771784012007,positive source flow = import; negative source flow = export,kW; energy column kWh
480,8.0,feeder2_line1,-15.49108526965516,-16.5514917926687,-6.836738316287101,-38.87931537861096,0.0,38.87931537861096,19.43965768930548,positive source flow = import; negative source flow = export,kW; energy column kWh
510,8.5,feeder2_line1,-15.781828487106374,-18.38740810237891,-13.40162844888921,-47.57086503837449,0.0,47.57086503837449,23.785432519187246,positive source flow = import; negative source flow = export,kW; energy column kWh
540,9.0,feeder2_line1,-12.347423105752506,-10.13693319547861,-12.362223600572454,-34.84657990180357,0.0,34.84657990180357,17.423289950901786,positive source flow = import; negative source flow = export,kW; energy column kWh
570,9.5,feeder2_line1,-12.943077176328462,-6.837695274342431,-7.783088626816059,-27.56386107748695,0.0,27.56386107748695,13.781930538743476,positive source flow = import; negative source flow = export,kW; energy column kWh
600,10.0,feeder2_line1,-12.196981248900851,-11.567158752360427,-1.2997893498013726,-25.06392935106265,0.0,25.06392935106265,12.531964675531325,positive source flow = import; negative source flow = export,kW; energy column kWh
630,10.5,feeder2_line1,-6.936680107668042,-8.454143473103056,-10.032371368079671,-25.42319494885077,0.0,25.42319494885077,12.711597474425385,positive source flow = import; negative source flow = export,kW; energy column kWh
660,11.0,feeder2_line1,-0.20402996315205155,-6.175264529642989,-10.885567183721848,-17.26486167651689,0.0,17.26486167651689,8.632430838258445,positive source flow = import; negative source flow = export,kW; energy column kWh
690,11.5,feeder2_line1,-12.157228986162696,-11.205485795507522,-14.854941926475938,-38.21765670814616,0.0,38.21765670814616,19.10882835407308,positive source flow = import; negative source flow = export,kW; energy column kWh
720,12.0,feeder2_line1,-15.058490107226582,-15.648251929067788,-17.463174364082146,-48.16991640037652,0.0,48.16991640037652,24.08495820018826,positive source flow = import; negative source flow = export,kW; energy column kWh
750,12.5,feeder2_line1,-10.463655104836718,-16.93867184578379,-18.27650558522226,-45.67883253584277,0.0,45.67883253584277,22.839416267921386,positive source flow = import; negative source flow = export,kW; energy column kWh
780,13.0,feeder2_line1,-5.153082492892197,0.031826210044506295,-6.596609807667528,-11.71786609051522,0.0,11.71786609051522,5.85893304525761,positive source flow = import; negative source flow = export,kW; energy column kWh
810,13.5,feeder2_line1,-11.082488531911661,-2.980527809579751,-15.962745063716493,-30.025761405207906,0.0,30.025761405207906,15.012880702603953,positive source flow = import; negative source flow = export,kW; energy column kWh
840,14.0,feeder2_line1,-4.476298273785569,-7.001081162767367,-14.91793309637536,-26.395312532928298,0.0,26.395312532928298,13.197656266464149,positive source flow = import; negative source flow = export,kW; energy column kWh
870,14.5,feeder2_line1,-4.268045232878436,-8.246398774317848,-16.928091720342216,-29.442535727538502,0.0,29.442535727538502,14.721267863769251,positive source flow = import; negative source flow = export,kW; energy column kWh
900,15.0,feeder2_line1,-7.201319358936015,-9.919010516587994,-14.207839024604699,-31.328168900128706,0.0,31.328168900128706,15.664084450064353,positive source flow = import; negative source flow = export,kW; energy column kWh
