Time_sample,Time_h,Bus,Phase,Low_limit_pu,High_limit_pu,OPF_V_pu,DSS_V_pu,OPF_violation_pu,DSS_violation_pu,Voltage_violation_pu
30,0.5,feeder2_1818,2,0.9,1.1,1.1000000054999934,1.099999274107157,5.499993349644683e-09,0.0,5.499993349644683e-09
60,1.0,feeder2_1818,1,0.9,1.1,1.1000000054999917,1.1000005294845583,5.4999915732878435e-09,5.294845581982344e-07,5.294845581982344e-07
90,1.5,feeder2_1818,3,0.9,1.1,1.1000000054999788,1.0999982830197352,5.499978694700758e-09,0.0,5.499978694700758e-09
120,2.0,feeder2_1818,2,0.9,1.1,1.100000005499995,1.0999962347723964,5.499994903956917e-09,0.0,5.499994903956917e-09
150,2.5,feeder2_1818,2,0.9,1.1,1.1000000054999912,1.099988372145516,5.499991129198634e-09,0.0,5.499991129198634e-09
180,3.0,feeder2_1818,3,0.9,1.1,1.10000000549999,1.100011629663684,5.499990018975609e-09,1.1629663683843106e-05,1.1629663683843106e-05
210,3.5,feeder2_1818,2,0.9,1.1,1.100000005497616,1.1000044938342461,5.4976159180597506e-09,4.493834246055428e-06,4.493834246055428e-06
420,7.0,feeder2_1818,3,0.9,1.1,1.1000000054999945,1.1000000009045998,5.4999944598677075e-09,9.045997284573559e-10,5.4999944598677075e-09
450,7.5,feeder2_1818,1,0.9,1.1,1.1000000054999939,1.0999879096380523,5.499993793733893e-09,0.0,5.499993793733893e-09
480,8.0,feeder2_1818,2,0.9,1.1,1.1000000054999899,1.0999996705421258,5.499989796931004e-09,0.0,5.499989796931004e-09
510,8.5,feeder2_1818,2,0.9,1.1,1.1000000054999663,1.0999972258598183,5.499966260202882e-09,0.0,5.499966260202882e-09
540,9.0,feeder2_1818,1,0.9,1.1,1.100000005499974,1.1000021812969283,5.4999738097194495e-09,2.181296928194243e-06,2.181296928194243e-06
570,9.5,feeder2_1818,1,0.9,1.1,1.1000000054999945,1.099997688367282,5.4999944598677075e-09,0.0,5.4999944598677075e-09
600,10.0,feeder2_1818,1,0.9,1.1,1.1000000054999954,1.100003568819319,5.499995348046127e-09,3.568819318955363e-06,3.568819318955363e-06
750,12.5,feeder2_1818,3,0.9,1.1,1.1000000054999874,1.1000047581242252,5.49998735444035e-09,4.758124225068272e-06,4.758124225068272e-06
810,13.5,feeder2_1818,3,0.9,1.1,1.1000000054999952,1.099991279335287,5.499995126001522e-09,0.0,5.499995126001522e-09
840,14.0,feeder2_1818,3,0.9,1.1,1.100000005499995,1.099996763352355,5.499994903956917e-09,0.0,5.499994903956917e-09
870,14.5,feeder2_1818,3,0.9,1.1,1.100000005499996,1.0999998026871156,5.499996014179942e-09,0.0,5.499996014179942e-09
930,15.5,feeder2_1818,3,0.9,1.1,1.1000000054999124,1.0999990758896725,5.499912303363885e-09,0.0,5.499912303363885e-09
960,16.0,feeder2_1818,3,0.9,1.1,1.1000000054999948,1.0999853988832502,5.4999946819123124e-09,0.0,5.4999946819123124e-09
990,16.5,feeder2_1818,2,0.9,1.1,1.1000000054999934,1.1000027759493813,5.499993349644683e-09,2.7759493812506975e-06,2.7759493812506975e-06
1080,18.0,feeder2_1818,3,0.9,1.1,1.1000000054999954,1.0999963008448912,5.499995348046127e-09,0.0,5.499995348046127e-09
1290,21.5,feeder2_1818,3,0.9,1.1,1.100000005499945,1.099988636435495,5.499944943920809e-09,0.0,5.499944943920809e-09
1380,23.0,feeder2_1818,1,0.9,1.1,1.100000005499987,1.1000038331092978,5.49998691035114e-09,3.833109297746162e-06,3.833109297746162e-06
1410,23.5,feeder2_1818,2,0.9,1.1,1.1000000054999863,1.0999930632926465,5.499986244217325e-09,0.0,5.499986244217325e-09
