Time_sample,Time_h,BESS_P_ch_A_W,BESS_P_ch_B_W,BESS_P_ch_C_W,BESS_P_dis_A_W,BESS_P_dis_B_W,BESS_P_dis_C_W,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,BESS_Q_A_var,BESS_Q_B_var,BESS_Q_C_var,BESS_Q_total_var,BESS_SOC_pu
30,0.5,0.005394145310173751,0.005475523478630397,0.005504430823614107,25524.3746083299,25148.54274821948,25017.61707206446,25524.36921418459,25148.537272696,25017.611567633634,75690.51805451422,-764.8201147136366,-205.63381812549358,1400.6646813491432,430.210748510013,0.5
60,1.0,0.005474541707104506,0.00548069600030111,0.005477610256515717,25153.014834149504,25125.004270094592,25139.05431367032,25153.009359607797,25124.998789398593,25139.048836060065,75417.05698506645,-1054.7232694564707,1107.0895453972812,137.55394983097207,189.92022577178258,0.45794971046355937
90,1.5,0.005471440184888038,0.005476946810124315,0.005475616516244213,25167.13268932637,25142.057216544035,25148.118462329334,25167.127217886184,25142.051739597224,25148.11298671282,75457.29194419623,622.2404104223293,447.4538084173662,-252.2401464689491,817.4540723707465,0.41605134373727737
120,2.0,0.005438511032491719,0.005478481802081289,0.005494343847962107,25318.144162314205,25135.08414548658,25063.128134210066,25318.13872380317,25135.07866700478,25063.12263986622,75516.34003067417,-742.8763846937848,-847.9580460193149,2053.304319541059,462.4698888279595,0.3741306242568569
150,2.5,0.005470201761819489,0.005482398874194284,0.005475501732539087,25172.788568105985,25117.282865028945,25148.63985119047,25172.783097904223,25117.27738263007,25148.634375688736,75438.69485622302,-334.11638022323604,-1270.2715126831956,193.3936757249495,-1410.9942171814823,0.33217710028528574
180,3.0,0.00547033713451657,0.005475528338729831,0.005479200702362042,25172.170597736527,25148.519411470555,25131.8138390855,25172.165127399392,25148.513935942217,25131.808359884795,75452.48742322641,369.0347006080718,-208.46810333828918,-939.9048549540287,-779.3382576842461,0.2902667125199732
210,3.5,0.0054711667405727814,0.0054761689943934695,0.005485811168046882,25168.36466589236,25145.63729672912,25101.785894822402,25168.35919472562,25145.631820560127,25101.780409011233,75415.77142429698,427.4127423316271,434.0501816469442,466.42145639101255,1327.8843803695838,0.24834866221775712
240,4.0,7.79966051286528e-06,7.799658652916643e-06,7.799664075487211e-06,766.1380394736318,766.138039473633,766.1380394736294,766.1380316739713,766.1380316739743,766.1380316739653,2298.4140950219107,-23299.994786330462,-23193.0875706482,-23125.878814601023,-69618.96117157968,0.20645100969187105
270,4.5,8.117318513986267e-06,8.117319138571368e-06,8.117305062029623e-06,3305.0010849571204,3305.00108495712,3305.0010849571286,3305.001076839802,3305.0010768398006,3305.0010768398233,9915.003230519425,-22756.23327647876,-23204.435956613586,-23301.565022371287,-69262.23425546364,0.20517411296994453
300,5.0,8.647842973316693e-06,8.64782845202489e-06,8.647831494885857e-06,7566.3549825915015,7566.354982591511,7566.354982591509,7566.3549739436585,7566.354973943682,7566.354973943678,22699.064921831017,-22160.096854410327,-22531.403791966764,-22329.384031820467,-67020.88467819756,0.19966577783930772
330,5.5,1.9769351058619342e-05,1.9769303690104795e-05,1.976932694785962e-05,1.5557619180048352e-05,1.5557623781854756e-05,1.555762068135622e-05,-4.21173187857099e-06,-4.211679908250039e-06,-4.211706266503401e-06,-1.263511805332443e-05,-22650.34197689627,-22912.839073466304,-22753.885987344347,-68317.06703770692,0.1870551862133298
360,6.0,1.9769148049327944e-05,1.9769347215896165e-05,1.9769426860182394e-05,1.5557628972761542e-05,1.5557608986932307e-05,1.5557600693931147e-05,-4.211519076566402e-06,-4.2117382289638574e-06,-4.211826166251246e-06,-1.2635083471781506e-05,-21633.958962464578,-20869.125290694465,-21269.5816791482,-63772.665932307245,0.18705518621408904
390,6.5,1.9769544721874805e-05,1.976873646705664e-05,1.9769100254182553e-05,1.5557496529233392e-05,1.5557580679334126e-05,1.5557544766581753e-05,-4.212048192641412e-06,-4.211155787722516e-06,-4.2115554876008e-06,-1.2634759467964728e-05,-10392.368206641497,-10451.265501248263,-10358.929430384376,-31202.563138274134,0.18705518621484823
420,7.0,7.535671427773109e-06,1945.066531681704,1929.9497352698,2.775020919590349e-05,2.0665805323992774e-05,2.066252242479143e-05,2.021453776813038e-05,-1945.0665110158986,-1929.9497146072774,-3875.0162054086386,2693.790960024771,-890.8736739284207,183.16137077643327,1986.0786568727835,0.18705518621560732
450,7.5,21529.675335710843,21507.31104704592,21546.514571492968,2.1738987656405134e-05,2.1738293386965805e-05,2.1739528082759084e-05,-21529.675313971857,-21507.311025307627,-21546.51454975344,-64583.50088903292,-2283.1454530166325,1769.4598719310595,-238.30035090557305,-751.985931991146,0.18879894350074958
480,8.0,20694.76784486565,20802.65138157636,21094.717393625695,2.1481239896905082e-05,2.1488373431321518e-05,2.1504205353539013e-05,-20694.767823384413,-20802.651360087988,-21094.71737212149,-62592.1365555939,-2111.6966949132243,907.0921776052237,682.6624369934184,-521.9420803145822,0.2178615188939304
510,8.5,27427.917317129155,27451.05077850474,27587.327292025187,2.3292515177095164e-05,2.3287671060437506e-05,2.325853004119774e-05,-27427.91729383664,-27451.05075521707,-27587.327268766658,-82466.29531782038,-206.90231608472928,499.96502305344495,560.613341202704,853.6760481714197,0.2460279803371421
540,9.0,32313.21327590707,32497.298453764695,32453.5017341233,2.3021984470711463e-05,2.2958836551722974e-05,2.2973850187877048e-05,-32313.213252885085,-32497.29843080586,-32453.50171114945,-97264.0133948404,145.4327915019688,864.0545947790954,64.86028956508416,1074.3476758461484,0.2831378132227894
570,9.5,36533.00453682445,36899.237217531976,36693.18445614326,2.1621198314805104e-05,2.1478383264637055e-05,2.1558805585735678e-05,-36533.00451520325,-36899.23719605359,-36693.18443458445,-110125.42614584128,-1282.2944729096398,2447.0694133387365,-1390.3485007182178,-225.57356028912113,0.326906619243189
600,10.0,14958.64559134552,14785.052984875349,15081.972695101054,1.9301171690582267e-05,1.925495699129192e-05,1.9333823819620173e-05,-14958.645572044348,-14785.05296562039,-15081.97267576723,-44825.67121343197,-4011.2475269954693,2544.7171667955904,-625.7307998641577,-2092.2611600640366,0.37646306100199256
630,10.5,51220.61249063154,51538.80756512523,51593.88199870378,1.423092200432863e-05,1.4148253977192265e-05,1.4134227691901368e-05,-51220.612476400616,-51538.80755097698,-51593.881984569554,-154353.30201194715,969.8870239738399,441.9228791581646,444.1532175068086,1855.963120638813,0.3966346130419263
660,11.0,53789.07820948176,53863.619786660434,53516.622217511474,1.3357844426639643e-05,1.334154635485664e-05,1.3418301796716862e-05,-53789.07819612392,-53863.61977331889,-53516.622204093175,-161169.320173536,561.839616250385,325.4400815545103,359.09881670235234,1246.3785145072475,0.466093598942815
690,11.5,52386.108404261075,52626.113479208405,52431.455941856424,1.3809092894192816e-05,1.3751470804586124e-05,1.3798026881937139e-05,-52386.108390451984,-52626.11346545693,-52431.4559280584,-157443.67778396732,441.6956134404037,443.93743098460874,450.41184614485894,1336.0448905698713,0.5386197930166715
720,12.0,20727.647223504213,20827.574825005653,20815.221352775665,2.1459852361739308e-05,2.146605285911204e-05,2.146531478234968e-05,-20727.64720204436,-20827.5748035396,-20815.22133131035,-62370.44333689431,446.8535123141972,444.53289543927224,448.2641501047493,1339.6505578582187,0.6094694480150912
750,12.5,3889.3126347372163,3730.1311384156143,3695.679465724636,1.5199323139097052e-05,1.5178474956622937e-05,1.5173937904447302e-05,-3889.312619537893,-3730.1311232371395,-3695.679450550698,-11315.123193325731,681.1621549305427,-1483.2602791027903,684.8455362377422,-117.25258793450541,0.6375361475098967
780,13.0,1.976948427585552e-05,1.9769454807881236e-05,1.976875341816312e-05,1.5557557912265296e-05,1.555756020839603e-05,1.5557627488985604e-05,-4.211926363590225e-06,-4.211894599485207e-06,-4.2111259291775175e-06,-1.2634946892252949e-05,-11634.55357790573,-11928.697895017165,-12700.341042813872,-36263.59251573677,0.6426279529420851
810,13.5,48574.5327614851,48986.180477642796,48535.01162191338,1.539995339209366e-05,1.5277337857114582e-05,1.5411983069740364e-05,-48574.53274608515,-48986.18046236546,-48535.01160650139,-146095.724814952,2964.188607033205,-1842.7945321765624,-1875.2986541892005,-753.9045793325581,0.6426279529428442
840,14.0,44750.12972907807,48125.91770404932,47859.299675288654,1.697775418228677e-05,1.5843494675006988e-05,1.592300963392158e-05,-44750.129712100315,-48125.91768820583,-47859.29965936564,-140735.3470596718,2105.8056413176264,-957.607673227214,-439.63342833313914,708.5645397572732,0.7083710291047076
870,14.5,43957.001847090534,44787.86775552367,44691.082895163214,1.7715449605287857e-05,1.7418435400693962e-05,1.7452477041713472e-05,-43957.00182937508,-44787.86773810523,-44691.08287771074,-133435.95244519104,3497.9292682678406,-2435.250933960882,-2639.2235937862306,-1576.5452594792719,0.7717019352764147
900,15.0,31401.481653280505,31545.073726750306,31404.424005690653,2.3184111874410764e-05,2.31373896253783e-05,2.3183212157835867e-05,-31401.481630096394,-31545.073703612918,-31404.42398250744,-94350.97931621675,420.4932191647227,444.99570073851476,448.0824840119223,1313.5714039151599,0.8317481138712
930,15.5,10567.623730507841,11059.63202736272,10995.504047528631,1.7728348100999852e-05,1.7865674459841078e-05,1.7847011246473974e-05,-10567.623712779494,-11059.632009497047,-10995.50402968162,-32622.75975195816,974.2275120684596,439.2024668089614,453.73237393186326,1867.1623528092844,0.8742060545561608
960,16.0,28485.221455043713,31324.845166398853,30862.61325322432,2.3720153131640584e-05,2.2913374920829357e-05,2.306052763045342e-05,-28485.22143132356,-31324.845143485476,-30862.61323016379,-90672.67980497284,2424.7799730075226,-1437.583970364368,-1036.9641126050053,-49.76810996185077,0.888886296438901
990,16.5,11283.94959013175,16377.440078821017,16485.609282909627,1.8491760933172927e-05,1.9802187603627563e-05,1.982819817644192e-05,-11283.949571639989,-16377.440059018829,-16485.609263081427,-44146.998893740245,710.6403076899481,11.382547610429965,909.1040272422862,1631.1268825426641,0.9296890023437822
1020,17.0,8.635159733425246e-06,8.634882273191394e-06,8.634991687673778e-06,7468.458403127849,7468.458403128016,7468.458403127948,7468.458394492689,7468.458394493134,7468.458394492956,22405.375183478776,-4981.994583039185,-2897.709101170467,-2312.1882305938575,-10191.89191480351,0.9495551518398302
1050,17.5,1.0194030019637076e-05,1.0193871520851962e-05,1.0193744955928408e-05,19891.005374142856,19891.005374142936,19891.005374143,19891.005363948825,19891.005363949065,19891.005363949254,59673.016091847145,-12180.988732463427,-13181.072324674964,-13936.54635053981,-39298.6074076782,0.9371077211796076
1080,18.0,9.786840404759825e-06,9.786260846740953e-06,9.786568848169297e-06,16698.659826191673,16698.65982619197,16698.65982619181,16698.659816404834,16698.65981640571,16698.65981640524,50095.97944921578,-6242.489594823132,-9517.443646396967,-7345.828440497724,-23105.761681717824,0.9039560455697978
