Time_sample,Time_h,PV_architecture,PV_available_P_W,PV_command_P_W,PV_Q_command_var,PV_curtailment_W,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,CentralSolar_P_curtailment_W
30,0.5,central,0.0,1.1382306176442122e-12,6.359320906935625e-05,0.0,0.0,1.1382306176442122e-12,6.359320906935625e-05,0.0
60,1.0,central,0.0,1.1382306173259373e-12,0.00014408092467947144,0.0,0.0,1.1382306173259373e-12,0.00014408092467947144,0.0
90,1.5,central,0.0,1.1382306301609265e-12,-0.0002654791266770429,0.0,0.0,1.1382306301609265e-12,-0.0002654791266770429,0.0
120,2.0,central,0.0,1.138230624147762e-12,-0.00014294509546357477,0.0,0.0,1.138230624147762e-12,-0.00014294509546357477,0.0
150,2.5,central,0.0,1.138230617462715e-12,0.00011999469188122853,0.0,0.0,1.138230617462715e-12,0.00011999469188122853,0.0
180,3.0,central,0.0,1.1382306173329045e-12,1.7626414215268934e-05,0.0,0.0,1.1382306173329045e-12,1.7626414215268934e-05,0.0
210,3.5,central,0.0,1.1382306165122537e-12,-7.21201904073784e-05,0.0,0.0,1.1382306165122537e-12,-7.21201904073784e-05,0.0
240,4.0,central,802.8310228511782,36.692985153557814,1.4791664803146657e-07,766.1380376976203,802.8310228511782,36.692985153557814,1.4791664803146657e-07,766.1380376976203
270,4.5,central,3348.13146317036,43.1304054422662,1.725116142380904e-07,3305.0010577280937,3348.13146317036,43.1304054422662,1.725116142380904e-07,3305.0010577280937
300,5.0,central,7612.490472052799,46.135559333918074,2.1307413815651868e-07,7566.354912718882,7612.490472052799,46.135559333918074,2.1307413815651868e-07,7566.354912718882
330,5.5,central,16214.672980009611,16214.673057559985,1.6442086783919626e-07,0.0,16214.672980009611,16214.673057559985,1.6442086783919626e-07,0.0
360,6.0,central,32040.626329922346,32040.626407472733,1.5139418768823897e-07,0.0,32040.626329922346,32040.626407472733,1.5139418768823897e-07,0.0
390,6.5,central,67541.17105030791,67541.17112785841,-4.3743138418366614e-08,0.0,67541.17105030791,67541.17112785841,-4.3743138418366614e-08,0.0
420,7.0,central,81235.98201122369,81235.98207844392,-1.9847777317063772e-05,0.0,81235.98201122369,81235.98207844392,-1.9847777317063772e-05,0.0
450,7.5,central,139783.09169335256,139783.09176242206,2.1976965854976125e-05,0.0,139783.09169335256,139783.09176242206,2.1976965854976125e-05,0.0
480,8.0,central,137806.99617541744,137806.9962447261,-1.0850744547109261e-05,0.0,137806.99617541744,137806.9962447261,-1.0850744547109261e-05,0.0
510,8.5,central,157786.37576376746,157786.37583128788,4.920148189931951e-08,0.0,157786.37576376746,157786.37583128788,4.920148189931951e-08,0.0
540,9.0,central,172443.48122961321,172443.48129732368,5.936288701597497e-05,0.0,172443.48122961321,172443.48129732368,5.936288701597497e-05,0.0
