Time_sample,Time_h,PV_architecture,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,NetCentral_P_injection_A_W,NetCentral_P_injection_B_W,NetCentral_P_injection_C_W,NetCentral_P_injection_total_W,BESS_SOC_pu
30,0.5,central,0.0,1.1382306176442122e-12,6.359320906935625e-05,25524.36921418459,25148.537272696,25017.611567633634,75690.51805451422,25524.36921418459,25148.537272696,25017.611567633634,75690.51805451422,0.5
60,1.0,central,0.0,1.1382306173259373e-12,0.00014408092467947144,25153.009359607797,25124.998789398593,25139.048836060065,75417.05698506645,25153.009359607797,25124.998789398593,25139.048836060065,75417.05698506645,0.45794971046355937
90,1.5,central,0.0,1.1382306301609265e-12,-0.0002654791266770429,25167.127217886184,25142.051739597224,25148.11298671282,75457.29194419623,25167.127217886184,25142.051739597224,25148.11298671282,75457.29194419623,0.41605134373727737
120,2.0,central,0.0,1.138230624147762e-12,-0.00014294509546357477,25318.13872380317,25135.07866700478,25063.12263986622,75516.34003067417,25318.13872380317,25135.07866700478,25063.12263986622,75516.34003067417,0.3741306242568569
150,2.5,central,0.0,1.138230617462715e-12,0.00011999469188122853,25172.783097904223,25117.27738263007,25148.634375688736,75438.69485622302,25172.783097904223,25117.27738263007,25148.634375688736,75438.69485622302,0.33217710028528574
180,3.0,central,0.0,1.1382306173329045e-12,1.7626414215268934e-05,25172.165127399392,25148.513935942217,25131.808359884795,75452.48742322641,25172.165127399392,25148.513935942217,25131.808359884795,75452.48742322641,0.2902667125199732
210,3.5,central,0.0,1.1382306165122537e-12,-7.21201904073784e-05,25168.35919472562,25145.631820560127,25101.780409011233,75415.77142429698,25168.35919472562,25145.631820560127,25101.780409011233,75415.77142429698,0.24834866221775712
240,4.0,central,802.8310228511782,36.692985153557814,1.4791664803146657e-07,766.1380316739713,766.1380316739743,766.1380316739653,2298.4140950219107,778.3690267251573,778.3690267251602,778.3690267251512,2335.1070801754686,0.20645100969187105
270,4.5,central,3348.13146317036,43.1304054422662,1.725116142380904e-07,3305.001076839802,3305.0010768398006,3305.0010768398233,9915.003230519425,3319.3778786538905,3319.377878653889,3319.377878653912,9958.13363596169,0.20517411296994453
300,5.0,central,7612.490472052799,46.135559333918074,2.1307413815651868e-07,7566.3549739436585,7566.354973943682,7566.354973943678,22699.064921831017,7581.733493721631,7581.733493721655,7581.73349372165,22745.200481164935,0.19966577783930772
330,5.5,central,16214.672980009611,16214.673057559985,1.6442086783919626e-07,-4.21173187857099e-06,-4.211679908250039e-06,-4.211706266503401e-06,-1.263511805332443e-05,5404.89101497493,5404.891014974982,5404.891014974955,16214.673044924866,0.1870551862133298
360,6.0,central,32040.626329922346,32040.626407472733,1.5139418768823897e-07,-4.211519076566402e-06,-4.2117382289638574e-06,-4.211826166251246e-06,-1.2635083471781506e-05,10680.208798279393,10680.208798279173,10680.208798279085,32040.62639483765,0.18705518621408904
390,6.5,central,67541.17105030791,67541.17112785841,-4.3743138418366614e-08,-4.212048192641412e-06,-4.211155787722516e-06,-4.2115554876008e-06,-1.2634759467964728e-05,22513.723705074088,22513.72370507498,22513.72370507458,67541.17111522365,0.18705518621484823
420,7.0,central,81235.98201122369,81235.98207844392,-1.9847777317063772e-05,2.021453776813038e-05,-1945.0665110158986,-1929.9497146072774,-3875.0162054086386,27078.660713029178,25133.59418179874,25148.71097820736,77360.96587303528,0.18705518621560732
450,7.5,central,139783.09169335256,139783.09176242206,2.1976965854976125e-05,-21529.675313971857,-21507.311025307627,-21546.51454975344,-64583.50088903292,25064.688606835494,25087.052895499724,25047.84937105391,75199.59087338914,0.18879894350074958
