Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction
One-stage weighted objective,240,4.0,0.8028310228511782,0.03669298515355782,0.7661380376976203,0.20645100969187105,7.79966051286528e-09,0.7661380394736318,0.7661380316739713,-23.299994786330462,7.799658652916642e-09,0.7661380394736329,0.7661380316739743,-23.1930875706482,7.799664075487211e-09,0.7661380394736295,0.7661380316739653,-23.125878814601023,2.3398983241269134e-08,2.298414118420894,2.2984140950219105,-69.61896117157968,0.38306901884881017,0.9542955066394342
One-stage weighted objective,270,4.5,3.34813146317036,0.0431304054422662,3.3050010577280937,0.20517411296994453,8.117318513986267e-09,3.3050010849571203,3.305001076839802,-22.75623327647876,8.117319138571367e-09,3.30500108495712,3.3050010768398006,-23.204435956613587,8.117305062029623e-09,3.3050010849571287,3.3050010768398232,-23.30156502237129,2.435194271458726e-08,9.915003254871367,9.915003230519426,-69.26223425546364,1.6525005288640469,0.9871180669227887
One-stage weighted objective,300,5.0,7.6124904720528,0.04613555933391807,7.566354912718881,0.19966577783930772,8.647842973316694e-09,7.566354982591502,7.566354973943659,-22.160096854410327,8.64782845202489e-09,7.566354982591511,7.566354973943682,-22.531403791966763,8.647831494885857e-09,7.566354982591509,7.566354973943677,-22.329384031820467,2.594350292022744e-08,22.69906494777452,22.699064921831017,-67.02088467819756,3.7831774563594407,0.9939394920094425
One-stage weighted objective,1020,17.0,58.8676590442051,51.39920073482498,7.468458309380112,0.9495551518398302,8.635159733425246e-09,7.468458403127849,7.468458394492689,-4.981994583039185,8.634882273191394e-09,7.4684584031280155,7.468458394493133,-2.897709101170467,8.634991687673778e-09,7.468458403127948,7.468458394492957,-2.3121882305938577,2.5905033694290417e-08,22.405375209383813,22.405375183478775,-10.19189191480351,3.734229154690056,0.1268686139493312
One-stage weighted objective,1050,17.5,21.38615526279812,1.4951499824030097,19.891005280395106,0.9371077211796076,1.0194030019637076e-08,19.891005374142857,19.891005363948825,-12.180988732463428,1.0193871520851962e-08,19.891005374142935,19.891005363949066,-13.181072324674965,1.0193744955928408e-08,19.891005374143,19.891005363949255,-13.936546350539809,3.0581646496417445e-08,59.67301612242879,59.673016091847146,-39.298607407678205,9.945502640197553,0.9300879487673096
One-stage weighted objective,1080,18.0,35.72629562474032,19.02763589229633,16.69865973244399,0.9039560455697978,9.786840404759826e-09,16.698659826191673,16.698659816404835,-6.242489594823132,9.786260846740953e-09,16.69865982619197,16.698659816405712,-9.517443646396966,9.786568848169298e-09,16.69865982619181,16.69865981640524,-7.345828440497724,2.9359670099670076e-08,50.09597947857546,50.09597944921578,-23.105761681717823,8.349329866221995,0.46740529462786606
One-stage weighted objective,1110,18.5,34.88048921037201,16.175182969561945,18.705306240810067,0.87612494587269,1.0043546033442364e-08,18.70530633455783,18.705306324514282,-3.964893984220012,1.0043476840524802e-08,18.70530633455787,18.705306324514392,-4.665463764290737,1.0043205884258155e-08,18.705306334558006,18.7053063245148,-5.959604829969149,3.013022875822532e-08,56.115919003673696,56.11591897354348,-14.589962578479899,9.352653120405034,0.5362684602269823
One-stage weighted objective,1140,19.0,14.676355200650205,0.03682185253303231,14.639533348117173,0.8449494353286521,9.52556138119438e-09,14.63953344186489,14.639533432339327,-19.17073109084659,9.52557908869231e-09,14.63953344186488,14.639533432339302,-18.641021583797862,9.525591579573523e-09,14.639533441864874,14.639533432339283,-18.705975080693225,2.8576732049460215e-08,43.91860032559464,43.91860029701791,-56.517727755337674,7.319766674058586,0.997491076494837
One-stage weighted objective,1170,19.5,6.556644238336596,0.044055147822889724,6.512589090513707,0.8205502129384035,8.517120820732175e-09,6.51258914982786,6.512589141310739,-22.67590275052135,8.51708740619937e-09,6.51258914982788,6.512589141310792,-22.63035923338419,8.517128066804652e-09,6.512589149827855,6.512589141310728,-21.288742204345024,2.55513362937362e-08,19.537767449483596,19.53776742393226,-66.59500418825056,3.2562945452568535,0.9932808390662254
One-stage weighted objective,1200,20.0,1.4787101336823925,0.03859673881904402,1.4401133948633484,0.8096958977001885,7.884040510384266e-09,1.4401134033981602,1.4401133955141197,-22.901484179808723,7.884058922763283e-09,1.4401134033981484,1.4401133955140895,-21.756099971218788,7.884061090386893e-09,1.440113403398147,1.4401133955140861,-22.707418249124043,2.3652160523534442e-08,4.3203402101944555,4.320340186542294,-67.36500240015154,0.7200566974316742,0.9738983740356688
One-stage weighted objective,1230,20.5,0.5138621598622417,0.032443377226045546,0.4814187826361962,0.8072957087051683,7.763990253244434e-09,0.48141878152251455,0.4814187737585243,-22.30290095755099,7.764020295621658e-09,0.48141878152249495,0.4814187737584747,-21.79775681016369,7.763999650157505e-09,0.48141878152250844,0.4814187737585088,-23.168733989385796,2.3292010199023597e-08,1.444256344567518,1.4442563212755075,-67.26939175710046,0.2407093913180981,0.9368636576883904
