Constraint,Body,Lower,Upper,Raw_violation,Relative_violation
"CentralBESS_night_only_discharge_con[1,1050]",9.999685062211938e-05,,0.0,9.999685062211938e-05,9.999685062211938e-05
"CentralBESS_night_only_discharge_con[2,1050]",9.999685062211938e-05,,0.0,9.999685062211938e-05,9.999685062211938e-05
"CentralBESS_night_only_discharge_con[3,1050]",9.999685062211938e-05,,0.0,9.999685062211938e-05,9.999685062211938e-05
"CentralBESS_night_only_discharge_con[1,1140]",9.999684880312998e-05,,0.0,9.999684880312998e-05,9.999684880312998e-05
"CentralBESS_night_only_discharge_con[2,1140]",9.999684880312998e-05,,0.0,9.999684880312998e-05,9.999684880312998e-05
"CentralBESS_night_only_discharge_con[3,1140]",9.999684880312998e-05,,0.0,9.999684880312998e-05,9.999684880312998e-05
"CentralBESS_night_only_discharge_con[1,390]",9.998995910999162e-05,,0.0,9.998995910999162e-05,9.998995910999162e-05
"CentralBESS_night_only_discharge_con[2,390]",9.998995910999162e-05,,0.0,9.998995910999162e-05,9.998995910999162e-05
"CentralBESS_night_only_discharge_con[3,390]",9.998995910999162e-05,,0.0,9.998995910999162e-05,9.998995910999162e-05
"CentralBESS_night_only_discharge_con[1,360]",9.99899531858107e-05,,0.0,9.99899531858107e-05,9.99899531858107e-05
"CentralBESS_night_only_discharge_con[2,360]",9.99899531858107e-05,,0.0,9.99899531858107e-05,9.99899531858107e-05
"CentralBESS_night_only_discharge_con[3,360]",9.99899531858107e-05,,0.0,9.99899531858107e-05,9.99899531858107e-05
"CentralBESS_night_only_discharge_con[1,330]",9.998994962239046e-05,,0.0,9.998994962239046e-05,9.998994962239046e-05
"CentralBESS_night_only_discharge_con[2,330]",9.998994962239046e-05,,0.0,9.998994962239046e-05,9.998994962239046e-05
"CentralBESS_night_only_discharge_con[3,330]",9.998994962239046e-05,,0.0,9.998994962239046e-05,9.998994962239046e-05
"CentralBESS_night_only_discharge_con[1,780]",9.99899452070482e-05,,0.0,9.99899452070482e-05,9.99899452070482e-05
"CentralBESS_night_only_discharge_con[2,780]",9.99899452070482e-05,,0.0,9.99899452070482e-05,9.99899452070482e-05
"CentralBESS_night_only_discharge_con[3,780]",9.99899452070482e-05,,0.0,9.99899452070482e-05,9.99899452070482e-05
"CentralBESS_night_only_discharge_con[1,660]",9.997542036876582e-05,,0.0,9.997542036876582e-05,9.997542036876582e-05
"CentralBESS_night_only_discharge_con[2,660]",9.997542036876582e-05,,0.0,9.997542036876582e-05,9.997542036876582e-05
"CentralBESS_night_only_discharge_con[3,660]",9.997542036876582e-05,,0.0,9.997542036876582e-05,9.997542036876582e-05
"CentralBESS_night_only_discharge_con[1,690]",9.997513162052002e-05,,0.0,9.997513162052002e-05,9.997513162052002e-05
"CentralBESS_night_only_discharge_con[2,690]",9.997513162052002e-05,,0.0,9.997513162052002e-05,9.997513162052002e-05
"CentralBESS_night_only_discharge_con[3,690]",9.997513162052002e-05,,0.0,9.997513162052002e-05,9.997513162052002e-05
"CentralBESS_night_only_discharge_con[1,630]",9.99749014405399e-05,,0.0,9.99749014405399e-05,9.99749014405399e-05
"CentralBESS_night_only_discharge_con[2,630]",9.99749014405399e-05,,0.0,9.99749014405399e-05,9.99749014405399e-05
"CentralBESS_night_only_discharge_con[3,630]",9.99749014405399e-05,,0.0,9.99749014405399e-05,9.99749014405399e-05
"CentralBESS_night_only_discharge_con[1,810]",9.997455797888756e-05,,0.0,9.997455797888756e-05,9.997455797888756e-05
"CentralBESS_night_only_discharge_con[2,810]",9.997455797888756e-05,,0.0,9.997455797888756e-05,9.997455797888756e-05
"CentralBESS_night_only_discharge_con[3,810]",9.997455797888756e-05,,0.0,9.997455797888756e-05,9.997455797888756e-05
"CentralBESS_night_only_discharge_con[1,840]",9.997425665205168e-05,,0.0,9.997425665205168e-05,9.997425665205168e-05
"CentralBESS_night_only_discharge_con[2,840]",9.997425665205168e-05,,0.0,9.997425665205168e-05,9.997425665205168e-05
