Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction
One-stage weighted objective,30,0.5,0.0,1.1382306176442123e-15,0.0,0.5,5.394145310173751e-06,25.5243746083299,25.52436921418459,-0.7648201147136366,5.475523478630397e-06,25.14854274821948,25.148537272696,-0.20563381812549358,5.504430823614107e-06,25.017617072064457,25.017611567633633,1.4006646813491432,1.6374099612418255e-05,75.69053442861384,75.69051805451421,0.430210748510013,0.0,
One-stage weighted objective,60,1.0,0.0,1.1382306173259373e-15,0.0,0.45794971046355937,5.4745417071045066e-06,25.153014834149506,25.153009359607797,-1.0547232694564708,5.48069600030111e-06,25.125004270094593,25.124998789398592,1.107089545397281,5.477610256515717e-06,25.13905431367032,25.139048836060066,0.13755394983097208,1.643284796392133e-05,75.41707341791442,75.41705698506645,0.18992022577178258,0.0,
One-stage weighted objective,90,1.5,0.0,1.1382306301609265e-15,0.0,0.41605134373727737,5.4714401848880386e-06,25.16713268932637,25.167127217886183,0.6222404104223294,5.476946810124315e-06,25.142057216544035,25.142051739597225,0.4474538084173662,5.475616516244213e-06,25.148118462329332,25.148112986712817,-0.2522401464689491,1.6424003511256563e-05,75.45730836819973,75.45729194419623,0.8174540723707465,0.0,
One-stage weighted objective,120,2.0,0.0,1.138230624147762e-15,0.0,0.3741306242568569,5.4385110324917195e-06,25.318144162314205,25.31813872380317,-0.7428763846937848,5.478481802081289e-06,25.13508414548658,25.135078667004777,-0.8479580460193149,5.494343847962107e-06,25.063128134210068,25.06312263986622,2.053304319541059,1.641133668253512e-05,75.51635644201086,75.51634003067417,0.4624698888279595,0.0,
One-stage weighted objective,150,2.5,0.0,1.138230617462715e-15,0.0,0.33217710028528574,5.470201761819489e-06,25.172788568105986,25.172783097904222,-0.33411638022323603,5.482398874194284e-06,25.117282865028944,25.117277382630068,-1.2702715126831956,5.475501732539088e-06,25.14863985119047,25.148634375688736,0.1933936757249495,1.6428102368552863e-05,75.4387112843254,75.43869485622302,-1.4109942171814824,0.0,
One-stage weighted objective,180,3.0,0.0,1.1382306173329045e-15,0.0,0.2902667125199732,5.47033713451657e-06,25.172170597736528,25.172165127399392,0.36903470060807175,5.475528338729831e-06,25.148519411470556,25.148513935942216,-0.2084681033382892,5.4792007023620416e-06,25.1318138390855,25.131808359884793,-0.9399048549540286,1.6425066175608443e-05,75.4525038482926,75.45248742322642,-0.779338257684246,0.0,
One-stage weighted objective,210,3.5,0.0,1.1382306165122537e-15,0.0,0.24834866221775712,5.471166740572782e-06,25.168364665892362,25.16835919472562,0.4274127423316271,5.47616899439347e-06,25.14563729672912,25.145631820560126,0.4340501816469442,5.485811168046882e-06,25.101785894822402,25.101780409011234,0.46642145639101257,1.643314690301313e-05,75.41578785744387,75.41577142429698,1.327884380369584,0.0,
One-stage weighted objective,240,4.0,0.8028310228511782,0.03669298515355782,0.7661380376976203,0.20645100969187105,7.79966051286528e-09,0.7661380394736318,0.7661380316739713,-23.299994786330462,7.799658652916642e-09,0.7661380394736329,0.7661380316739743,-23.1930875706482,7.799664075487211e-09,0.7661380394736295,0.7661380316739653,-23.125878814601023,2.3398983241269134e-08,2.298414118420894,2.2984140950219105,-69.61896117157968,0.38306901884881017,0.9542955066394342
One-stage weighted objective,270,4.5,3.34813146317036,0.0431304054422662,3.3050010577280937,0.20517411296994453,8.117318513986267e-09,3.3050010849571203,3.305001076839802,-22.75623327647876,8.117319138571367e-09,3.30500108495712,3.3050010768398006,-23.204435956613587,8.117305062029623e-09,3.3050010849571287,3.3050010768398232,-23.30156502237129,2.435194271458726e-08,9.915003254871367,9.915003230519426,-69.26223425546364,1.6525005288640469,0.9871180669227887
One-stage weighted objective,300,5.0,7.6124904720528,0.04613555933391807,7.566354912718881,0.19966577783930772,8.647842973316694e-09,7.566354982591502,7.566354973943659,-22.160096854410327,8.64782845202489e-09,7.566354982591511,7.566354973943682,-22.531403791966763,8.647831494885857e-09,7.566354982591509,7.566354973943677,-22.329384031820467,2.594350292022744e-08,22.69906494777452,22.699064921831017,-67.02088467819756,3.7831774563594407,0.9939394920094425
One-stage weighted objective,330,5.5,16.21467298000961,16.214673057559985,0.0,0.1870551862133298,1.976935105861934e-08,1.555761918004835e-08,-4.211731878570989e-09,-22.65034197689627,1.9769303690104795e-08,1.5557623781854756e-08,-4.211679908250039e-09,-22.912839073466305,1.976932694785962e-08,1.555762068135622e-08,-4.211706266503401e-09,-22.753885987344347,5.930798169658376e-08,4.667286364325933e-08,-1.263511805332443e-08,-68.31706703770692,0.0,0.0
One-stage weighted objective,360,6.0,32.04062632992235,32.040626407472736,0.0,0.18705518621408904,1.9769148049327944e-08,1.555762897276154e-08,-4.211519076566402e-09,-21.63395896246458,1.9769347215896166e-08,1.5557608986932307e-08,-4.211738228963857e-09,-20.869125290694466,1.9769426860182393e-08,1.5557600693931147e-08,-4.211826166251246e-09,-21.2695816791482,5.93079221254065e-08,4.6672838653624996e-08,-1.2635083471781506e-08,-63.77266593230725,0.0,0.0
One-stage weighted objective,390,6.5,67.54117105030791,67.5411711278584,0.0,0.18705518621484823,1.9769544721874804e-08,1.5557496529233393e-08,-4.2120481926414124e-09,-10.392368206641496,1.9768736467056642e-08,1.5557580679334126e-08,-4.211155787722516e-09,-10.451265501248264,1.9769100254182552e-08,1.5557544766581754e-08,-4.2115554876008e-09,-10.358929430384377,5.9307381443114e-08,4.667262197514927e-08,-1.2634759467964729e-08,-31.202563138274133,0.0,0.0
