Time_sample,Time_h,Feeder_line,OPF_P_sending_A_kW,OPF_P_sending_B_kW,OPF_P_sending_C_kW,OPF_source_flow_total_kW,OPF_feeder_import_kW,OPF_feeder_export_kW,OPF_feeder_export_energy_kWh,sign_convention,units
30,0.5,feeder2_line1,-17.334564200238244,-21.297761525042155,-18.309385479629814,-56.941711204910206,0.0,56.941711204910206,28.470855602455103,positive source flow = import; negative source flow = export,kW; energy column kWh
60,1.0,feeder2_line1,-19.56268951712329,-21.388211087994055,-20.215721240808325,-61.16662184592566,0.0,61.16662184592566,30.58331092296283,positive source flow = import; negative source flow = export,kW; energy column kWh
90,1.5,feeder2_line1,-19.646385082387773,-21.113206373200256,-21.89974840201327,-62.659339857601296,0.0,62.659339857601296,31.329669928800648,positive source flow = import; negative source flow = export,kW; energy column kWh
120,2.0,feeder2_line1,-19.48039208414285,-22.252828447796954,-20.32454928045882,-62.05776981239863,0.0,62.05776981239863,31.028884906199316,positive source flow = import; negative source flow = export,kW; energy column kWh
150,2.5,feeder2_line1,-19.667807738431726,-22.110554487281977,-21.795607925131215,-63.57397015084492,0.0,63.57397015084492,31.78698507542246,positive source flow = import; negative source flow = export,kW; energy column kWh
180,3.0,feeder2_line1,-19.597045462125905,-21.178260238192394,-22.2338283061084,-63.0091340064267,0.0,63.0091340064267,31.50456700321335,positive source flow = import; negative source flow = export,kW; energy column kWh
210,3.5,feeder2_line1,-19.26722364930032,-20.57596315133625,-20.488228508419084,-60.33141530905566,0.0,60.33141530905566,30.16570765452783,positive source flow = import; negative source flow = export,kW; energy column kWh
240,4.0,feeder2_line1,4.22490870643063,3.133690256375232,3.1988128281071364,10.557411790912997,10.557411790912997,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
270,4.5,feeder2_line1,2.4857413228633614,0.32280300129869827,-1.047438300394279,1.7611060237677807,1.7611060237677807,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
300,5.0,feeder2_line1,-1.5891521653132294,-4.279520727887355,-3.969378460205829,-9.838051353406414,0.0,9.838051353406414,4.919025676703207,positive source flow = import; negative source flow = export,kW; energy column kWh
330,5.5,feeder2_line1,0.33879029560279195,-1.3094074010717687,-1.3434290419268589,-2.3140461473958354,0.0,2.3140461473958354,1.1570230736979177,positive source flow = import; negative source flow = export,kW; energy column kWh
360,6.0,feeder2_line1,-7.953912564907568,-6.653012797540186,-3.3501999225378483,-17.9571252849856,0.0,17.9571252849856,8.9785626424928,positive source flow = import; negative source flow = export,kW; energy column kWh
390,6.5,feeder2_line1,-14.550379337498729,-18.739951510513773,-19.24311698121787,-52.53344782923037,0.0,52.53344782923037,26.266723914615184,positive source flow = import; negative source flow = export,kW; energy column kWh
420,7.0,feeder2_line1,-18.483902453782555,-19.780430751597834,-22.247573911892598,-60.51190711727298,0.0,60.51190711727298,30.25595355863649,positive source flow = import; negative source flow = export,kW; energy column kWh
450,7.5,feeder2_line1,-20.647897214196995,-20.41905972639326,-13.344764988809715,-54.411721929399974,0.0,54.411721929399974,27.205860964699987,positive source flow = import; negative source flow = export,kW; energy column kWh
480,8.0,feeder2_line1,-16.078653268613817,-17.14426411448384,-6.965193685376762,-40.18811106847441,0.0,40.18811106847441,20.094055534237206,positive source flow = import; negative source flow = export,kW; energy column kWh
510,8.5,feeder2_line1,-15.954408687399088,-18.564904085920098,-13.406912083171745,-47.92622485649093,0.0,47.92622485649093,23.963112428245466,positive source flow = import; negative source flow = export,kW; energy column kWh
540,9.0,feeder2_line1,-12.554366431252491,-10.150043484934816,-12.399844751876568,-35.104254668063874,0.0,35.104254668063874,17.552127334031937,positive source flow = import; negative source flow = export,kW; energy column kWh
570,9.5,feeder2_line1,-14.017764940973622,-7.526870623327426,-8.451786682378819,-29.996422246679863,0.0,29.996422246679863,14.998211123339932,positive source flow = import; negative source flow = export,kW; energy column kWh
600,10.0,feeder2_line1,-13.680057121494782,-13.390392286774532,-2.346778036473994,-29.417227444743304,0.0,29.417227444743304,14.708613722371652,positive source flow = import; negative source flow = export,kW; energy column kWh
630,10.5,feeder2_line1,-7.2520721006107065,-8.47603576742804,-10.036940261409796,-25.765048129448545,0.0,25.765048129448545,12.882524064724272,positive source flow = import; negative source flow = export,kW; energy column kWh
660,11.0,feeder2_line1,-0.27648910867304355,-6.1776519727681265,-11.211832133012356,-17.665973214453526,0.0,17.665973214453526,8.832986607226763,positive source flow = import; negative source flow = export,kW; energy column kWh
690,11.5,feeder2_line1,-12.374982085333718,-11.205848611404399,-15.031677246173194,-38.612507942911314,0.0,38.612507942911314,19.306253971455657,positive source flow = import; negative source flow = export,kW; energy column kWh
720,12.0,feeder2_line1,-15.149106785641093,-15.648081246795536,-17.474155335516517,-48.27134336795315,0.0,48.27134336795315,24.135671683976575,positive source flow = import; negative source flow = export,kW; energy column kWh
750,12.5,feeder2_line1,-10.528784512995724,-17.230866568418133,-18.68529752323269,-46.44494860464655,0.0,46.44494860464655,23.222474302323274,positive source flow = import; negative source flow = export,kW; energy column kWh
780,13.0,feeder2_line1,-5.194316061368479,0.05790005518921589,-6.5790569093872255,-11.715472915566489,0.0,11.715472915566489,5.857736457783244,positive source flow = import; negative source flow = export,kW; energy column kWh
810,13.5,feeder2_line1,-12.59049319623841,-3.8330473252873705,-17.524535440440488,-33.94807596196627,0.0,33.94807596196627,16.974037980983134,positive source flow = import; negative source flow = export,kW; energy column kWh
840,14.0,feeder2_line1,-8.250588726908326,-7.626076579117376,-16.01374419883521,-31.890409504860912,0.0,31.890409504860912,15.945204752430456,positive source flow = import; negative source flow = export,kW; energy column kWh
