Time_sample,Time_h,Bus,Phase,Low_limit_pu,High_limit_pu,OPF_V_pu,DSS_V_pu,OPF_violation_pu,DSS_violation_pu,Voltage_violation_pu
30,0.5,feeder2_1818,1,0.9,1.1,1.1000000045764067,1.0999964990623758,4.5764065870201875e-09,0.0,4.5764065870201875e-09
30,0.5,feeder2_1818,2,0.9,1.1,1.1000000053288588,1.1000013884269904,5.328858687647653e-09,1.3884269902675328e-06,1.3884269902675328e-06
60,1.0,feeder2_1818,1,0.9,1.1,1.1000000053187673,1.0999887025079897,5.31876720444302e-09,0.0,5.31876720444302e-09
60,1.0,feeder2_1818,2,0.9,1.1,1.1000000052136658,1.0999983490922298,5.21366572137083e-09,0.0,5.21366572137083e-09
90,1.5,feeder2_1818,1,0.9,1.1,1.1000000050098326,1.1000013884269908,5.009832548807935e-09,1.388426990711622e-06,1.388426990711622e-06
90,1.5,feeder2_1818,3,0.9,1.1,1.100000005051169,1.0999936579450995,5.051168816549989e-09,0.0,5.051168816549989e-09
120,2.0,feeder2_1818,2,0.9,1.1,1.1000000053786576,1.1000016527169696,5.378657519372609e-09,1.6527169695024213e-06,1.6527169695024213e-06
150,2.5,feeder2_1818,1,0.9,1.1,1.1000000053070007,1.1000031063118552,5.307000616738833e-09,3.1063118550722635e-06,3.1063118550722635e-06
150,2.5,feeder2_1818,2,0.9,1.1,1.1000000053860035,1.0999978205122716,5.386003421037344e-09,0.0,5.386003421037344e-09
150,2.5,feeder2_1818,3,0.9,1.1,1.1000000053707646,1.0999988776721885,5.370764499801339e-09,0.0,5.370764499801339e-09
180,3.0,feeder2_1818,1,0.9,1.1,1.1000000053309975,1.1000023134419177,5.330997421282291e-09,2.3134419175896426e-06,2.3134419175896426e-06
180,3.0,feeder2_1818,2,0.9,1.1,1.1000000052403647,1.0999965651348702,5.240364586711621e-09,0.0,5.240364586711621e-09
180,3.0,feeder2_1818,3,0.9,1.1,1.100000005360283,1.1000000669770946,5.360282884225853e-09,6.697709453717948e-08,6.697709453717948e-08
210,3.5,feeder2_1818,2,0.9,1.1,1.0999999942227157,1.1000017848619594,0.0,1.7848619593419102e-06,1.7848619593419102e-06
420,7.0,feeder2_1818,2,0.9,1.1,1.1000000053071834,1.1000022473694229,5.307183359448686e-09,2.2473694227809204e-06,2.2473694227809204e-06
420,7.0,feeder2_1818,3,0.9,1.1,1.1000000053021637,1.1000027098768865,5.302163597065146e-09,2.7098768864419753e-06,2.7098768864419753e-06
450,7.5,feeder2_1818,1,0.9,1.1,1.1000000053760493,1.0999966312073652,5.376049161398555e-09,0.0,5.376049161398555e-09
450,7.5,feeder2_1818,2,0.9,1.1,1.1000000052769479,1.1000011241370113,5.2769477676406495e-09,1.124137011254689e-06,1.124137011254689e-06
480,8.0,feeder2_1818,1,0.9,1.1,1.100000005340798,1.099995111539985,5.340797804009867e-09,0.0,5.340797804009867e-09
480,8.0,feeder2_1818,2,0.9,1.1,1.1000000053540606,1.0999993401796517,5.354060528262039e-09,0.0,5.354060528262039e-09
510,8.5,feeder2_1818,1,0.9,1.1,1.1000000047969078,1.100003833109298,4.796907759896385e-09,3.833109297968207e-06,3.833109297968207e-06
510,8.5,feeder2_1818,2,0.9,1.1,1.100000004939618,1.1000003312670739,4.939617825883147e-09,3.31267073772068e-07,3.31267073772068e-07
540,9.0,feeder2_1818,1,0.9,1.1,1.1000000049185354,1.1000001991220842,4.91853535677933e-09,1.9912208415462374e-07,1.9912208415462374e-07
570,9.5,feeder2_1818,1,0.9,1.1,1.10000000538328,1.0999988776721883,5.383279821913334e-09,0.0,5.383279821913334e-09
600,10.0,feeder2_1818,1,0.9,1.1,1.100000005419585,1.1000016527169698,5.419585002996996e-09,1.652716969724466e-06,1.652716969724466e-06
600,10.0,feeder2_1818,2,0.9,1.1,1.100000005350551,1.100000925919527,5.350550891236594e-09,9.259195268285225e-07,9.259195268285225e-07
660,11.0,feeder2_1818,3,0.9,1.1,1.1000000036400273,1.1000037009643084,3.6400271685721464e-09,3.7009643083507626e-06,3.7009643083507626e-06
750,12.5,feeder2_1818,2,0.9,1.1,1.1000000052650734,1.0999908168278232,5.265073266258469e-09,0.0,5.265073266258469e-09
750,12.5,feeder2_1818,3,0.9,1.1,1.100000005298141,1.0999997366146206,5.298140814957719e-09,0.0,5.298140814957719e-09
810,13.5,feeder2_1818,3,0.9,1.1,1.1000000054090489,1.099999274107157,5.4090487644486984e-09,0.0,5.4090487644486984e-09
840,14.0,feeder2_1818,3,0.9,1.1,1.100000005323715,1.1000046920517303,5.32371480232996e-09,4.69205173025955e-06,4.69205173025955e-06
870,14.5,feeder2_1818,3,0.9,1.1,1.100000005427036,1.1000022473694229,5.4270359317598604e-09,2.2473694227809204e-06,2.2473694227809204e-06
960,16.0,feeder2_1818,3,0.9,1.1,1.100000005379112,1.0999855971007346,5.379111822634286e-09,0.0,5.379111822634286e-09
990,16.5,feeder2_1818,2,0.9,1.1,1.100000004250903,1.1000055509941626,4.250902962965597e-09,5.550994162550893e-06,5.550994162550893e-06
1290,21.5,feeder2_1818,3,0.9,1.1,1.1000000044691807,1.099986323898177,4.469180581168075e-09,0.0,4.469180581168075e-09
1380,23.0,feeder2_1818,1,0.9,1.1,1.1000000053435077,1.1000011902095062,5.343507636368372e-09,1.190209506063411e-06,1.190209506063411e-06
1380,23.0,feeder2_1818,3,0.9,1.1,1.1000000052145062,1.0999910811178026,5.214506160200472e-09,0.0,5.214506160200472e-09
1410,23.5,feeder2_1818,2,0.9,1.1,1.100000005051303,1.099988966797969,5.051302931491364e-09,0.0,5.051302931491364e-09
