Time_sample,Time_h,BESS_P_ch_A_W,BESS_P_ch_B_W,BESS_P_ch_C_W,BESS_P_dis_A_W,BESS_P_dis_B_W,BESS_P_dis_C_W,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,BESS_Q_A_var,BESS_Q_B_var,BESS_Q_C_var,BESS_Q_total_var,BESS_SOC_pu
30,0.5,0.005610789973464132,0.005610789973464132,0.005610789973464132,24749.156926141808,24749.156926141808,24749.156926141808,24749.151315351835,24749.151315351835,24749.151315351835,74247.45394605551,-3216.3592383830996,-3216.3592383830996,-3216.3592383830996,-9649.077715149298,0.5000000000000099
60,1.0,0.0055722292208677,0.0055722292208677,0.0055722292208677,24920.392269491756,24920.392269491756,24920.392269491756,24920.386697262536,24920.386697262536,24920.386697262536,74761.1600917876,-2355.218584262517,-2355.218584262517,-2355.218584262517,-7065.655752787552,0.45875141269767333
90,1.5,0.005532932476183163,0.005532932476183163,0.005532932476183163,25097.35099263447,25097.35099263447,25097.35099263447,25097.345459701995,25097.345459701995,25097.345459701995,75292.036379106,-550.0996708828962,-550.0996708828962,-550.0996708828962,-1650.2990126486889,0.4172174331043569
120,2.0,0.005647614345380371,0.005647614345380371,0.005647614345380371,24587.814607418004,24587.814607418004,24587.814607418004,24587.80895980366,24587.80895980366,24587.80895980366,73763.42687941098,-4612.213945188365,-4612.213945188365,-4612.213945188365,-13836.641835565095,0.37538852225275826
150,2.5,0.005552847982196819,0.005552847982196819,0.005552847982196819,25007.355730015242,25007.355730015242,25007.355730015242,25007.35017716726,25007.35017716726,25007.35017716726,75022.05053150178,-2131.232459636883,-2131.232459636883,-2131.232459636883,-6393.697378910649,0.3344088388646698
180,3.0,0.0055509975988101345,0.0055509975988101345,0.0055509975988101345,25015.69013521163,25015.69013521163,25015.69013521163,25015.684584214032,25015.684584214032,25015.684584214032,75047.0537526421,-1819.1102803351557,-1819.1102803351557,-1819.1102803351557,-5457.330841005467,0.29272992014432253
210,3.5,0.005531656244971199,0.005531656244971199,0.005531656244971199,25103.140184563334,25103.140184563334,25103.140184563334,25103.134652907087,25103.134652907087,25103.134652907087,75309.40395872126,440.35205019371887,440.35205019371887,440.35205019371887,1321.0561505811565,0.25103711074618973
240,4.0,2.4091384381214707e-07,2.4091384381214707e-07,2.4091384381214707e-07,802.831030584568,802.831030584568,802.831030584568,802.8310303436541,802.8310303436541,802.8310303436541,2408.493091030962,-23202.126401532743,-23202.126401532743,-23202.126401532743,-69606.37920459823,0.20919855123965342
270,4.5,2.409327104390815e-07,2.409327104390815e-07,2.409327104390815e-07,3348.131496356754,3348.131496356754,3348.131496356754,3348.131496115821,3348.131496115821,3348.131496115821,10044.394488347463,-23049.911496780423,-23049.911496780423,-23049.911496780423,-69149.73449034127,0.20786049952233343
300,5.0,2.409596864329901e-07,2.409596864329901e-07,2.409596864329901e-07,7612.490547882783,7612.490547882783,7612.490547882783,7612.4905476418235,7612.4905476418235,7612.4905476418235,22837.47164292547,-22287.910979207227,-22287.910979207227,-22287.910979207227,-66863.73293762168,0.2022802803620641
330,5.5,3.2662294629968948e-06,3.2662294629968948e-06,3.2662294629968948e-06,3.1789906807478747e-06,3.1789906807478747e-06,3.1789906807478747e-06,-8.723878224902012e-08,-8.723878224902012e-08,-8.723878224902012e-08,-2.6171634674706037e-07,-22733.707446937686,-22733.707446937686,-22733.707446937686,-68201.12234081306,0.1895927961159163
360,6.0,3.2662292842427072e-06,3.2662292842427072e-06,3.2662292842427072e-06,3.178990501986301e-06,3.178990501986301e-06,3.178990501986301e-06,-8.723878225640625e-08,-8.723878225640625e-08,-8.723878225640625e-08,-2.6171634676921875e-07,-21280.40910924738,-21280.40910924738,-21280.40910924738,-63841.227327742134,0.18959279611502738
390,6.5,3.2662298587563427e-06,3.2662298587563427e-06,3.2662298587563427e-06,3.1789910817913174e-06,3.1789910817913174e-06,3.1789910817913174e-06,-8.723877696502531e-08,-8.723877696502531e-08,-8.723877696502531e-08,-2.6171633089507593e-07,-10414.911572356506,-10414.911572356506,-10414.911572356506,-31244.73471706952,0.18959279611414254
420,7.0,2670.40605825653,2670.40605825653,2670.40605825653,0.052008793219553484,0.052008793219553484,0.052008793219553484,-2670.3540494633103,-2670.3540494633103,-2670.3540494633103,-8011.06214838993,-5492.574284492829,-5492.574284492829,-5492.574284492829,-16477.722853478488,0.18959279611325364
450,7.5,22201.033323575233,22201.033323575233,22201.033323575233,0.0062543196201438975,0.0062543196201438975,0.0062543196201438975,-22201.02706925561,-22201.02706925561,-22201.02706925561,-66603.08120776684,-4713.565073046899,-4713.565073046899,-4713.565073046899,-14140.695219140696,0.19319775761058058
480,8.0,21323.270531439874,21323.270531439874,21323.270531439874,0.0065118467106945,0.0065118467106945,0.0065118467106945,-21323.264019593164,-21323.264019593164,-21323.264019593164,-63969.792058779494,-2285.1002710180883,-2285.1002710180883,-2285.1002710180883,-6855.300813054265,0.2231691421735411
510,8.5,27614.798629625555,27614.798629625555,27614.798629625555,0.00502784019858354,0.00502784019858354,0.00502784019858354,-27614.793601785357,-27614.793601785357,-27614.793601785357,-82844.38080535608,-318.26274918862896,-318.26274918862896,-318.26274918862896,-954.7882475658869,0.25195554653791824
540,9.0,32514.125322848424,32514.125322848424,32514.125322848424,0.004269949670550007,0.004269949670550007,0.004269949670550007,-32514.121052898754,-32514.121052898754,-32514.121052898754,-97542.36315869626,-553.904714682548,-553.904714682548,-553.904714682548,-1661.7141440476441,0.28923551630817906
570,9.5,37545.64549859033,37545.64549859033,37545.64549859033,0.003697466978074263,0.003697466978074263,0.003697466978074263,-37545.641801123355,-37545.641801123355,-37545.641801123355,-112636.92540337006,-5441.920326044548,-5441.920326044548,-5441.920326044548,-16325.760978133645,0.3331295783774682
600,10.0,16461.823057356272,16461.823057356272,16461.823057356272,0.008435402382002622,0.008435402382002622,0.008435402382002622,-16461.81462195389,-16461.81462195389,-16461.81462195389,-49385.44386586167,-7148.131615945974,-7148.131615945974,-7148.131615945974,-21444.39484783792,0.3838161936381202
630,10.5,51573.5582857941,51573.5582857941,51573.5582857941,0.0026911713720412698,0.0026911713720412698,0.0026911713720412698,-51573.555594622725,-51573.555594622725,-51573.555594622725,-154720.66678386816,443.5551978949251,443.5551978949251,443.5551978949251,1330.665593684775,0.4060396407066059
660,11.0,53863.03144903596,53863.03144903596,53863.03144903596,0.0025766826755243824,0.0025766826755243824,0.0025766826755243824,-53863.02887235329,-53863.02887235329,-53863.02887235329,-161589.08661705986,438.8557936433066,438.8557936433066,438.8557936433066,1316.5673809299196,0.4756639399071424
