Time_sample,Time_h,PV_architecture,PV_available_P_W,PV_command_P_W,PV_Q_command_var,PV_curtailment_W,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,CentralSolar_P_curtailment_W
30,0.5,central,0.0,1.3659519606942468e-16,1.0224101085166146e-05,0.0,0.0,1.3659519606942468e-16,1.0224101085166146e-05,0.0
60,1.0,central,0.0,1.3651229317581902e-16,-4.339786235604522e-06,0.0,0.0,1.3651229317581902e-16,-4.339786235604522e-06,0.0
90,1.5,central,0.0,1.364329971692055e-16,1.3996289365386747e-05,0.0,0.0,1.364329971692055e-16,1.3996289365386747e-05,0.0
120,2.0,central,0.0,1.366751231832584e-16,2.9843675781885738e-06,0.0,0.0,1.366751231832584e-16,2.9843675781885738e-06,0.0
150,2.5,central,0.0,1.3647678669198288e-16,-8.970415159049137e-06,0.0,0.0,1.3647678669198288e-16,-8.970415159049137e-06,0.0
180,3.0,central,0.0,1.3650617593880056e-16,-7.890850037339976e-06,0.0,0.0,1.3650617593880056e-16,-7.890850037339976e-06,0.0
210,3.5,central,0.0,1.3642765425815028e-16,8.194625854436848e-06,0.0,0.0,1.3642765425815028e-16,8.194625854436848e-06,0.0
240,4.0,central,802.8310228511782,9.164023496547287e-08,-2.4113526591954264e-06,802.831022759538,802.8310228511782,9.164023496547287e-08,-2.4113526591954264e-06,802.831022759538
270,4.5,central,3348.13146317036,9.164023412599334e-08,-2.324725560178182e-06,3348.1314630787197,3348.13146317036,9.164023412599334e-08,-2.324725560178182e-06,3348.1314630787197
300,5.0,central,7612.490472052799,9.1640233808223e-08,-2.2856101562652846e-06,7612.490471961159,7612.490472052799,9.1640233808223e-08,-2.2856101562652846e-06,7612.490471961159
330,5.5,central,16214.672980009611,16214.673076186533,-2.416898343254371e-06,0.0,16214.672980009611,16214.673076186533,-2.416898343254371e-06,0.0
360,6.0,central,32040.626329922346,32040.62642609927,-2.206078636357773e-06,0.0,32040.626329922346,32040.62642609927,-2.206078636357773e-06,0.0
390,6.5,central,67541.17105030791,67541.17114648485,-2.832542207391157e-07,0.0,67541.17105030791,67541.17114648485,-2.832542207391157e-07,0.0
420,7.0,central,81235.98201122369,81235.93009921937,6.053570526043622e-06,0.051912004317273386,81235.98201122369,81235.93009921937,6.053570526043622e-06,0.051912004317273386
450,7.5,central,139783.09169335256,139783.08553590375,5.934492799648718e-06,0.006157448806334287,139783.09169335256,139783.08553590375,5.934492799648718e-06,0.006157448806334287
480,8.0,central,137806.99617541744,137806.9897604355,-7.472304821369113e-06,0.006414981937268749,137806.99617541744,137806.9897604355,-7.472304821369113e-06,0.006414981937268749
510,8.5,central,157786.37576376746,157786.37083283492,7.814074138162708e-06,0.00493093254044652,157786.37576376746,157786.37083283492,7.814074138162708e-06,0.00493093254044652
540,9.0,central,172443.48122961321,172443.47705659666,1.3063903914548904e-05,0.004173016553977504,172443.48122961321,172443.47705659666,1.3063903914548904e-05,0.004173016553977504
570,9.5,central,185006.28302110874,185006.27942058584,2.0682440392380986e-06,0.003600522904889658,185006.28302110874,185006.27942058584,2.0682440392380986e-06,0.003600522904889658
600,10.0,central,119416.07162306807,119416.06328449988,-7.465789372531652e-06,0.008338568193721585,119416.07162306807,119416.06328449988,-7.465789372531652e-06,0.008338568193721585
630,10.5,central,229745.74207171457,229745.73947741455,0.0001230737439104658,0.0025943000218831003,229745.74207171457,229745.73947741455,0.0001230737439104658,0.0025943000218831003
660,11.0,central,235990.30875364214,235990.30627380524,-3.1837884992066664e-05,0.002479836897691712,235990.30875364214,235990.30627380524,-3.1837884992066664e-05,0.002479836897691712
690,11.5,central,232588.44417352724,232588.4416327416,-3.403399012480088e-06,0.0025407856446690857,232588.44417352724,232588.4416327416,-3.403399012480088e-06,0.0025407856446690857
720,12.0,central,137662.54700039705,137662.54042975954,-7.249055373477822e-05,0.006570637517143041,137662.54700039705,137662.54042975954,-7.249055373477822e-05,0.006570637517143041
750,12.5,central,86507.1933071255,86507.15907096746,9.854130959210602e-06,0.034236158040584996,86507.1933071255,86507.15907096746,9.854130959210602e-06,0.034236158040584996
780,13.0,central,63436.07803724001,63436.07813341693,2.6330186512469017e-06,0.0,63436.07803724001,63436.07813341693,2.6330186512469017e-06,0.0
810,13.5,central,220843.12489531777,220843.12221971096,-3.532353438217637e-07,0.002675606810953468,220843.12489531777,220843.12221971096,-3.532353438217637e-07,0.002675606810953468
840,14.0,central,219014.5041579911,219014.50141315485,-1.3085111904373328e-06,0.002744836237980053,219014.5041579911,219014.50141315485,-1.3085111904373328e-06,0.002744836237980053
870,14.5,central,209104.784648659,209104.7817784876,-7.379198643987827e-06,0.0028701713890768588,209104.784648659,209104.7817784876,-7.379198643987827e-06,0.0028701713890768588
900,15.0,central,169589.67598894524,169589.67168400157,-6.955146257931963e-05,0.0043049436644651,169589.67598894524,169589.67168400157,-6.955146257931963e-05,0.0043049436644651
930,15.5,central,108386.17806758464,108386.16561449166,1.7019884330107522e-05,0.012453092975192703,108386.17806758464,108386.16561449166,1.7019884330107522e-05,0.012453092975192703
960,16.0,central,167971.81180257935,167971.80758821187,-4.122270520231011e-06,0.004214367480017245,167971.81180257935,167971.80758821187,-4.122270520231011e-06,0.004214367480017245
990,16.5,central,124580.44620067778,124580.43806355524,7.838231588627861e-06,0.008137122538755648,124580.44620067778,124580.43806355524,7.838231588627861e-06,0.008137122538755648
1020,17.0,central,58867.659044205095,38595.31183625028,5.22053619228819e-05,20272.347207954816,58867.659044205095,38595.31183625028,5.22053619228819e-05,20272.347207954816
1050,17.5,central,21386.15526279812,9.16402326147125e-08,-3.78075657915828e-05,21386.155262706478,21386.15526279812,9.16402326147125e-08,-3.78075657915828e-05,21386.155262706478
1080,18.0,central,35726.29562474032,3556.894803213972,0.0001336258800696665,32169.40082152635,35726.29562474032,3556.894803213972,0.0001336258800696665,32169.40082152635
