Time_sample,Time_h,PV_architecture,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,NetCentral_P_injection_A_W,NetCentral_P_injection_B_W,NetCentral_P_injection_C_W,NetCentral_P_injection_total_W,BESS_SOC_pu
30,0.5,central,0.0,1.3659519606942468e-16,1.0224101085166146e-05,24749.151315351835,24749.151315351835,24749.151315351835,74247.45394605551,24749.151315351835,24749.151315351835,24749.151315351835,74247.45394605551,0.5000000000000099
60,1.0,central,0.0,1.3651229317581902e-16,-4.339786235604522e-06,24920.386697262536,24920.386697262536,24920.386697262536,74761.1600917876,24920.386697262536,24920.386697262536,24920.386697262536,74761.1600917876,0.45875141269767333
90,1.5,central,0.0,1.364329971692055e-16,1.3996289365386747e-05,25097.345459701995,25097.345459701995,25097.345459701995,75292.036379106,25097.345459701995,25097.345459701995,25097.345459701995,75292.036379106,0.4172174331043569
120,2.0,central,0.0,1.366751231832584e-16,2.9843675781885738e-06,24587.80895980366,24587.80895980366,24587.80895980366,73763.42687941098,24587.80895980366,24587.80895980366,24587.80895980366,73763.42687941098,0.37538852225275826
150,2.5,central,0.0,1.3647678669198288e-16,-8.970415159049137e-06,25007.35017716726,25007.35017716726,25007.35017716726,75022.05053150178,25007.35017716726,25007.35017716726,25007.35017716726,75022.05053150178,0.3344088388646698
180,3.0,central,0.0,1.3650617593880056e-16,-7.890850037339976e-06,25015.684584214032,25015.684584214032,25015.684584214032,75047.0537526421,25015.684584214032,25015.684584214032,25015.684584214032,75047.0537526421,0.29272992014432253
210,3.5,central,0.0,1.3642765425815028e-16,8.194625854436848e-06,25103.134652907087,25103.134652907087,25103.134652907087,75309.40395872126,25103.134652907087,25103.134652907087,25103.134652907087,75309.40395872126,0.25103711074618973
240,4.0,central,802.8310228511782,9.164023496547287e-08,-2.4113526591954264e-06,802.8310303436541,802.8310303436541,802.8310303436541,2408.493091030962,802.8310303742009,802.8310303742009,802.8310303742009,2408.4930911226024,0.20919855123965342
270,4.5,central,3348.13146317036,9.164023412599334e-08,-2.324725560178182e-06,3348.131496115821,3348.131496115821,3348.131496115821,10044.394488347463,3348.1314961463677,3348.1314961463677,3348.1314961463677,10044.394488439104,0.20786049952233343
300,5.0,central,7612.490472052799,9.1640233808223e-08,-2.2856101562652846e-06,7612.4905476418235,7612.4905476418235,7612.4905476418235,22837.47164292547,7612.490547672371,7612.490547672371,7612.490547672371,22837.47164301711,0.2022802803620641
330,5.5,central,16214.672980009611,16214.673076186533,-2.416898343254371e-06,-8.723878224902012e-08,-8.723878224902012e-08,-8.723878224902012e-08,-2.6171634674706037e-07,5404.891025308272,5404.891025308272,5404.891025308272,16214.673075924817,0.1895927961159163
360,6.0,central,32040.626329922346,32040.62642609927,-2.206078636357773e-06,-8.723878225640625e-08,-8.723878225640625e-08,-8.723878225640625e-08,-2.6171634676921875e-07,10680.208808612517,10680.208808612517,10680.208808612517,32040.626425837552,0.18959279611502738
390,6.5,central,67541.17105030791,67541.17114648485,-2.832542207391157e-07,-8.723877696502531e-08,-8.723877696502531e-08,-8.723877696502531e-08,-2.6171633089507593e-07,22513.723715407712,22513.723715407712,22513.723715407712,67541.17114622313,0.18959279611414254
420,7.0,central,81235.98201122369,81235.93009921937,6.053570526043622e-06,-2670.3540494633103,-2670.3540494633103,-2670.3540494633103,-8011.06214838993,24408.289316943148,24408.289316943148,24408.289316943148,73224.86795082944,0.18959279611325364
450,7.5,central,139783.09169335256,139783.08553590375,5.934492799648718e-06,-22201.02706925561,-22201.02706925561,-22201.02706925561,-66603.08120776684,24393.33477604564,24393.33477604564,24393.33477604564,73180.00432813691,0.19319775761058058
480,8.0,central,137806.99617541744,137806.9897604355,-7.472304821369113e-06,-21323.264019593164,-21323.264019593164,-21323.264019593164,-63969.792058779494,24612.39923388534,24612.39923388534,24612.39923388534,73837.19770165601,0.2231691421735411
510,8.5,central,157786.37576376746,157786.37083283492,7.814074138162708e-06,-27614.793601785357,-27614.793601785357,-27614.793601785357,-82844.38080535608,24980.663342492946,24980.663342492946,24980.663342492946,74941.99002747884,0.25195554653791824
540,9.0,central,172443.48122961321,172443.47705659666,1.3063903914548904e-05,-32514.121052898754,-32514.121052898754,-32514.121052898754,-97542.36315869626,24967.0379659668,24967.0379659668,24967.0379659668,74901.1138979004,0.28923551630817906
570,9.5,central,185006.28302110874,185006.27942058584,2.0682440392380986e-06,-37545.641801123355,-37545.641801123355,-37545.641801123355,-112636.92540337006,24123.118005738594,24123.118005738594,24123.118005738594,72369.35401721578,0.3331295783774682
600,10.0,central,119416.07162306807,119416.06328449988,-7.465789372531652e-06,-16461.81462195389,-16461.81462195389,-16461.81462195389,-49385.44386586167,23343.539806212735,23343.539806212735,23343.539806212735,70030.6194186382,0.3838161936381202
630,10.5,central,229745.74207171457,229745.73947741455,0.0001230737439104658,-51573.555594622725,-51573.555594622725,-51573.555594622725,-154720.66678386816,25008.357564515463,25008.357564515463,25008.357564515463,75025.07269354639,0.4060396407066059
660,11.0,central,235990.30875364214,235990.30627380524,-3.1837884992066664e-05,-53863.02887235329,-53863.02887235329,-53863.02887235329,-161589.08661705986,24800.40655224846,24800.40655224846,24800.40655224846,74401.21965674538,0.4756639399071424
690,11.5,central,232588.44417352724,232588.4416327416,-3.403399012480088e-06,-52619.21553135961,-52619.21553135961,-52619.21553135961,-157857.64659407883,24910.26501288759,24910.26501288759,24910.26501288759,74730.79503866276,0.5483790280689901
720,12.0,central,137662.54700039705,137662.54042975954,-7.249055373477822e-05,-20825.601854020555,-20825.601854020555,-20825.601854020555,-62476.805562061665,25061.91162256596,25061.91162256596,25061.91162256596,75185.73486769787,0.6194149682010711
750,12.5,central,86507.1933071255,86507.15907096746,9.854130959210602e-06,-4045.1290302768143,-4045.1290302768143,-4045.1290302768143,-12135.387090830443,24790.590660045673,24790.590660045673,24790.590660045673,74371.77198013703,0.6475295285926103
780,13.0,central,63436.07803724001,63436.07813341693,2.6330186512469017e-06,-8.723878057898286e-08,-8.723878057898286e-08,-8.723878057898286e-08,-2.617163417369486e-07,21145.359377718403,21145.359377718403,21145.359377718403,63436.07813315521,0.6529904419113837
810,13.5,central,220843.12489531777,220843.12221971096,-3.532353438217637e-07,-50062.07197126998,-50062.07197126998,-50062.07197126998,-150186.21591380995,23552.302101967012,23552.302101967012,23552.302101967012,70656.90630590101,0.6529904419104671
840,14.0,central,219014.5041579911,219014.50141315485,-1.3085111904373328e-06,-48843.25826201824,-48843.25826201824,-48843.25826201824,-146529.7747860547,24161.575542366714,24161.575542366714,24161.575542366714,72484.72662710014,0.7205742381937252
870,14.5,central,209104.784648659,209104.7817784876,-7.379198643987827e-06,-46781.32391149258,-46781.32391149258,-46781.32391149258,-140343.97173447773,22920.27001466995,22920.27001466995,22920.27001466995,68760.81004400988,0.7865126359474972
900,15.0,central,169589.67598894524,169589.67168400157,-6.955146257931963e-05,-31540.10129333025,-31540.10129333025,-31540.10129333025,-94620.30387999075,24989.789268003606,24989.789268003606,24989.789268003606,74969.36780401082,0.8496674222884354
930,15.5,central,108386.17806758464,108386.16561449166,1.7019884330107522e-05,-11065.494898129173,-11065.494898129173,-11065.494898129173,-33196.484694387516,25063.226973368044,25063.226973368044,25063.226973368044,75189.68092010415,0.8922465576404969
960,16.0,central,167971.81180257935,167971.80758821187,-4.122270520231011e-06,-32202.41551732192,-32202.41551732192,-32202.41551732192,-96607.24655196576,23788.18701208204,23788.18701208204,23788.18701208204,71364.56103624612,0.9071849717788358
990,16.5,central,124580.44620067778,124580.43806355524,7.838231588627861e-06,-16864.47049047616,-16864.47049047616,-16864.47049047616,-50593.41147142848,24662.342197375583,24662.342197375583,24662.342197375583,73987.02659212676,0.9506582313619794
1020,17.0,central,58867.659044205095,38595.31183625028,5.22053619228819e-05,11978.413413773334,11978.413413773334,11978.413413773334,35935.24024132,24843.517359190097,24843.517359190097,24843.517359190097,74530.55207757029,0.9734252639167018
1050,17.5,central,21386.15526279812,9.16402326147125e-08,-3.78075657915828e-05,21386.15536226217,21386.15536226217,21386.15536226217,64158.4660867865,21386.155362292717,21386.155362292717,21386.155362292717,64158.46608687814,0.953461237889026
1080,18.0,central,35726.29562474032,3556.894803213972,0.0001336258800696665,22902.149451005243,22902.149451005243,22902.149451005243,68706.44835301573,24087.781052076567,24087.781052076567,24087.781052076567,72263.3431562297,0.9178176456185126
1110,18.5,central,34880.48921037201,2268.1122761935426,-3.3292946924049025e-05,23976.900806680693,23976.900806680693,23976.900806680693,71930.70242004207,24732.93823207854,24732.93823207854,24732.93823207854,74198.81469623561,0.8796473946134397
1140,19.0,central,14676.355200650205,9.164023340228797e-08,1.419409037675158e-06,14676.355300114286,14676.355300114286,14676.355300114286,44029.06590034286,14676.355300144833,14676.355300144833,14676.355300144833,44029.0659004345,0.839685891434985
1170,19.5,central,6556.644238336597,9.164023401217795e-08,-3.2148709116086994e-06,6556.644303367165,6556.644303367165,6556.644303367165,19669.932910101496,6556.644303397712,6556.644303397712,6556.644303397712,19669.932910193136,0.8152252992680434
1200,20.0,central,1478.7101336823926,9.16402346793227e-08,6.028825872743393e-06,1478.7101479336543,1478.7101479336543,1478.7101479336543,4436.130443800963,1478.710147964201,1478.710147964201,1478.710147964201,4436.130443892604,0.8042975587623552
1230,20.5,central,513.8621598622417,9.164023565470866e-08,-9.113168678358355e-07,513.8621644650314,513.8621644650314,513.8621644650314,1541.586493395094,513.8621644955781,513.8621644955781,513.8621644955781,1541.5864934867343,0.8018330418490522
1260,21.0,central,0.0,1.3635547182925227e-16,0.00023508968996481788,25064.680945587483,25064.680945587483,25064.680945587483,75194.04283676244,25064.680945587483,25064.680945587483,25064.680945587483,75194.04283676244,0.800976604908201
1290,21.5,central,0.0,1.3658471244242655e-16,-8.495574581291149e-06,24772.57587407304,24772.57587407304,24772.57587407304,74317.72762221913,24772.57587407304,24772.57587407304,24772.57587407304,74317.72762221913,0.7592021349111702
1320,22.0,central,0.0,1.364214213930678e-16,2.0976771432541785e-06,25080.24585608934,25080.24585608934,25080.24585608934,75240.73756826801,25080.24585608934,25080.24585608934,25080.24585608934,75240.73756826801,0.717914506679312
1350,22.5,central,0.0,1.3624954837346912e-16,7.158121293785022e-06,25001.005459537384,25001.005459537384,25001.005459537384,75003.01637861216,25001.005459537384,25001.005459537384,25001.005459537384,75003.01637861216,0.6761140951659707
1380,23.0,central,0.0,1.3661805021742717e-16,-5.315241999478385e-06,24712.689090402266,24712.689090402266,24712.689090402266,74138.06727120679,24712.689090402266,24712.689090402266,24712.689090402266,74138.06727120679,0.6344457509745601
