Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction
One-stage weighted objective,240,4.0,0.8028310228511782,9.164023496547287e-11,0.802831022759538,0.20919855123965342,2.4091384381214704e-10,0.802831030584568,0.8028310303436541,-23.202126401532745,2.4091384381214704e-10,0.802831030584568,0.8028310303436541,-23.202126401532745,2.4091384381214704e-10,0.802831030584568,0.8028310303436541,-23.202126401532745,7.227415314364412e-10,2.408493091753704,2.4084930910309623,-69.60637920459823,0.401415511379769,0.9999999998858536
One-stage weighted objective,270,4.5,3.34813146317036,9.164023412599335e-11,3.34813146307872,0.20786049952233343,2.409327104390815e-10,3.348131496356754,3.348131496115821,-23.049911496780425,2.409327104390815e-10,3.348131496356754,3.348131496115821,-23.049911496780425,2.409327104390815e-10,3.348131496356754,3.348131496115821,-23.049911496780425,7.227981313172446e-10,10.044394489070262,10.044394488347463,-69.14973449034127,1.67406573153936,0.9999999999726294
One-stage weighted objective,300,5.0,7.6124904720528,9.1640233808223e-11,7.612490471961158,0.2022802803620641,2.4095968643299007e-10,7.612490547882783,7.612490547641824,-22.287910979207226,2.4095968643299007e-10,7.612490547882783,7.612490547641824,-22.287910979207226,2.4095968643299007e-10,7.612490547882783,7.612490547641824,-22.287910979207226,7.228790592989703e-10,22.83747164364835,22.83747164292547,-66.86373293762168,3.806245235980579,0.9999999999879617
One-stage weighted objective,1020,17.0,58.8676590442051,38.59531183625028,20.272347207954816,0.9734252639167018,1.1593848767229085e-05,11.978425007622102,11.978413413773335,0.44079170128860234,1.1593848767229085e-05,11.978425007622102,11.978413413773335,0.44079170128860234,1.1593848767229085e-05,11.978425007622102,11.978413413773335,0.44079170128860234,3.4781546301687255e-05,35.93527502286631,35.93524024132,1.322375103865807,10.136173603977408,0.344371553703738
One-stage weighted objective,1050,17.5,21.38615526279812,9.16402326147125e-11,21.386155262706477,0.953461237889026,2.4103116200787153e-10,21.3861553625032,21.38615536226217,-11.362735927448343,2.4103116200787153e-10,21.3861553625032,21.38615536226217,-11.362735927448343,2.4103116200787153e-10,21.3861553625032,21.38615536226217,-11.362735927448343,7.230934860236147e-10,64.1584660875096,64.1584660867865,-34.08820778234502,10.693077631353239,0.9999999999957149
One-stage weighted objective,1080,18.0,35.72629562474032,3.556894803213972,32.16940082152635,0.9178176456185126,6.063372657514824e-06,22.9021555143779,22.902149451005243,-5.187797030505568,6.063372657514824e-06,22.9021555143779,22.902149451005243,-5.187797030505568,6.063372657514824e-06,22.9021555143779,22.902149451005243,-5.187797030505568,1.819011797254447e-05,68.7064665431337,68.70644835301573,-15.563391091516703,16.084700410763176,0.9004404251542153
One-stage weighted objective,1110,18.5,34.88048921037201,2.2681122761935426,32.61237693417847,0.8796473946134397,5.791537335075453e-06,23.97690659821803,23.976900806680693,0.4425176308786747,5.791537335075453e-06,23.97690659821803,23.976900806680693,0.4425176308786747,5.791537335075453e-06,23.97690659821803,23.976900806680693,0.4425176308786747,1.737461200522636e-05,71.93071979465408,71.93070242004207,1.327552892636024,16.306188467089235,0.9349747573058953
One-stage weighted objective,1140,19.0,14.676355200650205,9.164023340228796e-11,14.676355200558564,0.839685891434985,2.4099874202162623e-10,14.676355300355285,14.676355300114286,-18.91410467785609,2.4099874202162623e-10,14.676355300355285,14.676355300114286,-18.91410467785609,2.4099874202162623e-10,14.676355300355285,14.676355300114286,-18.91410467785609,7.229962260648786e-10,44.029065901065856,44.02906590034286,-56.74231403356828,7.338177600279282,0.9999999999937559
One-stage weighted objective,1170,19.5,6.556644238336596,9.164023401217795e-11,6.556644238244956,0.8152252992680434,2.4095338470136465e-10,6.556644303608119,6.556644303367165,-22.381433631162146,2.4095338470136465e-10,6.556644303608119,6.556644303367165,-22.381433631162146,2.4095338470136465e-10,6.556644303608119,6.556644303367165,-22.381433631162146,7.22860154104094e-10,19.669932910824354,19.669932910101494,-67.14430089348643,3.278322119122478,0.9999999999860233
One-stage weighted objective,1200,20.0,1.4787101336823925,9.16402346793227e-11,1.4787101335907524,0.8042975587623552,2.4091910429882513e-10,1.4787101481745732,1.4787101479336544,-22.481695366876792,2.4091910429882513e-10,1.4787101481745732,1.4787101479336544,-22.481695366876792,2.4091910429882513e-10,1.4787101481745732,1.4787101479336544,-22.481695366876792,7.227573128964754e-10,4.43613044452372,4.4361304438009626,-67.44508610063038,0.7393550667953762,0.999999999938027
One-stage weighted objective,1230,20.5,0.5138621598622417,9.164023565470867e-11,0.5138621597706015,0.8018330418490522,2.4091151050294205e-10,0.5138621647059428,0.5138621644650313,-22.693988325815752,2.4091151050294205e-10,0.5138621647059428,0.5138621644650313,-22.693988325815752,2.4091151050294205e-10,0.5138621647059428,0.5138621644650313,-22.693988325815752,7.227345315088261e-10,1.5415864941178286,1.541586493395094,-68.08196497744726,0.25693107988530073,0.9999999998216638
