Time_sample,Time_h,Feeder_line,DSS_P_A_kW_raw,DSS_P_B_kW_raw,DSS_P_C_kW_raw,DSS_Q_A_kvar_raw,DSS_Q_B_kvar_raw,DSS_Q_C_kvar_raw,DSS_I_A_A,DSS_I_B_A,DSS_I_C_A,DSS_P_total_kW_raw,DSS_Q_total_kvar_raw,Feeder_P_A_kW_import_positive,Feeder_Q_A_kvar_import_positive,Feeder_P_B_kW_import_positive,Feeder_Q_B_kvar_import_positive,Feeder_P_C_kW_import_positive,Feeder_Q_C_kvar_import_positive,Feeder_P_total_kW_import_positive,Feeder_Q_total_kvar_import_positive,Feeder_import_kW,Feeder_export_kW
30,0.5,feeder2_line1,-16.661666870117188,-20.83793067932129,-18.04794692993164,4.962344646453857,6.096659183502197,6.275242805480957,70.03427124023438,87.46452331542969,76.9854736328125,-55.54754447937012,17.33424663543701,-16.661666870117188,4.962344646453857,-20.83793067932129,6.096659183502197,-18.04794692993164,6.275242805480957,-55.54754447937012,17.33424663543701,0.0,55.54754447937012
60,1.0,feeder2_line1,-19.316036224365234,-21.141355514526367,-20.06942367553711,4.298512935638428,5.498762607574463,3.485546350479126,79.70148468017578,87.99270629882812,82.0307388305664,-60.52681541442871,13.282821893692017,-19.316036224365234,4.298512935638428,-21.141355514526367,5.498762607574463,-20.06942367553711,3.485546350479126,-60.52681541442871,13.282821893692017,0.0,60.52681541442871
90,1.5,feeder2_line1,-19.563108444213867,-21.087648391723633,-21.845870971679688,2.4906938076019287,4.049250602722168,2.730189323425293,79.40780639648438,86.47665405273438,88.64351654052734,-62.49662780761719,9.27013373374939,-19.563108444213867,2.4906938076019287,-21.087648391723633,4.049250602722168,-21.845870971679688,2.730189323425293,-62.49662780761719,9.27013373374939,0.0,62.49662780761719
120,2.0,feeder2_line1,-18.853530883789062,-21.63890838623047,-19.800891876220703,6.967257976531982,6.396661758422852,9.030033111572266,80.98777770996094,90.9024429321289,87.7120590209961,-60.293331146240234,22.3939528465271,-18.853530883789062,6.967257976531982,-21.63890838623047,6.396661758422852,-19.800891876220703,9.030033111572266,-60.293331146240234,22.3939528465271,0.0,60.293331146240234
150,2.5,feeder2_line1,-19.548877716064453,-21.98594856262207,-21.628896713256836,4.017047882080078,4.103065013885498,4.505820274353027,80.3773193359375,90.0692367553711,88.97911834716797,-63.16372299194336,12.625933170318604,-19.548877716064453,4.017047882080078,-21.98594856262207,4.103065013885498,-21.628896713256836,4.505820274353027,-63.16372299194336,12.625933170318604,0.0,63.16372299194336
180,3.0,feeder2_line1,-19.42783546447754,-21.072036743164062,-22.108150482177734,3.838876247406006,5.206681728363037,3.476259708404541,79.75593566894531,87.42932891845703,90.11795806884766,-62.608022689819336,12.521817684173584,-19.42783546447754,3.838876247406006,-21.072036743164062,5.206681728363037,-22.108150482177734,3.476259708404541,-62.608022689819336,12.521817684173584,0.0,62.608022689819336
210,3.5,feeder2_line1,-19.209583282470703,-20.536901473999023,-20.484615325927734,2.014700174331665,3.8212931156158447,3.7543725967407227,77.76831817626953,84.12564086914062,83.86897277832031,-60.23110008239746,9.590365886688232,-19.209583282470703,2.014700174331665,-20.536901473999023,3.8212931156158447,-20.484615325927734,3.7543725967407227,-60.23110008239746,9.590365886688232,0.0,60.23110008239746
240,4.0,feeder2_line1,4.193271160125732,3.112938404083252,3.1835358142852783,24.502492904663086,26.322175979614258,26.32421875,100.5089340209961,107.192138671875,107.23456573486328,10.489745378494263,77.14888763427734,4.193271160125732,24.502492904663086,3.112938404083252,26.322175979614258,3.1835358142852783,26.32421875,10.489745378494263,77.14888763427734,10.489745378494263,0.0
270,4.5,feeder2_line1,2.4893243312835693,0.27954643964767456,-1.0995570421218872,25.39544105529785,25.895885467529297,23.800182342529297,103.17811584472656,104.714599609375,96.30242919921875,1.6693137288093567,75.09150886535645,2.4893243312835693,25.39544105529785,0.27954643964767456,25.895885467529297,-1.0995570421218872,23.800182342529297,1.6693137288093567,75.09150886535645,1.6693137288093567,0.0
300,5.0,feeder2_line1,-1.6069021224975586,-4.335446834564209,-3.9968016147613525,24.96504020690918,24.638214111328125,24.860986709594727,101.13243865966797,101.11734008789062,101.78271484375,-9.93915057182312,74.46424102783203,-1.6069021224975586,24.96504020690918,-4.335446834564209,24.638214111328125,-3.9968016147613525,24.860986709594727,-9.93915057182312,74.46424102783203,0.0,9.93915057182312
330,5.5,feeder2_line1,0.3467862606048584,-1.3258854150772095,-1.3412243127822876,25.0526123046875,26.154464721679688,25.94231414794922,101.29609680175781,105.88748931884766,105.03062438964844,-2.3203234672546387,77.1493911743164,0.3467862606048584,25.0526123046875,-1.3258854150772095,26.154464721679688,-1.3412243127822876,25.94231414794922,-2.3203234672546387,77.1493911743164,0.0,2.3203234672546387
360,6.0,feeder2_line1,-7.979968070983887,-6.610286712646484,-3.3625693321228027,22.97610855102539,24.631755828857422,23.50127410888672,98.27337646484375,103.07513427734375,95.94661712646484,-17.952824115753174,71.10913848876953,-7.979968070983887,22.97610855102539,-6.610286712646484,24.631755828857422,-3.3625693321228027,23.50127410888672,-17.952824115753174,71.10913848876953,0.0,17.952824115753174
390,6.5,feeder2_line1,-14.553943634033203,-18.739768981933594,-19.239221572875977,12.762075424194336,13.510017395019531,12.8735933303833,78.07341003417969,93.17445373535156,93.35387420654297,-52.53293418884277,39.14568614959717,-14.553943634033203,12.762075424194336,-18.739768981933594,13.510017395019531,-19.239221572875977,12.8735933303833,-52.53293418884277,39.14568614959717,0.0,52.53293418884277
420,7.0,feeder2_line1,-16.05083465576172,-19.119489669799805,-21.376480102539062,7.787415981292725,8.290853500366211,6.8663330078125,71.89970397949219,83.98489379882812,90.45679473876953,-56.546804428100586,22.944602489471436,-16.05083465576172,7.787415981292725,-19.119489669799805,8.290853500366211,-21.376480102539062,6.8663330078125,-56.546804428100586,22.944602489471436,0.0,56.546804428100586
450,7.5,feeder2_line1,-19.952627182006836,-19.64604949951172,-12.841440200805664,6.359188556671143,7.8930840492248535,7.2100653648376465,84.3686752319336,85.31880187988281,59.35531234741211,-52.44011688232422,21.462337970733643,-19.952627182006836,6.359188556671143,-19.64604949951172,7.8930840492248535,-12.841440200805664,7.2100653648376465,-52.44011688232422,21.462337970733643,0.0,52.44011688232422
480,8.0,feeder2_line1,-15.490283966064453,-16.551315307617188,-6.838164806365967,4.167698860168457,5.528276443481445,6.506723880767822,64.6162109375,70.30311584472656,38.0477180480957,-38.87976408004761,16.202699184417725,-15.490283966064453,4.167698860168457,-16.551315307617188,5.528276443481445,-6.838164806365967,6.506723880767822,-38.87976408004761,16.202699184417725,0.0,38.87976408004761
510,8.5,feeder2_line1,-15.783747673034668,-18.387054443359375,-13.400416374206543,2.8502073287963867,3.024369478225708,2.8825466632843018,64.594482421875,75.04047393798828,55.20755386352539,-47.571218490600586,8.757123470306396,-15.783747673034668,2.8502073287963867,-18.387054443359375,3.024369478225708,-13.400416374206543,2.8825466632843018,-47.571218490600586,8.757123470306396,0.0,47.571218490600586
540,9.0,feeder2_line1,-12.347991943359375,-10.13808822631836,-12.361061096191406,3.314260244369507,3.955247402191162,4.187069892883301,51.499671936035156,43.84299850463867,52.57749557495117,-34.84714126586914,11.45657753944397,-12.347991943359375,3.314260244369507,-10.13808822631836,3.955247402191162,-12.361061096191406,4.187069892883301,-34.84714126586914,11.45657753944397,0.0,34.84714126586914
570,9.5,feeder2_line1,-12.94226360321045,-6.839582920074463,-7.782543182373047,8.061355590820312,11.486862182617188,7.741443634033203,61.460304260253906,53.9272575378418,44.25352096557617,-27.56438970565796,27.289661407470703,-12.94226360321045,8.061355590820312,-6.839582920074463,11.486862182617188,-7.782543182373047,7.741443634033203,-27.56438970565796,27.289661407470703,0.0,27.56438970565796
600,10.0,feeder2_line1,-12.19795036315918,-11.567177772521973,-1.2990248203277588,8.58728313446045,10.355743408203125,9.812007904052734,60.13620376586914,62.604957580566406,39.92330551147461,-25.06415295600891,28.75503444671631,-12.19795036315918,8.58728313446045,-11.567177772521973,10.355743408203125,-1.2990248203277588,9.812007904052734,-25.06415295600891,28.75503444671631,0.0,25.06415295600891
630,10.5,feeder2_line1,-6.935386657714844,-8.455509185791016,-10.032666206359863,1.4263702630996704,1.7022255659103394,1.216039776802063,28.519163131713867,34.73998260498047,40.69957733154297,-25.423562049865723,4.344635605812073,-6.935386657714844,1.4263702630996704,-8.455509185791016,1.7022255659103394,-10.032666206359863,1.216039776802063,-25.423562049865723,4.344635605812073,0.0,25.423562049865723
660,11.0,feeder2_line1,-0.2079591453075409,-6.175253391265869,-10.882444381713867,2.875044107437134,1.8137003183364868,2.1024250984191895,11.615800857543945,25.925621032714844,44.6408805847168,-17.265656918287277,6.79116952419281,-0.2079591453075409,2.875044107437134,-6.175253391265869,1.8137003183364868,-10.882444381713867,2.1024250984191895,-17.265656918287277,6.79116952419281,0.0,17.265656918287277
690,11.5,feeder2_line1,-12.155230522155762,-11.207375526428223,-14.855517387390137,1.3983290195465088,3.3587911128997803,2.540928840637207,49.27219009399414,47.13075256347656,60.696292877197266,-38.21812343597412,7.298048973083496,-12.155230522155762,1.3983290195465088,-11.207375526428223,3.3587911128997803,-14.855517387390137,2.540928840637207,-38.21812343597412,7.298048973083496,0.0,38.21812343597412
720,12.0,feeder2_line1,-15.05815315246582,-15.64777946472168,-17.464393615722656,2.4427788257598877,2.822234630584717,1.9918646812438965,61.434959411621094,64.03565216064453,70.77759552001953,-48.170326232910156,7.256878137588501,-15.05815315246582,2.4427788257598877,-15.64777946472168,2.822234630584717,-17.464393615722656,1.9918646812438965,-48.170326232910156,7.256878137588501,0.0,48.170326232910156
750,12.5,feeder2_line1,-10.46640682220459,-16.935487747192383,-18.27744483947754,3.783200979232788,4.324748992919922,5.962856292724609,44.8358268737793,70.40576934814453,77.4556655883789,-45.67933940887451,14.07080626487732,-10.46640682220459,3.783200979232788,-16.935487747192383,4.324748992919922,-18.27744483947754,5.962856292724609,-45.67933940887451,14.07080626487732,0.0,45.67933940887451
780,13.0,feeder2_line1,-5.1529645919799805,0.026587720960378647,-6.593201637268066,13.875688552856445,16.429533004760742,14.217382431030273,59.731197357177734,66.3385238647461,63.2424201965332,-11.719578508287668,44.52260398864746,-5.1529645919799805,13.875688552856445,0.026587720960378647,16.429533004760742,-6.593201637268066,14.217382431030273,-11.719578508287668,44.52260398864746,0.0,11.719578508287668
810,13.5,feeder2_line1,-11.083405494689941,-2.9823429584503174,-15.960613250732422,10.20532512664795,10.008061408996582,8.626545906066895,60.75267028808594,42.12158966064453,73.12813568115234,-30.02636170387268,28.839932441711426,-11.083405494689941,10.20532512664795,-2.9823429584503174,10.008061408996582,-15.960613250732422,8.626545906066895,-30.02636170387268,28.839932441711426,0.0,30.02636170387268
