Time_sample,Time_h,Load_P_A_kW,Load_P_B_kW,Load_P_C_kW,Load_P_total_kW,Load_Q_A_kvar,Load_Q_B_kvar,Load_Q_C_kvar,Load_Q_total_kvar
30,0.5,6.775,3.133,5.755999999999999,15.664000000000001,1.3203624500000002,2.17179278,2.3864911899999997,5.87864642
60,1.0,4.538,3.0629999999999997,3.909,11.51,1.4444559999999997,2.3670857400000003,0.7296619799999999,4.54120372
90,1.5,4.498000000000001,3.333,2.5469999999999993,10.378,1.3938188899999997,2.7087427300000004,1.59018929,5.692750910000001
120,2.0,4.798000000000001,2.2029999999999994,4.027,11.028,1.7734464,1.2787480299999998,3.4630957999999996,6.51529023
150,2.5,4.468000000000001,2.3129999999999993,2.657,9.438,1.3558571799999999,1.4179592799999996,1.7294051099999999,4.503221569999999
180,3.0,4.548,3.2630000000000003,2.1969999999999996,10.008,1.4571023099999996,2.62015163,1.1472826799999998,5.224536619999999
210,3.5,4.868,3.853,3.9170000000000003,12.638,1.8620523999999998,3.3667978400000007,3.32391756,8.552767800000002
240,4.0,4.058,3.1430000000000002,3.206999999999999,10.408,0.8369983300000005,2.4683074400000002,2.4254295900000002,5.730735360000001
270,4.5,4.788,2.912999999999999,1.5969999999999998,9.297999999999998,1.76081151,2.1772474400000004,0.38797067999999996,4.32602963
300,5.0,4.998000000000001,2.5929999999999995,2.8469999999999995,10.438,2.02657945,1.7722895399999996,1.9698467899999998,5.768715779999999
330,5.5,4.758,3.343,3.287,11.387999999999998,1.7228378799999997,2.7214017900000003,2.5266639100000003,6.97090358
360,6.0,2.032999999999999,3.2229999999999985,6.204999999999999,11.460999999999997,1.2546195199999999,2.60750964,1.60283769,5.46496685
390,6.5,6.723399999999999,3.063,2.5370000000000004,12.3234,1.7580780899999997,2.4050175800000004,1.8053175600000002,5.968413230000001
420,7.0,7.151199999999999,4.409,2.2399999999999998,13.800199999999998,1.7448873399999996,2.22639553,0.8505372599999999,4.821820129999999
450,7.5,3.5929999999999995,3.9229999999999996,10.046100000000001,17.5621,1.2181264699999999,2.3776554400000007,1.9474616999999996,5.54324361
480,8.0,7.721,6.8450000000000015,15.954499999999998,30.5205,1.48627195,2.4348291899999994,3.5644483700000005,7.48554951
510,8.5,7.788,5.53,10.0135,23.331500000000002,1.9793970899999997,1.9955409999999998,2.0200449700000007,5.99498306
540,9.0,10.878200000000001,12.886199999999999,11.283000000000003,35.0474,2.1380642200000004,2.72180039,3.0809576900000004,7.940822300000001
570,9.5,9.5751,15.5691,14.327000000000002,39.4712,2.03120614,5.034284850000001,1.87867859,8.94416958
600,10.0,9.564100000000002,10.1356,19.794999999999998,39.494699999999995,1.2171880200000003,2.38685818,2.1622807899999996,5.76632699
630,10.5,15.660100000000002,14.297600000000001,12.957999999999998,42.9157,1.47416019,1.68704544,1.2817941899999998,4.44299982
660,11.0,21.833000000000002,16.3095,11.908,50.0505,2.71261954,1.8769298799999998,2.0758886700000003,6.66543809
690,11.5,11.078,12.353499999999999,9.0,32.4315,1.374300808,3.1468982299999997,2.42635407,6.947553107999999
720,12.0,8.631,8.174999999999999,6.597,23.403,2.25127686,2.5673301900000003,1.8946114800000005,6.713218530000001
