Constraint,Body,Lower,Upper,Raw_violation,Relative_violation
"Idelta_im_con[feeder2_973,2,600]",3.7575679166850477,0.0,0.0,3.7575679166850477,1.0
"Idelta_im_con[feeder2_989,2,600]",-3.7069145096328717,0.0,0.0,3.7069145096328717,1.0
"Idelta_im_con[feeder2_973,2,1050]",-3.1208828727358195,0.0,0.0,3.1208828727358195,1.0
"Idelta_im_con[feeder2_989,2,1050]",3.0941756703017003,0.0,0.0,3.0941756703017003,1.0
"Idelta_im_con[feeder2_973,2,660]",2.059714511709899,0.0,0.0,2.059714511709899,1.0
"Idelta_im_con[feeder2_973,2,1320]",2.0413764718431366,0.0,0.0,2.0413764718431366,1.0
"Idelta_im_con[feeder2_989,2,1320]",-2.0173467946232018,0.0,0.0,2.0173467946232018,1.0
"Idelta_im_con[feeder2_989,2,660]",-1.9982652514009038,0.0,0.0,1.9982652514009038,1.0
"Idelta_im_con[feeder2_973,2,1230]",-1.8691954165842617,0.0,0.0,1.8691954165842617,1.0
"Idelta_im_con[feeder2_989,2,1230]",1.8446496700342543,0.0,0.0,1.8446496700342543,1.0
"Idelta_im_con[feeder2_973,2,960]",-1.7982850634653005,0.0,0.0,1.7982850634653005,1.0
"Idelta_im_con[feeder2_989,2,960]",1.794397235924062,0.0,0.0,1.794397235924062,1.0
"Idelta_im_con[feeder2_989,2,1020]",-1.7899711171887174,0.0,0.0,1.7899711171887174,1.0
"Idelta_im_con[feeder2_973,3,600]",-1.7815227624728323,0.0,0.0,1.7815227624728323,1.0
"Idelta_im_con[feeder2_973,2,1020]",1.7738036155351438,0.0,0.0,1.7738036155351438,1.0
"Idelta_im_con[feeder2_989,3,600]",1.767798363406919,0.0,0.0,1.767798363406919,1.0
"Idelta_im_con[feeder2_973,2,1110]",1.6963841780016082,0.0,0.0,1.6963841780016082,1.0
"Idelta_im_con[feeder2_989,2,1110]",-1.6794487470276267,0.0,0.0,1.6794487470276267,1.0
"Idelta_im_con[feeder2_973,2,930]",1.639105328831647,0.0,0.0,1.639105328831647,1.0
"Idelta_im_con[feeder2_989,1,990]",1.6236304237521684,0.0,0.0,1.6236304237521684,1.0
"Idelta_im_con[feeder2_973,1,990]",-1.6221125254960498,0.0,0.0,1.6221125254960498,1.0
"Idelta_im_con[feeder2_989,2,930]",-1.6133589211234627,0.0,0.0,1.6133589211234627,1.0
"Idelta_im_con[feeder2_973,2,1200]",-1.5889401141248527,0.0,0.0,1.5889401141248527,1.0
"Idelta_im_con[feeder2_989,2,1200]",1.5829682667539815,0.0,0.0,1.5829682667539815,1.0
"Idelta_im_con[feeder2_973,2,780]",1.561829235706682,0.0,0.0,1.561829235706682,1.0
"Idelta_im_con[feeder2_989,2,780]",-1.5601407742132816,0.0,0.0,1.5601407742132816,1.0
"Idelta_im_con[feeder2_973,2,1140]",1.5580950529038091,0.0,0.0,1.5580950529038091,1.0
"Idelta_im_con[feeder2_989,2,1140]",-1.5565160517919483,0.0,0.0,1.5565160517919483,1.0
"Idelta_re_con[feeder2_973,3,1350]",-1.5405046539381146,0.0,0.0,1.5405046539381146,1.0
"Idelta_re_con[feeder2_989,3,1350]",1.5122157031432835,0.0,0.0,1.5122157031432835,1.0
"Idelta_im_con[feeder2_973,1,30]",1.5101393113828294,0.0,0.0,1.5101393113828294,1.0
"Idelta_im_con[feeder2_973,2,1440]",-1.4967145607606653,0.0,0.0,1.4967145607606653,1.0
"Idelta_im_con[feeder2_989,2,1440]",1.4902628637168345,0.0,0.0,1.4902628637168345,1.0
"Idelta_im_con[feeder2_989,1,30]",-1.4871423775107793,0.0,0.0,1.4871423775107793,1.0
"Idelta_im_con[feeder2_989,2,1080]",-1.4347057683672944,0.0,0.0,1.4347057683672944,1.0
"Idelta_im_con[feeder2_973,2,1080]",1.4149234338037786,0.0,0.0,1.4149234338037786,1.0
"Idelta_im_con[feeder2_1236,2,630]",1.3943989736449112,0.0,0.0,1.3943989736449112,1.0
"Idelta_im_con[feeder2_973,2,30]",-1.3940762959436483,0.0,0.0,1.3940762959436483,1.0
"Idelta_im_con[feeder2_952,2,1410]",1.3873667569780537,0.0,0.0,1.3873667569780537,1.0
