Time_sample,Time_h,Feeder_line,OPF_P_sending_A_kW,OPF_P_sending_B_kW,OPF_P_sending_C_kW,OPF_source_flow_total_kW,OPF_feeder_import_kW,OPF_feeder_export_kW,OPF_feeder_export_energy_kWh,sign_convention,units
30,0.5,feeder2_line1,-16.662418942600436,-20.838286028128277,-18.04671746110678,-55.54742243183549,0.0,55.54742243183549,27.773711215917746,positive source flow = import; negative source flow = export,kW; energy column kWh
60,1.0,feeder2_line1,-19.315894311239298,-21.14040805299289,-20.070117673174977,-60.52642003740716,0.0,60.52642003740716,30.26321001870358,positive source flow = import; negative source flow = export,kW; energy column kWh
90,1.5,feeder2_line1,-19.562213598172022,-21.087694129370487,-21.846273311826568,-62.49618103936908,0.0,62.49618103936908,31.24809051968454,positive source flow = import; negative source flow = export,kW; energy column kWh
120,2.0,feeder2_line1,-18.85318894299603,-21.639967742672237,-19.799738544623764,-60.29289523029203,0.0,60.29289523029203,30.146447615146016,positive source flow = import; negative source flow = export,kW; energy column kWh
150,2.5,feeder2_line1,-19.547981373963136,-21.98932687348375,-21.625050571068623,-63.162358818515514,0.0,63.162358818515514,31.581179409257757,positive source flow = import; negative source flow = export,kW; energy column kWh
180,3.0,feeder2_line1,-19.426570627915464,-21.07601854205076,-22.105110320171278,-62.607699490137506,0.0,62.607699490137506,31.303849745068753,positive source flow = import; negative source flow = export,kW; energy column kWh
210,3.5,feeder2_line1,-19.207276475793474,-20.534824048656166,-20.488040007812007,-60.23014053226164,0.0,60.23014053226164,30.11507026613082,positive source flow = import; negative source flow = export,kW; energy column kWh
240,4.0,feeder2_line1,4.190923796061767,3.110550783116805,3.1823459036144373,10.48382048279301,10.48382048279301,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
270,4.5,feeder2_line1,2.488863684490023,0.27788847959292434,-1.09635583845298,1.6703963256299676,1.6703963256299676,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
300,5.0,feeder2_line1,-1.6070471191992384,-4.332371674457987,-3.997905088563596,-9.937323882220822,0.0,9.937323882220822,4.968661941110411,positive source flow = import; negative source flow = export,kW; energy column kWh
330,5.5,feeder2_line1,0.34746131262862034,-1.326302714715708,-1.3418330084208616,-2.3206744105079493,0.0,2.3206744105079493,1.1603372052539747,positive source flow = import; negative source flow = export,kW; energy column kWh
360,6.0,feeder2_line1,-7.981039441981073,-6.609608916789752,-3.3618437249235047,-17.95249208369433,0.0,17.95249208369433,8.976246041847165,positive source flow = import; negative source flow = export,kW; energy column kWh
390,6.5,feeder2_line1,-14.552243797242603,-18.741081468912526,-19.239454479099354,-52.53277974525449,0.0,52.53277974525449,26.266389872627244,positive source flow = import; negative source flow = export,kW; energy column kWh
420,7.0,feeder2_line1,-16.04911269181238,-19.120551923938272,-21.376630643239807,-56.546295258990455,0.0,56.546295258990455,28.273147629495227,positive source flow = import; negative source flow = export,kW; energy column kWh
450,7.5,feeder2_line1,-19.956104172294705,-19.643509258671845,-12.839930139108068,-52.43954357007462,0.0,52.43954357007462,26.21977178503731,positive source flow = import; negative source flow = export,kW; energy column kWh
480,8.0,feeder2_line1,-15.491085268293713,-16.551491793274828,-6.83673831559309,-38.879315377161625,0.0,38.879315377161625,19.439657688580812,positive source flow = import; negative source flow = export,kW; energy column kWh
510,8.5,feeder2_line1,-15.781828486513609,-18.387408101529548,-13.401628448106553,-47.57086503614971,0.0,47.57086503614971,23.785432518074856,positive source flow = import; negative source flow = export,kW; energy column kWh
540,9.0,feeder2_line1,-12.347423105917633,-10.136933194687753,-12.3622236017403,-34.84657990234568,0.0,34.84657990234568,17.42328995117284,positive source flow = import; negative source flow = export,kW; energy column kWh
570,9.5,feeder2_line1,-12.943077175577812,-6.837695273576638,-7.783088626342799,-27.56386107549725,0.0,27.56386107549725,13.781930537748625,positive source flow = import; negative source flow = export,kW; energy column kWh
600,10.0,feeder2_line1,-12.196981247935602,-11.567158751944488,-1.2997893496415394,-25.06392934952163,0.0,25.06392934952163,12.531964674760815,positive source flow = import; negative source flow = export,kW; energy column kWh
630,10.5,feeder2_line1,-6.9366800867987894,-8.454143456529211,-10.032371353313572,-25.423194896641572,0.0,25.423194896641572,12.711597448320786,positive source flow = import; negative source flow = export,kW; energy column kWh
660,11.0,feeder2_line1,-0.2040299629461856,-6.1752645303646565,-10.885567184551691,-17.264861677862534,0.0,17.264861677862534,8.632430838931267,positive source flow = import; negative source flow = export,kW; energy column kWh
690,11.5,feeder2_line1,-12.157228990354616,-11.205485798299451,-14.854941932025461,-38.21765672067953,0.0,38.21765672067953,19.108828360339764,positive source flow = import; negative source flow = export,kW; energy column kWh
720,12.0,feeder2_line1,-15.058490112482103,-15.648251928304704,-17.46317437609383,-48.16991641688064,0.0,48.16991641688064,24.08495820844032,positive source flow = import; negative source flow = export,kW; energy column kWh
750,12.5,feeder2_line1,-10.463655105004257,-16.938671845692625,-18.276505584723353,-45.678832535420234,0.0,45.678832535420234,22.839416267710117,positive source flow = import; negative source flow = export,kW; energy column kWh
780,13.0,feeder2_line1,-5.1532313027668994,0.031720360281866304,-6.596740353848982,-11.718251296334014,0.0,11.718251296334014,5.859125648167007,positive source flow = import; negative source flow = export,kW; energy column kWh
810,13.5,feeder2_line1,-11.082488528708707,-2.9805278074859434,-15.962745062970646,-30.025761399165297,0.0,30.025761399165297,15.012880699582649,positive source flow = import; negative source flow = export,kW; energy column kWh
840,14.0,feeder2_line1,-4.476298273970679,-7.001081164512438,-14.91793309583773,-26.395312534320844,0.0,26.395312534320844,13.197656267160422,positive source flow = import; negative source flow = export,kW; energy column kWh
870,14.5,feeder2_line1,-4.268045233682405,-8.246398776904973,-16.928091720667737,-29.442535731255116,0.0,29.442535731255116,14.721267865627558,positive source flow = import; negative source flow = export,kW; energy column kWh
900,15.0,feeder2_line1,-7.201319433196355,-9.91901056419321,-14.207839024695474,-31.32816902208504,0.0,31.32816902208504,15.66408451104252,positive source flow = import; negative source flow = export,kW; energy column kWh
930,15.5,feeder2_line1,-12.749205488366886,-16.011980326197737,-16.91386454346539,-45.67505035803001,0.0,45.67505035803001,22.837525179015007,positive source flow = import; negative source flow = export,kW; energy column kWh
960,16.0,feeder2_line1,-3.782596181983508,-1.979577822562615,-14.340710410478273,-20.1028844150244,0.0,20.1028844150244,10.0514422075122,positive source flow = import; negative source flow = export,kW; energy column kWh
990,16.5,feeder2_line1,-2.754594512298413,-12.411923749560245,-11.870693620635112,-27.03721188249377,0.0,27.03721188249377,13.518605941246886,positive source flow = import; negative source flow = export,kW; energy column kWh
1020,17.0,feeder2_line1,0.3892895040127034,-6.632688283426604,-0.36617903059088264,-6.609577810004783,0.0,6.609577810004783,3.3047889050023915,positive source flow = import; negative source flow = export,kW; energy column kWh
1050,17.5,feeder2_line1,5.217659100218986,4.078288108324913,-5.970455098134348,3.3254921104095523,3.3254921104095523,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1080,18.0,feeder2_line1,8.09268029646851,-11.080306655641682,-13.544074541634837,-16.53170090080801,0.0,16.53170090080801,8.265850450404004,positive source flow = import; negative source flow = export,kW; energy column kWh
1110,18.5,feeder2_line1,2.769398879191272,-1.2499112276761808,-6.309828062128905,-4.790340410613814,0.0,4.790340410613814,2.395170205306907,positive source flow = import; negative source flow = export,kW; energy column kWh
1140,19.0,feeder2_line1,2.112156272872291,3.949528772700456,5.366072741372718,11.427757786945465,11.427757786945465,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1170,19.5,feeder2_line1,10.783754910813895,3.5977240373538626,10.789820595852364,25.171299544020123,25.171299544020123,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1200,20.0,feeder2_line1,15.956134897564317,19.993132700050285,22.369799617827834,58.31906721544243,58.31906721544243,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1230,20.5,feeder2_line1,13.81505732958357,20.339593321322145,16.768402974271144,50.92305362517686,50.92305362517686,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1260,21.0,feeder2_line1,-11.568503625082139,-12.24941491278485,-13.123208604647566,-36.94112714251455,0.0,36.94112714251455,18.470563571257276,positive source flow = import; negative source flow = export,kW; energy column kWh
1290,21.5,feeder2_line1,-7.88459680986413,-4.38600884896447,-11.944199969606998,-24.2148056284356,0.0,24.2148056284356,12.1074028142178,positive source flow = import; negative source flow = export,kW; energy column kWh
1320,22.0,feeder2_line1,-7.820895454420651,-11.190135568925122,-12.075190985249604,-31.086222008595378,0.0,31.086222008595378,15.543111004297689,positive source flow = import; negative source flow = export,kW; energy column kWh
1350,22.5,feeder2_line1,-11.956731000363739,-12.228641559296749,-12.585047987543915,-36.7704205472044,0.0,36.7704205472044,18.3852102736022,positive source flow = import; negative source flow = export,kW; energy column kWh
1380,23.0,feeder2_line1,-14.330020635863685,-7.957597998999714,-11.96403507981145,-34.25165371467485,0.0,34.25165371467485,17.125826857337426,positive source flow = import; negative source flow = export,kW; energy column kWh
1410,23.5,feeder2_line1,-13.004090561676247,-17.48867973916621,-14.604042859671257,-45.09681316051371,0.0,45.09681316051371,22.548406580256856,positive source flow = import; negative source flow = export,kW; energy column kWh
1440,24.0,feeder2_line1,-13.64039781350019,-17.1317875596315,-13.416089632576805,-44.1882750057085,0.0,44.1882750057085,22.09413750285425,positive source flow = import; negative source flow = export,kW; energy column kWh
