Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction,Feeder_nominal_P_demand_kW,PV_surplus_interval,BESS_net_discharge_kW,Gate_violation
One-stage weighted objective,30,0.5,0.0,1.3659519606942468e-19,0.0,0.5000000000000099,5.610789973464132e-06,24.749156926141808,24.749151315351835,-3.2163592383830997,5.610789973464132e-06,24.749156926141808,24.749151315351835,-3.2163592383830997,5.610789973464132e-06,24.749156926141808,24.749151315351835,-3.2163592383830997,1.6832369920392394e-05,74.24747077842542,74.24745394605551,-9.649077715149298,0.0,,15.664,False,74.2474539460555,False
One-stage weighted objective,60,1.0,0.0,1.3651229317581902e-19,0.0,0.45875141269767333,5.5722292208677e-06,24.920392269491757,24.920386697262536,-2.3552185842625173,5.5722292208677e-06,24.920392269491757,24.920386697262536,-2.3552185842625173,5.5722292208677e-06,24.920392269491757,24.920386697262536,-2.3552185842625173,1.6716687662603097e-05,74.76117680847527,74.7611600917876,-7.065655752787552,0.0,,11.51,False,74.7611600917876,False
One-stage weighted objective,90,1.5,0.0,1.364329971692055e-19,0.0,0.4172174331043569,5.532932476183163e-06,25.09735099263447,25.097345459701994,-0.5500996708828962,5.532932476183163e-06,25.09735099263447,25.097345459701994,-0.5500996708828962,5.532932476183163e-06,25.09735099263447,25.097345459701994,-0.5500996708828962,1.659879742854949e-05,75.29205297790341,75.292036379106,-1.650299012648689,0.0,,10.378,False,75.29203637910598,False
One-stage weighted objective,120,2.0,0.0,1.366751231832584e-19,0.0,0.37538852225275826,5.647614345380371e-06,24.587814607418004,24.58780895980366,-4.612213945188365,5.647614345380371e-06,24.587814607418004,24.58780895980366,-4.612213945188365,5.647614345380371e-06,24.587814607418004,24.58780895980366,-4.612213945188365,1.694284303614111e-05,73.76344382225402,73.76342687941099,-13.836641835565095,0.0,,11.028,False,73.76342687941099,False
One-stage weighted objective,150,2.5,0.0,1.3647678669198288e-19,0.0,0.3344088388646698,5.552847982196819e-06,25.00735573001524,25.00735017716726,-2.131232459636883,5.552847982196819e-06,25.00735573001524,25.00735017716726,-2.131232459636883,5.552847982196819e-06,25.00735573001524,25.00735017716726,-2.131232459636883,1.6658543946590456e-05,75.02206719004572,75.02205053150178,-6.393697378910649,0.0,,9.438,False,75.02205053150178,False
One-stage weighted objective,180,3.0,0.0,1.3650617593880056e-19,0.0,0.29272992014432253,5.550997598810134e-06,25.015690135211628,25.015684584214032,-1.8191102803351558,5.550997598810134e-06,25.015690135211628,25.015684584214032,-1.8191102803351558,5.550997598810134e-06,25.015690135211628,25.015684584214032,-1.8191102803351558,1.6652992796430402e-05,75.0470704056349,75.0470537526421,-5.457330841005467,0.0,,10.008,False,75.0470537526421,False
One-stage weighted objective,210,3.5,0.0,1.3642765425815027e-19,0.0,0.25103711074618973,5.531656244971199e-06,25.103140184563333,25.103134652907087,0.44035205019371887,5.531656244971199e-06,25.103140184563333,25.103134652907087,0.44035205019371887,5.531656244971199e-06,25.103140184563333,25.103134652907087,0.44035205019371887,1.6594968734913597e-05,75.30942055369,75.30940395872126,1.3210561505811564,0.0,,12.638,False,75.30940395872126,False
One-stage weighted objective,240,4.0,0.8028310228511782,9.164023496547287e-11,0.802831022759538,0.20919855123965342,2.4091384381214704e-10,0.802831030584568,0.8028310303436541,-23.202126401532745,2.4091384381214704e-10,0.802831030584568,0.8028310303436541,-23.202126401532745,2.4091384381214704e-10,0.802831030584568,0.8028310303436541,-23.202126401532745,7.227415314364412e-10,2.408493091753704,2.4084930910309623,-69.60637920459823,0.401415511379769,0.9999999998858536,10.408,False,2.4084930910309628,False
One-stage weighted objective,270,4.5,3.34813146317036,9.164023412599335e-11,3.34813146307872,0.20786049952233343,2.409327104390815e-10,3.348131496356754,3.348131496115821,-23.049911496780425,2.409327104390815e-10,3.348131496356754,3.348131496115821,-23.049911496780425,2.409327104390815e-10,3.348131496356754,3.348131496115821,-23.049911496780425,7.227981313172446e-10,10.044394489070262,10.044394488347463,-69.14973449034127,1.67406573153936,0.9999999999726294,9.298,False,10.044394488347464,False
One-stage weighted objective,300,5.0,7.6124904720528,9.1640233808223e-11,7.612490471961158,0.2022802803620641,2.4095968643299007e-10,7.612490547882783,7.612490547641824,-22.287910979207226,2.4095968643299007e-10,7.612490547882783,7.612490547641824,-22.287910979207226,2.4095968643299007e-10,7.612490547882783,7.612490547641824,-22.287910979207226,7.228790592989703e-10,22.83747164364835,22.83747164292547,-66.86373293762168,3.806245235980579,0.9999999999879617,10.438,False,22.837471642925472,False
