Time_sample,Time_h,Bus,Phase,Low_limit_pu,High_limit_pu,OPF_V_pu,DSS_V_pu,OPF_violation_pu,DSS_violation_pu,Voltage_violation_pu
30,0.5,feeder2_1818,2,0.9,1.1,1.1000000054995736,1.099999274107157,5.49957346329677e-09,0.0,5.49957346329677e-09
60,1.0,feeder2_1818,1,0.9,1.1,1.1000000054994663,1.1000005294845583,5.499466215752591e-09,5.294845581982344e-07,5.294845581982344e-07
90,1.5,feeder2_1818,3,0.9,1.1,1.100000005498635,1.0999982830197352,5.4986348807517516e-09,0.0,5.4986348807517516e-09
120,2.0,feeder2_1818,2,0.9,1.1,1.1000000054996741,1.0999962347723964,5.499674049502801e-09,0.0,5.499674049502801e-09
150,2.5,feeder2_1818,2,0.9,1.1,1.1000000054994232,1.099988372145516,5.4994231390992354e-09,0.0,5.4994231390992354e-09
180,3.0,feeder2_1818,3,0.9,1.1,1.1000000054993577,1.100011629663684,5.4993576359407825e-09,1.1629663683843106e-05,1.1629663683843106e-05
210,3.5,feeder2_1818,2,0.9,1.1,1.1000000053415524,1.1000044938342461,5.341552311577402e-09,4.493834246055428e-06,4.493834246055428e-06
420,7.0,feeder2_1818,3,0.9,1.1,1.1000000054996446,1.1000000009045998,5.499644517570346e-09,9.045997284573559e-10,5.499644517570346e-09
450,7.5,feeder2_1818,1,0.9,1.1,1.1000000054996033,1.0999879096380523,5.49960321727383e-09,0.0,5.49960321727383e-09
480,8.0,feeder2_1818,2,0.9,1.1,1.1000000054993335,1.0999996705421258,5.499333433078846e-09,0.0,5.499333433078846e-09
510,8.5,feeder2_1818,2,0.9,1.1,1.100000005497813,1.0999972258598183,5.497812871624319e-09,0.0,5.497812871624319e-09
540,9.0,feeder2_1818,1,0.9,1.1,1.1000000054983121,1.1000021812969283,5.4983120278961906e-09,2.181296928194243e-06,2.181296928194243e-06
570,9.5,feeder2_1818,1,0.9,1.1,1.1000000054996455,1.099997688367282,5.499645405748765e-09,0.0,5.499645405748765e-09
600,10.0,feeder2_1818,1,0.9,1.1,1.1000000054997077,1.100003568819319,5.499707578238144e-09,3.568819318955363e-06,3.568819318955363e-06
750,12.5,feeder2_1818,3,0.9,1.1,1.100000005499189,1.1000047581242252,5.4991888820410395e-09,4.758124225068272e-06,4.758124225068272e-06
810,13.5,feeder2_1818,3,0.9,1.1,1.1000000054996923,1.099991279335287,5.4996922571604046e-09,0.0,5.4996922571604046e-09
840,14.0,feeder2_1818,3,0.9,1.1,1.100000005499649,1.099996763352355,5.499648958462444e-09,0.0,5.499648958462444e-09
870,14.5,feeder2_1818,3,0.9,1.1,1.100000005499755,1.0999998026871156,5.499754873738993e-09,0.0,5.499754873738993e-09
930,15.5,feeder2_1818,3,0.9,1.1,1.100000005494319,1.0999990758896725,5.494318999765824e-09,0.0,5.494318999765824e-09
960,16.0,feeder2_1818,3,0.9,1.1,1.100000005499674,1.0999853988832502,5.499673827458196e-09,0.0,5.499673827458196e-09
990,16.5,feeder2_1818,2,0.9,1.1,1.1000000054995724,1.1000027759493813,5.499572353073745e-09,2.7759493812506975e-06,2.7759493812506975e-06
1080,18.0,feeder2_1818,3,0.9,1.1,1.100000005499708,1.0999963008448912,5.499707800282749e-09,0.0,5.499707800282749e-09
1290,21.5,feeder2_1818,3,0.9,1.1,1.1000000054964552,1.099988636435495,5.4964550688652025e-09,0.0,5.4964550688652025e-09
1380,23.0,feeder2_1818,1,0.9,1.1,1.1000000054991534,1.1000038331092978,5.4991533549042515e-09,3.833109297746162e-06,3.833109297746162e-06
1410,23.5,feeder2_1818,2,0.9,1.1,1.1000000054991164,1.0999930632926465,5.499116273455229e-09,0.0,5.499116273455229e-09
