Time_sample,Time_h,BESS_P_ch_A_W,BESS_P_ch_B_W,BESS_P_ch_C_W,BESS_P_dis_A_W,BESS_P_dis_B_W,BESS_P_dis_C_W,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,BESS_Q_A_var,BESS_Q_B_var,BESS_Q_C_var,BESS_Q_total_var,BESS_SOC_pu
30,0.5,0.005441360332057073,0.005522679551126353,0.0055515819408382,25524.374703540314,25148.54281382778,25017.61708390019,25524.369262179982,25148.537291148226,25017.61153231825,75690.51808564646,-764.8194076462285,-205.63283193565783,1400.6659174891104,430.2136779072241,0.5000000000000006
60,1.0,0.005521697630571019,0.005527853572065058,0.005524764037414505,25153.01491480942,25125.00427283615,25139.054402739635,25153.00939311179,25124.99874498258,25139.048877975598,75417.05701606997,-1054.7226748655964,1107.0908918675636,137.55507007179452,189.9232870737617,0.45794971043132576
90,1.5,0.005518600128835589,0.005524104174483219,0.00552277272614333,25167.1327464462,25142.05726340345,25148.11853106372,25167.12722784607,25142.051739299277,25148.113008290995,75457.29197543634,622.2406217748787,447.45400883509046,-252.23972660185464,817.4549040081146,0.4160513436728892
120,2.0,0.005485683764064347,0.005525636669433186,0.00554150098120172,25318.144228968617,25135.084383777477,25063.127995545452,25318.138743284853,25135.07885814081,25063.12245404447,75516.34005547014,-742.8757910323902,-847.952714877417,2053.3090966236514,462.4805907138443,0.3741306241601798
150,2.5,0.00551736018193051,0.005529552915619896,0.005522658229209968,25172.788627996644,25117.282929015524,25148.639906342432,25172.78311063646,25117.277399462608,25148.634383684202,75438.69489378326,-334.1161726670107,-1270.2713216885088,193.39390315300076,-1410.9935912025187,0.3321771001598991
180,3.0,0.0055174956346865514,0.005522684676725978,0.005526355745621279,25172.170651340584,25148.51947249492,25131.81390333496,25172.16513384495,25148.513949810244,25131.808376979217,75452.48746063441,369.0349617925693,-208.467874708446,-939.9046516316326,-779.3375645475094,0.290266712358787
210,3.5,0.0055183300102962015,0.005523317629457286,0.00553296674027169,25168.36464434685,25145.637579064154,25101.78580075592,25168.35912601684,25145.632055746526,25101.780267789178,75415.77144955254,427.41902166716756,434.0517984790078,466.4198062209607,1327.890626367136,0.24834866202085562
240,4.0,4.339728958283013e-09,4.33972895415333e-09,4.339728966213041e-09,776.3181073406406,776.3181073406406,776.3181073406406,776.3181073363008,776.3181073363008,776.3181073363008,2328.9543220089026,-23336.890723588767,-23239.77783334449,-23175.202387712412,-69751.87094464568,0.20645100946600606
270,4.5,4.340438628794086e-09,4.3404386302040785e-09,4.340438599236554e-09,3319.8384374738803,3319.8384374738803,3319.8384374738803,3319.8384374695397,3319.8384374695397,3319.8384374695397,9959.51531240862,-22790.94255387186,-23220.089150073425,-23315.37775309281,-69326.4094570381,0.20515714595377738
300,5.0,4.34165157753547e-09,4.341651546467572e-09,4.341651552676191e-09,7588.239222472198,7588.239222472198,7588.239222472198,7588.239222467856,7588.239222467856,7588.239222467856,22764.71766740357,-22171.303454984885,-22526.554684631243,-22341.412783088916,-67039.27092270505,0.19962408189132677
330,5.5,2.5650820102221873e-08,2.565082110291009e-08,2.5650820613423197e-08,2.0996016819558524e-08,2.0995756598247353e-08,2.0995817312844376e-08,-4.654803282663349e-09,-4.655064504662738e-09,-4.655003300578822e-09,-1.3964871087904909e-08,-22678.32456526764,-22932.883411321218,-22785.86081328032,-68397.06878986918,0.18697701652054588
360,6.0,2.570219726830007e-08,2.5702192553939254e-08,2.57021906419411e-08,2.1057244406044156e-08,2.105555086224244e-08,2.1055294183204207e-08,-4.6449528622559135e-09,-4.646641691696816e-09,-4.646896458736893e-09,-1.3938491012689622e-08,-21629.13977998514,-20897.77112949926,-21279.081306095588,-63805.99221557999,0.1869770165205455
390,6.5,2.5777282342011255e-08,2.57773065033618e-08,2.577729395993517e-08,2.1139222767451e-08,2.1141118621084866e-08,2.114932545363113e-08,-4.638059574560256e-09,-4.636187882276935e-09,-4.627968506304041e-09,-1.3902215963141233e-08,-10395.322284315536,-10451.021645985156,-10362.947366377146,-31209.29129667784,0.18697701652054508
420,7.0,4.0274961053160396e-09,1945.0665235454335,1929.9496933701894,4.185578418728924e-08,2.7814763512984278e-08,2.7809970079167755e-08,3.78282880819732e-08,-1945.0665235176186,-1929.9496933423793,-3875.0162168221696,2693.788516253596,-890.8740734856235,183.15865410078135,1986.0730968687537,0.18697701652054463
450,7.5,21529.675264561163,21507.311119857546,21546.514497156568,1.6984394928472348e-08,1.698111069522086e-08,1.6981404852965773e-08,-21529.675264544177,-21507.311119840564,-21546.514497139586,-64583.50088152433,-2283.1449153130143,1769.46125802094,-238.29928747428733,-751.9829447663616,0.18872077381810437
480,8.0,20694.767740565858,20802.651470591245,21094.71733644448,1.698424814260169e-08,1.6981914878031645e-08,1.697264879445888e-08,-20694.767740548872,-20802.651470574263,-21094.717336427508,-62592.136547550646,-2111.6958440791564,907.0952769766989,682.6650452031549,-521.9355218993026,0.21778334921478493
510,8.5,27427.917275836553,27451.050749361817,27587.327286630865,1.7002646102931837e-08,1.6993513563479543e-08,1.7001216374992574e-08,-27427.91727581955,-27451.050749344824,-27587.327286613865,-82466.29531177823,-206.9016833333371,499.9652153447145,560.6136248538538,853.6771568652313,0.24594981066117746
540,9.0,32313.213251617537,32497.298462294846,32453.501682438084,1.7008677211550856e-08,1.7008682377932285e-08,1.7010702873031323e-08,-32313.21325160053,-32497.29846227784,-32453.501682421072,-97264.01339629944,145.4343473937946,864.0565066378603,64.86166829820264,1074.3525223298575,0.2830596435514723
570,9.5,36533.00429483645,36899.237360368745,36693.184490828884,1.701288381589977e-08,1.7004205216668183e-08,1.702049150576169e-08,-36533.00429481944,-36899.23736035174,-36693.184490811866,-110125.42614598304,-1282.2901352774295,2447.0728209020044,-1390.348677399409,-225.56599177483417,0.326828449579803
600,10.0,14958.645556722213,14785.052963583928,15081.972683006605,1.695123909131973e-08,1.695172748898579e-08,1.6950275144484334e-08,-14958.645556705262,-14785.052963566977,-15081.972682989654,-44825.671203261896,-4011.247443254933,2544.7171652049487,-625.7308402020055,-2092.2611182519895,0.37638489134549
630,10.5,51220.61247918392,51538.80754732325,51593.88198637802,1.7017151328831708e-08,1.7010337550596003e-08,1.701510835974301e-08,-51220.6124791669,-51538.80754730624,-51593.881986361004,-154353.30201283414,969.8890816828356,441.9248873077679,444.1551483130587,1855.9691173036622,0.39655644338695356
660,11.0,53789.07817578733,53863.6198090495,53516.622181170605,1.7016813901284464e-08,1.700573858539375e-08,1.7019285773923816e-08,-53789.07817577031,-53863.6198090325,-53516.62218115359,-161169.3201659564,561.8396183340163,325.440649206716,359.10018356468476,1246.380451105417,0.4660154292927235
690,11.5,52386.10837480685,52626.11346485453,52431.455944862144,1.7010442535625923e-08,1.7010667720023377e-08,1.7019106848682824e-08,-52386.10837478984,-52626.113464837515,-52431.455944845125,-157443.67778447247,441.6976992731601,443.9389264521621,450.41386287053393,1336.050488595856,0.5385416233673973
720,12.0,20727.64706994249,20827.57483278164,20815.221441773116,1.6971139180569718e-08,1.6984107772549746e-08,1.6982373058008644e-08,-20727.64706992552,-20827.574832764654,-20815.221441756134,-62370.44334444631,446.8568910344142,444.53231722588254,448.2680984077779,1339.6573066680746,0.6093912783704045
750,12.5,3889.312586414898,3730.1310672948825,3695.6795259547307,1.6894763995545094e-08,1.6890346294599302e-08,1.689083551598727e-08,-3889.312586398003,-3730.1310672779923,-3695.67952593784,-11315.123179613835,681.1647220829929,-1483.2594086504844,684.8484752881989,-117.24621127929265,0.6374579778754005
780,13.0,2.577112364777649e-08,2.5771124535415984e-08,2.577114269020359e-08,2.11369291119647e-08,2.113460420878923e-08,2.113719864003423e-08,-4.63419453581179e-09,-4.636520326626753e-09,-4.63394405016936e-09,-1.3904658912607903e-08,-11638.8024000233,-11932.52696353263,-12687.65190260118,-36258.98126615711,0.6425497833062214
810,13.5,48574.53255885387,48986.1806527082,48535.011597733246,1.701472214855491e-08,1.7010652399870385e-08,1.7014003413609345e-08,-48574.53255883686,-48986.18065269119,-48535.011597716235,-146095.72480924428,2964.1872504231465,-1842.7960233628319,-1875.2986020797305,-753.9073750194159,0.6425497833062213
840,14.0,44750.12972709728,48125.917724081526,47859.299603765015,1.7025242801581463e-08,1.701076793304755e-08,1.70013554638354e-08,-44750.12972708025,-48125.917724064515,-47859.29960374801,-140735.34705489277,2105.807776633251,-957.6077080585459,-439.63042882196646,708.5696397527383,0.7082928594703758
