Time_sample,Time_h,PV_architecture,PV_available_P_W,PV_command_P_W,PV_Q_command_var,PV_curtailment_W,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,CentralSolar_P_curtailment_W
30,0.5,central,0.0,6.717668086159135e-10,2.4034027328887204e-07,0.0,0.0,6.717668086159135e-10,2.4034027328887204e-07,0.0
60,1.0,central,0.0,6.717568411014025e-10,2.7329169228781706e-07,0.0,0.0,6.717568411014025e-10,2.7329169228781706e-07,0.0
90,1.5,central,0.0,6.717533691510003e-10,5.726805184258148e-07,0.0,0.0,6.717533691510003e-10,5.726805184258148e-07,0.0
120,2.0,central,0.0,6.71761166940503e-10,2.017420326449937e-07,0.0,0.0,6.71761166940503e-10,2.017420326449937e-07,0.0
150,2.5,central,0.0,6.717544843894617e-10,-3.325106317982751e-07,0.0,0.0,6.717544843894617e-10,-3.325106317982751e-07,0.0
180,3.0,central,0.0,6.71754748393225e-10,-6.764312432729961e-08,0.0,0.0,6.71754748393225e-10,-6.764312432729961e-08,0.0
210,3.5,central,0.0,6.717530187425415e-10,6.968309050648129e-07,0.0,0.0,6.717530187425415e-10,6.968309050648129e-07,0.0
240,4.0,central,802.8310228511782,26.5129235272251,6.132191183237337e-10,776.3180993239531,802.8310228511782,26.5129235272251,6.132191183237337e-10,776.3180993239531
270,4.5,central,3348.13146317036,28.29305916617157,3.876578555006725e-10,3319.8384040041883,3348.13146317036,28.29305916617157,3.876578555006725e-10,3319.8384040041883
300,5.0,central,7612.490472052799,24.251325693883146,-3.8465615040584976e-10,7588.2391463589165,7612.490472052799,24.251325693883146,-3.8465615040584976e-10,7588.2391463589165
330,5.5,central,16214.672980009611,16214.67307997554,6.505810798336882e-10,0.0,16214.672980009611,16214.67307997554,6.505810798336882e-10,0.0
360,6.0,central,32040.626329922346,32040.6264298882,2.5561616020981917e-11,0.0,32040.626329922346,32040.6264298882,2.5561616020981917e-11,0.0
390,6.5,central,67541.17105030791,67541.17115027366,-1.173481033686796e-09,0.0,67541.17105030791,67541.17115027366,-1.173481033686796e-09,0.0
420,7.0,central,81235.98201122369,81235.98211117249,5.051161866947132e-08,0.0,81235.98201122369,81235.98211117249,5.051161866947132e-08,0.0
450,7.5,central,139783.09169335256,139783.09179331685,-2.0683497440567489e-07,0.0,139783.09169335256,139783.09179331685,-2.0683497440567489e-07,0.0
480,8.0,central,137806.99617541744,137806.99627538174,-6.75744310355682e-07,0.0,137806.99617541744,137806.99627538174,-6.75744310355682e-07,0.0
510,8.5,central,157786.37576376746,157786.37586373172,1.7627698573154102e-08,0.0,157786.37576376746,157786.37586373172,1.7627698573154102e-08,0.0
540,9.0,central,172443.48122961321,172443.48132957745,7.730592135962972e-08,0.0,172443.48122961321,172443.48132957745,7.730592135962972e-08,0.0
570,9.5,central,185006.28302110874,185006.28312107295,-6.599721190410013e-08,0.0,185006.28302110874,185006.28312107295,-6.599721190410013e-08,0.0
600,10.0,central,119416.07162306807,119416.07172303241,-9.749046976530228e-09,0.0,119416.07162306807,119416.07172303241,-9.749046976530228e-09,0.0
630,10.5,central,229745.74207171457,229745.74217167875,9.444153203705662e-08,0.0,229745.74207171457,229745.74217167875,9.444153203705662e-08,0.0
660,11.0,central,235990.30875364214,235990.30885360632,2.7540246566773967e-07,0.0,235990.30875364214,235990.30885360632,2.7540246566773967e-07,0.0
690,11.5,central,232588.44417352724,232588.44427349142,2.7249864674896e-07,0.0,232588.44417352724,232588.44427349142,2.7249864674896e-07,0.0
720,12.0,central,137662.54700039705,137662.54710036135,2.575388034906285e-07,0.0,137662.54700039705,137662.54710036135,2.575388034906285e-07,0.0
750,12.5,central,86507.1933071255,86507.19340708993,-3.752683526726712e-07,0.0,86507.1933071255,86507.19340708993,-3.752683526726712e-07,0.0
780,13.0,central,63436.07803724001,63436.07813720576,-6.312312316537884e-10,0.0,63436.07803724001,63436.07813720576,-6.312312316537884e-10,0.0
810,13.5,central,220843.12489531777,220843.12499528195,1.870124403461776e-07,0.0,220843.12489531777,220843.12499528195,1.870124403461776e-07,0.0
