Time_sample,Time_h,PV_architecture,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,NetCentral_P_injection_A_W,NetCentral_P_injection_B_W,NetCentral_P_injection_C_W,NetCentral_P_injection_total_W,BESS_SOC_pu
30,0.5,central,0.0,6.717668086159135e-10,2.4034027328887204e-07,25524.369262179982,25148.537291148226,25017.61153231825,75690.51808564646,25524.369262180207,25148.537291148452,25017.611532318475,75690.51808564713,0.5000000000000006
60,1.0,central,0.0,6.717568411014025e-10,2.7329169228781706e-07,25153.00939311179,25124.99874498258,25139.048877975598,75417.05701606997,25153.009393112017,25124.998744982804,25139.048877975823,75417.05701607064,0.45794971043132576
90,1.5,central,0.0,6.717533691510003e-10,5.726805184258148e-07,25167.12722784607,25142.051739299277,25148.113008290995,75457.29197543634,25167.127227846297,25142.051739299503,25148.11300829122,75457.29197543701,0.4160513436728892
120,2.0,central,0.0,6.71761166940503e-10,2.017420326449937e-07,25318.138743284853,25135.07885814081,25063.12245404447,75516.34005547014,25318.13874328508,25135.078858141034,25063.122454044696,75516.3400554708,0.3741306241601798
150,2.5,central,0.0,6.717544843894617e-10,-3.325106317982751e-07,25172.78311063646,25117.277399462608,25148.634383684202,75438.69489378326,25172.783110636687,25117.277399462833,25148.634383684428,75438.69489378393,0.3321771001598991
180,3.0,central,0.0,6.71754748393225e-10,-6.764312432729961e-08,25172.16513384495,25148.513949810244,25131.808376979217,75452.48746063441,25172.165133845174,25148.51394981047,25131.808376979443,75452.48746063508,0.290266712358787
210,3.5,central,0.0,6.717530187425415e-10,6.968309050648129e-07,25168.35912601684,25145.632055746526,25101.780267789178,75415.77144955254,25168.359126017065,25145.63205574675,25101.780267789403,75415.77144955321,0.24834866202085562
240,4.0,central,802.8310228511782,26.5129235272251,6.132191183237337e-10,776.3181073363008,776.3181073363008,776.3181073363008,2328.9543220089026,785.1557485120426,785.1557485120426,785.1557485120426,2355.467245536128,0.20645100946600606
270,4.5,central,3348.13146317036,28.29305916617157,3.876578555006725e-10,3319.8384374695397,3319.8384374695397,3319.8384374695397,9959.51531240862,3329.2694571915968,3329.2694571915968,3329.2694571915968,9987.80837157479,0.20515714595377738
300,5.0,central,7612.490472052799,24.251325693883146,-3.8465615040584976e-10,7588.239222467856,7588.239222467856,7588.239222467856,22764.71766740357,7596.322997699151,7596.322997699151,7596.322997699151,22788.968993097453,0.19962408189132677
330,5.5,central,16214.672980009611,16214.67307997554,6.505810798336882e-10,-4.654803282663349e-09,-4.655064504662738e-09,-4.655003300578822e-09,-1.3964871087904909e-08,5404.891026653859,5404.891026653859,5404.891026653859,16214.673079961576,0.18697701652054588
360,6.0,central,32040.626329922346,32040.6264298882,2.5561616020981917e-11,-4.6449528622559135e-09,-4.646641691696816e-09,-4.646896458736893e-09,-1.3938491012689622e-08,10680.208809958089,10680.208809958087,10680.208809958087,32040.626429874264,0.1869770165205455
390,6.5,central,67541.17105030791,67541.17115027366,-1.173481033686796e-09,-4.638059574560256e-09,-4.636187882276935e-09,-4.627968506304041e-09,-1.3902215963141233e-08,22513.723716753248,22513.72371675325,22513.72371675326,67541.17115025976,0.18697701652054508
420,7.0,central,81235.98201122369,81235.98211117249,5.051161866947132e-08,3.78282880819732e-08,-1945.0665235176186,-1929.9496933423793,-3875.0162168221696,27078.66070376199,25133.594180206543,25148.711010381783,77360.96589435032,0.18697701652054463
450,7.5,central,139783.09169335256,139783.09179331685,-2.0683497440567489e-07,-21529.675264544177,-21507.311119840564,-21546.514497139586,-64583.50088152433,25064.68866656144,25087.052811265054,25047.849433966032,75199.59091179253,0.18872077381810437
480,8.0,central,137806.99617541744,137806.99627538174,-6.75744310355682e-07,-20694.767740548872,-20802.651470574263,-21094.717336427508,-62592.136547550646,25240.897684578376,25133.013954552986,24840.94808869974,75214.85972783109,0.21778334921478493
510,8.5,central,157786.37576376746,157786.37586373172,1.7627698573154102e-08,-27427.91727581955,-27451.050749344824,-27587.327286613865,-82466.29531177823,25167.54134542436,25144.407871899086,25008.131334630045,75320.08055195349,0.24594981066117746
