Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction
One-stage weighted objective,240,4.0,0.8028310228511782,0.0265129235272251,0.7763180993239531,0.20645100946600606,4.3397289582830126e-12,0.7763181073406407,0.7763181073363008,-23.336890723588766,4.33972895415333e-12,0.7763181073406407,0.7763181073363008,-23.23977783334449,4.339728966213041e-12,0.7763181073406407,0.7763181073363008,-23.17520238771241,1.3019186878649384e-11,2.328954322021922,2.3289543220089026,-69.75187094464567,0.38815904966197656,0.9669757112361366
One-stage weighted objective,270,4.5,3.34813146317036,0.028293059166171572,3.319838404004188,0.20515714595377738,4.340438628794086e-12,3.31983843747388,3.3198384374695395,-22.79094255387186,4.3404386302040784e-12,3.31983843747388,3.3198384374695395,-23.220089150073424,4.340438599236554e-12,3.31983843747388,3.3198384374695395,-23.315377753092807,1.302131585823472e-11,9.959515312421642,9.95951531240862,-69.3264094570381,1.659919202002094,0.9915495972970605
One-stage weighted objective,300,5.0,7.6124904720528,0.024251325693883146,7.588239146358917,0.19962408189132677,4.34165157753547e-12,7.588239222472198,7.588239222467856,-22.171303454984887,4.341651546467572e-12,7.588239222472198,7.588239222467856,-22.526554684631243,4.341651552676192e-12,7.588239222472198,7.588239222467856,-22.341412783088916,1.3024954676679234e-11,22.764717667416594,22.76471766740357,-67.03927092270506,3.7941195731794584,0.9968142717836015
One-stage weighted objective,1020,17.0,58.8676590442051,51.391508250779744,7.4761507934253535,0.9494769822447998,4.341631357545589e-12,7.47615089341373,7.476150893409388,-6.309619301029207,4.341630721904325e-12,7.476150893413728,7.476150893409386,-2.827231637347664,4.341630892278411e-12,7.476150893413734,7.476150893409391,-2.875952677110558,1.3024892971728325e-11,22.428452680241193,22.428452680228165,-12.012803615487428,3.7380753967126767,0.12699928814582787
One-stage weighted objective,1050,17.5,21.38615526279812,1.6171136703906328,19.769041592407483,0.937016730755783,4.345138558835229e-12,19.769041692395867,19.76904169239152,-12.235313414145917,4.345138030858788e-12,19.769041692395867,19.76904169239152,-13.32179201148541,4.345137641220509e-12,19.769041692395867,19.76904169239152,-14.062300060947187,1.3035414230914526e-11,59.30712507718759,59.30712507717457,-39.619405486578515,9.884520796203741,0.9243850215001639
One-stage weighted objective,1080,18.0,35.72629562474032,18.823255049077595,16.903040575662725,0.9040683279351291,4.3443358479602365e-12,16.9030406756511,16.903040675646757,-6.234067475391837,4.344334397440667e-12,16.903040675651095,16.903040675646753,-9.2194852660123,4.3443352008818574e-12,16.903040675651106,16.90304067564676,-7.585990591442004,1.3033005446282761e-11,50.70912202695331,50.70912202694027,-23.039543332846144,8.451520287831363,0.47312603448193596
One-stage weighted objective,1110,18.5,34.88048921037201,16.374251770728904,18.50623743964311,0.8758965934757165,4.34482505571357e-12,18.506237539631485,18.506237539627143,-5.642591692321845,4.344824376102932e-12,18.506237539631485,18.506237539627143,-5.3537379250454125,4.344823575441861e-12,18.50623753963148,18.50623753962714,-6.5374722200972135,1.3034473007258362e-11,55.518712618894455,55.51871261888142,-17.53380183746447,9.253118719821556,0.5305612925331369
One-stage weighted objective,1140,19.0,14.676355200650205,0.010367224922889185,14.665987975727315,0.8450528642430032,4.3436844650171915e-12,14.665988075715692,14.665988075711347,-19.317114845432556,4.343684511127388e-12,14.665988075715692,14.665988075711347,-18.882898882257827,4.343684530766377e-12,14.665988075715692,14.665988075711347,-18.90068826424561,1.3031053506910957e-11,43.99796422714707,43.99796422713404,-57.100701991935985,7.332993987863658,0.9992936103834261
One-stage weighted objective,1170,19.5,6.556644238336596,0.027371110673151712,6.529273127663445,0.8206095507834837,4.341347489816747e-12,6.529273193218264,6.529273193213923,-22.71026719329406,4.3413474168807784e-12,6.529273193218264,6.529273193213923,-22.682008746799855,4.341347505992165e-12,6.529273193218264,6.529273193213923,-21.39911826447574,1.302404241268969e-11,19.58781957965479,19.58781957964177,-66.79139420456966,3.2646365638317225,0.9958254390999114
One-stage weighted objective,1200,20.0,1.4787101336823925,0.027938582148143886,1.4507715515342485,0.8097274287947924,4.339915866678454e-12,1.4507715663097271,1.4507715663053873,-22.99483449155805,4.339915907046695e-12,1.4507715663097271,1.4507715663053873,-21.859432605297087,4.33991591178325e-12,1.4507715663097271,1.4507715663053873,-22.795794439962247,1.3019747685508399e-11,4.352314698929182,4.352314698916161,-67.65006153681739,0.7253857757671243,0.9811061130158287
One-stage weighted objective,1230,20.5,0.5138621598622417,0.024183019493976998,0.4896791403682647,0.8073094761842825,4.339649501715768e-12,0.4896791454952636,0.48967914549092395,-22.51769130352554,4.339649568509133e-12,0.4896791454952636,0.48967914549092395,-22.013159549407522,4.339649522449811e-12,0.48967914549526353,0.4896791454909239,-23.25641610861829,1.3018948592674713e-11,1.4690374364857908,1.4690374364727719,-67.78726696155135,0.24483957018413235,0.9529387034444021
