Time_sample,Time_h,Feeder_line,DSS_P_A_kW_raw,DSS_P_B_kW_raw,DSS_P_C_kW_raw,DSS_Q_A_kvar_raw,DSS_Q_B_kvar_raw,DSS_Q_C_kvar_raw,DSS_I_A_A,DSS_I_B_A,DSS_I_C_A,DSS_P_total_kW_raw,DSS_Q_total_kvar_raw,Feeder_P_A_kW_import_positive,Feeder_Q_A_kvar_import_positive,Feeder_P_B_kW_import_positive,Feeder_Q_B_kvar_import_positive,Feeder_P_C_kW_import_positive,Feeder_Q_C_kvar_import_positive,Feeder_P_total_kW_import_positive,Feeder_Q_total_kvar_import_positive,Feeder_import_kW,Feeder_export_kW
30,0.5,feeder2_line1,-17.3336124420166,-21.29810333251953,-18.309858322143555,2.556692600250244,3.1246814727783203,1.592341423034668,70.5564193725586,86.67850494384766,73.99766540527344,-56.94157409667969,7.273715496063232,-17.3336124420166,2.556692600250244,-21.29810333251953,3.1246814727783203,-18.309858322143555,1.592341423034668,-56.94157409667969,7.273715496063232,0.0,56.94157409667969
60,1.0,feeder2_line1,-19.560035705566406,-21.3877010345459,-20.220043182373047,3.0516178607940674,1.9938173294067383,0.9877734780311584,79.7188720703125,86.48004913330078,81.49433898925781,-61.16777992248535,6.033208668231964,-19.560035705566406,3.0516178607940674,-21.3877010345459,1.9938173294067383,-20.220043182373047,0.9877734780311584,-61.16777992248535,6.033208668231964,0.0,61.16777992248535
90,1.5,feeder2_line1,-19.64653968811035,-21.11416244506836,-21.89786148071289,1.3042848110198975,3.049145460128784,2.456275224685669,79.26803588867188,85.90138244628906,88.71781921386719,-62.6585636138916,6.809705495834351,-19.64653968811035,1.3042848110198975,-21.11416244506836,3.049145460128784,-21.89786148071289,2.456275224685669,-62.6585636138916,6.809705495834351,0.0,62.6585636138916
120,2.0,feeder2_line1,-19.47963523864746,-22.253387451171875,-20.32503318786621,3.134422540664673,2.6955840587615967,2.2883596420288086,79.45248413085938,90.25321960449219,82.3521957397461,-62.05805587768555,8.118366241455078,-19.47963523864746,3.134422540664673,-22.253387451171875,2.6955840587615967,-20.32503318786621,2.2883596420288086,-62.05805587768555,8.118366241455078,0.0,62.05805587768555
150,2.5,feeder2_line1,-19.66893768310547,-22.110200881958008,-21.79540252685547,2.215790033340454,3.2813591957092285,2.1502270698547363,79.6955337524414,90.0049819946289,88.17478942871094,-63.574541091918945,7.647376298904419,-19.66893768310547,2.215790033340454,-22.110200881958008,3.2813591957092285,-21.79540252685547,2.1502270698547363,-63.574541091918945,7.647376298904419,0.0,63.574541091918945
180,3.0,feeder2_line1,-19.597766876220703,-21.17738151550293,-22.23381233215332,1.624997854232788,3.6004645824432373,2.6288793087005615,79.17219543457031,86.50439453125,90.1422348022461,-63.00896072387695,7.854341745376587,-19.597766876220703,1.624997854232788,-21.17738151550293,3.6004645824432373,-22.23381233215332,2.6288793087005615,-63.00896072387695,7.854341745376587,0.0,63.00896072387695
210,3.5,feeder2_line1,-19.26836585998535,-20.57671546936035,-20.486570358276367,2.0291481018066406,3.830181360244751,3.7269206047058105,78.00977325439453,84.28980255126953,83.85651397705078,-60.33165168762207,9.586250066757202,-19.26836585998535,2.0291481018066406,-20.57671546936035,3.830181360244751,-20.486570358276367,3.7269206047058105,-60.33165168762207,9.586250066757202,0.0,60.33165168762207
240,4.0,feeder2_line1,4.223758697509766,3.132138729095459,3.1959421634674072,24.63772201538086,26.36509895324707,26.294349670410156,101.07079315185547,107.37442016601562,107.12026977539062,10.551839590072632,77.29717063903809,4.223758697509766,24.63772201538086,3.132138729095459,26.36509895324707,3.1959421634674072,26.294349670410156,10.551839590072632,77.29717063903809,10.551839590072632,0.0
270,4.5,feeder2_line1,2.4781291484832764,0.3152236044406891,-1.0599970817565918,25.13074493408203,26.05841827392578,24.085674285888672,102.10448455810547,105.37608337402344,97.45226287841797,1.7333556711673737,75.27483749389648,2.4781291484832764,25.13074493408203,0.3152236044406891,26.05841827392578,-1.0599970817565918,24.085674285888672,1.7333556711673737,75.27483749389648,1.7333556711673737,0.0
300,5.0,feeder2_line1,-1.6025978326797485,-4.297765731811523,-3.982558250427246,24.837997436523438,24.88108253479004,24.925500869750977,100.61693572998047,102.06207275390625,102.03211975097656,-9.882921814918518,74.64458084106445,-1.6025978326797485,24.837997436523438,-4.297765731811523,24.88108253479004,-3.982558250427246,24.925500869750977,-9.882921814918518,74.64458084106445,0.0,9.882921814918518
330,5.5,feeder2_line1,0.33958205580711365,-1.3084379434585571,-1.3404464721679688,24.9904842376709,26.357942581176758,26.002126693725586,101.04358673095703,106.70893096923828,105.27291107177734,-2.3093023598194122,77.35055351257324,0.33958205580711365,24.9904842376709,-1.3084379434585571,26.357942581176758,-1.3404464721679688,26.002126693725586,-2.3093023598194122,77.35055351257324,0.0,2.3093023598194122
360,6.0,feeder2_line1,-7.953411102294922,-6.6509809494018555,-3.3515355587005615,23.349809646606445,24.239652633666992,23.48295021057129,99.6718978881836,101.58273315429688,95.86678314208984,-17.95592761039734,71.07241249084473,-7.953411102294922,23.349809646606445,-6.6509809494018555,24.239652633666992,-3.3515355587005615,23.48295021057129,-17.95592761039734,71.07241249084473,0.0,17.95592761039734
390,6.5,feeder2_line1,-14.552217483520508,-18.73933219909668,-19.24169158935547,12.740870475769043,13.549139022827148,12.81974983215332,78.0115737915039,93.26592254638672,93.24083709716797,-52.533241271972656,39.10975933074951,-14.552217483520508,12.740870475769043,-18.73933219909668,13.549139022827148,-19.24169158935547,12.81974983215332,-52.533241271972656,39.10975933074951,0.0,52.533241271972656
420,7.0,feeder2_line1,-18.482318878173828,-19.781023025512695,-22.248455047607422,-0.4406149685382843,3.800448417663574,1.1843255758285522,74.41233825683594,81.12097930908203,89.68545532226562,-60.511796951293945,4.544159024953842,-18.482318878173828,-0.4406149685382843,-19.781023025512695,3.800448417663574,-22.248455047607422,1.1843255758285522,-60.511796951293945,4.544159024953842,0.0,60.511796951293945
450,7.5,feeder2_line1,-20.647174835205078,-20.41948699951172,-13.345648765563965,4.033909320831299,1.340358018875122,2.7192656993865967,84.72457122802734,82.38069152832031,54.85564041137695,-54.41231060028076,8.093533039093018,-20.647174835205078,4.033909320831299,-20.41948699951172,1.340358018875122,-13.345648765563965,2.7192656993865967,-54.41231060028076,8.093533039093018,0.0,54.41231060028076
480,8.0,feeder2_line1,-16.077556610107422,-17.14410972595215,-6.967057704925537,4.076066970825195,2.3237109184265137,3.4990365505218506,66.80940246582031,69.66747283935547,31.411806106567383,-40.18872404098511,9.89881443977356,-16.077556610107422,4.076066970825195,-17.14410972595215,2.3237109184265137,-6.967057704925537,3.4990365505218506,-40.18872404098511,9.89881443977356,0.0,40.18872404098511
510,8.5,feeder2_line1,-15.955565452575684,-18.565279006958008,-13.4057035446167,2.7598977088928223,2.2056467533111572,1.9925315380096436,65.2113037109375,75.27949523925781,54.580299377441406,-47.92654800415039,6.958076000213623,-15.955565452575684,2.7598977088928223,-18.565279006958008,2.2056467533111572,-13.4057035446167,1.9925315380096436,-47.92654800415039,6.958076000213623,0.0,47.92654800415039
540,9.0,feeder2_line1,-12.554471969604492,-10.151510238647461,-12.398898124694824,2.6301164627075195,2.5210859775543213,3.576673984527588,51.66318130493164,42.132198333740234,51.98263931274414,-35.10488033294678,8.727876424789429,-12.554471969604492,2.6301164627075195,-10.151510238647461,2.5210859775543213,-12.398898124694824,3.576673984527588,-35.10488033294678,8.727876424789429,0.0,35.10488033294678
570,9.5,feeder2_line1,-14.01756477355957,-7.527947425842285,-8.451387405395508,3.9922022819519043,3.504319667816162,3.712049722671509,58.711910247802734,33.454952239990234,37.18981170654297,-29.996899604797363,11.208571672439575,-14.01756477355957,3.9922022819519043,-7.527947425842285,3.504319667816162,-8.451387405395508,3.712049722671509,-29.996899604797363,11.208571672439575,0.0,29.996899604797363
600,10.0,feeder2_line1,-13.680505752563477,-13.39087200164795,-2.345996856689453,5.6063618659973145,0.6214131116867065,3.198267698287964,59.57160186767578,53.9747314453125,15.982979774475098,-29.41737461090088,9.426042675971985,-13.680505752563477,5.6063618659973145,-13.39087200164795,0.6214131116867065,-2.345996856689453,3.198267698287964,-29.41737461090088,9.426042675971985,0.0,29.41737461090088
630,10.5,feeder2_line1,-7.256777763366699,-8.475613594055176,-10.03315258026123,0.897433340549469,1.7176437377929688,1.2128874063491821,29.44902801513672,34.831703186035156,40.69997787475586,-25.765543937683105,3.82796448469162,-7.256777763366699,0.897433340549469,-8.475613594055176,1.7176437377929688,-10.03315258026123,1.2128874063491821,-25.765543937683105,3.82796448469162,0.0,25.765543937683105
660,11.0,feeder2_line1,-0.2759059965610504,-6.177642345428467,-11.213066101074219,2.754307746887207,1.9246350526809692,2.189706563949585,11.154325485229492,26.06468391418457,46.01512145996094,-17.666614443063736,6.868649363517761,-0.2759059965610504,2.754307746887207,-6.177642345428467,1.9246350526809692,-11.213066101074219,2.189706563949585,-17.666614443063736,6.868649363517761,0.0,17.666614443063736
690,11.5,feeder2_line1,-12.372360229492188,-11.207207679748535,-15.03341007232666,1.4118502140045166,3.359393835067749,2.5349321365356445,50.146785736083984,47.13080596923828,61.398101806640625,-38.61297798156738,7.30617618560791,-12.372360229492188,1.4118502140045166,-11.207207679748535,3.359393835067749,-15.03341007232666,2.5349321365356445,-38.61297798156738,7.30617618560791,0.0,38.61297798156738
720,12.0,feeder2_line1,-15.14915657043457,-15.646986961364746,-17.475540161132812,2.447249174118042,2.827345371246338,1.9893615245819092,61.79944610595703,64.03622436523438,70.82099151611328,-48.27168369293213,7.263956069946289,-15.14915657043457,2.447249174118042,-15.646986961364746,2.827345371246338,-17.475540161132812,1.9893615245819092,-48.27168369293213,7.263956069946289,0.0,48.27168369293213
750,12.5,feeder2_line1,-10.531759262084961,-17.228605270385742,-18.685096740722656,1.302240014076233,4.098372936248779,3.4997363090515137,42.736576080322266,71.33068084716797,76.55870819091797,-46.44546127319336,8.900349259376526,-10.531759262084961,1.302240014076233,-17.228605270385742,4.098372936248779,-18.685096740722656,3.4997363090515137,-46.44546127319336,8.900349259376526,0.0,46.44546127319336
780,13.0,feeder2_line1,-5.192638874053955,0.05235251411795616,-6.57692813873291,13.460149765014648,16.296457290649414,14.883041381835938,58.21592712402344,65.80022430419922,65.66897583007812,-11.717214498668909,44.6396484375,-5.192638874053955,13.460149765014648,0.05235251411795616,16.296457290649414,-6.57692813873291,14.883041381835938,-11.717214498668909,44.6396484375,0.0,11.717214498668909
810,13.5,feeder2_line1,-12.588533401489258,-3.83537220954895,-17.52474021911621,0.5510756373405457,5.170989513397217,3.9493277072906494,50.7357292175293,25.948762893676758,72.35489654541016,-33.94864583015442,9.671392858028412,-12.588533401489258,0.5510756373405457,-3.83537220954895,5.170989513397217,-17.52474021911621,3.9493277072906494,-33.94864583015442,9.671392858028412,0.0,33.94864583015442
840,14.0,feeder2_line1,-8.253061294555664,-7.622818470001221,-16.01483726501465,0.7240524291992188,4.212958812713623,3.932725191116333,33.364463806152344,35.093936920166016,66.42324829101562,-31.890717029571533,8.869736433029175,-8.253061294555664,0.7240524291992188,-7.622818470001221,4.212958812713623,-16.01483726501465,3.932725191116333,-31.890717029571533,8.869736433029175,0.0,31.890717029571533
870,14.5,feeder2_line1,-6.9820685386657715,-9.945984840393066,-19.168941497802734,-0.5001531839370728,5.529774188995361,5.636590957641602,28.186588287353516,45.85838317871094,80.49072265625,-36.09699487686157,10.66621196269989,-6.9820685386657715,-0.5001531839370728,-9.945984840393066,5.529774188995361,-19.168941497802734,5.636590957641602,-36.09699487686157,10.66621196269989,0.0,36.09699487686157
900,15.0,feeder2_line1,-7.331727504730225,-9.920084953308105,-14.334277153015137,1.7233043909072876,4.061217308044434,2.584200859069824,30.336532592773438,43.186912536621094,58.660400390625,-31.586089611053467,8.368722558021545,-7.331727504730225,1.7233043909072876,-9.920084953308105,4.061217308044434,-14.334277153015137,2.584200859069824,-31.586089611053467,8.368722558021545,0.0,31.586089611053467
930,15.5,feeder2_line1,-13.2056884765625,-16.012680053710938,-17.000314712524414,1.3707295656204224,1.695975422859192,1.8427945375442505,53.462982177734375,64.83758544921875,68.85372924804688,-46.21868324279785,4.909499526023865,-13.2056884765625,1.3707295656204224,-16.012680053710938,1.695975422859192,-17.000314712524414,1.8427945375442505,-46.21868324279785,4.909499526023865,0.0,46.21868324279785
960,16.0,feeder2_line1,-7.199402332305908,-2.714132070541382,-15.743462562561035,-1.3316293954849243,4.6598801612854,2.72039532661438,29.477582931518555,21.734460830688477,64.3426284790039,-25.656996965408325,6.048646092414856,-7.199402332305908,-1.3316293954849243,-2.714132070541382,4.6598801612854,-15.743462562561035,2.72039532661438,-25.656996965408325,6.048646092414856,0.0,25.656996965408325
990,16.5,feeder2_line1,-7.74001932144165,-12.916930198669434,-12.388801574707031,0.9191792011260986,2.4898388385772705,2.4540488719940186,31.39120101928711,52.98123550415039,50.866737365722656,-33.045751094818115,5.863066911697388,-7.74001932144165,0.9191792011260986,-12.916930198669434,2.4898388385772705,-12.388801574707031,2.4540488719940186,-33.045751094818115,5.863066911697388,0.0,33.045751094818115
1020,17.0,feeder2_line1,0.5373475551605225,-6.543023586273193,-0.0514996275305748,8.658341407775879,7.105177879333496,6.339242935180664,34.98818588256836,38.93732833862305,25.55914306640625,-6.057175658643246,22.10276222229004,0.5373475551605225,8.658341407775879,-6.543023586273193,7.105177879333496,-0.0514996275305748,6.339242935180664,-6.057175658643246,22.10276222229004,0.0,6.057175658643246
1050,17.5,feeder2_line1,6.226230144500732,5.194326400756836,-4.895057678222656,13.590774536132812,16.130779266357422,16.847522735595703,60.349632263183594,68.43606567382812,70.83062744140625,6.525498867034912,46.56907653808594,6.226230144500732,13.590774536132812,5.194326400756836,16.130779266357422,-4.895057678222656,16.847522735595703,6.525498867034912,46.56907653808594,6.525498867034912,0.0
1080,18.0,feeder2_line1,9.011492729187012,-10.148812294006348,-12.698376655578613,8.940093994140625,11.584197044372559,9.609018325805664,51.21533966064453,62.11759567260742,64.20317840576172,-13.83569622039795,30.133309364318848,9.011492729187012,8.940093994140625,-10.148812294006348,11.584197044372559,-12.698376655578613,9.609018325805664,-13.83569622039795,30.133309364318848,0.0,13.83569622039795
1110,18.5,feeder2_line1,3.423024892807007,-0.5276436805725098,-5.601190090179443,6.984246253967285,9.888703346252441,9.53785228729248,31.3659610748291,39.945674896240234,44.60661315917969,-2.7058088779449463,26.410801887512207,3.423024892807007,6.984246253967285,-0.5276436805725098,9.888703346252441,-5.601190090179443,9.53785228729248,-2.7058088779449463,26.410801887512207,0.0,2.7058088779449463
1140,19.0,feeder2_line1,2.142230272293091,3.9429426193237305,5.373923301696777,21.159385681152344,22.398258209228516,20.905780792236328,85.9399642944336,91.92382049560547,87.23187255859375,11.459096193313599,64.46342468261719,2.142230272293091,21.159385681152344,3.9429426193237305,22.398258209228516,5.373923301696777,20.905780792236328,11.459096193313599,64.46342468261719,11.459096193313599,0.0
1170,19.5,feeder2_line1,10.846573829650879,3.640545606613159,10.72234058380127,25.47454833984375,23.75884437561035,25.119876861572266,111.99091339111328,97.1703872680664,110.4678726196289,25.209460020065308,74.35326957702637,10.846573829650879,25.47454833984375,3.640545606613159,23.75884437561035,10.72234058380127,25.119876861572266,25.209460020065308,74.35326957702637,25.209460020065308,0.0
1200,20.0,feeder2_line1,16.01454734802246,19.94867706298828,22.423629760742188,25.412979125976562,24.761241912841797,25.919296264648438,121.52111053466797,128.64520263671875,138.69772338867188,58.38685417175293,76.0935173034668,16.01454734802246,25.412979125976562,19.94867706298828,24.761241912841797,22.423629760742188,25.919296264648438,58.38685417175293,76.0935173034668,58.38685417175293,0.0
1230,20.5,feeder2_line1,13.816071510314941,20.301755905151367,16.841970443725586,25.03165626525879,25.536928176879883,26.15013885498047,115.65225982666016,132.00494384765625,125.85264587402344,50.959797859191895,76.71872329711914,13.816071510314941,25.03165626525879,20.301755905151367,25.536928176879883,16.841970443725586,26.15013885498047,50.959797859191895,76.71872329711914,50.959797859191895,0.0
1260,21.0,feeder2_line1,-11.855284690856934,-12.269540786743164,-13.125106811523438,1.0809623003005981,1.5802494287490845,1.6667391061782837,47.93782424926758,49.81892013549805,53.27970504760742,-37.249932289123535,4.327950835227966,-11.855284690856934,1.0809623003005981,-12.269540786743164,1.5802494287490845,-13.125106811523438,1.6667391061782837,-37.249932289123535,4.327950835227966,0.0,37.249932289123535
1290,21.5,feeder2_line1,-8.49387264251709,-4.387912273406982,-12.310468673706055,1.9098033905029297,3.2128939628601074,2.22570538520813,35.06636047363281,21.912811279296875,50.384037017822266,-25.192253589630127,7.348402738571167,-8.49387264251709,1.9098033905029297,-4.387912273406982,3.2128939628601074,-12.310468673706055,2.22570538520813,-25.192253589630127,7.348402738571167,0.0,25.192253589630127
1320,22.0,feeder2_line1,-12.819467544555664,-11.165085792541504,-12.108736991882324,0.21416990458965302,4.11279821395874,1.4128485918045044,51.621246337890625,47.9362907409668,49.09312438964844,-36.09329032897949,5.739816710352898,-12.819467544555664,0.21416990458965302,-11.165085792541504,4.11279821395874,-12.108736991882324,1.4128485918045044,-36.09329032897949,5.739816710352898,0.0,36.09329032897949
1350,22.5,feeder2_line1,-12.526337623596191,-12.230622291564941,-12.663846969604492,1.2046186923980713,1.0338823795318604,1.3442524671554565,50.67439651489258,49.42584991455078,51.28269577026367,-37.420806884765625,3.582753539085388,-12.526337623596191,1.2046186923980713,-12.230622291564941,1.0338823795318604,-12.663846969604492,1.3442524671554565,-37.420806884765625,3.582753539085388,0.0,37.420806884765625
1380,23.0,feeder2_line1,-15.099482536315918,-7.979899883270264,-12.325803756713867,2.264002799987793,1.178167700767517,2.8512074947357178,61.48668670654297,32.487579345703125,50.957454681396484,-35.40518617630005,6.293377995491028,-15.099482536315918,2.264002799987793,-7.979899883270264,1.178167700767517,-12.325803756713867,2.8512074947357178,-35.40518617630005,6.293377995491028,0.0,35.40518617630005
1410,23.5,feeder2_line1,-13.429971694946289,-17.684917449951172,-14.653759956359863,1.0400794744491577,2.3759446144104004,0.8922380805015564,54.23929977416992,71.8528823852539,59.110408782958984,-45.768649101257324,4.3082621693611145,-13.429971694946289,1.0400794744491577,-17.684917449951172,2.3759446144104004,-14.653759956359863,0.8922380805015564,-45.768649101257324,4.3082621693611145,0.0,45.768649101257324
1440,24.0,feeder2_line1,-14.093511581420898,-17.249622344970703,-13.415334701538086,2.312443256378174,3.7683048248291016,1.9901163578033447,57.517295837402344,71.11399841308594,54.61719512939453,-44.75846862792969,8.07086443901062,-14.093511581420898,2.312443256378174,-17.249622344970703,3.7683048248291016,-13.415334701538086,1.9901163578033447,-44.75846862792969,8.07086443901062,0.0,44.75846862792969
