Constraint,Body,Lower,Upper,Raw_violation,Relative_violation
"CentralBESS_night_only_discharge_con[1,1050]",9.979672176996246e-05,,0.0,9.979672176996246e-05,9.979672176996246e-05
"CentralBESS_night_only_discharge_con[2,1050]",9.979672176996246e-05,,0.0,9.979672176996246e-05,9.979672176996246e-05
"CentralBESS_night_only_discharge_con[3,1050]",9.979672176996246e-05,,0.0,9.979672176996246e-05,9.979672176996246e-05
"CentralBESS_night_only_discharge_con[1,1140]",9.979671995097306e-05,,0.0,9.979671995097306e-05,9.979671995097306e-05
"CentralBESS_night_only_discharge_con[2,1140]",9.979671995097306e-05,,0.0,9.979671995097306e-05,9.979671995097306e-05
"CentralBESS_night_only_discharge_con[3,1140]",9.979671995097306e-05,,0.0,9.979671995097306e-05,9.979671995097306e-05
"CentralBESS_night_only_discharge_con[1,390]",9.935593121465514e-05,,0.0,9.935593121465514e-05,9.935593121465514e-05
"CentralBESS_night_only_discharge_con[2,390]",9.935593121465514e-05,,0.0,9.935593121465514e-05,9.935593121465514e-05
"CentralBESS_night_only_discharge_con[3,390]",9.935593121465514e-05,,0.0,9.935593121465514e-05,9.935593121465514e-05
"CentralBESS_night_only_discharge_con[1,330]",9.935591262371766e-05,,0.0,9.935591262371766e-05,9.935591262371766e-05
"CentralBESS_night_only_discharge_con[2,330]",9.935591262371766e-05,,0.0,9.935591262371766e-05,9.935591262371766e-05
"CentralBESS_night_only_discharge_con[3,330]",9.935591262371766e-05,,0.0,9.935591262371766e-05,9.935591262371766e-05
"CentralBESS_night_only_discharge_con[1,360]",9.935591244495609e-05,,0.0,9.935591244495609e-05,9.935591244495609e-05
"CentralBESS_night_only_discharge_con[2,360]",9.935591244495609e-05,,0.0,9.935591244495609e-05,9.935591244495609e-05
"CentralBESS_night_only_discharge_con[3,360]",9.935591244495609e-05,,0.0,9.935591244495609e-05,9.935591244495609e-05
"CentralBESS_night_only_discharge_con[1,780]",9.935590883419134e-05,,0.0,9.935590883419134e-05,9.935590883419134e-05
"CentralBESS_night_only_discharge_con[2,780]",9.935590883419134e-05,,0.0,9.935590883419134e-05,9.935590883419134e-05
"CentralBESS_night_only_discharge_con[3,780]",9.935590883419134e-05,,0.0,9.935590883419134e-05,9.935590883419134e-05
"CentralBESS_night_only_discharge_con[1,570]",9.694407318460493e-05,,0.0,9.694407318460493e-05,9.694407318460493e-05
"CentralBESS_night_only_discharge_con[2,570]",9.694407318460493e-05,,0.0,9.694407318460493e-05,9.694407318460493e-05
"CentralBESS_night_only_discharge_con[3,570]",9.694407318460493e-05,,0.0,9.694407318460493e-05,9.694407318460493e-05
"CentralBESS_night_only_discharge_con[1,540]",9.693311657250295e-05,,0.0,9.693311657250295e-05,9.693311657250295e-05
"CentralBESS_night_only_discharge_con[2,540]",9.693311657250295e-05,,0.0,9.693311657250295e-05,9.693311657250295e-05
"CentralBESS_night_only_discharge_con[3,540]",9.693311657250295e-05,,0.0,9.693311657250295e-05,9.693311657250295e-05
"CentralBESS_night_only_discharge_con[2,960]",9.693191544700355e-05,,0.0,9.693191544700355e-05,9.693191544700355e-05
"CentralBESS_night_only_discharge_con[3,960]",9.693191544700355e-05,,0.0,9.693191544700355e-05,9.693191544700355e-05
"CentralBESS_night_only_discharge_con[1,960]",9.693191544700268e-05,,0.0,9.693191544700268e-05,9.693191544700268e-05
"CentralBESS_night_only_discharge_con[1,900]",9.692903659821745e-05,,0.0,9.692903659821745e-05,9.692903659821745e-05
"CentralBESS_night_only_discharge_con[2,900]",9.692903659821745e-05,,0.0,9.692903659821745e-05,9.692903659821745e-05
"CentralBESS_night_only_discharge_con[3,900]",9.692903659821745e-05,,0.0,9.692903659821745e-05,9.692903659821745e-05
"CentralBESS_night_only_discharge_con[1,870]",9.691331873721253e-05,,0.0,9.691331873721253e-05,9.691331873721253e-05
"CentralBESS_night_only_discharge_con[2,870]",9.691331873721253e-05,,0.0,9.691331873721253e-05,9.691331873721253e-05
