Time_sample,Time_h,Feeder_line,OPF_P_sending_A_kW,OPF_P_sending_B_kW,OPF_P_sending_C_kW,OPF_source_flow_total_kW,OPF_feeder_import_kW,OPF_feeder_export_kW,OPF_feeder_export_energy_kWh,sign_convention,units
30,0.5,feeder2_line1,-17.334564235980093,-21.297761560329967,-18.309385433233064,-56.94171122954312,0.0,56.94171122954312,28.47085561477156,positive source flow = import; negative source flow = export,kW; energy column kWh
60,1.0,feeder2_line1,-19.562689555677117,-21.38821106222954,-20.215721253142572,-61.16662187104923,0.0,61.16662187104923,30.583310935524615,positive source flow = import; negative source flow = export,kW; energy column kWh
90,1.5,feeder2_line1,-19.64638508525583,-21.113206378837532,-21.899748423181936,-62.659339887275294,0.0,62.659339887275294,31.329669943637647,positive source flow = import; negative source flow = export,kW; energy column kWh
120,2.0,feeder2_line1,-19.48039211330162,-22.252828750850707,-20.32454899022901,-62.05776985438134,0.0,62.05776985438134,31.02888492719067,positive source flow = import; negative source flow = export,kW; energy column kWh
150,2.5,feeder2_line1,-19.667807750624288,-22.11055450326668,-21.795607934662407,-63.573970188553375,0.0,63.573970188553375,31.786985094276687,positive source flow = import; negative source flow = export,kW; energy column kWh
180,3.0,feeder2_line1,-19.597045468158033,-21.1782602504448,-22.233828323590103,-63.00913404219294,0.0,63.00913404219294,31.50456702109647,positive source flow = import; negative source flow = export,kW; energy column kWh
210,3.5,feeder2_line1,-19.26722365928005,-20.575963171460245,-20.488228489192217,-60.33141531993251,0.0,60.33141531993251,30.165707659966255,positive source flow = import; negative source flow = export,kW; energy column kWh
240,4.0,feeder2_line1,4.2195265385635174,3.129549149341996,3.19487241654355,10.543948104449063,10.543948104449063,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
270,4.5,feeder2_line1,2.4782950159071153,0.31337876896093075,-1.0568537824210589,1.734820002446987,1.734820002446987,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
300,5.0,feeder2_line1,-1.6029760066090348,-4.294668884133597,-3.9827393292661295,-9.88038422000876,0.0,9.88038422000876,4.94019211000438,positive source flow = import; negative source flow = export,kW; energy column kWh
330,5.5,feeder2_line1,0.3401110463492569,-1.3086737655708238,-1.341450778967017,-2.310013498188584,0.0,2.310013498188584,1.155006749094292,positive source flow = import; negative source flow = export,kW; energy column kWh
360,6.0,feeder2_line1,-7.95458890865731,-6.650586671571363,-3.3503791200100803,-17.95555470023875,0.0,17.95555470023875,8.977777350119375,positive source flow = import; negative source flow = export,kW; energy column kWh
390,6.5,feeder2_line1,-14.550422416236602,-18.73998601782003,-19.2429047169382,-52.53331315099483,0.0,52.53331315099483,26.266656575497414,positive source flow = import; negative source flow = export,kW; energy column kWh
420,7.0,feeder2_line1,-18.48390255227167,-19.780430747804765,-22.24757388571768,-60.511907185794115,0.0,60.511907185794115,30.255953592897058,positive source flow = import; negative source flow = export,kW; energy column kWh
450,7.5,feeder2_line1,-20.647897279295183,-20.419059663135577,-13.344765015917332,-54.411721958348096,0.0,54.411721958348096,27.205860979174048,positive source flow = import; negative source flow = export,kW; energy column kWh
480,8.0,feeder2_line1,-16.078653360567586,-17.144264079191036,-6.965193637946552,-40.18811107770517,0.0,40.18811107770517,20.094055538852587,positive source flow = import; negative source flow = export,kW; energy column kWh
510,8.5,feeder2_line1,-15.95440870896392,-18.564904093221433,-13.406912089050845,-47.9262248912362,0.0,47.9262248912362,23.9631124456181,positive source flow = import; negative source flow = export,kW; energy column kWh
540,9.0,feeder2_line1,-12.5543664544713,-10.15004345135463,-12.399844773985354,-35.104254679811284,0.0,35.104254679811284,17.552127339905642,positive source flow = import; negative source flow = export,kW; energy column kWh
570,9.5,feeder2_line1,-14.017765268270873,-7.526870348723571,-8.451786666497297,-29.99642228349174,0.0,29.99642228349174,14.99821114174587,positive source flow = import; negative source flow = export,kW; energy column kWh
600,10.0,feeder2_line1,-13.680057145375317,-13.39039229384693,-2.346778043593935,-29.41722748281618,0.0,29.41722748281618,14.70861374140809,positive source flow = import; negative source flow = export,kW; energy column kWh
630,10.5,feeder2_line1,-7.252072077872091,-8.476035755084423,-10.036940252825286,-25.7650480857818,0.0,25.7650480857818,12.8825240428909,positive source flow = import; negative source flow = export,kW; energy column kWh
660,11.0,feeder2_line1,-0.27648910950817934,-6.177651987744983,-11.211832126903802,-17.665973224156964,0.0,17.665973224156964,8.832986612078482,positive source flow = import; negative source flow = export,kW; energy column kWh
690,11.5,feeder2_line1,-12.37498208411147,-11.205848610103477,-15.031677243394583,-38.61250793760953,0.0,38.61250793760953,19.306253968804764,positive source flow = import; negative source flow = export,kW; energy column kWh
720,12.0,feeder2_line1,-15.149106795101572,-15.64808124335523,-17.474155338255486,-48.27134337671229,0.0,48.27134337671229,24.135671688356144,positive source flow = import; negative source flow = export,kW; energy column kWh
750,12.5,feeder2_line1,-10.528784454017167,-17.230866629997138,-18.685297524844763,-46.444948608859065,0.0,46.444948608859065,23.222474304429532,positive source flow = import; negative source flow = export,kW; energy column kWh
780,13.0,feeder2_line1,-5.193603035347709,0.05757590092699047,-6.579540518494785,-11.715567652915503,0.0,11.715567652915503,5.8577838264577515,positive source flow = import; negative source flow = export,kW; energy column kWh
810,13.5,feeder2_line1,-12.590493338148722,-3.8330472189678764,-17.524535462843,-33.9480760199596,0.0,33.9480760199596,16.9740380099798,positive source flow = import; negative source flow = export,kW; energy column kWh
840,14.0,feeder2_line1,-8.250588593777854,-7.626076577324608,-16.01374431902033,-31.890409490122792,0.0,31.890409490122792,15.945204745061396,positive source flow = import; negative source flow = export,kW; energy column kWh
870,14.5,feeder2_line1,-6.979758045656074,-9.94866189116309,-19.168579058414405,-36.09699899523357,0.0,36.09699899523357,18.048499497616785,positive source flow = import; negative source flow = export,kW; energy column kWh
900,15.0,feeder2_line1,-7.332433015993275,-9.918839232728013,-14.334406592617192,-31.58567884133848,0.0,31.58567884133848,15.79283942066924,positive source flow = import; negative source flow = export,kW; energy column kWh
930,15.5,feeder2_line1,-13.207295372109689,-16.011644553327994,-16.99937755157827,-46.21831747701595,0.0,46.21831747701595,23.109158738507976,positive source flow = import; negative source flow = export,kW; energy column kWh
960,16.0,feeder2_line1,-7.199446918794929,-2.7093980851260406,-15.746596343559869,-25.65544134748084,0.0,25.65544134748084,12.82772067374042,positive source flow = import; negative source flow = export,kW; energy column kWh
990,16.5,feeder2_line1,-7.740663340456536,-12.915271944722754,-12.389519574448082,-33.04545485962737,0.0,33.04545485962737,16.522727429813685,positive source flow = import; negative source flow = export,kW; energy column kWh
1020,17.0,feeder2_line1,0.5376235431863793,-6.541223546878646,-0.05288087850769026,-6.056480882199957,0.0,6.056480882199957,3.0282404410999786,positive source flow = import; negative source flow = export,kW; energy column kWh
1050,17.5,feeder2_line1,6.226147103215184,5.193490617641369,-4.893924946616553,6.52571277424,6.52571277424,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1080,18.0,feeder2_line1,9.011247381408271,-10.147632286800032,-12.698811976457272,-13.835196881849033,0.0,13.835196881849033,6.917598440924516,positive source flow = import; negative source flow = export,kW; energy column kWh
1110,18.5,feeder2_line1,3.4243193324728485,-0.5293941073392302,-5.600549984109204,-2.7056247589755857,0.0,2.7056247589755857,1.3528123794877929,positive source flow = import; negative source flow = export,kW; energy column kWh
1140,19.0,feeder2_line1,2.1405983413050444,3.9411611414904053,5.378277508884024,11.460036991679473,11.460036991679473,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1170,19.5,feeder2_line1,10.848131144514994,3.6393565586915995,10.722578738251293,25.210066441457887,25.210066441457887,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1200,20.0,feeder2_line1,16.01257848999356,19.952502024517845,22.422723877851148,58.387804392362554,58.387804392362554,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
