Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction,Feeder_nominal_P_demand_kW,PV_surplus_interval,BESS_net_discharge_kW,Gate_violation
One-stage weighted objective,30,0.5,0.0,6.717668086159135e-13,0.0,0.5000000000000006,5.441360332057073e-06,25.524374703540314,25.52436926217998,-0.7648194076462285,5.5226795511263525e-06,25.148542813827778,25.148537291148227,-0.20563283193565784,5.5515819408382e-06,25.01761708390019,25.01761153231825,1.4006659174891103,1.6515621824021626e-05,75.69053460126828,75.69051808564646,0.4302136779072241,0.0,,15.664,False,75.69051808564646,False
One-stage weighted objective,60,1.0,0.0,6.717568411014025e-13,0.0,0.45794971043132576,5.521697630571019e-06,25.15301491480942,25.15300939311179,-1.0547226748655965,5.527853572065058e-06,25.12500427283615,25.12499874498258,1.1070908918675637,5.524764037414506e-06,25.139054402739635,25.139048877975597,0.13755507007179452,1.6574315240050583e-05,75.4170735903852,75.41705701606998,0.18992328707376172,0.0,,11.51,False,75.41705701606996,False
One-stage weighted objective,90,1.5,0.0,6.717533691510003e-13,0.0,0.4160513436728892,5.518600128835589e-06,25.1671327464462,25.16712722784607,0.6222406217748787,5.524104174483219e-06,25.14205726340345,25.142051739299276,0.44745400883509046,5.52277272614333e-06,25.14811853106372,25.148113008290995,-0.2522397266018546,1.6565477029462137e-05,75.45730854091337,75.45729197543633,0.8174549040081146,0.0,,10.378,False,75.45729197543635,False
One-stage weighted objective,120,2.0,0.0,6.717611669405031e-13,0.0,0.3741306241601798,5.485683764064347e-06,25.318144228968617,25.31813874328485,-0.7428757910323902,5.525636669433186e-06,25.135084383777478,25.135078858140808,-0.847952714877417,5.54150098120172e-06,25.06312799554545,25.06312245404447,2.0533090966236514,1.6552821414699256e-05,75.51635660829155,75.51634005547014,0.46248059071384434,0.0,,11.028,False,75.51634005547012,False
One-stage weighted objective,150,2.5,0.0,6.717544843894617e-13,0.0,0.3321771001598991,5.517360181930511e-06,25.172788627996646,25.172783110636463,-0.3341161726670107,5.529552915619896e-06,25.117282929015524,25.11727739946261,-1.2702713216885089,5.522658229209967e-06,25.14863990634243,25.148634383684204,0.19339390315300076,1.6569571326760373e-05,75.43871146335461,75.43869489378326,-1.4109935912025187,0.0,,9.438,False,75.43869489378328,False
One-stage weighted objective,180,3.0,0.0,6.717547483932249e-13,0.0,0.290266712358787,5.517495634686552e-06,25.172170651340583,25.17216513384495,0.3690349617925693,5.522684676725978e-06,25.14851947249492,25.148513949810244,-0.208467874708446,5.526355745621279e-06,25.13181390333496,25.13180837697922,-0.9399046516316326,1.6566536057033808e-05,75.45250402717046,75.45248746063442,-0.7793375645475094,0.0,,10.008,False,75.4524874606344,False
One-stage weighted objective,210,3.5,0.0,6.717530187425415e-13,0.0,0.24834866202085562,5.518330010296202e-06,25.16836464434685,25.16835912601684,0.42741902166716755,5.523317629457286e-06,25.145637579064154,25.145632055746525,0.4340517984790078,5.5329667402716895e-06,25.10178580075592,25.101780267789177,0.4664198062209607,1.6574614380025178e-05,75.41578802416691,75.41577144955254,1.3278906263671362,0.0,,12.638,False,75.41577144955254,False
One-stage weighted objective,240,4.0,0.8028310228511782,0.0265129235272251,0.7763180993239531,0.20645100946600606,4.3397289582830126e-12,0.7763181073406407,0.7763181073363008,-23.336890723588766,4.33972895415333e-12,0.7763181073406407,0.7763181073363008,-23.23977783334449,4.339728966213041e-12,0.7763181073406407,0.7763181073363008,-23.17520238771241,1.3019186878649384e-11,2.328954322021922,2.3289543220089026,-69.75187094464567,0.38815904966197656,0.9669757112361366,10.408,False,2.3289543220089026,False
One-stage weighted objective,270,4.5,3.34813146317036,0.028293059166171572,3.319838404004188,0.20515714595377738,4.340438628794086e-12,3.31983843747388,3.3198384374695395,-22.79094255387186,4.3404386302040784e-12,3.31983843747388,3.3198384374695395,-23.220089150073424,4.340438599236554e-12,3.31983843747388,3.3198384374695395,-23.315377753092807,1.302131585823472e-11,9.959515312421642,9.95951531240862,-69.3264094570381,1.659919202002094,0.9915495972970605,9.298,False,9.959515312408621,False
One-stage weighted objective,300,5.0,7.6124904720528,0.024251325693883146,7.588239146358917,0.19962408189132677,4.34165157753547e-12,7.588239222472198,7.588239222467856,-22.171303454984887,4.341651546467572e-12,7.588239222472198,7.588239222467856,-22.526554684631243,4.341651552676192e-12,7.588239222472198,7.588239222467856,-22.341412783088916,1.3024954676679234e-11,22.764717667416594,22.76471766740357,-67.03927092270506,3.7941195731794584,0.9968142717836015,10.438,False,22.76471766740357,False
