Time_sample,Time_h,Bus,Phase,Low_limit_pu,High_limit_pu,OPF_V_pu,DSS_V_pu,OPF_violation_pu,DSS_violation_pu,Voltage_violation_pu
30,0.5,feeder2_1818,1,0.9,1.1,1.1000000054982821,1.0999964990623758,5.498282051874526e-09,0.0,5.498282051874526e-09
30,0.5,feeder2_1818,2,0.9,1.1,1.1000000054996821,1.1000013884269904,5.499682043108578e-09,1.3884269902675328e-06,1.3884269902675328e-06
60,1.0,feeder2_1818,1,0.9,1.1,1.1000000054996633,1.0999887025079897,5.499663169317159e-09,0.0,5.499663169317159e-09
60,1.0,feeder2_1818,2,0.9,1.1,1.1000000054994683,1.0999983490922298,5.499468214154035e-09,0.0,5.499468214154035e-09
90,1.5,feeder2_1818,1,0.9,1.1,1.1000000054990908,1.1000013884269908,5.499090738325663e-09,1.388426990711622e-06,1.388426990711622e-06
90,1.5,feeder2_1818,3,0.9,1.1,1.1000000054991668,1.0999936579450995,5.499166677580547e-09,0.0,5.499166677580547e-09
120,2.0,feeder2_1818,2,0.9,1.1,1.1000000054997745,1.1000016527169696,5.499774413664227e-09,1.6527169695024213e-06,1.6527169695024213e-06
150,2.5,feeder2_1818,1,0.9,1.1,1.100000005499641,1.1000031063118552,5.499640964856667e-09,3.1063118550722635e-06,3.1063118550722635e-06
150,2.5,feeder2_1818,2,0.9,1.1,1.100000005499788,1.0999978205122716,5.499787958385127e-09,0.0,5.499787958385127e-09
150,2.5,feeder2_1818,3,0.9,1.1,1.10000000549976,1.0999988776721885,5.499759980764907e-09,0.0,5.499759980764907e-09
180,3.0,feeder2_1818,1,0.9,1.1,1.100000005499686,1.1000023134419177,5.499685817866862e-09,2.3134419175896426e-06,2.3134419175896426e-06
180,3.0,feeder2_1818,2,0.9,1.1,1.1000000054995172,1.0999965651348702,5.499517063967119e-09,0.0,5.499517063967119e-09
180,3.0,feeder2_1818,3,0.9,1.1,1.10000000549974,1.1000000669770946,5.4997399967504634e-09,6.697709453717948e-08,6.697709453717948e-08
210,3.5,feeder2_1818,2,0.9,1.1,1.1000000054805295,1.1000017848619594,5.4805293636661645e-09,1.7848619593419102e-06,1.7848619593419102e-06
420,7.0,feeder2_1818,2,0.9,1.1,1.1000000054996415,1.1000022473694229,5.499641408945877e-09,2.2473694227809204e-06,2.2473694227809204e-06
420,7.0,feeder2_1818,3,0.9,1.1,1.1000000054996328,1.1000027098768865,5.499632749206285e-09,2.7098768864419753e-06,2.7098768864419753e-06
450,7.5,feeder2_1818,1,0.9,1.1,1.1000000054997696,1.0999966312073652,5.4997695286829185e-09,0.0,5.4997695286829185e-09
