Time_sample,Time_h,BESS_P_ch_A_W,BESS_P_ch_B_W,BESS_P_ch_C_W,BESS_P_dis_A_W,BESS_P_dis_B_W,BESS_P_dis_C_W,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,BESS_Q_A_var,BESS_Q_B_var,BESS_Q_C_var,BESS_Q_total_var,BESS_SOC_pu
30,0.5,0.005611779380669693,0.005611779380669693,0.005611779380669693,24749.156926692387,24749.156926692387,24749.156926692387,24749.151314913008,24749.151314913008,24749.151314913008,74247.45394473903,-3216.359237340589,-3216.359237340589,-3216.359237340589,-9649.077712021768,0.4999999999999999
60,1.0,0.005573218672223293,0.005573218672223293,0.005573218672223293,24920.392270604178,24920.392270604178,24920.392270604178,24920.386697385504,24920.386697385504,24920.386697385504,74761.16009215651,-2355.218585668926,-2355.218585668926,-2355.218585668926,-7065.655757006778,0.4587514126980814
90,1.5,0.005533921971451482,0.005533921971451482,0.005533921971451482,25097.35099393757,25097.35099393757,25097.35099393757,25097.345460015596,25097.345460015596,25097.345460015596,75292.03638004679,-550.0996595048606,-550.0996595048606,-550.0996595048606,-1650.298978514582,0.4172174331042551
120,2.0,0.005648603709351832,0.005648603709351832,0.005648603709351832,24587.814607748616,24587.814607748616,24587.814607748616,24587.808959144906,24587.808959144906,24587.808959144906,73763.42687743471,-4612.213947543689,-4612.213947543689,-4612.213947543689,-13836.641842631067,0.37538852225182046
150,2.5,0.00555383745539597,0.00555383745539597,0.00555383745539597,25007.355731067604,25007.355731067604,25007.355731067604,25007.35017723015,25007.35017723015,25007.35017723015,75022.05053169045,-2131.2324621397893,-2131.2324621397893,-2131.2324621397893,-6393.697386419368,0.33440883886452233
180,3.0,0.005551987074107506,0.005551987074107506,0.005551987074107506,25015.690136367968,25015.690136367968,25015.690136367968,25015.684584380895,25015.684584380895,25015.684584380895,75047.05375314268,-1819.1102817516041,-1819.1102817516041,-1819.1102817516041,-5457.330845254813,0.29272992014375687
210,3.5,0.005532645741689245,0.005532645741689245,0.005532645741689245,25103.140185579967,25103.140185579967,25103.140185579967,25103.134652934226,25103.134652934226,25103.134652934226,75309.40395880268,440.3522347942892,440.3522347942892,440.3522347942892,1321.0567043828676,0.2510371107450571
240,4.0,1.7270475792453292e-08,1.7270475792453292e-08,1.7270475792453292e-08,802.8310308561602,802.8310308561602,802.8310308561602,802.8310308388897,802.8310308388897,802.8310308388897,2408.493092516669,-22749.224452873026,-22749.224452873026,-22749.224452873026,-68247.67335861908,0.20919855123816222
270,4.5,1.666222060835383e-08,1.666222060835383e-08,1.666222060835383e-08,3348.1314966283467,3348.1314966283467,3348.1314966283467,3348.1314966116843,3348.1314966116843,3348.1314966116843,10044.394489835053,-22666.348585169144,-22666.348585169144,-22666.348585169144,-67999.04575550742,0.20786049952001848
300,5.0,1.5185760844432865e-08,1.5185760844432865e-08,1.5185760844432865e-08,7612.490548154376,7612.490548154376,7612.490548154376,7612.49054813919,7612.49054813919,7612.49054813919,22837.47164441757,-21937.78710998177,-21937.78710998177,-21937.78710998177,-65813.36132994531,0.20228028035899373
330,5.5,3.474260345074181e-07,3.474260345074181e-07,3.474260345074181e-07,3.408579558615812e-07,3.408579558615812e-07,3.408579558615812e-07,-6.568078645836895e-09,-6.568078645836895e-09,-6.568078645836895e-09,-1.9704235937510685e-08,-22511.90944432013,-22511.90944432013,-22511.90944432013,-67535.72833296038,0.1895927961120953
360,6.0,3.474259232862255e-07,3.474259232862255e-07,3.474259232862255e-07,3.4085784873170345e-07,3.4085784873170345e-07,3.4085784873170345e-07,-6.56807455452207e-09,-6.56807455452207e-09,-6.56807455452207e-09,-1.970422366356621e-08,-21222.50619679264,-21222.50619679264,-21222.50619679264,-63667.51859037792,0.18959279611199625
390,6.5,3.4742180486451333e-07,3.4742180486451333e-07,3.4742180486451333e-07,3.408537734171446e-07,3.408537734171446e-07,3.408537734171446e-07,-6.568031447368752e-09,-6.568031447368752e-09,-6.568031447368752e-09,-1.9704094342106257e-08,-10391.017551052211,-10391.017551052211,-10391.017551052211,-31173.052653156636,0.18959279611185223
420,7.0,2670.406060667566,2670.406060667566,2670.406060667566,0.05201025253074308,0.05201025253074308,0.05201025253074308,-2670.3540504150355,-2670.3540504150355,-2670.3540504150355,-8011.062151245107,-5492.574284529062,-5492.574284529062,-5492.574284529062,-16477.722853587187,0.18959279611175317
450,7.5,22201.03332616307,22201.03332616307,22201.03332616307,0.006255831013469634,0.006255831013469634,0.006255831013469634,-22201.027070332057,-22201.027070332057,-22201.027070332057,-66603.08121099617,-4713.565073468722,-4713.565073468722,-4713.565073468722,-14140.695220406167,0.1931977576100277
480,8.0,21323.27053350942,21323.27053350942,21323.27053350942,0.006513354805647954,0.006513354805647954,0.006513354805647954,-21323.264020154616,-21323.264020154616,-21323.264020154616,-63969.79206046385,-2285.100274907539,-2285.100274907539,-2285.100274907539,-6855.300824722617,0.22316914217396283
510,8.5,27614.79863140936,27614.79863140936,27614.79863140936,0.005029376165930989,0.005029376165930989,0.005029376165930989,-27614.793602033194,-27614.793602033194,-27614.793602033194,-82844.38080609958,-318.2627427720215,-318.2627427720215,-318.2627427720215,-954.7882283160645,0.25195554653857105
540,9.0,32514.125324513767,32514.125324513767,32514.125324513767,0.004271514879623689,0.004271514879623689,0.004271514879623689,-32514.121052998886,-32514.121052998886,-32514.121052998886,-97542.36315899665,-553.9047054321044,-553.9047054321044,-553.9047054321044,-1661.714116296313,0.28923551630868005
570,9.5,37545.64549968201,37545.64549968201,37545.64549968201,0.003699068253460409,0.003699068253460409,0.003699068253460409,-37545.641800613754,-37545.641800613754,-37545.641800613754,-112636.92540184126,-5441.920322281303,-5441.920322281303,-5441.920322281303,-16325.760966843909,0.3331295783776049
600,10.0,16461.8230596209,16461.8230596209,16461.8230596209,0.008436894116685125,0.008436894116685125,0.008436894116685125,-16461.814622726783,-16461.814622726783,-16461.814622726783,-49385.443868180344,-7148.131619528082,-7148.131619528082,-7148.131619528082,-21444.394858584248,0.38381619363706176
630,10.5,51573.55828763854,51573.55828763854,51573.55828763854,0.0026928910317348905,0.0026928910317348905,0.0026928910317348905,-51573.55559474751,-51573.55559474751,-51573.55559474751,-154720.66678424252,443.5518889424564,443.5518889424564,443.5518889424564,1330.6556668273693,0.40603964070607423
660,11.0,53863.03145109599,53863.03145109599,53863.03145109599,0.0025784222920755702,0.0025784222920755702,0.0025784222920755702,-53863.0288726737,-53863.0288726737,-53863.0288726737,-161589.0866180211,438.8570914266927,438.8570914266927,438.8570914266927,1316.5712742800781,0.4756639399062345
690,11.5,52619.218171008906,52619.218171008906,52619.218171008906,0.002639374484335418,0.002639374484335418,0.002639374484335418,-52619.21553163442,-52619.21553163442,-52619.21553163442,-157857.64659490326,445.16564604885576,445.16564604885576,445.16564604885576,1335.4969381465673,0.5483790280678416
