Time_sample,Time_h,PV_architecture,PV_available_P_W,PV_command_P_W,PV_Q_command_var,PV_curtailment_W,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,CentralSolar_P_curtailment_W
30,0.5,central,0.0,-3.4540120073402145e-16,-4.825883737647008e-07,3.4540120073402145e-16,0.0,-3.4540120073402145e-16,-4.825883737647008e-07,3.4540120073402145e-16
60,1.0,central,0.0,-3.489038915816268e-16,7.159372631542468e-08,3.489038915816268e-16,0.0,-3.489038915816268e-16,7.159372631542468e-08,3.489038915816268e-16
90,1.5,central,0.0,-3.525237979102631e-16,6.949045079803867e-08,3.525237979102631e-16,0.0,-3.525237979102631e-16,6.949045079803867e-08,3.525237979102631e-16
120,2.0,central,0.0,-3.4187120810398243e-16,4.9782125257952865e-08,3.4187120810398243e-16,0.0,-3.4187120810398243e-16,4.9782125257952865e-08,3.4187120810398243e-16
150,2.5,central,0.0,-3.507158928756917e-16,7.472001601113594e-08,3.507158928756917e-16,0.0,-3.507158928756917e-16,7.472001601113594e-08,3.507158928756917e-16
180,3.0,central,0.0,-3.5092163524690867e-16,-8.589434047775761e-08,3.5092163524690867e-16,0.0,-3.5092163524690867e-16,-8.589434047775761e-08,3.5092163524690867e-16
210,3.5,central,0.0,-3.526913720246468e-16,1.4417286368153008e-06,3.526913720246468e-16,0.0,-3.526913720246468e-16,1.4417286368153008e-06,3.526913720246468e-16
240,4.0,central,802.8310228511782,1.1094400964576982e-09,-9.26891619684576e-08,802.8310228500687,802.8310228511782,1.1094400964576982e-09,-9.26891619684576e-08,802.8310228500687
270,4.5,central,3348.13146317036,1.1094395459259871e-09,-7.19833837439069e-07,3348.1314631692503,3348.13146317036,1.1094395459259871e-09,-7.19833837439069e-07,3348.1314631692503
300,5.0,central,7612.490472052799,1.1094414791355407e-09,-7.385297228366727e-07,7612.49047205169,7612.490472052799,1.1094414791355407e-09,-7.385297228366727e-07,7612.49047205169
