Time_sample,Time_h,PV_architecture,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,NetCentral_P_injection_A_W,NetCentral_P_injection_B_W,NetCentral_P_injection_C_W,NetCentral_P_injection_total_W,BESS_SOC_pu
30,0.5,central,0.0,-3.4540120073402145e-16,-4.825883737647008e-07,24749.151314913008,24749.151314913008,24749.151314913008,74247.45394473903,24749.151314913008,24749.151314913008,24749.151314913008,74247.45394473903,0.4999999999999999
60,1.0,central,0.0,-3.489038915816268e-16,7.159372631542468e-08,24920.386697385504,24920.386697385504,24920.386697385504,74761.16009215651,24920.386697385504,24920.386697385504,24920.386697385504,74761.16009215651,0.4587514126980814
90,1.5,central,0.0,-3.525237979102631e-16,6.949045079803867e-08,25097.345460015596,25097.345460015596,25097.345460015596,75292.03638004679,25097.345460015596,25097.345460015596,25097.345460015596,75292.03638004679,0.4172174331042551
120,2.0,central,0.0,-3.4187120810398243e-16,4.9782125257952865e-08,24587.808959144906,24587.808959144906,24587.808959144906,73763.42687743471,24587.808959144906,24587.808959144906,24587.808959144906,73763.42687743471,0.37538852225182046
150,2.5,central,0.0,-3.507158928756917e-16,7.472001601113594e-08,25007.35017723015,25007.35017723015,25007.35017723015,75022.05053169045,25007.35017723015,25007.35017723015,25007.35017723015,75022.05053169045,0.33440883886452233
180,3.0,central,0.0,-3.5092163524690867e-16,-8.589434047775761e-08,25015.684584380895,25015.684584380895,25015.684584380895,75047.05375314268,25015.684584380895,25015.684584380895,25015.684584380895,75047.05375314268,0.29272992014375687
210,3.5,central,0.0,-3.526913720246468e-16,1.4417286368153008e-06,25103.134652934226,25103.134652934226,25103.134652934226,75309.40395880268,25103.134652934226,25103.134652934226,25103.134652934226,75309.40395880268,0.2510371107450571
240,4.0,central,802.8310228511782,1.1094400964576982e-09,-9.26891619684576e-08,802.8310308388897,802.8310308388897,802.8310308388897,2408.493092516669,802.8310308392595,802.8310308392595,802.8310308392595,2408.4930925177787,0.20919855123816222
270,4.5,central,3348.13146317036,1.1094395459259871e-09,-7.19833837439069e-07,3348.1314966116843,3348.1314966116843,3348.1314966116843,10044.394489835053,3348.131496612054,3348.131496612054,3348.131496612054,10044.394489836162,0.20786049952001848
300,5.0,central,7612.490472052799,1.1094414791355407e-09,-7.385297228366727e-07,7612.49054813919,7612.49054813919,7612.49054813919,22837.47164441757,7612.49054813956,7612.49054813956,7612.49054813956,22837.471644418678,0.20228028035899373
