Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction
One-stage weighted objective,240,4.0,0.8028310228511782,1.1094400964576982e-12,0.8028310228500687,0.20919855123816222,1.727047579245329e-11,0.8028310308561601,0.8028310308388896,-22.749224452873026,1.727047579245329e-11,0.8028310308561601,0.8028310308388896,-22.749224452873026,1.727047579245329e-11,0.8028310308561601,0.8028310308388896,-22.749224452873026,5.1811427377359876e-11,2.4084930925684804,2.408493092516669,-68.24767335861908,0.40141551142503434,0.999999999998618
One-stage weighted objective,270,4.5,3.34813146317036,1.1094395459259872e-12,3.3481314631692505,0.20786049952001848,1.6662220608353832e-11,3.348131496628347,3.348131496611684,-22.666348585169143,1.6662220608353832e-11,3.348131496628347,3.348131496611684,-22.666348585169143,1.6662220608353832e-11,3.348131496628347,3.348131496611684,-22.666348585169143,4.998666182506149e-11,10.04439448988504,10.044394489835053,-67.99904575550742,1.6740657315846252,0.9999999999996687
One-stage weighted objective,300,5.0,7.6124904720528,1.1094414791355406e-12,7.6124904720516895,0.20228028035899373,1.5185760844432863e-11,7.612490548154375,7.612490548139189,-21.93778710998177,1.5185760844432863e-11,7.612490548154375,7.612490548139189,-21.93778710998177,1.5185760844432863e-11,7.612490548154375,7.612490548139189,-21.93778710998177,4.5557282533298596e-11,22.837471644463125,22.83747164441757,-65.81336132994531,3.8062452360258447,0.9999999999998541
One-stage weighted objective,1020,17.0,58.8676590442051,39.826061235596235,19.04159780860886,0.9734252639128731,1.2006029253351498e-05,11.568175620375483,11.56816361434623,0.4407908475248743,1.2006029253351498e-05,11.568175620375483,11.56816361434623,0.4407908475248743,1.2006029253351498e-05,11.568175620375483,11.56816361434623,0.4407908475248743,3.601808776005449e-05,34.704526861126446,34.704490843038684,1.322372542574623,9.52079890430443,0.32346449846612857
One-stage weighted objective,1050,17.5,21.38615526279812,1.109432239989096e-12,21.386155262797008,0.9541449874203657,1.2256595687985215e-11,21.38615536277479,21.386155362762533,-10.76008685731807,1.2256595687985215e-11,21.38615536277479,21.386155362762533,-10.76008685731807,1.2256595687985215e-11,21.38615536277479,21.386155362762533,-10.76008685731807,3.6769787063955646e-11,64.15846608832436,64.1584660882876,-32.28026057195421,10.693077631398504,0.999999999999948
One-stage weighted objective,1080,18.0,35.72629562474032,0.6493362810159967,35.076959343724326,0.9185013951490909,5.818142884721082e-06,23.871341443381855,23.87133562523897,-5.18779698256839,5.818142884721082e-06,23.871341443381855,23.87133562523897,-5.18779698256839,5.818142884721082e-06,23.871341443381855,23.87133562523897,-5.18779698256839,1.7454428654163247e-05,71.61402433014557,71.61400687571691,-15.563390947705168,17.538479671862163,0.981824696077185
One-stage weighted objective,1110,18.5,34.88048921037201,3.9449215937105078,30.935567616661505,0.8787158339312934,5.93078342674403e-06,23.41797029780404,23.417964367020613,0.44251766338340237,5.93078342674403e-06,23.41797029780404,23.417964367020613,0.44251766338340237,5.93078342674403e-06,23.41797029780404,23.417964367020613,0.44251766338340237,1.7792350280232088e-05,70.25391089341211,70.25389310106183,1.327552990150207,15.467783808330752,0.8869017699288044
One-stage weighted objective,1140,19.0,14.676355200650205,1.1094413055447143e-12,14.676355200649095,0.839685891441511,1.3256938667402893e-11,14.676355300626875,14.676355300613618,-17.67213746505185,1.3256938667402893e-11,14.676355300626875,14.676355300613618,-17.67213746505185,1.3256938667402893e-11,14.676355300626875,14.676355300613618,-17.67213746505185,3.977081600220868e-11,44.02906590188063,44.02906590184085,-53.016412395155555,7.338177600324547,0.9999999999999244
One-stage weighted objective,1170,19.5,6.556644238336596,1.1094427164299186e-12,6.556644238335487,0.8152252992738191,1.555565041989113e-11,6.55664430387971,6.556644303864155,-21.66734539794507,1.555565041989113e-11,6.55664430387971,6.556644303864155,-21.66734539794507,1.555565041989113e-11,6.55664430387971,6.556644303864155,-21.66734539794507,4.6666951259673394e-11,19.66993291163913,19.66993291159246,-65.00203619383521,3.2783221191677434,0.9999999999998308
One-stage weighted objective,1200,20.0,1.4787101336823925,1.10943980801291e-12,1.4787101336812831,0.804297558767374,1.7123175339959547e-11,1.4787101484461653,1.478710148429042,-22.195994159075518,1.7123175339959547e-11,1.4787101484461653,1.478710148429042,-22.195994159075518,1.7123175339959547e-11,1.4787101484461653,1.478710148429042,-22.195994159075518,5.1369526019878634e-11,4.436130445338495,4.436130445287127,-66.58798247722656,0.7393550668406416,0.9999999999992498
One-stage weighted objective,1230,20.5,0.5138621598622417,1.1094461751644449e-12,0.5138621598611323,0.8018330418533189,1.734893673116359e-11,0.5138621649775349,0.513862164960186,-22.14073275880607,1.734893673116359e-11,0.5138621649775349,0.513862164960186,-22.14073275880607,1.734893673116359e-11,0.5138621649775349,0.513862164960186,-22.14073275880607,5.204681019349077e-11,1.5415864949326046,1.541586494880558,-66.4221982764182,0.25693107993056613,0.999999999997841
