Time_sample,Time_h,Feeder_line,OPF_P_sending_A_kW,OPF_P_sending_B_kW,OPF_P_sending_C_kW,OPF_source_flow_total_kW,OPF_feeder_import_kW,OPF_feeder_export_kW,OPF_feeder_export_energy_kWh,sign_convention,units
30,0.5,feeder2_line1,-16.662418943874076,-20.838286029162067,-18.046717460620272,-55.547422433656415,0.0,55.547422433656415,27.773711216828207,positive source flow = import; negative source flow = export,kW; energy column kWh
60,1.0,feeder2_line1,-19.315894313064245,-21.140408053671628,-20.070117673144683,-60.52642003988055,0.0,60.52642003988055,30.263210019940274,positive source flow = import; negative source flow = export,kW; energy column kWh
90,1.5,feeder2_line1,-19.5622135990644,-21.08769413004372,-21.8462733114685,-62.49618104057662,0.0,62.49618104057662,31.24809052028831,positive source flow = import; negative source flow = export,kW; energy column kWh
120,2.0,feeder2_line1,-18.8531889411001,-21.6399677427965,-19.7997385432887,-60.2928952271853,0.0,60.2928952271853,30.14644761359265,positive source flow = import; negative source flow = export,kW; energy column kWh
150,2.5,feeder2_line1,-19.547981372963214,-21.989326872811066,-21.625050571602255,-63.16235881737654,0.0,63.16235881737654,31.58117940868827,positive source flow = import; negative source flow = export,kW; energy column kWh
180,3.0,feeder2_line1,-19.42657062926224,-21.076018543103007,-22.10511031911867,-62.60769949148391,0.0,62.60769949148391,31.303849745741957,positive source flow = import; negative source flow = export,kW; energy column kWh
210,3.5,feeder2_line1,-19.207276476492538,-20.534824048685955,-20.488040007413975,-60.23014053259247,0.0,60.23014053259247,30.115070266296236,positive source flow = import; negative source flow = export,kW; energy column kWh
240,4.0,feeder2_line1,4.1695118584557695,3.0863656478158807,3.1584019236123795,10.41427942988403,10.41427942988403,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
270,4.5,feeder2_line1,2.469210443430402,0.2582320735553003,-1.114862441691462,1.61258007529424,1.61258007529424,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
300,5.0,feeder2_line1,-1.6237967658919514,-4.3491504493292,-4.0154521561012935,-9.988399371322444,0.0,9.988399371322444,4.994199685661222,positive source flow = import; negative source flow = export,kW; energy column kWh
330,5.5,feeder2_line1,0.3366885984429191,-1.3375863486147064,-1.353303748985166,-2.3542014991569533,0.0,2.3542014991569533,1.1771007495784767,positive source flow = import; negative source flow = export,kW; energy column kWh
