Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction,Feeder_nominal_P_demand_kW,PV_surplus_interval,BESS_net_discharge_kW,Gate_violation
One-stage weighted objective,30,0.5,0.0,-3.4540120073402146e-19,3.4540120073402146e-19,0.4999999999999999,5.6117793806696926e-06,24.749156926692386,24.749151314913007,-3.216359237340589,5.6117793806696926e-06,24.749156926692386,24.749151314913007,-3.216359237340589,5.6117793806696926e-06,24.749156926692386,24.749151314913007,-3.216359237340589,1.6835338142009077e-05,74.24747078007715,74.24745394473902,-9.649077712021768,1.7270060036701073e-19,,15.664,False,74.24745394473901,False
One-stage weighted objective,60,1.0,0.0,-3.489038915816268e-19,3.489038915816268e-19,0.4587514126980814,5.573218672223293e-06,24.92039227060418,24.920386697385503,-2.355218585668926,5.573218672223293e-06,24.92039227060418,24.920386697385503,-2.355218585668926,5.573218672223293e-06,24.92039227060418,24.920386697385503,-2.355218585668926,1.671965601666988e-05,74.76117681181253,74.76116009215652,-7.065655757006778,1.744519457908134e-19,,11.51,False,74.76116009215652,False
One-stage weighted objective,90,1.5,0.0,-3.525237979102631e-19,3.525237979102631e-19,0.4172174331042551,5.533921971451483e-06,25.097350993937567,25.097345460015596,-0.5500996595048606,5.533921971451483e-06,25.097350993937567,25.097345460015596,-0.5500996595048606,5.533921971451483e-06,25.097350993937567,25.097345460015596,-0.5500996595048606,1.6601765914354447e-05,75.29205298181272,75.2920363800468,-1.6502989785145818,1.7626189895513155e-19,,10.378,False,75.2920363800468,False
One-stage weighted objective,120,2.0,0.0,-3.4187120810398242e-19,3.4187120810398242e-19,0.37538852225182046,5.648603709351832e-06,24.587814607748616,24.587808959144905,-4.6122139475436885,5.648603709351832e-06,24.587814607748616,24.587808959144905,-4.6122139475436885,5.648603709351832e-06,24.587814607748616,24.587808959144905,-4.6122139475436885,1.6945811128055494e-05,73.76344382324585,73.76342687743471,-13.836641842631067,1.7093560405199121e-19,,11.028,False,73.76342687743472,False
One-stage weighted objective,150,2.5,0.0,-3.507158928756917e-19,3.507158928756917e-19,0.33440883886452233,5.55383745539597e-06,25.007355731067605,25.00735017723015,-2.1312324621397893,5.55383745539597e-06,25.007355731067605,25.00735017723015,-2.1312324621397893,5.55383745539597e-06,25.007355731067605,25.00735017723015,-2.1312324621397893,1.666151236618791e-05,75.02206719320282,75.02205053169044,-6.393697386419368,1.7535794643784586e-19,,9.438,False,75.02205053169045,False
One-stage weighted objective,180,3.0,0.0,-3.5092163524690866e-19,3.5092163524690866e-19,0.29272992014375687,5.551987074107506e-06,25.01569013636797,25.015684584380896,-1.819110281751604,5.551987074107506e-06,25.01569013636797,25.015684584380896,-1.819110281751604,5.551987074107506e-06,25.01569013636797,25.015684584380896,-1.819110281751604,1.6655961222322518e-05,75.04707040910391,75.04705375314268,-5.457330845254813,1.7546081762345433e-19,,10.008,False,75.04705375314269,False
One-stage weighted objective,210,3.5,0.0,-3.526913720246468e-19,3.526913720246468e-19,0.2510371107450571,5.532645741689245e-06,25.103140185579967,25.103134652934227,0.4403522347942892,5.532645741689245e-06,25.103140185579967,25.103134652934227,0.4403522347942892,5.532645741689245e-06,25.103140185579967,25.103134652934227,0.4403522347942892,1.6597937225067737e-05,75.30942055673991,75.30940395880268,1.3210567043828676,1.763456860123234e-19,,12.638,False,75.30940395880269,False
One-stage weighted objective,240,4.0,0.8028310228511782,1.1094400964576982e-12,0.8028310228500687,0.20919855123816222,1.727047579245329e-11,0.8028310308561601,0.8028310308388896,-22.749224452873026,1.727047579245329e-11,0.8028310308561601,0.8028310308388896,-22.749224452873026,1.727047579245329e-11,0.8028310308561601,0.8028310308388896,-22.749224452873026,5.1811427377359876e-11,2.4084930925684804,2.408493092516669,-68.24767335861908,0.40141551142503434,0.999999999998618,10.408,False,2.408493092516669,False
One-stage weighted objective,270,4.5,3.34813146317036,1.1094395459259872e-12,3.3481314631692505,0.20786049952001848,1.6662220608353832e-11,3.348131496628347,3.348131496611684,-22.666348585169143,1.6662220608353832e-11,3.348131496628347,3.348131496611684,-22.666348585169143,1.6662220608353832e-11,3.348131496628347,3.348131496611684,-22.666348585169143,4.998666182506149e-11,10.04439448988504,10.044394489835053,-67.99904575550742,1.6740657315846252,0.9999999999996687,9.298,False,10.044394489835053,False
One-stage weighted objective,300,5.0,7.6124904720528,1.1094414791355406e-12,7.6124904720516895,0.20228028035899373,1.5185760844432863e-11,7.612490548154375,7.612490548139189,-21.93778710998177,1.5185760844432863e-11,7.612490548154375,7.612490548139189,-21.93778710998177,1.5185760844432863e-11,7.612490548154375,7.612490548139189,-21.93778710998177,4.5557282533298596e-11,22.837471644463125,22.83747164441757,-65.81336132994531,3.8062452360258447,0.9999999999998541,10.438,False,22.83747164441757,False
