Time_sample,Time_h,BESS_P_ch_A_W,BESS_P_ch_B_W,BESS_P_ch_C_W,BESS_P_dis_A_W,BESS_P_dis_B_W,BESS_P_dis_C_W,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,BESS_Q_A_var,BESS_Q_B_var,BESS_Q_C_var,BESS_Q_total_var,BESS_SOC_pu
30,0.5,0.005441075489956041,0.005522397264607078,0.00555129924257462,25524.3747126758,25148.542827323818,25017.617060231205,25524.36927160031,25148.537304926554,25017.61150893196,75690.51808545883,-764.8190853915115,-205.63113732910165,1400.6674718302336,430.2172491096204,0.5
60,1.0,0.00552141377998343,0.0055275695756013465,0.005524479836577852,25153.014893416006,25125.004355968216,25139.054339998143,25153.009372002227,25124.998828398642,25139.04881551831,75417.05701591918,-1054.7231773536316,1107.0889974468046,137.55345944562256,189.9192795387955,0.45794971043151916
90,1.5,0.005518315574794305,0.0055238196852643705,0.005522488223133799,25167.132688683963,25142.057314705333,25148.118536479287,25167.12717036839,25142.05179088565,25148.113013991064,75457.2919752451,622.242922049955,447.4560458364234,-252.23914679869884,817.4598210876795,0.416051343673254
120,2.0,0.005485399824474611,0.0055253538351445,0.005541218585628864,25318.144031426822,25135.084672086105,25063.12790422568,25318.138546026996,25135.07914673227,25063.122363007093,75516.34005576636,-742.877238039054,-847.9441652161994,2053.314663518596,462.49326026334256,0.37413062416074094
150,2.5,0.005517075704278525,0.0055292685730599445,0.005522373849685276,25172.78862759641,25117.282928588495,25148.639906000542,25172.783110520704,25117.277399319923,25148.634383626693,75438.69489346731,-334.11617485013255,-1270.271322524493,193.39390214939797,-1410.9935952252276,0.3321771001603848
180,3.0,0.005517211169656909,0.005522400186129219,0.0055260713254116954,25172.17065102698,25148.519472108812,25131.81390292534,25172.16513381581,25148.513949708627,25131.808376854013,75452.48746037846,369.03495902918337,-208.46787564509881,-939.9046525765993,-779.3375691925148,0.29026671235953827
210,3.5,0.005518045482257606,0.005523033116819586,0.005532682394607884,25168.36459961321,25145.63771520904,25101.78570839173,25168.359081567727,25145.632192175923,25101.780175709337,75415.771449453,427.41416219662597,434.0437836081921,466.4099947057985,1327.8679405106166,0.24834866202183933
240,4.0,6.241229261179468e-08,6.241229139858177e-08,6.241229493620174e-08,764.4209212196519,764.420921219652,764.420921219652,764.4209211572396,764.4209211572397,764.4209211572397,2293.262763471719,-23214.44253486219,-23100.91402311584,-23035.399884252092,-69350.75644223012,0.20645100946713513
270,4.5,6.261780494836841e-08,6.261780544612436e-08,6.261779599622415e-08,3300.7402510109046,3300.7402510109046,3300.7402510109046,3300.7402509482868,3300.7402509482868,3300.7402509482868,9902.22075284486,-22685.59592647631,-23135.197227412937,-23226.192390581396,-69046.98554447063,0.20517697459851997
300,5.0,6.29593777280354e-08,6.295936767985253e-08,6.295936977992037e-08,7570.345238636584,7570.345238636584,7570.345238636584,7570.345238573625,7570.345238573625,7570.345238573625,22711.035715720875,-22167.53671281568,-22531.30128781299,-22321.688189295288,-67020.52618992396,0.19967574084691966
330,5.5,1.7438042232001063e-07,1.7438039629101004e-07,1.7438040872113722e-07,1.3802530411947875e-07,1.3802533353922592e-07,1.3802601303648808e-07,-3.635511820053189e-08,-3.6355062751784116e-08,-3.635439568464915e-08,-1.0906457663696515e-07,-22630.14454063416,-22879.912207924073,-22722.99059907954,-68233.04734763777,0.18705849878261033
