Time_sample,Time_h,PV_architecture,PV_available_P_W,PV_command_P_W,PV_Q_command_var,PV_curtailment_W,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,CentralSolar_P_curtailment_W
30,0.5,central,0.0,1.3132264081311737e-12,1.5990715345657112e-06,0.0,0.0,1.3132264081311737e-12,1.5990715345657112e-06,0.0
60,1.0,central,0.0,1.4948537045312243e-12,-1.9330753133935255e-06,0.0,0.0,1.4948537045312243e-12,-1.9330753133935255e-06,0.0
90,1.5,central,0.0,1.5653640507050148e-12,2.5696193766599953e-06,0.0,0.0,1.5653640507050148e-12,2.5696193766599953e-06,0.0
120,2.0,central,0.0,1.3764080616539783e-12,6.752948352153269e-06,0.0,0.0,1.3764080616539783e-12,6.752948352153269e-06,0.0
150,2.5,central,0.0,1.5328437777666262e-12,-2.1755163189650254e-06,0.0,0.0,1.5328437777666262e-12,-2.1755163189650254e-06,0.0
180,3.0,central,0.0,1.5331315585038045e-12,-1.4249890322176747e-06,0.0,0.0,1.5331315585038045e-12,-1.4249890322176747e-06,0.0
210,3.5,central,0.0,1.5735177433680316e-12,-5.477654962857484e-06,0.0,0.0,1.5735177433680316e-12,-5.477654962857484e-06,0.0
240,4.0,central,802.8310228511782,38.4101096011936,-7.117933039719115e-09,764.4209132499846,802.8310228511782,38.4101096011936,-7.117933039719115e-09,764.4209132499846
270,4.5,central,3348.13146317036,47.3912455821271,-5.9019005140083155e-09,3300.740217588233,3348.13146317036,47.3912455821271,-5.9019005140083155e-09,3300.740217588233
300,5.0,central,7612.490472052799,42.145309482476726,-4.3801766482364255e-09,7570.345162570323,7612.490472052799,42.145309482476726,-4.3801766482364255e-09,7570.345162570323
330,5.5,central,16214.672980009611,16214.673079806687,-3.888824613518867e-09,0.0,16214.672980009611,16214.673079806687,-3.888824613518867e-09,0.0
360,6.0,central,32040.626329922346,32040.626429719363,-8.510189409786135e-10,0.0,32040.626329922346,32040.626429719363,-8.510189409786135e-10,0.0
390,6.5,central,67541.17105030791,67541.17115010486,-7.250815768689077e-10,0.0,67541.17105030791,67541.17115010486,-7.250815768689077e-10,0.0
420,7.0,central,81235.98201122369,81235.9821109326,6.953824520405157e-06,0.0,81235.98201122369,81235.9821109326,6.953824520405157e-06,0.0
450,7.5,central,139783.09169335256,139783.09179313626,-2.5175409203561988e-06,0.0,139783.09169335256,139783.09179313626,-2.5175409203561988e-06,0.0
480,8.0,central,137806.99617541744,137806.9962752012,3.639680599270298e-06,0.0,137806.99617541744,137806.9962752012,3.639680599270298e-06,0.0
510,8.5,central,157786.37576376746,157786.3758635512,-1.106086299426209e-06,0.0,157786.37576376746,157786.3758635512,-1.106086299426209e-06,0.0
540,9.0,central,172443.48122961321,172443.4813293973,-1.4900092659111866e-06,0.0,172443.48122961321,172443.4813293973,-1.4900092659111866e-06,0.0
570,9.5,central,185006.28302110874,185006.2831208927,-2.3329954949838782e-06,0.0,185006.28302110874,185006.2831208927,-2.3329954949838782e-06,0.0
