Time_sample,Time_h,PV_architecture,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,NetCentral_P_injection_A_W,NetCentral_P_injection_B_W,NetCentral_P_injection_C_W,NetCentral_P_injection_total_W,BESS_SOC_pu
30,0.5,central,0.0,1.3132264081311737e-12,1.5990715345657112e-06,25524.36927160031,25148.537304926554,25017.61150893196,75690.51808545883,25524.36927160031,25148.537304926554,25017.61150893196,75690.51808545883,0.5
60,1.0,central,0.0,1.4948537045312243e-12,-1.9330753133935255e-06,25153.009372002227,25124.998828398642,25139.04881551831,75417.05701591918,25153.009372002227,25124.998828398642,25139.04881551831,75417.05701591918,0.45794971043151916
90,1.5,central,0.0,1.5653640507050148e-12,2.5696193766599953e-06,25167.12717036839,25142.05179088565,25148.113013991064,75457.2919752451,25167.12717036839,25142.05179088565,25148.113013991064,75457.2919752451,0.416051343673254
120,2.0,central,0.0,1.3764080616539783e-12,6.752948352153269e-06,25318.138546026996,25135.07914673227,25063.122363007093,75516.34005576636,25318.138546026996,25135.07914673227,25063.122363007093,75516.34005576636,0.37413062416074094
150,2.5,central,0.0,1.5328437777666262e-12,-2.1755163189650254e-06,25172.783110520704,25117.277399319923,25148.634383626693,75438.69489346731,25172.783110520704,25117.277399319923,25148.634383626693,75438.69489346731,0.3321771001603848
180,3.0,central,0.0,1.5331315585038045e-12,-1.4249890322176747e-06,25172.16513381581,25148.513949708627,25131.808376854013,75452.48746037846,25172.16513381581,25148.513949708627,25131.808376854013,75452.48746037846,0.29026671235953827
210,3.5,central,0.0,1.5735177433680316e-12,-5.477654962857484e-06,25168.359081567727,25145.632192175923,25101.780175709337,75415.771449453,25168.359081567727,25145.632192175923,25101.780175709337,75415.771449453,0.24834866202183933
240,4.0,central,802.8310228511782,38.4101096011936,-7.117933039719115e-09,764.4209211572396,764.4209211572397,764.4209211572397,2293.262763471719,777.2242910243042,777.2242910243042,777.2242910243042,2331.672873072913,0.20645100946713513
270,4.5,central,3348.13146317036,47.3912455821271,-5.9019005140083155e-09,3300.7402509482868,3300.7402509482868,3300.7402509482868,9902.22075284486,3316.537332808996,3316.537332808996,3316.537332808996,9949.611998426986,0.20517697459851997
300,5.0,central,7612.490472052799,42.145309482476726,-4.3801766482364255e-09,7570.345238573625,7570.345238573625,7570.345238573625,22711.035715720875,7584.393675067783,7584.393675067783,7584.393675067783,22753.18102520335,0.19967574084691966
330,5.5,central,16214.672980009611,16214.673079806687,-3.888824613518867e-09,-3.635511820053189e-08,-3.6355062751784116e-08,-3.635439568464915e-08,-1.0906457663696515e-07,5404.891026565874,5404.891026565874,5404.891026565875,16214.673079697623,0.18705849878261033
360,6.0,central,32040.626329922346,32040.626429719363,-8.510189409786135e-10,-3.6347784953168385e-08,-3.634825550059245e-08,-3.634808743680094e-08,-1.0904412789056178e-07,10680.208809870108,10680.208809870106,10680.208809870106,32040.626429610318,0.1870584987826157
390,6.5,central,67541.17105030791,67541.17115010486,-7.250815768689077e-10,-3.634008218145341e-08,-3.633828992493399e-08,-3.634211069002824e-08,-1.0902048279641564e-07,22513.723716665278,22513.723716665278,22513.723716665274,67541.17114999583,0.18705849878262107
420,7.0,central,81235.98201122369,81235.9821109326,6.953824520405157e-06,1.833431831114048e-07,-1945.0665952176146,-1929.9496216709435,-3875.016216705215,27078.660703827543,25133.594108426587,25148.711081973255,77360.96589422738,0.1870584987826264
450,7.5,central,139783.09169335256,139783.09179313626,-2.5175409203561988e-06,-21529.675264110436,-21507.311121220235,-21546.514496201136,-64583.500881531814,25064.688666934988,25087.05280982519,25047.849434844287,75199.59091160445,0.18880225608008092
