Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction
One-stage weighted objective,240,4.0,0.8028310228511782,0.0384101096011936,0.7644209132499845,0.20645100946713513,6.241229261179468e-11,0.7644209212196519,0.7644209211572396,-23.21444253486219,6.241229139858177e-11,0.764420921219652,0.7644209211572397,-23.10091402311584,6.241229493620174e-11,0.764420921219652,0.7644209211572397,-23.035399884252094,1.872368789465782e-10,2.293262763658956,2.293262763471719,-69.35075644223012,0.38221045662499226,0.9521566699493202
One-stage weighted objective,270,4.5,3.34813146317036,0.047391245582127095,3.300740217588233,0.20517697459851997,6.261780494836841e-11,3.3007402510109047,3.300740250948287,-22.68559592647631,6.261780544612436e-11,3.3007402510109047,3.300740250948287,-23.135197227412938,6.261779599622415e-11,3.3007402510109047,3.300740250948287,-23.226192390581396,1.8785340639071692e-10,9.902220753032713,9.90222075284486,-69.04698554447063,1.6503701087941165,0.9858454645215
One-stage weighted objective,300,5.0,7.6124904720528,0.042145309482476724,7.570345162570323,0.19967574084691966,6.29593777280354e-11,7.570345238636584,7.5703452385736245,-22.16753671281568,6.295936767985253e-11,7.570345238636584,7.5703452385736245,-22.531301287812987,6.295936977992037e-11,7.570345238636584,7.5703452385736245,-22.321688189295287,1.888781151878083e-10,22.711035715909755,22.711035715720875,-67.02052618992396,3.7851725812851615,0.9944636634177472
One-stage weighted objective,1020,17.0,58.8676590442051,51.277126417737286,7.590532626467808,0.949558464506334,6.296020157522644e-11,7.590532726409168,7.590532726346209,-4.47528701021949,6.295994031322392e-11,7.590532726409168,7.590532726346209,-2.501658041025632,6.296003954867371e-11,7.590532726409162,7.590532726346202,-1.9733389199629128,1.8888018143712405e-10,22.7715981792275,22.771598179038623,-8.950283971208036,3.795266313233904,0.1289423216365356
One-stage weighted objective,1050,17.5,21.38615526279812,2.4865974806761835,18.899557782121935,0.9369075766290704,6.37929154375001e-11,18.89955788206329,18.8995578819995,-11.323603890307137,6.379290551314285e-11,18.89955788206329,18.8995578819995,-13.766697547366261,6.379283151511807e-11,18.89955788206329,18.8995578819995,-14.505326320855154,1.9137865246576101e-10,56.69867364618987,56.6986736459985,-39.59562775852856,9.449778891060967,0.8837286342439635
One-stage weighted objective,1080,18.0,35.72629562474032,17.806852940628655,17.919442684111665,0.9054083134923844,6.372593364602003e-11,17.91944278405302,17.919442783989297,-4.828644045703513,6.372544150234325e-11,17.919442784053018,17.919442783989293,-7.503145321494253,6.372570842863721e-11,17.91944278405302,17.919442783989297,-6.2364915883046095,1.911770835770005e-10,53.75832835215906,53.75832835196789,-18.568280955502374,8.959721342055833,0.5015757265273963
One-stage weighted objective,1110,18.5,34.88048921037201,15.83842606964859,19.042063140723425,0.8755425755190487,6.380149033915901e-11,19.042063240664778,19.042063240600974,-3.1293563704284373,6.380142100718887e-11,19.04206324066478,19.042063240600978,-3.6580629007660814,6.38013036068342e-11,19.042063240664778,19.042063240600974,-5.033763181285339,1.9140421495318208e-10,57.126189721994336,57.12618972180292,-11.821182452479858,9.521031570361712,0.5459230524513717
One-stage weighted objective,1140,19.0,14.676355200650205,0.7294647978463552,13.94689040280385,0.8438058034513601,6.344616784101263e-11,13.946890502745207,13.946890502681761,-19.3820378679342,6.344617961915654e-11,13.946890502745207,13.946890502681761,-18.631827428043515,6.344618769555046e-11,13.946890502745207,13.946890502681761,-18.868545449731776,1.9033853515571962e-10,41.84067150823562,41.84067150804528,-56.88241074570949,6.973445201401925,0.9502965969497633
One-stage weighted objective,1170,19.5,6.556644238336596,0.032554817154671775,6.524089421181925,0.8205609859468704,6.287639084278716e-11,6.524089486689724,6.524089486626848,-22.60512858551587,6.28763676271722e-11,6.524089486689724,6.524089486626848,-22.54148547092648,6.287639549505887e-11,6.524089486689724,6.524089486626848,-21.210199568579796,1.8862915396501824e-10,19.57226846006917,19.572268459880544,-66.35681362502216,3.2620447105909625,0.9950348355086397
One-stage weighted objective,1200,20.0,1.4787101336823925,0.0428517221394983,1.435858411542894,0.8096875034691391,6.246677847951574e-11,1.4358584262713525,1.4358584262088856,-22.852688305582294,6.246679085289342e-11,1.4358584262713525,1.4358584262088856,-21.808276897352684,6.246679232023823e-11,1.4358584262713525,1.4358584262088856,-22.670954352104474,1.874003616526474e-10,4.307575278814058,4.307575278626657,-67.33191955503945,0.717929205771447,0.9710208774773282
One-stage weighted objective,1230,20.5,0.5138621598622417,0.03322507411075586,0.48063708575148584,0.8072944060921045,6.238924644407585e-11,0.4806370908314645,0.48063709076907524,-22.278321258480695,6.238926629027295e-11,0.48063709083146444,0.4806370907690751,-21.829152246437395,6.238925272118419e-11,0.48063709083146455,0.4806370907690753,-23.11093506486725,1.87167765455533e-10,1.4419112724943934,1.4419112723072258,-67.21840856978532,0.24031854287574292,0.9353424386810989
