Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction
One-stage weighted objective,30,0.5,0.0,1.3132264081311736e-15,0.0,0.5,5.441075489956041e-06,25.524374712675797,25.52436927160031,-0.7648190853915116,5.522397264607078e-06,25.14854282732382,25.148537304926556,-0.20563113732910165,5.5512992425746205e-06,25.017617060231206,25.01761150893196,1.4006674718302337,1.6514771997137737e-05,75.69053460023082,75.69051808545882,0.4302172491096204,0.0,
One-stage weighted objective,60,1.0,0.0,1.4948537045312243e-15,0.0,0.45794971043151916,5.521413779983429e-06,25.153014893416007,25.153009372002227,-1.0547231773536316,5.5275695756013465e-06,25.125004355968215,25.124998828398642,1.1070889974468046,5.524479836577852e-06,25.139054339998143,25.139048815518308,0.13755345944562256,1.6573463192162626e-05,75.41707358938235,75.41705701591918,0.1899192795387955,0.0,
One-stage weighted objective,90,1.5,0.0,1.5653640507050148e-15,0.0,0.416051343673254,5.518315574794305e-06,25.167132688683964,25.16712717036839,0.622242922049955,5.5238196852643705e-06,25.142057314705333,25.14205179088565,0.4474560458364234,5.522488223133798e-06,25.148118536479288,25.148113013991065,-0.25223914679869885,1.6564623483192472e-05,75.45730853986858,75.4572919752451,0.8174598210876796,0.0,
One-stage weighted objective,120,2.0,0.0,1.3764080616539782e-15,0.0,0.37413062416074094,5.4853998244746114e-06,25.318144031426822,25.318138546026997,-0.7428772380390539,5.5253538351445e-06,25.135084672086105,25.13507914673227,-0.8479441652161994,5.541218585628864e-06,25.06312790422568,25.063122363007093,2.053314663518596,1.655197224524797e-05,75.5163566077386,75.51634005576635,0.4624932602633426,0.0,
One-stage weighted objective,150,2.5,0.0,1.5328437777666263e-15,0.0,0.3321771001603848,5.517075704278525e-06,25.172788627596407,25.172783110520704,-0.33411617485013256,5.5292685730599445e-06,25.117282928588494,25.117277399319924,-1.2702713225244928,5.522373849685276e-06,25.148639906000543,25.148634383626693,0.19339390214939797,1.6568718127023746e-05,75.43871146218545,75.43869489346731,-1.4109935952252277,0.0,
One-stage weighted objective,180,3.0,0.0,1.5331315585038044e-15,0.0,0.29026671235953827,5.517211169656909e-06,25.17217065102698,25.172165133815813,0.3690349590291834,5.522400186129219e-06,25.148519472108813,25.148513949708626,-0.2084678756450988,5.526071325411696e-06,25.13181390292534,25.131808376854014,-0.9399046525765994,1.6565682681197822e-05,75.45250402606112,75.45248746037845,-0.7793375691925148,0.0,
One-stage weighted objective,210,3.5,0.0,1.5735177433680316e-15,0.0,0.24834866202183933,5.518045482257606e-06,25.16836459961321,25.168359081567726,0.427414162196626,5.523033116819586e-06,25.145637715209038,25.145632192175924,0.43404378360819207,5.532682394607884e-06,25.10178570839173,25.101780175709337,0.4664099947057985,1.657376099368508e-05,75.41578802321399,75.41577144945299,1.3278679405106166,0.0,
One-stage weighted objective,240,4.0,0.8028310228511782,0.0384101096011936,0.7644209132499845,0.20645100946713513,6.241229261179468e-11,0.7644209212196519,0.7644209211572396,-23.21444253486219,6.241229139858177e-11,0.764420921219652,0.7644209211572397,-23.10091402311584,6.241229493620174e-11,0.764420921219652,0.7644209211572397,-23.035399884252094,1.872368789465782e-10,2.293262763658956,2.293262763471719,-69.35075644223012,0.38221045662499226,0.9521566699493202
One-stage weighted objective,270,4.5,3.34813146317036,0.047391245582127095,3.300740217588233,0.20517697459851997,6.261780494836841e-11,3.3007402510109047,3.300740250948287,-22.68559592647631,6.261780544612436e-11,3.3007402510109047,3.300740250948287,-23.135197227412938,6.261779599622415e-11,3.3007402510109047,3.300740250948287,-23.226192390581396,1.8785340639071692e-10,9.902220753032713,9.90222075284486,-69.04698554447063,1.6503701087941165,0.9858454645215
One-stage weighted objective,300,5.0,7.6124904720528,0.042145309482476724,7.570345162570323,0.19967574084691966,6.29593777280354e-11,7.570345238636584,7.5703452385736245,-22.16753671281568,6.295936767985253e-11,7.570345238636584,7.5703452385736245,-22.531301287812987,6.295936977992037e-11,7.570345238636584,7.5703452385736245,-22.321688189295287,1.888781151878083e-10,22.711035715909755,22.711035715720875,-67.02052618992396,3.7851725812851615,0.9944636634177472
