Constraint,Body,Lower,Upper,Raw_violation,Relative_violation
"CentralBESS_night_only_discharge_con[1,1050]",9.997778033721261e-05,,0.0,9.997778033721261e-05,9.997778033721261e-05
"CentralBESS_night_only_discharge_con[1,1140]",9.997778033721261e-05,,0.0,9.997778033721261e-05,9.997778033721261e-05
"CentralBESS_night_only_discharge_con[2,1050]",9.997778033721261e-05,,0.0,9.997778033721261e-05,9.997778033721261e-05
"CentralBESS_night_only_discharge_con[2,1140]",9.997778033721261e-05,,0.0,9.997778033721261e-05,9.997778033721261e-05
"CentralBESS_night_only_discharge_con[3,1050]",9.997778033721261e-05,,0.0,9.997778033721261e-05,9.997778033721261e-05
"CentralBESS_night_only_discharge_con[3,1140]",9.997778033721261e-05,,0.0,9.997778033721261e-05,9.997778033721261e-05
"CentralBESS_night_only_discharge_con[1,360]",9.992954180061063e-05,,0.0,9.992954180061063e-05,9.992954180061063e-05
"CentralBESS_night_only_discharge_con[2,360]",9.992954180061063e-05,,0.0,9.992954180061063e-05,9.992954180061063e-05
"CentralBESS_night_only_discharge_con[3,360]",9.992954180061063e-05,,0.0,9.992954180061063e-05,9.992954180061063e-05
"CentralBESS_night_only_discharge_con[1,780]",9.992953694114436e-05,,0.0,9.992953694114436e-05,9.992953694114436e-05
"CentralBESS_night_only_discharge_con[2,780]",9.992953694114436e-05,,0.0,9.992953694114436e-05,9.992953694114436e-05
"CentralBESS_night_only_discharge_con[3,780]",9.992953694114436e-05,,0.0,9.992953694114436e-05,9.992953694114436e-05
"CentralBESS_night_only_discharge_con[1,330]",9.99295364507723e-05,,0.0,9.99295364507723e-05,9.99295364507723e-05
"CentralBESS_night_only_discharge_con[2,330]",9.99295364507723e-05,,0.0,9.99295364507723e-05,9.99295364507723e-05
"CentralBESS_night_only_discharge_con[3,330]",9.99295364507723e-05,,0.0,9.99295364507723e-05,9.99295364507723e-05
"CentralBESS_night_only_discharge_con[1,390]",9.992953408731726e-05,,0.0,9.992953408731726e-05,9.992953408731726e-05
"CentralBESS_night_only_discharge_con[2,390]",9.992953408731726e-05,,0.0,9.992953408731726e-05,9.992953408731726e-05
"CentralBESS_night_only_discharge_con[3,390]",9.992953408731726e-05,,0.0,9.992953408731726e-05,9.992953408731726e-05
"CentralBESS_night_only_discharge_con[1,660]",9.982207434762599e-05,,0.0,9.982207434762599e-05,9.982207434762599e-05
"CentralBESS_night_only_discharge_con[2,660]",9.982207434762599e-05,,0.0,9.982207434762599e-05,9.982207434762599e-05
"CentralBESS_night_only_discharge_con[3,660]",9.982207434762599e-05,,0.0,9.982207434762599e-05,9.982207434762599e-05
"CentralBESS_night_only_discharge_con[1,690]",9.982016452529576e-05,,0.0,9.982016452529576e-05,9.982016452529576e-05
"CentralBESS_night_only_discharge_con[2,690]",9.982016452529576e-05,,0.0,9.982016452529576e-05,9.982016452529576e-05
"CentralBESS_night_only_discharge_con[3,690]",9.982016452529576e-05,,0.0,9.982016452529576e-05,9.982016452529576e-05
"CentralBESS_night_only_discharge_con[1,630]",9.981855121279437e-05,,0.0,9.981855121279437e-05,9.981855121279437e-05
"CentralBESS_night_only_discharge_con[2,630]",9.981855121279437e-05,,0.0,9.981855121279437e-05,9.981855121279437e-05
"CentralBESS_night_only_discharge_con[3,630]",9.981855121279437e-05,,0.0,9.981855121279437e-05,9.981855121279437e-05
"CentralBESS_night_only_discharge_con[1,810]",9.981609850179913e-05,,0.0,9.981609850179913e-05,9.981609850179913e-05
"CentralBESS_night_only_discharge_con[2,810]",9.981609850179913e-05,,0.0,9.981609850179913e-05,9.981609850179913e-05
"CentralBESS_night_only_discharge_con[3,810]",9.981609850179913e-05,,0.0,9.981609850179913e-05,9.981609850179913e-05
"CentralBESS_night_only_discharge_con[1,840]",9.981408426834289e-05,,0.0,9.981408426834289e-05,9.981408426834289e-05
"CentralBESS_night_only_discharge_con[2,840]",9.981408426834289e-05,,0.0,9.981408426834289e-05,9.981408426834289e-05
"CentralBESS_night_only_discharge_con[3,840]",9.981408426834289e-05,,0.0,9.981408426834289e-05,9.981408426834289e-05
"CentralBESS_night_only_discharge_con[1,870]",9.981058523593359e-05,,0.0,9.981058523593359e-05,9.981058523593359e-05
"CentralBESS_night_only_discharge_con[2,870]",9.981058523593359e-05,,0.0,9.981058523593359e-05,9.981058523593359e-05
"CentralBESS_night_only_discharge_con[3,870]",9.981058523593359e-05,,0.0,9.981058523593359e-05,9.981058523593359e-05
"CentralBESS_night_only_discharge_con[1,570]",9.979294247093986e-05,,0.0,9.979294247093986e-05,9.979294247093986e-05
"CentralBESS_night_only_discharge_con[2,570]",9.979294247093986e-05,,0.0,9.979294247093986e-05,9.979294247093986e-05
"CentralBESS_night_only_discharge_con[3,570]",9.979294247093986e-05,,0.0,9.979294247093986e-05,9.979294247093986e-05
"CentralBESS_night_only_discharge_con[1,540]",9.97817172578349e-05,,0.0,9.97817172578349e-05,9.97817172578349e-05
"CentralBESS_night_only_discharge_con[2,540]",9.97817172578349e-05,,0.0,9.97817172578349e-05,9.97817172578349e-05
"CentralBESS_night_only_discharge_con[3,540]",9.97817172578349e-05,,0.0,9.97817172578349e-05,9.97817172578349e-05
"CentralBESS_night_only_discharge_con[1,960]",9.978098074382453e-05,,0.0,9.978098074382453e-05,9.978098074382453e-05
"CentralBESS_night_only_discharge_con[2,960]",9.978098074382453e-05,,0.0,9.978098074382453e-05,9.978098074382453e-05
"CentralBESS_night_only_discharge_con[3,960]",9.978098074382453e-05,,0.0,9.978098074382453e-05,9.978098074382453e-05
"CentralBESS_night_only_discharge_con[1,900]",9.977940895201064e-05,,0.0,9.977940895201064e-05,9.977940895201064e-05
"CentralBESS_night_only_discharge_con[2,900]",9.977940895201064e-05,,0.0,9.977940895201064e-05,9.977940895201064e-05
"CentralBESS_night_only_discharge_con[3,900]",9.977940895201064e-05,,0.0,9.977940895201064e-05,9.977940895201064e-05
"CentralBESS_night_only_discharge_con[1,510]",9.976927585794281e-05,,0.0,9.976927585794281e-05,9.976927585794281e-05
"CentralBESS_night_only_discharge_con[2,510]",9.976927585794281e-05,,0.0,9.976927585794281e-05,9.976927585794281e-05
"CentralBESS_night_only_discharge_con[3,510]",9.976927585794281e-05,,0.0,9.976927585794281e-05,9.976927585794281e-05
"CentralBESS_night_only_discharge_con[1,450]",9.975311396518121e-05,,0.0,9.975311396518121e-05,9.975311396518121e-05
"CentralBESS_night_only_discharge_con[2,450]",9.975311396518121e-05,,0.0,9.975311396518121e-05,9.975311396518121e-05
"CentralBESS_night_only_discharge_con[3,450]",9.975311396518121e-05,,0.0,9.975311396518121e-05,9.975311396518121e-05
"CentralBESS_night_only_discharge_con[1,480]",9.975020715556962e-05,,0.0,9.975020715556962e-05,9.975020715556962e-05
"CentralBESS_night_only_discharge_con[2,480]",9.975020715556962e-05,,0.0,9.975020715556962e-05,9.975020715556962e-05
"CentralBESS_night_only_discharge_con[3,480]",9.975020715556962e-05,,0.0,9.975020715556962e-05,9.975020715556962e-05
"CentralBESS_night_only_discharge_con[1,720]",9.974852374589841e-05,,0.0,9.974852374589841e-05,9.974852374589841e-05
"CentralBESS_night_only_discharge_con[2,720]",9.974852374589841e-05,,0.0,9.974852374589841e-05,9.974852374589841e-05
"CentralBESS_night_only_discharge_con[3,720]",9.974852374589841e-05,,0.0,9.974852374589841e-05,9.974852374589841e-05
"CentralBESS_night_only_discharge_con[1,990]",9.97338722756487e-05,,0.0,9.97338722756487e-05,9.97338722756487e-05
"CentralBESS_night_only_discharge_con[2,990]",9.97338722756487e-05,,0.0,9.97338722756487e-05,9.97338722756487e-05
"CentralBESS_night_only_discharge_con[3,990]",9.97338722756487e-05,,0.0,9.97338722756487e-05,9.97338722756487e-05
"CentralBESS_night_only_discharge_con[1,600]",9.973223460312507e-05,,0.0,9.973223460312507e-05,9.973223460312507e-05
"CentralBESS_night_only_discharge_con[2,600]",9.973223460312507e-05,,0.0,9.973223460312507e-05,9.973223460312507e-05
"CentralBESS_night_only_discharge_con[3,600]",9.973223460312507e-05,,0.0,9.973223460312507e-05,9.973223460312507e-05
"CentralBESS_night_only_discharge_con[3,930]",9.970677611416054e-05,,0.0,9.970677611416054e-05,9.970677611416054e-05
"CentralBESS_night_only_discharge_con[1,930]",9.97067761141588e-05,,0.0,9.97067761141588e-05,9.97067761141588e-05
"CentralBESS_night_only_discharge_con[2,930]",9.97067761141588e-05,,0.0,9.97067761141588e-05,9.97067761141588e-05
"CentralBESS_night_only_discharge_con[1,750]",9.965972339087692e-05,,0.0,9.965972339087692e-05,9.965972339087692e-05
"CentralBESS_night_only_discharge_con[2,750]",9.965972339087692e-05,,0.0,9.965972339087692e-05,9.965972339087692e-05
"CentralBESS_night_only_discharge_con[3,750]",9.965972339087692e-05,,0.0,9.965972339087692e-05,9.965972339087692e-05
"CentralBESS_night_only_discharge_con[1,420]",9.965151286282781e-05,,0.0,9.965151286282781e-05,9.965151286282781e-05
"CentralBESS_night_only_discharge_con[2,420]",9.965151286282781e-05,,0.0,9.965151286282781e-05,9.965151286282781e-05
"CentralBESS_night_only_discharge_con[3,420]",9.965151286282781e-05,,0.0,9.965151286282781e-05,9.965151286282781e-05
CentralSolar_P_available_con[360],32040.62642951103,,32040.626329922346,9.958868395187892e-05,3.108200277262767e-09
CentralSolar_P_available_con[780],63436.07813682869,,63436.07803724001,9.958868031390011e-05,1.5699060099379398e-09
CentralSolar_P_available_con[390],67541.17114989659,,67541.17105030791,9.958868031390011e-05,1.474488502618341e-09
CentralSolar_P_available_con[330],16214.67307959829,,16214.672980009611,9.958867849491071e-05,6.141886302981692e-09
"CentralBESS_night_only_discharge_con[1,300]",7.610268585267477e-05,,0.0,7.610268585267477e-05,7.610268585267477e-05
"CentralBESS_night_only_discharge_con[2,300]",7.610268585267477e-05,,0.0,7.610268585267477e-05,7.610268585267477e-05
"CentralBESS_night_only_discharge_con[3,300]",7.610268585267477e-05,,0.0,7.610268585267477e-05,7.610268585267477e-05
"CentralBESS_night_only_discharge_con[1,1170]",6.554422361659817e-05,,0.0,6.554422361659817e-05,6.554422361659817e-05
"CentralBESS_night_only_discharge_con[2,1170]",6.554422361659817e-05,,0.0,6.554422361659817e-05,6.554422361659817e-05
"CentralBESS_night_only_discharge_con[3,1170]",6.554422361659817e-05,,0.0,6.554422361659817e-05,6.554422361659817e-05
"CentralBESS_night_only_discharge_con[1,270]",3.3459096357546514e-05,,0.0,3.3459096357546514e-05,3.3459096357546514e-05
"CentralBESS_night_only_discharge_con[2,270]",3.3459096357546514e-05,,0.0,3.3459096357546514e-05,3.3459096357546514e-05
"CentralBESS_night_only_discharge_con[3,270]",3.3459096357546514e-05,,0.0,3.3459096357546514e-05,3.3459096357546514e-05
"CentralBESS_night_only_discharge_con[1,1200]",1.476488205298665e-05,,0.0,1.476488205298665e-05,1.476488205298665e-05
"CentralBESS_night_only_discharge_con[2,1200]",1.476488205298665e-05,,0.0,1.476488205298665e-05,1.476488205298665e-05
"CentralBESS_night_only_discharge_con[3,1200]",1.476488205298665e-05,,0.0,1.476488205298665e-05,1.476488205298665e-05
"CentralBESS_night_only_discharge_con[1,240]",8.006091434253904e-06,,0.0,8.006091434253904e-06,8.006091434253904e-06
"CentralBESS_night_only_discharge_con[2,240]",8.006091434253904e-06,,0.0,8.006091434253904e-06,8.006091434253904e-06
"CentralBESS_night_only_discharge_con[3,240]",8.006091434253904e-06,,0.0,8.006091434253904e-06,8.006091434253904e-06
"CentralBESS_night_only_discharge_con[1,1230]",5.116402689964161e-06,,0.0,5.116402689964161e-06,5.116402689964161e-06
"CentralBESS_night_only_discharge_con[2,1230]",5.116402689964161e-06,,0.0,5.116402689964161e-06,5.116402689964161e-06
"CentralBESS_night_only_discharge_con[3,1230]",5.116402689964161e-06,,0.0,5.116402689964161e-06,5.116402689964161e-06
"Idelta_im_con[feeder2_989,2,930]",-3.087685346129396e-08,0.0,0.0,3.087685346129396e-08,3.087685346129396e-08
"Isp_re_con[feeder2_1818,2,1350]",-1.582156983204186e-08,0.0,0.0,1.582156983204186e-08,1.582156983204186e-08
"Isp_re_con[feeder2_1818,3,1350]",-1.5785190043970942e-08,0.0,0.0,1.5785190043970942e-08,1.5785190043970942e-08
"Isp_re_con[feeder2_1818,1,1350]",-1.5767000149935484e-08,0.0,0.0,1.5767000149935484e-08,1.5767000149935484e-08
"Isp_re_con[feeder2_1818,1,1020]",-1.5508703654631972e-08,0.0,0.0,1.5508703654631972e-08,1.5508703654631972e-08
"Isp_re_con[feeder2_1818,3,1020]",-1.5170371625572443e-08,0.0,0.0,1.5170371625572443e-08,1.5170371625572443e-08
"Isp_re_con[feeder2_1818,2,1020]",-1.511943992227316e-08,0.0,0.0,1.511943992227316e-08,1.511943992227316e-08
"Idelta_im_con[feeder2_952,3,930]",-1.4522811376623217e-08,0.0,0.0,1.4522811376623217e-08,1.4522811376623217e-08
"Idelta_im_con[feeder2_973,2,930]",1.3409589882944369e-08,0.0,0.0,1.3409589882944369e-08,1.3409589882944369e-08
"Isp_re_con[feeder2_1818,1,630]",-1.2358214007690549e-08,0.0,0.0,1.2358214007690549e-08,1.2358214007690549e-08
"Isp_re_con[feeder2_1818,2,630]",-1.227454049512744e-08,0.0,0.0,1.227454049512744e-08,1.227454049512744e-08
"Isp_re_con[feeder2_1818,3,630]",-1.2249074643477798e-08,0.0,0.0,1.2249074643477798e-08,1.2249074643477798e-08
"V_upper_limit_con[feeder2_1818,3,870]",1.210000012099941,,1.2100000000000002,1.2099940827070554e-08,9.999950996753503e-09
"V_upper_limit_con[feeder2_1818,3,1080]",1.2100000120999304,,1.2100000000000002,1.2099930168929518e-08,9.999942188372656e-09
"V_upper_limit_con[feeder2_1818,1,600]",1.21000001209993,,1.2100000000000002,1.2099929724840308e-08,9.999941821356787e-09
"V_upper_limit_con[feeder2_1818,3,810]",1.2100000120999264,,1.2100000000000002,1.209992617212663e-08,9.999938885229839e-09
"V_upper_limit_con[feeder2_1818,3,960]",1.210000012099922,,1.2100000000000002,1.2099921731234531e-08,9.999935215071154e-09
"V_upper_limit_con[feeder2_1818,2,120]",1.2100000120999217,,1.2100000000000002,1.2099921509189926e-08,9.99993503156322e-09
"V_upper_limit_con[feeder2_1818,3,840]",1.2100000120999155,,1.2100000000000002,1.2099915291940988e-08,9.99992989334106e-09
"V_upper_limit_con[feeder2_1818,1,570]",1.210000012099915,,1.2100000000000002,1.2099914847851778e-08,9.999929526325191e-09
"V_upper_limit_con[feeder2_1818,3,420]",1.2100000120999146,,1.2100000000000002,1.2099914403762568e-08,9.999929159309322e-09
"V_upper_limit_con[feeder2_1818,1,450]",1.210000012099905,,1.2100000000000002,1.2099904855844557e-08,9.999921268468148e-09
"V_upper_limit_con[feeder2_1818,2,30]",1.2100000120998977,,1.2100000000000002,1.2099897528372594e-08,9.999915212706316e-09
"V_upper_limit_con[feeder2_1818,2,990]",1.210000012099897,,1.2100000000000002,1.209989686223878e-08,9.999914662182513e-09
"V_upper_limit_con[feeder2_1818,1,60]",1.2100000120998717,,1.2100000000000002,1.2099871549153818e-08,9.999893742278005e-09
"V_upper_limit_con[feeder2_1818,2,150]",1.2100000120998613,,1.2100000000000002,1.2099861113057386e-08,9.999885117405094e-09
"V_upper_limit_con[feeder2_1818,3,180]",1.2100000120998458,,1.2100000000000002,1.2099845569935042e-08,9.999872271849693e-09
"V_upper_limit_con[feeder2_1818,2,480]",1.21000001209984,,1.2100000000000002,1.2099839796775314e-08,9.999867500643402e-09
"V_upper_limit_con[feeder2_1818,3,750]",1.2100000120998051,,1.2100000000000002,1.209980493577234e-08,9.99983868989772e-09
"V_upper_limit_con[feeder2_1818,1,1380]",1.2100000120997965,,1.2100000000000002,1.2099796276032748e-08,9.999831533088283e-09
"V_upper_limit_con[feeder2_1818,2,1410]",1.2100000120997876,,1.2100000000000002,1.2099787394248551e-08,9.999824192770912e-09
"V_upper_limit_con[feeder2_1818,3,90]",1.210000012099672,,1.2100000000000002,1.2099671709009385e-08,9.999728585137149e-09
"V_upper_limit_con[feeder2_1818,1,540]",1.2100000120995942,,1.2100000000000002,1.2099593993397662e-08,9.999664357360149e-09
"V_upper_limit_con[feeder2_1818,2,510]",1.2100000120994743,,1.2100000000000002,1.2099474089311002e-08,9.999565263075636e-09
"V_upper_limit_con[feeder2_1818,3,1290]",1.2100000120991476,,1.2100000000000002,1.2099147461697157e-08,9.999295322904303e-09
"V_upper_limit_con[feeder2_1818,3,930]",1.2100000120986338,,1.2100000000000002,1.209863365048136e-08,9.998870685544368e-09
"V_upper_limit_con[feeder2_1818,2,210]",1.210000012066924,,1.2100000000000002,1.2066923904541227e-08,9.972664284464334e-09
"Isp_im_con[feeder2_1818,2,1350]",-1.0940937045234023e-08,0.0,0.0,1.0940937045234023e-08,1.0940937045234023e-08
"Isp_im_con[feeder2_1818,1,1350]",-1.0929852578556165e-08,0.0,0.0,1.0929852578556165e-08,1.0929852578556165e-08
"Isp_im_con[feeder2_1818,3,1350]",-1.0861072041734587e-08,0.0,0.0,1.0861072041734587e-08,1.0861072041734587e-08
"Idelta_im_con[feeder2_963,2,930]",-1.0619117468256413e-08,0.0,0.0,1.0619117468256413e-08,1.0619117468256413e-08
"Isp_im_con[feeder2_1818,2,1020]",-1.0515634585317457e-08,0.0,0.0,1.0515634585317457e-08,1.0515634585317457e-08
"Isp_im_con[feeder2_1818,3,1020]",-1.0456290056026774e-08,0.0,0.0,1.0456290056026774e-08,1.0456290056026774e-08
"Isp_im_con[feeder2_1818,1,1020]",-1.0428664154460421e-08,0.0,0.0,1.0428664154460421e-08,1.0428664154460421e-08
"Line_I_limits_con[feeder2_line155,2,1350]",1.0000000100239048,,1.0,1.002390481730231e-08,1.0023904716823643e-08
"Line_I_limits_con[feeder2_line155,3,1020]",1.0000000100231634,,1.0,1.0023163410366465e-08,1.0023163309902661e-08
"Line_I_limits_con[feeder2_line155,3,630]",1.0000000100182316,,1.0,1.0018231577646475e-08,1.0018231477281511e-08
"Line_I_limits_con[feeder2_line155,2,690]",1.000000010014514,,1.0,1.001451410687082e-08,1.0014514006580329e-08
"Line_I_limits_con[feeder2_line155,3,1440]",1.0000000100054203,,1.0,1.0005420270076115e-08,1.0005420169967682e-08
