Time_sample,Time_h,Feeder_line,OPF_P_sending_A_kW,OPF_P_sending_B_kW,OPF_P_sending_C_kW,OPF_source_flow_total_kW,OPF_feeder_import_kW,OPF_feeder_export_kW,OPF_feeder_export_energy_kWh,sign_convention,units
30,0.5,feeder2_line1,-17.334564245985398,-21.297761613893176,-18.30938536836439,-56.941711228242966,0.0,56.941711228242966,28.470855614121483,positive source flow = import; negative source flow = export,kW; energy column kWh
60,1.0,feeder2_line1,-19.562689528120792,-21.38821110966013,-20.21572124154672,-61.166621879327636,0.0,61.166621879327636,30.583310939663818,positive source flow = import; negative source flow = export,kW; energy column kWh
90,1.5,feeder2_line1,-19.64638506798667,-21.113206389266082,-21.8997484360054,-62.65933989325815,0.0,62.65933989325815,31.329669946629075,positive source flow = import; negative source flow = export,kW; energy column kWh
120,2.0,feeder2_line1,-19.480392003429525,-22.252829228709867,-20.324548652004125,-62.05776988414352,0.0,62.05776988414352,31.02888494207176,positive source flow = import; negative source flow = export,kW; energy column kWh
150,2.5,feeder2_line1,-19.66780775169428,-22.110554504221845,-21.79560793375127,-63.57397018966739,0.0,63.57397018966739,31.786985094833696,positive source flow = import; negative source flow = export,kW; energy column kWh
180,3.0,feeder2_line1,-19.597045468787773,-21.178260250647458,-22.233828323700674,-63.0091340431359,0.0,63.0091340431359,31.50456702156795,positive source flow = import; negative source flow = export,kW; energy column kWh
210,3.5,feeder2_line1,-19.26722367487006,-20.57596314165542,-20.488228454231614,-60.33141527075709,0.0,60.33141527075709,30.165707635378546,positive source flow = import; negative source flow = export,kW; energy column kWh
240,4.0,feeder2_line1,4.222118196253432,3.129732646691624,3.195124351538834,10.54697519448389,10.54697519448389,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
270,4.5,feeder2_line1,2.485114240346651,0.32212743184891224,-1.0485354608647253,1.7587062113308378,1.7587062113308378,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
300,5.0,feeder2_line1,-1.5909916990231323,-4.282286817432733,-3.9726817260651694,-9.845960242521034,0.0,9.845960242521034,4.922980121260517,positive source flow = import; negative source flow = export,kW; energy column kWh
330,5.5,feeder2_line1,0.3381744821800348,-1.3114278834072721,-1.345092249416648,-2.3183456506438853,0.0,2.3183456506438853,1.1591728253219427,positive source flow = import; negative source flow = export,kW; energy column kWh
360,6.0,feeder2_line1,-7.954904124986287,-6.6500426565710065,-3.3510136542708677,-17.95596043582816,0.0,17.95596043582816,8.97798021791408,positive source flow = import; negative source flow = export,kW; energy column kWh
390,6.5,feeder2_line1,-14.550353108579776,-18.73987009885447,-19.243029483944444,-52.53325269137869,0.0,52.53325269137869,26.266626345689346,positive source flow = import; negative source flow = export,kW; energy column kWh
420,7.0,feeder2_line1,-18.483902921293414,-19.78043066523115,-22.2475737603768,-60.51190734690137,0.0,60.51190734690137,30.255953673450684,positive source flow = import; negative source flow = export,kW; energy column kWh
450,7.5,feeder2_line1,-20.647897278949397,-20.419059662790726,-13.344765016259398,-54.41172195799952,0.0,54.41172195799952,27.20586097899976,positive source flow = import; negative source flow = export,kW; energy column kWh
480,8.0,feeder2_line1,-16.07865334503705,-17.144264089897757,-6.965193650905818,-40.188111085840625,0.0,40.188111085840625,20.094055542920312,positive source flow = import; negative source flow = export,kW; energy column kWh
510,8.5,feeder2_line1,-15.954408712739038,-18.56490409425035,-13.406912077730183,-47.92622488471957,0.0,47.92622488471957,23.963112442359787,positive source flow = import; negative source flow = export,kW; energy column kWh
540,9.0,feeder2_line1,-12.554366464950556,-10.150043426518238,-12.399844777895062,-35.104254669363854,0.0,35.104254669363854,17.552127334681927,positive source flow = import; negative source flow = export,kW; energy column kWh
570,9.5,feeder2_line1,-14.017765099690731,-7.526870416897188,-8.451786741252286,-29.9964222578402,0.0,29.9964222578402,14.9982111289201,positive source flow = import; negative source flow = export,kW; energy column kWh
600,10.0,feeder2_line1,-13.680057016624568,-13.390392516186994,-2.346778010291447,-29.41722754310301,0.0,29.41722754310301,14.708613771551505,positive source flow = import; negative source flow = export,kW; energy column kWh
630,10.5,feeder2_line1,-7.252072064549393,-8.476035746123488,-10.036940244604851,-25.76504805527773,0.0,25.76504805527773,12.882524027638866,positive source flow = import; negative source flow = export,kW; energy column kWh
660,11.0,feeder2_line1,-0.27648909385256776,-6.1776519673461605,-11.211832125032828,-17.665973186231557,0.0,17.665973186231557,8.832986593115779,positive source flow = import; negative source flow = export,kW; energy column kWh
690,11.5,feeder2_line1,-12.37498207916335,-11.205848606180764,-15.031677232259558,-38.61250791760367,0.0,38.61250791760367,19.306253958801836,positive source flow = import; negative source flow = export,kW; energy column kWh
720,12.0,feeder2_line1,-15.14910679721679,-15.648081228220255,-17.474155333275238,-48.271343358712286,0.0,48.271343358712286,24.135671679356143,positive source flow = import; negative source flow = export,kW; energy column kWh
750,12.5,feeder2_line1,-10.528784476601714,-17.23086661844334,-18.68529752685411,-46.444948621899165,0.0,46.444948621899165,23.222474310949583,positive source flow = import; negative source flow = export,kW; energy column kWh
780,13.0,feeder2_line1,-5.19312006852819,0.05696545281796443,-6.57923260527976,-11.715387220989985,0.0,11.715387220989985,5.857693610494993,positive source flow = import; negative source flow = export,kW; energy column kWh
810,13.5,feeder2_line1,-12.590493353422428,-3.8330472099516126,-17.52453546087934,-33.94807602425338,0.0,33.94807602425338,16.97403801212669,positive source flow = import; negative source flow = export,kW; energy column kWh
840,14.0,feeder2_line1,-8.250588691309437,-7.6260765539739195,-16.013744272224706,-31.89040951750806,0.0,31.89040951750806,15.94520475875403,positive source flow = import; negative source flow = export,kW; energy column kWh
