Time_sample,Time_h,OPF_network_voltage_range_pu,DSS_network_voltage_range_pu,Max_OPF_VUF2_percent,Max_OPF_VUF0_percent,Max_DSS_VUF2_percent,Max_DSS_VUF0_percent
30,0.5,0.024706962616734884,0.024708404081254853,0.13803754026768536,0.32693925839193944,0.1380706935805347,0.32680624541617953
60,1.0,0.02469597430943926,0.024694462784852877,0.09027937772229684,0.0923191398903217,0.09012163819862005,0.09147465594715874
90,1.5,0.024633855476245525,0.024635261829516475,0.09370185464700892,0.15020047752105156,0.09360117288570256,0.15019760707654042
120,2.0,0.024712297903576097,0.024714020243312484,0.12585576046000455,0.15399128224060502,0.12588675098730662,0.15409201831983418
150,2.5,0.02463072582660142,0.024633874307125492,0.09374971890708285,0.14213453732681444,0.09369191718831517,0.1420242309407915
180,3.0,0.02471798223131616,0.02472036320281301,0.11082063987367012,0.15506544908636904,0.1108236706706636,0.15495299364258858
210,3.5,0.024778049651692724,0.024779894520623902,0.063964359583516,0.22116641028772252,0.06388197169200294,0.22141835301535082
240,4.0,0.018543052268857885,0.018542849229406855,0.05843630273928877,0.19034951122897575,0.058540092651219525,0.1904744446754873
270,4.5,0.016221585163238794,0.01622330822711371,0.12081626772460648,0.15584276301602917,0.12075390528395161,0.15635907877085553
300,5.0,0.012502416649391668,0.01250111423280531,0.07464560928306219,0.2302760768795713,0.07472453316836931,0.2302855246035331
330,5.5,0.013900257200635036,0.013897622482804461,0.06522220753140241,0.17747613337402718,0.06521324836032456,0.17733910858057506
360,6.0,0.011319896942115326,0.011318879083428435,0.09333529283457327,0.47279324395042305,0.09329078419298405,0.4725918823797034
390,6.5,0.018320208134479543,0.018314634832383048,0.1406106253816199,0.35479785437957506,0.14056606618474368,0.3545631703148193
420,7.0,0.02480510741426567,0.02480777711342763,0.26184360684746394,0.26502504989770836,0.26191819592016097,0.2651641825100975
450,7.5,0.024891799545565974,0.024892944559218977,0.26039640784110313,0.44788761979415154,0.26035386342590616,0.44774367299078854
