Time_sample,Time_h,Bus,Phase,Low_limit_pu,High_limit_pu,OPF_V_pu,DSS_V_pu,OPF_violation_pu,DSS_violation_pu,Voltage_violation_pu
30,0.5,feeder2_1818,1,0.9,1.1,1.1000000054913268,1.0999964990623758,5.491326726669854e-09,0.0,5.491326726669854e-09
30,0.5,feeder2_1818,2,0.9,1.1,1.1000000054983945,1.1000013884269904,5.498394406444618e-09,1.3884269902675328e-06,1.3884269902675328e-06
60,1.0,feeder2_1818,1,0.9,1.1,1.1000000054983,1.0999887025079897,5.49829981544292e-09,0.0,5.49829981544292e-09
60,1.0,feeder2_1818,2,0.9,1.1,1.1000000054973154,1.0999983490922298,5.497315269664682e-09,0.0,5.497315269664682e-09
90,1.5,feeder2_1818,1,0.9,1.1,1.1000000054954095,1.1000013884269908,5.4954094608206105e-09,1.388426990711622e-06,1.388426990711622e-06
90,1.5,feeder2_1818,3,0.9,1.1,1.1000000054957957,1.0999936579450995,5.495795596388575e-09,0.0,5.495795596388575e-09
120,2.0,feeder2_1818,2,0.9,1.1,1.1000000054988743,1.1000016527169696,5.498874244835861e-09,1.6527169695024213e-06,1.6527169695024213e-06
150,2.5,feeder2_1818,1,0.9,1.1,1.1000000054981909,1.1000031063118552,5.4981907915419015e-09,3.1063118550722635e-06,3.1063118550722635e-06
150,2.5,feeder2_1818,2,0.9,1.1,1.1000000054989312,1.0999978205122716,5.4989310882547215e-09,0.0,5.4989310882547215e-09
150,2.5,feeder2_1818,3,0.9,1.1,1.1000000054987884,1.0999988776721885,5.498788313573755e-09,0.0,5.498788313573755e-09
180,3.0,feeder2_1818,1,0.9,1.1,1.1000000054984151,1.1000023134419177,5.498415056592876e-09,2.3134419175896426e-06,2.3134419175896426e-06
180,3.0,feeder2_1818,2,0.9,1.1,1.1000000054975647,1.0999965651348702,5.497564625756013e-09,0.0,5.497564625756013e-09
180,3.0,feeder2_1818,3,0.9,1.1,1.1000000054986896,1.1000000669770946,5.498689503724563e-09,6.697709453717948e-08,6.697709453717948e-08
210,3.5,feeder2_1818,2,0.9,1.1,1.100000005398596,1.1000017848619594,5.3985960146718526e-09,1.7848619593419102e-06,1.7848619593419102e-06
420,7.0,feeder2_1818,2,0.9,1.1,1.1000000054981882,1.1000022473694229,5.498188127006642e-09,2.2473694227809204e-06,2.2473694227809204e-06
420,7.0,feeder2_1818,3,0.9,1.1,1.1000000054981531,1.1000027098768865,5.498153043959064e-09,2.7098768864419753e-06,2.7098768864419753e-06
450,7.5,feeder2_1818,1,0.9,1.1,1.1000000054988375,1.0999966312073652,5.498837385431443e-09,0.0,5.498837385431443e-09
450,7.5,feeder2_1818,2,0.9,1.1,1.1000000054979078,1.1000011241370113,5.497907684670622e-09,1.124137011254689e-06,1.124137011254689e-06
480,8.0,feeder2_1818,1,0.9,1.1,1.1000000054985068,1.099995111539985,5.49850676101471e-09,0.0,5.49850676101471e-09
480,8.0,feeder2_1818,2,0.9,1.1,1.1000000054986325,1.0999993401796517,5.498632438261097e-09,0.0,5.498632438261097e-09
510,8.5,feeder2_1818,1,0.9,1.1,1.1000000054934,1.100003833109298,5.493399957146039e-09,3.833109297968207e-06,3.833109297968207e-06
510,8.5,feeder2_1818,2,0.9,1.1,1.1000000054947405,1.1000003312670739,5.4947404404259714e-09,3.31267073772068e-07,3.31267073772068e-07
540,9.0,feeder2_1818,1,0.9,1.1,1.1000000054945431,1.1000001991220842,5.494543042772193e-09,1.9912208415462374e-07,1.9912208415462374e-07
570,9.5,feeder2_1818,1,0.9,1.1,1.1000000054989054,1.0999988776721883,5.49890533108055e-09,0.0,5.49890533108055e-09
600,10.0,feeder2_1818,1,0.9,1.1,1.1000000054992456,1.1000016527169698,5.499245503415295e-09,1.652716969724466e-06,1.652716969724466e-06
600,10.0,feeder2_1818,2,0.9,1.1,1.100000005498598,1.100000925919527,5.498598021347334e-09,9.259195268285225e-07,9.259195268285225e-07
660,11.0,feeder2_1818,3,0.9,1.1,1.1000000054825159,1.1000037009643084,5.482515774701824e-09,3.7009643083507626e-06,3.7009643083507626e-06
750,12.5,feeder2_1818,2,0.9,1.1,1.100000005497796,1.0999908168278232,5.497795996234345e-09,0.0,5.497795996234345e-09
750,12.5,feeder2_1818,3,0.9,1.1,1.1000000054981067,1.0999997366146206,5.498106636636635e-09,0.0,5.498106636636635e-09
810,13.5,feeder2_1818,3,0.9,1.1,1.100000005499147,1.0999993401796517,5.499146915610709e-09,0.0,5.499146915610709e-09
840,14.0,feeder2_1818,3,0.9,1.1,1.1000000054983468,1.1000046920517303,5.498346666854559e-09,4.69205173025955e-06,4.69205173025955e-06
870,14.5,feeder2_1818,3,0.9,1.1,1.1000000054993158,1.1000022473694229,5.499315669510452e-09,2.2473694227809204e-06,2.2473694227809204e-06
960,16.0,feeder2_1818,3,0.9,1.1,1.1000000054988661,1.0999855971007346,5.4988660291854785e-09,0.0,5.4988660291854785e-09
990,16.5,feeder2_1818,2,0.9,1.1,1.1000000054882566,1.1000055509941626,5.488256515917556e-09,5.550994162550893e-06,5.550994162550893e-06
1290,21.5,feeder2_1818,3,0.9,1.1,1.1000000054903267,1.099986323898177,5.490326637769272e-09,0.0,5.490326637769272e-09
1380,23.0,feeder2_1818,1,0.9,1.1,1.1000000054985324,1.1000011902095062,5.498532296144276e-09,1.190209506063411e-06,1.190209506063411e-06
1380,23.0,feeder2_1818,3,0.9,1.1,1.100000005497321,1.0999910811178026,5.497320820779805e-09,0.0,5.497320820779805e-09
1410,23.5,feeder2_1818,2,0.9,1.1,1.1000000054957941,1.099988966797969,5.495794042076341e-09,0.0,5.495794042076341e-09
