Time_sample,Time_h,BESS_P_ch_A_W,BESS_P_ch_B_W,BESS_P_ch_C_W,BESS_P_dis_A_W,BESS_P_dis_B_W,BESS_P_dis_C_W,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,BESS_Q_A_var,BESS_Q_B_var,BESS_Q_C_var,BESS_Q_total_var,BESS_SOC_pu
30,0.5,0.005611860187654187,0.005611860187654187,0.005611860187654187,24749.156926814663,24749.156926814663,24749.156926814663,24749.151314954477,24749.151314954477,24749.151314954477,74247.45394486343,-3216.3592374986265,-3216.3592374986265,-3216.3592374986265,-9649.07771249588,0.4999999999999998
60,1.0,0.0055732994244056585,0.0055732994244056585,0.0055732994244056585,24920.392270752745,24920.392270752745,24920.392270752745,24920.38669745332,24920.38669745332,24920.38669745332,74761.16009235996,-2355.218584611255,-2355.218584611255,-2355.218584611255,-7065.655753833766,0.4587514126979866
90,1.5,0.0055340026673721945,0.0055340026673721945,0.0055340026673721945,25097.350993825305,25097.350993825305,25097.350993825305,25097.345459822638,25097.345459822638,25097.345459822638,75292.03637946791,-550.0996640617411,-550.0996640617411,-550.0996640617411,-1650.2989921852234,0.41721743310401943
120,2.0,0.00564868456823578,0.00564868456823578,0.00564868456823578,24587.81460781663,24587.81460781663,24587.81460781663,24587.80895913206,24587.80895913206,24587.80895913206,73763.42687739618,-4612.213947492283,-4612.213947492283,-4612.213947492283,-13836.641842476849,0.37538852225188085
150,2.5,0.005553918179957368,0.005553918179957368,0.005553918179957368,25007.3557307816,25007.3557307816,25007.3557307816,25007.35017686342,25007.35017686342,25007.35017686342,75022.05053059026,-2131.232465756708,-2131.232465756708,-2131.232465756708,-6393.6973972701235,0.334408838864578
180,3.0,0.0055520677959534845,0.0055520677959534845,0.0055520677959534845,25015.690136340523,25015.690136340523,25015.690136340523,25015.684584272727,25015.684584272727,25015.684584272727,75047.05375281817,-1819.11028341337,-1819.11028341337,-1819.11028341337,-5457.3308502401105,0.29272992014439825
210,3.5,0.005532726435733188,0.005532726435733188,0.005532726435733188,25103.14018573799,25103.14018573799,25103.14018573799,25103.134653011555,25103.134653011555,25103.134653011555,75309.40395903467,440.35224868080326,440.35224868080326,440.35224868080326,1321.0567460424097,0.25103711074578755
240,4.0,-9.11314539973523e-09,-9.11314539973523e-09,-9.11314539973523e-09,802.8310308884201,802.8310308884201,802.8310308884201,802.8310308975332,802.8310308975332,802.8310308975332,2408.4930926925995,-23075.829250493654,-23075.829250493654,-23075.829250493654,-69227.48775148096,0.20919855123873826
270,4.5,-9.13263545038553e-09,-9.13263545038553e-09,-9.13263545038553e-09,3348.1314966606064,3348.1314966606064,3348.1314966606064,3348.131496669739,3348.131496669739,3348.131496669739,10044.394490009217,-22930.053016195547,-22930.053016195547,-22930.053016195547,-68790.15904858665,0.20786049952057828
300,5.0,-9.162298889023622e-09,-9.162298889023622e-09,-9.162298889023622e-09,7612.490548186635,7612.490548186635,7612.490548186635,7612.490548195798,7612.490548195798,7612.490548195798,22837.471644587393,-22180.58040635742,-22180.58040635742,-22180.58040635742,-66541.74121907227,0.20228028035946494
330,5.5,6.819876163056573e-10,6.819876163056573e-10,6.819876163056573e-10,3.6961032173659244e-09,3.6961032173659244e-09,3.6961032173659244e-09,3.014115601060267e-09,3.014115601060267e-09,3.014115601060267e-09,9.042346803180801e-09,-22627.266606226836,-22627.266606226836,-22627.266606226836,-67881.7998186805,0.1895927961124749
360,6.0,6.819551964502616e-10,6.819551964502616e-10,6.819551964502616e-10,3.6960713260057247e-09,3.6960713260057247e-09,3.6960713260057247e-09,3.014116129555463e-09,3.014116129555463e-09,3.014116129555463e-09,9.04234838866639e-09,-21205.657564177895,-21205.657564177895,-21205.657564177895,-63616.97269253369,0.18959279611246965
390,6.5,6.804864945020627e-10,6.804864945020627e-10,6.804864945020627e-10,3.6946045072913943e-09,3.6946045072913943e-09,3.6946045072913943e-09,3.0141180127893316e-09,3.0141180127893316e-09,3.0141180127893316e-09,9.042354038367995e-09,-10424.435854283483,-10424.435854283483,-10424.435854283483,-31273.307562850452,0.1895927961124644
420,7.0,2670.406061106756,2670.406061106756,2670.406061106756,0.0520103953473426,0.0520103953473426,0.0520103953473426,-2670.354050711409,-2670.354050711409,-2670.354050711409,-8011.062152134227,-5492.574285450829,-5492.574285450829,-5492.574285450829,-16477.722856352488,0.1895927961124592
450,7.5,22201.033326163375,22201.033326163375,22201.033326163375,0.0062559600385892105,0.0062559600385892105,0.0062559600385892105,-22201.027070203338,-22201.027070203338,-22201.027070203338,-66603.08121061002,-4713.56507373426,-4713.56507373426,-4713.56507373426,-14140.69522120278,0.19319775761096095
480,8.0,21323.270533023537,21323.270533023537,21323.270533023537,0.0065134840107504595,0.0065134840107504595,0.0065134840107504595,-21323.264019539525,-21323.264019539525,-21323.264019539525,-63969.79205861858,-2285.100269201201,-2285.100269201201,-2285.100269201201,-6855.300807603604,0.22316914217468145
510,8.5,27614.798631464735,27614.798631464735,27614.798631464735,0.005029504373087362,0.005029504373087362,0.005029504373087362,-27614.793601960362,-27614.793601960362,-27614.793601960362,-82844.38080588108,-318.2627416520135,-318.2627416520135,-318.2627416520135,-954.7882249560405,0.25195554653845637
