Time_sample,Time_h,PV_architecture,PV_available_P_W,PV_command_P_W,PV_Q_command_var,PV_curtailment_W,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,CentralSolar_P_curtailment_W
30,0.5,central,0.0,-3.0050186043677755e-16,-1.2288739688720575e-07,3.0050186043677755e-16,0.0,-3.0050186043677755e-16,-1.2288739688720575e-07,3.0050186043677755e-16
60,1.0,central,0.0,-3.020581844013439e-16,-1.264789280262201e-07,3.020581844013439e-16,0.0,-3.020581844013439e-16,-1.264789280262201e-07,3.020581844013439e-16
90,1.5,central,0.0,-3.038466781845076e-16,-1.31918727900381e-07,3.038466781845076e-16,0.0,-3.038466781845076e-16,-1.31918727900381e-07,3.038466781845076e-16
120,2.0,central,0.0,-2.9892879349996085e-16,-1.1112670785867889e-07,2.9892879349996085e-16,0.0,-2.9892879349996085e-16,-1.1112670785867889e-07,2.9892879349996085e-16
150,2.5,central,0.0,-3.0293509739254964e-16,-1.2974201832702794e-07,3.0293509739254964e-16,0.0,-3.0293509739254964e-16,-1.2974201832702794e-07,3.0293509739254964e-16
180,3.0,central,0.0,-3.030103816578763e-16,-1.325720349173318e-07,3.030103816578763e-16,0.0,-3.030103816578763e-16,-1.325720349173318e-07,3.030103816578763e-16
210,3.5,central,0.0,-3.0389579302507335e-16,-4.856505613478595e-08,3.0389579302507335e-16,0.0,-3.0389579302507335e-16,-4.856505613478595e-08,3.0389579302507335e-16
240,4.0,central,802.8310228511782,-9.64386656466579e-09,1.0994090227582774e-07,802.831022860822,802.8310228511782,-9.64386656466579e-09,1.0994090227582774e-07,802.831022860822
270,4.5,central,3348.13146317036,-9.643864953080526e-09,1.138522256994346e-07,3348.1314631800037,3348.13146317036,-9.643864953080526e-09,1.138522256994346e-07,3348.1314631800037
300,5.0,central,7612.490472052799,-9.643864644657453e-09,1.145696588133621e-07,7612.490472062444,7612.490472052799,-9.643864644657453e-09,1.145696588133621e-07,7612.490472062444
330,5.5,central,16214.672980009611,16214.673080003588,1.1482925871776236e-07,0.0,16214.672980009611,16214.673080003588,1.1482925871776236e-07,0.0
360,6.0,central,32040.626329922346,32040.626429916323,1.0272070720942184e-07,0.0,32040.626329922346,32040.626429916323,1.0272070720942184e-07,0.0
390,6.5,central,67541.17105030791,67541.17115030189,-1.9733537796399063e-09,0.0,67541.17105030791,67541.17115030189,-1.9733537796399063e-09,0.0
420,7.0,central,81235.98201122369,81235.93010081699,-1.2881480655257133e-07,0.05191040670615621,81235.98201122369,81235.93010081699,-1.2881480655257133e-07,0.05191040670615621
450,7.5,central,139783.09169335256,139783.08553738313,8.409065539163738e-09,0.006155969429528341,139783.09169335256,139783.08553738313,8.409065539163738e-09,0.006155969429528341
480,8.0,central,137806.99617541744,137806.989761924,-9.995377370913664e-08,0.00641349345096387,137806.99617541744,137806.989761924,-9.995377370913664e-08,0.00641349345096387
510,8.5,central,157786.37576376746,157786.3708342539,-3.195130719464811e-08,0.004929513554088771,157786.37576376746,157786.3708342539,-3.195130719464811e-08,0.004929513554088771
540,9.0,central,172443.48122961321,172443.47705796146,4.1746585038752035e-08,0.004171651758952066,172443.48122961321,172443.47705796146,4.1746585038752035e-08,0.004171651758952066
570,9.5,central,185006.28302110874,185006.27942190378,-4.12545681889581e-08,0.0035992049670312554,185006.28302110874,185006.27942190378,-4.12545681889581e-08,0.0035992049670312554
600,10.0,central,119416.07162306807,119416.06328603365,7.980051594601206e-08,0.008337034421856515,119416.07162306807,119416.06328603365,7.980051594601206e-08,0.008337034421856515
630,10.5,central,229745.74207171457,229745.7394786857,-1.652148464619908e-07,0.002593028882984072,229745.74207171457,229745.7394786857,-1.652148464619908e-07,0.002593028882984072
