Time_sample,Time_h,PV_architecture,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,NetCentral_P_injection_A_W,NetCentral_P_injection_B_W,NetCentral_P_injection_C_W,NetCentral_P_injection_total_W,BESS_SOC_pu
30,0.5,central,0.0,-3.0050186043677755e-16,-1.2288739688720575e-07,24749.151314954477,24749.151314954477,24749.151314954477,74247.45394486343,24749.151314954477,24749.151314954477,24749.151314954477,74247.45394486343,0.4999999999999998
60,1.0,central,0.0,-3.020581844013439e-16,-1.264789280262201e-07,24920.38669745332,24920.38669745332,24920.38669745332,74761.16009235996,24920.38669745332,24920.38669745332,24920.38669745332,74761.16009235996,0.4587514126979866
90,1.5,central,0.0,-3.038466781845076e-16,-1.31918727900381e-07,25097.345459822638,25097.345459822638,25097.345459822638,75292.03637946791,25097.345459822638,25097.345459822638,25097.345459822638,75292.03637946791,0.41721743310401943
120,2.0,central,0.0,-2.9892879349996085e-16,-1.1112670785867889e-07,24587.80895913206,24587.80895913206,24587.80895913206,73763.42687739618,24587.80895913206,24587.80895913206,24587.80895913206,73763.42687739618,0.37538852225188085
150,2.5,central,0.0,-3.0293509739254964e-16,-1.2974201832702794e-07,25007.35017686342,25007.35017686342,25007.35017686342,75022.05053059026,25007.35017686342,25007.35017686342,25007.35017686342,75022.05053059026,0.334408838864578
180,3.0,central,0.0,-3.030103816578763e-16,-1.325720349173318e-07,25015.684584272727,25015.684584272727,25015.684584272727,75047.05375281817,25015.684584272727,25015.684584272727,25015.684584272727,75047.05375281817,0.29272992014439825
210,3.5,central,0.0,-3.0389579302507335e-16,-4.856505613478595e-08,25103.134653011555,25103.134653011555,25103.134653011555,75309.40395903467,25103.134653011555,25103.134653011555,25103.134653011555,75309.40395903467,0.25103711074578755
240,4.0,central,802.8310228511782,-9.64386656466579e-09,1.0994090227582774e-07,802.8310308975332,802.8310308975332,802.8310308975332,2408.4930926925995,802.8310308943186,802.8310308943186,802.8310308943186,2408.4930926829556,0.20919855123873826
270,4.5,central,3348.13146317036,-9.643864953080526e-09,1.138522256994346e-07,3348.131496669739,3348.131496669739,3348.131496669739,10044.394490009217,3348.1314966665245,3348.1314966665245,3348.1314966665245,10044.394489999573,0.20786049952057828
300,5.0,central,7612.490472052799,-9.643864644657453e-09,1.145696588133621e-07,7612.490548195798,7612.490548195798,7612.490548195798,22837.471644587393,7612.4905481925825,7612.4905481925825,7612.4905481925825,22837.47164457775,0.20228028035946494
