Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction
One-stage weighted objective,240,4.0,0.8028310228511782,-9.643866564665789e-12,0.8028310228608221,0.20919855123873826,-9.113145399735229e-12,0.80283103088842,0.8028310308975332,-23.075829250493655,-9.113145399735229e-12,0.80283103088842,0.8028310308975332,-23.075829250493655,-9.113145399735229e-12,0.80283103088842,0.8028310308975332,-23.075829250493655,-2.733943619920569e-11,2.40849309266526,2.4084930926925994,-69.22748775148096,0.40141551143041104,1.0000000000120124
One-stage weighted objective,270,4.5,3.34813146317036,-9.643864953080526e-12,3.3481314631800037,0.20786049952057828,-9.132635450385529e-12,3.3481314966606064,3.348131496669739,-22.930053016195547,-9.132635450385529e-12,3.3481314966606064,3.348131496669739,-22.930053016195547,-9.132635450385529e-12,3.3481314966606064,3.348131496669739,-22.930053016195547,-2.7397906351156588e-11,10.04439448998182,10.044394490009218,-68.79015904858664,1.6740657315900018,1.0000000000028804
One-stage weighted objective,300,5.0,7.6124904720528,-9.643864644657454e-12,7.612490472062444,0.20228028035946494,-9.162298889023621e-12,7.612490548186635,7.612490548195797,-22.18058040635742,-9.162298889023621e-12,7.612490548186635,7.612490548195797,-22.18058040635742,-9.162298889023621e-12,7.612490548186635,7.612490548195797,-22.18058040635742,-2.7486896667070866e-11,22.837471644559905,22.837471644587392,-66.54174121907226,3.806245236031222,1.0000000000012668
One-stage weighted objective,1020,17.0,58.8676590442051,33.55784974851231,25.309809295692787,0.9734252639149371,1.0169361469830298e-05,13.65757761234655,13.657567442985078,0.4407915179920917,1.0169361469830298e-05,13.65757761234655,13.657567442985078,0.4407915179920917,1.0169361469830298e-05,13.65757761234655,13.657567442985078,0.4407915179920917,3.0508084409490895e-05,40.97273283703965,40.972702328955236,1.3223745539762752,12.654904647846394,0.4299442122658056
One-stage weighted objective,1050,17.5,21.38615526279812,-9.643867340327814e-12,21.386155262807762,0.9506626482896642,-9.195126205315901e-12,21.38615536280705,21.386155362816247,-11.46784070405971,-9.195126205315901e-12,21.38615536280705,21.386155362816247,-11.46784070405971,-9.195126205315901e-12,21.38615536280705,21.386155362816247,-11.46784070405971,-2.7585378615947703e-11,64.15846608842115,64.15846608844873,-34.40352211217913,10.693077631403881,1.0000000000004508
One-stage weighted objective,1080,18.0,35.72629562474032,9.971327071247615,25.754968553492706,0.9150190560183067,6.688920263985708e-06,20.764012050561362,20.7640053616411,-5.187796986082052,6.688920263985708e-06,20.764012050561362,20.7640053616411,-5.187796986082052,6.688920263985708e-06,20.764012050561362,20.7640053616411,-5.187796986082052,2.0066760791957123e-05,62.292036151684094,62.29201608492329,-15.563390958246156,12.877484276746353,0.7208966981636208
One-stage weighted objective,1110,18.5,34.88048921037201,0.891141594967467,33.98934761540454,0.8804123782974136,5.683802440890555e-06,24.435896717056185,24.435891033253746,0.4425180474461386,5.683802440890555e-06,24.435896717056185,24.435891033253746,0.4425180474461386,5.683802440890555e-06,24.435896717056185,24.435891033253746,0.4425180474461386,1.7051407322671665e-05,73.30769015116856,73.30767309976123,1.3275541423384158,16.99467380770227,0.974451574070742
One-stage weighted objective,1140,19.0,14.676355200650205,-9.64386479915274e-12,14.676355200659849,0.8396858914421199,-9.183803266845162e-12,14.676355300659138,14.676355300668321,-18.711690604566655,-9.183803266845162e-12,14.676355300659138,14.676355300668321,-18.711690604566655,-9.183803266845162e-12,14.676355300659138,14.676355300668321,-18.711690604566655,-2.7551409800535484e-11,44.02906590197741,44.029065902004966,-56.135071813699966,7.338177600329924,1.000000000000657
One-stage weighted objective,1170,19.5,6.556644238336596,-9.643864442784376e-12,6.556644238346241,0.8152252992743418,-9.156998244350225e-12,6.556644303911971,6.556644303921127,-22.2560199658317,-9.156998244350225e-12,6.556644303911971,6.556644303921127,-22.2560199658317,-9.156998244350225e-12,6.556644303911971,6.556644303921127,-22.2560199658317,-2.7470994733050676e-11,19.669932911735913,19.669932911763382,-66.76805989749509,3.2783221191731204,1.000000000001471
One-stage weighted objective,1200,20.0,1.4787101336823925,-9.643865463659979e-12,1.4787101336920363,0.8042975587678095,-9.114051508824131e-12,1.4787101484784253,1.4787101484875393,-22.370009516200316,-9.114051508824131e-12,1.4787101484784253,1.4787101484875393,-22.370009516200316,-9.114051508824131e-12,1.4787101484784253,1.4787101484875393,-22.370009516200316,-2.7342154526472393e-11,4.436130445435276,4.436130445462618,-67.11002854860095,0.7393550668460181,1.000000000006522
One-stage weighted objective,1230,20.5,0.5138621598622417,-9.643866771096222e-12,0.5138621598718855,0.8018330418536667,-9.114980972629834e-12,0.5138621650097949,0.5138621650189099,-22.4460533736464,-9.114980972629834e-12,0.5138621650097949,0.5138621650189099,-22.4460533736464,-9.114980972629834e-12,0.5138621650097949,0.5138621650189099,-22.4460533736464,-2.7344942917889503e-11,1.541586495029385,1.5415864950567297,-67.3381601209392,0.2569310799359428,1.0000000000187674
