Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction,Feeder_nominal_P_demand_kW,PV_surplus_interval,BESS_net_discharge_kW,Gate_violation,Night_interval,Daytime_interval,Night_gate_max_phase_discharge_kW,Night_gate_allowed_day_discharge_kW,Night_gate_violation
One-stage weighted objective,30,0.5,0.0,-3.0050186043677754e-19,3.0050186043677754e-19,0.4999999999999998,5.611860187654187e-06,24.749156926814663,24.749151314954478,-3.2163592374986263,5.611860187654187e-06,24.749156926814663,24.749151314954478,-3.2163592374986263,5.611860187654187e-06,24.749156926814663,24.749151314954478,-3.2163592374986263,1.6835580562962563e-05,74.24747078044398,74.24745394486344,-9.649077712495881,1.5025093021838877e-19,,15.664,False,74.24745394486341,False,True,False,24.749156926814663,3.0050186043677754e-19,False
One-stage weighted objective,60,1.0,0.0,-3.0205818440134393e-19,3.0205818440134393e-19,0.4587514126979866,5.5732994244056586e-06,24.920392270752746,24.92038669745332,-2.355218584611255,5.5732994244056586e-06,24.920392270752746,24.92038669745332,-2.355218584611255,5.5732994244056586e-06,24.920392270752746,24.92038669745332,-2.355218584611255,1.6719898273216972e-05,74.76117681225823,74.76116009235996,-7.065655753833766,1.5102909220067196e-19,,11.51,False,74.76116009235996,False,True,False,24.920392270752746,3.0205818440134393e-19,False
One-stage weighted objective,90,1.5,0.0,-3.038466781845076e-19,3.038466781845076e-19,0.41721743310401943,5.534002667372194e-06,25.097350993825305,25.097345459822638,-0.5500996640617412,5.534002667372194e-06,25.097350993825305,25.097345459822638,-0.5500996640617412,5.534002667372194e-06,25.097350993825305,25.097345459822638,-0.5500996640617412,1.6602008002116583e-05,75.29205298147592,75.29203637946792,-1.6502989921852234,1.519233390922538e-19,,10.378,False,75.29203637946792,False,True,False,25.097350993825305,3.038466781845076e-19,False
One-stage weighted objective,120,2.0,0.0,-2.9892879349996086e-19,2.9892879349996086e-19,0.37538852225188085,5.64868456823578e-06,24.58781460781663,24.58780895913206,-4.612213947492283,5.64868456823578e-06,24.58781460781663,24.58780895913206,-4.612213947492283,5.64868456823578e-06,24.58781460781663,24.58780895913206,-4.612213947492283,1.694605370470734e-05,73.76344382344988,73.76342687739618,-13.83664184247685,1.4946439674998043e-19,,11.028,False,73.76342687739617,False,True,False,24.58781460781663,2.9892879349996086e-19,False
One-stage weighted objective,150,2.5,0.0,-3.0293509739254963e-19,3.0293509739254963e-19,0.334408838864578,5.553918179957368e-06,25.0073557307816,25.00735017686342,-2.1312324657567077,5.553918179957368e-06,25.0073557307816,25.00735017686342,-2.1312324657567077,5.553918179957368e-06,25.0073557307816,25.00735017686342,-2.1312324657567077,1.6661754539872107e-05,75.0220671923448,75.02205053059026,-6.393697397270124,1.5146754869627482e-19,,9.438,False,75.02205053059026,False,True,False,25.0073557307816,3.0293509739254963e-19,False
One-stage weighted objective,180,3.0,0.0,-3.030103816578763e-19,3.030103816578763e-19,0.29272992014439825,5.552067795953485e-06,25.015690136340524,25.015684584272726,-1.81911028341337,5.552067795953485e-06,25.015690136340524,25.015684584272726,-1.81911028341337,5.552067795953485e-06,25.015690136340524,25.015684584272726,-1.81911028341337,1.6656203387860452e-05,75.04707040902157,75.04705375281817,-5.45733085024011,1.5150519082893815e-19,,10.008,False,75.04705375281819,False,True,False,25.015690136340524,3.030103816578763e-19,False
One-stage weighted objective,210,3.5,0.0,-3.0389579302507334e-19,3.0389579302507334e-19,0.25103711074578755,5.532726435733188e-06,25.10314018573799,25.103134653011555,0.44035224868080325,5.532726435733188e-06,25.10314018573799,25.103134653011555,0.44035224868080325,5.532726435733188e-06,25.10314018573799,25.103134653011555,0.44035224868080325,1.6598179307199567e-05,75.30942055721398,75.30940395903467,1.3210567460424096,1.5194789651253667e-19,,12.638,False,75.30940395903468,False,True,False,25.10314018573799,3.0389579302507334e-19,False
One-stage weighted objective,240,4.0,0.8028310228511782,-9.643866564665789e-12,0.8028310228608221,0.20919855123873826,-9.113145399735229e-12,0.80283103088842,0.8028310308975332,-23.075829250493655,-9.113145399735229e-12,0.80283103088842,0.8028310308975332,-23.075829250493655,-9.113145399735229e-12,0.80283103088842,0.8028310308975332,-23.075829250493655,-2.733943619920569e-11,2.40849309266526,2.4084930926925994,-69.22748775148096,0.40141551143041104,1.0000000000120124,10.408,False,2.4084930926925994,False,False,True,0.80283103088842,0.8028310228608221,False
One-stage weighted objective,270,4.5,3.34813146317036,-9.643864953080526e-12,3.3481314631800037,0.20786049952057828,-9.132635450385529e-12,3.3481314966606064,3.348131496669739,-22.930053016195547,-9.132635450385529e-12,3.3481314966606064,3.348131496669739,-22.930053016195547,-9.132635450385529e-12,3.3481314966606064,3.348131496669739,-22.930053016195547,-2.7397906351156588e-11,10.04439448998182,10.044394490009218,-68.79015904858664,1.6740657315900018,1.0000000000028804,9.298,False,10.044394490009218,False,False,True,3.3481314966606064,3.3481314631800037,False
One-stage weighted objective,300,5.0,7.6124904720528,-9.643864644657454e-12,7.612490472062444,0.20228028035946494,-9.162298889023621e-12,7.612490548186635,7.612490548195797,-22.18058040635742,-9.162298889023621e-12,7.612490548186635,7.612490548195797,-22.18058040635742,-9.162298889023621e-12,7.612490548186635,7.612490548195797,-22.18058040635742,-2.7486896667070866e-11,22.837471644559905,22.837471644587392,-66.54174121907226,3.806245236031222,1.0000000000012668,10.438,False,22.837471644587392,False,False,True,7.612490548186635,7.612490472062444,False
