Time_sample,Time_h,Feeder_line,OPF_P_sending_A_kW,OPF_P_sending_B_kW,OPF_P_sending_C_kW,OPF_source_flow_total_kW,OPF_feeder_import_kW,OPF_feeder_export_kW,OPF_feeder_export_energy_kWh,sign_convention,units
30,0.5,feeder2_line1,-16.662418943278137,-20.83828602984523,-18.04671745974849,-55.547422432871855,0.0,55.547422432871855,27.773711216435927,positive source flow = import; negative source flow = export,kW; energy column kWh
60,1.0,feeder2_line1,-19.315894312109258,-21.140408054977286,-20.0701176729981,-60.526420040084645,0.0,60.526420040084645,30.263210020042322,positive source flow = import; negative source flow = export,kW; energy column kWh
90,1.5,feeder2_line1,-19.562213598695266,-21.087694129400553,-21.846273312819754,-62.49618104091557,0.0,62.49618104091557,31.248090520457787,positive source flow = import; negative source flow = export,kW; energy column kWh
120,2.0,feeder2_line1,-18.853188942225895,-21.639967743044313,-19.79973854300915,-60.292895228279356,0.0,60.292895228279356,30.146447614139678,positive source flow = import; negative source flow = export,kW; energy column kWh
150,2.5,feeder2_line1,-19.547981372615705,-21.989326873811084,-21.62505057076277,-63.162358817189556,0.0,63.162358817189556,31.581179408594778,positive source flow = import; negative source flow = export,kW; energy column kWh
180,3.0,feeder2_line1,-19.426570628391893,-21.07601854289572,-22.105110320687697,-62.60769949197531,0.0,62.60769949197531,31.303849745987655,positive source flow = import; negative source flow = export,kW; energy column kWh
210,3.5,feeder2_line1,-19.207276475417014,-20.53482405050233,-20.488040008806085,-60.23014053472542,0.0,60.23014053472542,30.11507026736271,positive source flow = import; negative source flow = export,kW; energy column kWh
240,4.0,feeder2_line1,4.1849050760830835,3.103758447541344,3.1756208011197793,10.464284324744206,10.464284324744206,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
270,4.5,feeder2_line1,2.48268561664126,0.27170943467966574,-1.1021748896899528,1.6522201616309726,1.6522201616309726,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
300,5.0,feeder2_line1,-1.6122115957676961,-4.337544791890147,-4.0033137188837955,-9.953070106541638,0.0,9.953070106541638,4.976535053270819,positive source flow = import; negative source flow = export,kW; energy column kWh
330,5.5,feeder2_line1,0.3422773527406771,-1.3317318235088624,-1.3473518956633466,-2.336806366431532,0.0,2.336806366431532,1.168403183215766,positive source flow = import; negative source flow = export,kW; energy column kWh
360,6.0,feeder2_line1,-7.984327772115464,-6.613532146601195,-3.3649605070907103,-17.96282042580737,0.0,17.96282042580737,8.981410212903684,positive source flow = import; negative source flow = export,kW; energy column kWh
390,6.5,feeder2_line1,-14.552060424271653,-18.740865005913214,-19.239217781566964,-52.53214321175183,0.0,52.53214321175183,26.266071605875915,positive source flow = import; negative source flow = export,kW; energy column kWh
420,7.0,feeder2_line1,-16.049112691554807,-19.120551923234867,-21.376630643680485,-56.54629525847016,0.0,56.54629525847016,28.27314762923508,positive source flow = import; negative source flow = export,kW; energy column kWh
450,7.5,feeder2_line1,-19.956104172866457,-19.64350925786585,-12.839930138708286,-52.43954356944059,0.0,52.43954356944059,26.219771784720294,positive source flow = import; negative source flow = export,kW; energy column kWh
480,8.0,feeder2_line1,-15.491085269293745,-16.551491792976886,-6.836738315768692,-38.87931537803932,0.0,38.87931537803932,19.43965768901966,positive source flow = import; negative source flow = export,kW; energy column kWh
510,8.5,feeder2_line1,-15.781828487846242,-18.38740810211055,-13.401628449050799,-47.57086503900759,0.0,47.57086503900759,23.785432519503797,positive source flow = import; negative source flow = export,kW; energy column kWh
540,9.0,feeder2_line1,-12.347423105227927,-10.13693319436997,-12.362223600701292,-34.84657990029919,0.0,34.84657990029919,17.423289950149595,positive source flow = import; negative source flow = export,kW; energy column kWh
570,9.5,feeder2_line1,-12.943077176132725,-6.837695275345362,-7.783088627365301,-27.563861078843388,0.0,27.563861078843388,13.781930539421694,positive source flow = import; negative source flow = export,kW; energy column kWh
600,10.0,feeder2_line1,-12.196981248844915,-11.567158751869705,-1.2997893502863447,-25.063929351000965,0.0,25.063929351000965,12.531964675500483,positive source flow = import; negative source flow = export,kW; energy column kWh
630,10.5,feeder2_line1,-6.936680137052306,-8.454143494781517,-10.032371389045988,-25.42319502087981,0.0,25.42319502087981,12.711597510439905,positive source flow = import; negative source flow = export,kW; energy column kWh
660,11.0,feeder2_line1,-0.2040299514239498,-6.175264505010162,-10.885567171535246,-17.26486162796936,0.0,17.26486162796936,8.63243081398468,positive source flow = import; negative source flow = export,kW; energy column kWh
690,11.5,feeder2_line1,-12.157228989995403,-11.205485800128852,-14.854941932265396,-38.21765672238965,0.0,38.21765672238965,19.108828361194824,positive source flow = import; negative source flow = export,kW; energy column kWh
720,12.0,feeder2_line1,-15.058490108748043,-15.648251928611527,-17.463174367008396,-48.16991640436797,0.0,48.16991640436797,24.084958202183984,positive source flow = import; negative source flow = export,kW; energy column kWh
