Time_sample,Time_h,Bus,Phase,Low_limit_pu,High_limit_pu,OPF_V_pu,DSS_V_pu,OPF_violation_pu,DSS_violation_pu,Voltage_violation_pu
30,0.5,feeder2_1818,2,0.9,1.1,1.1000000054999985,1.099999274107157,5.499998456670596e-09,0.0,5.499998456670596e-09
60,1.0,feeder2_1818,1,0.9,1.1,1.1000000054999983,1.1000005294845583,5.499998234625991e-09,5.294845581982344e-07,5.294845581982344e-07
90,1.5,feeder2_1818,3,0.9,1.1,1.1000000054999952,1.0999982830197352,5.499995126001522e-09,0.0,5.499995126001522e-09
120,2.0,feeder2_1818,2,0.9,1.1,1.1000000054999988,1.0999962347723964,5.499998678715201e-09,0.0,5.499998678715201e-09
150,2.5,feeder2_1818,2,0.9,1.1,1.100000005499998,1.099988372145516,5.499998012581386e-09,0.0,5.499998012581386e-09
180,3.0,feeder2_1818,3,0.9,1.1,1.1000000054999977,1.100011629663684,5.4999975684921765e-09,1.1629663683843106e-05,1.1629663683843106e-05
210,3.5,feeder2_1818,2,0.9,1.1,1.1000000054994998,1.1000044938342461,5.4994997444879345e-09,4.493834246055428e-06,4.493834246055428e-06
420,7.0,feeder2_1818,3,0.9,1.1,1.1000000054999988,1.1000000009045998,5.499998678715201e-09,9.045997284573559e-10,5.499998678715201e-09
450,7.5,feeder2_1818,1,0.9,1.1,1.1000000054999985,1.0999879096380523,5.499998456670596e-09,0.0,5.499998456670596e-09
480,8.0,feeder2_1818,2,0.9,1.1,1.1000000054999977,1.0999996705421258,5.4999975684921765e-09,0.0,5.4999975684921765e-09
510,8.5,feeder2_1818,2,0.9,1.1,1.1000000054999923,1.0999972258598183,5.499992239421658e-09,0.0,5.499992239421658e-09
540,9.0,feeder2_1818,1,0.9,1.1,1.1000000054999943,1.1000021812969283,5.499994237823103e-09,2.181296928194243e-06,2.181296928194243e-06
570,9.5,feeder2_1818,1,0.9,1.1,1.1000000054999988,1.099997688367282,5.499998678715201e-09,0.0,5.499998678715201e-09
600,10.0,feeder2_1818,1,0.9,1.1,1.1000000054999992,1.100003568819319,5.499999122804411e-09,3.568819318955363e-06,3.568819318955363e-06
750,12.5,feeder2_1818,3,0.9,1.1,1.1000000054999972,1.1000047581242252,5.499997124402967e-09,4.758124225068272e-06,4.758124225068272e-06
810,13.5,feeder2_1818,3,0.9,1.1,1.100000005499999,1.099991279335287,5.499998900759806e-09,0.0,5.499998900759806e-09
840,14.0,feeder2_1818,3,0.9,1.1,1.1000000054999988,1.099996763352355,5.499998678715201e-09,0.0,5.499998678715201e-09
870,14.5,feeder2_1818,3,0.9,1.1,1.1000000054999994,1.0999998026871156,5.499999344849016e-09,0.0,5.499999344849016e-09
930,15.5,feeder2_1818,3,0.9,1.1,1.1000000054999803,1.0999990758896725,5.499980249012992e-09,0.0,5.499980249012992e-09
960,16.0,feeder2_1818,3,0.9,1.1,1.100000005499999,1.0999853988832502,5.499998900759806e-09,0.0,5.499998900759806e-09
990,16.5,feeder2_1818,2,0.9,1.1,1.1000000054999985,1.1000027759493813,5.499998456670596e-09,2.7759493812506975e-06,2.7759493812506975e-06
1080,18.0,feeder2_1818,3,0.9,1.1,1.1000000054999992,1.0999963008448912,5.499999122804411e-09,0.0,5.499999122804411e-09
1290,21.5,feeder2_1818,3,0.9,1.1,1.1000000054999879,1.099988636435495,5.49998779852956e-09,0.0,5.49998779852956e-09
1380,23.0,feeder2_1818,1,0.9,1.1,1.1000000054999972,1.1000038331092978,5.499997124402967e-09,3.833109297746162e-06,3.833109297746162e-06
1410,23.5,feeder2_1818,2,0.9,1.1,1.100000005499997,1.0999930632926465,5.499996902358362e-09,0.0,5.499996902358362e-09
