Time_sample,Time_h,BESS_P_ch_A_W,BESS_P_ch_B_W,BESS_P_ch_C_W,BESS_P_dis_A_W,BESS_P_dis_B_W,BESS_P_dis_C_W,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,BESS_Q_A_var,BESS_Q_B_var,BESS_Q_C_var,BESS_Q_total_var,BESS_SOC_pu
30,0.5,0.00544018078161342,0.005521509061225984,0.005550412800076784,25524.374616542093,25148.542691498376,25017.617288971273,25524.36917636131,25148.537169989315,25017.611738558473,75690.5180849091,-764.8222565679781,-205.6476128242433,1400.6523325517599,430.18246315953843,0.5
60,1.0,0.005520525543284298,0.0055266824221692455,0.005523589701571554,25153.014735111083,25125.00497943016,25139.053871713124,25153.009214585538,25124.999452747736,25139.048348123422,75417.0570154567,-1054.726935431225,1107.0748272559472,137.54139029839428,189.88928212311646,0.45794971043210636
90,1.5,0.005517418559405451,0.0055229141274904725,0.005521587127576612,25167.132693184798,25142.057308679956,25148.118534563142,25167.12717576624,25142.051785765827,25148.113012976013,75457.29197450809,622.2426940932031,447.4558423768724,-252.23921069277836,817.4593257772971,0.4160513436743794
120,2.0,0.00548450815371489,0.00552446333766364,0.005540329128012348,25318.139542287074,25135.08387985149,25063.133184015787,25318.13405777892,25135.078355388152,25063.12764368666,75516.34005685373,-742.928846248988,-847.9675933765943,2053.2489740126343,462.35253438705195,0.3741306241625612
150,2.5,0.005516185124664193,0.005528378351570106,0.0055214837507964925,25172.788626479523,25117.28292742896,25148.63990494521,25172.7831102944,25117.27739905061,25148.634383461456,75438.69489280647,-334.1161806854861,-1270.2713288924074,193.39389425593072,-1410.9936153219628,0.33217710016188295
180,3.0,0.005516321005837458,0.005521507440066427,0.005525180114948697,25172.170649976983,25148.519470945106,25131.81390167473,25172.165133655977,25148.513949437667,25131.808376494617,75452.48745958826,369.0349518783016,-208.4678833312982,-939.9046610638902,-779.3375925168868,0.29026671236168544
210,3.5,0.005517141376902432,0.005522127602538364,0.005531770407379334,25168.36560079792,25145.63779163429,25101.784627973455,25168.360083656542,25145.63226950669,25101.77909620305,75415.77144936628,427.4472546495589,434.03901550617786,466.4373236870244,1327.9235938427612,0.2483486620247077
240,4.0,2.1710379156651924e-07,2.1710377957726931e-07,2.171038145067515e-07,766.9121791515159,766.9121791515159,766.9121791515158,766.9121789344122,766.9121789344122,766.912178934412,2300.7365368032365,-23307.57947279614,-23205.02453706951,-23140.236282628335,-69652.84029249399,0.20645100947033898
270,4.5,2.1912077347160255e-07,2.191207778264073e-07,2.1912068561761462e-07,3304.149124011525,3304.149124011525,3304.149124011525,3304.149123792404,3304.149123792404,3304.1491237924047,9912.447371377213,-22760.55346209474,-23197.11627567602,-23292.054617964983,-69249.72435573574,0.20517282250537955
300,5.0,2.224928543179352e-07,2.2249275661858686e-07,2.224927762023291e-07,7589.7456175581065,7589.7456175581065,7589.7456175581065,7589.745617335614,7589.745617335614,7589.745617335614,22769.23685200684,-22171.201125371004,-22526.883434353364,-22340.933150614354,-67039.01771033873,0.19966590729898945
