Time_sample,Time_h,PV_architecture,PV_available_P_W,PV_command_P_W,PV_Q_command_var,PV_curtailment_W,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,CentralSolar_P_curtailment_W
30,0.5,central,0.0,1.2690324483163582e-11,-5.916936559620671e-06,0.0,0.0,1.2690324483163582e-11,-5.916936559620671e-06,0.0
60,1.0,central,0.0,1.269028065777778e-11,-1.3138354921452683e-05,0.0,0.0,1.269028065777778e-11,-1.3138354921452683e-05,0.0
90,1.5,central,0.0,1.2690261370462103e-11,-9.892383764884948e-06,0.0,0.0,1.2690261370462103e-11,-9.892383764884948e-06,0.0
120,2.0,central,0.0,1.2690310526169604e-11,-6.507245465089961e-05,0.0,0.0,1.2690310526169604e-11,-6.507245465089961e-05,0.0
150,2.5,central,0.0,1.2690268664525833e-11,1.1867666559183324e-05,0.0,0.0,1.2690268664525833e-11,1.1867666559183324e-05,0.0
180,3.0,central,0.0,1.2690269820175973e-11,1.088254802994885e-05,0.0,0.0,1.2690269820175973e-11,1.088254802994885e-05,0.0
210,3.5,central,0.0,1.2690259373334333e-11,-1.0561328651866487e-05,0.0,0.0,1.2690259373334333e-11,-1.0561328651866487e-05,0.0
240,4.0,central,802.8310228511782,35.91885154439009,2.057924470732328e-07,766.9121713067881,802.8310228511782,35.91885154439009,2.057924470732328e-07,766.9121713067881
270,4.5,central,3348.13146317036,43.98237245656745,1.573249251688311e-07,3304.1490907137922,3348.13146317036,43.98237245656745,1.573249251688311e-07,3304.1490907137922
300,5.0,central,7612.490472052799,22.74493043601473,-2.916973755400136e-07,7589.745541616785,7612.490472052799,22.74493043601473,-2.916973755400136e-07,7589.745541616785
330,5.5,central,16214.672980009611,16214.673079357859,1.9416149467232103e-07,0.0,16214.672980009611,16214.673079357859,1.9416149467232103e-07,0.0
360,6.0,central,32040.626329922346,32040.626429270476,-4.188377124478667e-09,0.0,32040.626329922346,32040.626429270476,-4.188377124478667e-09,0.0
390,6.5,central,67541.17105030791,67541.17114965589,-1.3975726928225533e-07,0.0,67541.17105030791,67541.17114965589,-1.3975726928225533e-07,0.0
420,7.0,central,81235.98201122369,81235.9821102908,4.1046582986004835e-05,0.0,81235.98201122369,81235.9821102908,4.1046582986004835e-05,0.0
450,7.5,central,139783.09169335256,139783.0917926275,-3.841983487269467e-06,0.0,139783.09169335256,139783.0917926275,-3.841983487269467e-06,0.0
480,8.0,central,137806.99617541744,137806.99627469358,1.1031421981876955e-05,0.0,137806.99617541744,137806.99627469358,1.1031421981876955e-05,0.0
510,8.5,central,157786.37576376746,157786.37586303067,1.0533538243940976e-05,0.0,157786.37576376746,157786.37586303067,1.0533538243940976e-05,0.0
540,9.0,central,172443.48122961321,172443.48132886516,8.776230622616326e-06,0.0,172443.48122961321,172443.48132886516,8.776230622616326e-06,0.0
570,9.5,central,185006.28302110874,185006.28312035007,-1.0041831201582302e-06,0.0,185006.28302110874,185006.28312035007,-1.0041831201582302e-06,0.0
600,10.0,central,119416.07162306807,119416.07172235454,2.7519988874533303e-07,0.0,119416.07162306807,119416.07172235454,2.7519988874533303e-07,0.0
630,10.5,central,229745.74207171457,229745.742170921,8.497594279453932e-06,0.0,229745.74207171457,229745.742170921,8.497594279453932e-06,0.0
660,11.0,central,235990.30875364214,235990.3088528441,6.392275907303937e-06,0.0,235990.30875364214,235990.3088528441,6.392275907303937e-06,0.0
690,11.5,central,232588.44417352724,232588.44427273158,1.0035427245875405e-05,0.0,232588.44417352724,232588.44427273158,1.0035427245875405e-05,0.0
