Time_sample,Time_h,PV_architecture,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,NetCentral_P_injection_A_W,NetCentral_P_injection_B_W,NetCentral_P_injection_C_W,NetCentral_P_injection_total_W,BESS_SOC_pu
30,0.5,central,0.0,1.2690324483163582e-11,-5.916936559620671e-06,25524.36917636131,25148.537169989315,25017.611738558473,75690.5180849091,25524.369176361313,25148.53716998932,25017.611738558477,75690.51808490911,0.5
60,1.0,central,0.0,1.269028065777778e-11,-1.3138354921452683e-05,25153.009214585538,25124.999452747736,25139.048348123422,75417.0570154567,25153.00921458554,25124.99945274774,25139.048348123426,75417.05701545671,0.45794971043210636
90,1.5,central,0.0,1.2690261370462103e-11,-9.892383764884948e-06,25167.12717576624,25142.051785765827,25148.113012976013,75457.29197450809,25167.127175766243,25142.05178576583,25148.113012976017,75457.2919745081,0.4160513436743794
120,2.0,central,0.0,1.2690310526169604e-11,-6.507245465089961e-05,25318.13405777892,25135.078355388152,25063.12764368666,75516.34005685373,25318.134057778923,25135.078355388156,25063.127643686665,75516.34005685375,0.3741306241625612
150,2.5,central,0.0,1.2690268664525833e-11,1.1867666559183324e-05,25172.7831102944,25117.27739905061,25148.634383461456,75438.69489280647,25172.783110294404,25117.277399050614,25148.63438346146,75438.69489280648,0.33217710016188295
180,3.0,central,0.0,1.2690269820175973e-11,1.088254802994885e-05,25172.165133655977,25148.513949437667,25131.808376494617,75452.48745958826,25172.16513365598,25148.51394943767,25131.80837649462,75452.48745958827,0.29026671236168544
210,3.5,central,0.0,1.2690259373334333e-11,-1.0561328651866487e-05,25168.360083656542,25145.63226950669,25101.77909620305,75415.77144936628,25168.360083656546,25145.632269506692,25101.779096203052,75415.7714493663,0.2483486620247077
240,4.0,central,802.8310228511782,35.91885154439009,2.057924470732328e-07,766.9121789344122,766.9121789344122,766.912178934412,2300.7365368032365,778.8851294492089,778.8851294492089,778.8851294492088,2336.6553883476267,0.20645100947033898
270,4.5,central,3348.13146317036,43.98237245656745,1.573249251688311e-07,3304.149123792404,3304.149123792404,3304.1491237924047,9912.447371377213,3318.80991461126,3318.80991461126,3318.8099146112604,9956.42974383378,0.20517282250537955
300,5.0,central,7612.490472052799,22.74493043601473,-2.916973755400136e-07,7589.745617335614,7589.745617335614,7589.745617335614,22769.23685200684,7597.327260814285,7597.327260814285,7597.327260814285,22791.981782442857,0.19966590729898945
330,5.5,central,16214.672980009611,16214.673079357859,1.9416149467232103e-07,-1.2057505567359024e-07,-1.2057440563530898e-07,-1.205735283625435e-07,-3.6172298967144273e-07,5404.891026332044,5404.891026332045,5404.891026332046,16214.673078996137,0.18701633127002631
360,6.0,central,32040.626329922346,32040.626429270476,-4.188377124478667e-09,-1.205602670525111e-07,-1.2056094038030883e-07,-1.2056072220177912e-07,-3.6168192963459905e-07,10680.208809636264,10680.208809636264,10680.208809636264,32040.626428908796,0.18701633127004688
390,6.5,central,67541.17105030791,67541.17114965589,-1.3975726928225533e-07,-1.2054766088399115e-07,-1.2053894287367888e-07,-1.2054362659888153e-07,-3.6163023035655156e-07,22513.723716431414,22513.723716431425,22513.723716431417,67541.17114929426,0.1870163312700674
420,7.0,central,81235.98201122369,81235.9821102908,4.1046582986004835e-05,5.742412058524428e-07,-1945.0667943630547,-1929.9494221327318,-3875.016215921545,27078.66070400451,25133.593909067215,25148.711281297536,77360.96589436926,0.18701633127008785
