Time_sample,Time_h,Bus,DSS_V_A_V,DSS_V_B_V,DSS_V_C_V,DSS_angle_A_deg,DSS_angle_B_deg,DSS_angle_C_deg,DSS_V_A_pu,DSS_V_B_pu,DSS_V_C_pu,DSS_V_max_pu,DSS_V_min_pu
30,0.5,feeder2_1818,254.03330993652344,254.03443908691406,253.0991668701172,-29.145925521850586,-148.8121337890625,90.79656219482422,1.0999964990623756,1.1000013884269906,1.0959515409309912,1.1000013884269906,1.0959515409309912
60,1.0,feeder2_1818,254.03150939941406,254.0337371826172,253.9367218017578,-28.961063385009766,-148.99851989746094,90.8755111694336,1.0999887025079897,1.09999834909223,1.0995782601703197,1.09999834909223,1.0995782601703197
90,1.5,feeder2_1818,254.03443908691406,254.00106811523438,254.03265380859375,-29.099428176879883,-148.96290588378906,91.06771850585938,1.1000013884269906,1.0998568878808728,1.0999936579450995,1.1000013884269906,1.0998568878808728
120,2.0,feeder2_1818,253.81063842773438,254.0345001220703,254.01123046875,-28.958324432373047,-148.90679931640625,90.90464782714844,1.099032303145824,1.1000016527169698,1.0999008921624065,1.1000016527169698,1.099032303145824
150,2.5,feeder2_1818,254.0348358154297,254.0336151123047,254.0338592529297,-29.0429744720459,-148.86094665527344,91.0147705078125,1.1000031063118552,1.0999978205122716,1.0999988776721883,1.1000031063118552,1.0999978205122716
180,3.0,feeder2_1818,254.03465270996094,254.0333251953125,254.0341339111328,-29.099395751953125,-148.92910766601562,91.1061019897461,1.1000023134419177,1.0999965651348704,1.1000000669770946,1.1000023134419177,1.0999965651348704
210,3.5,feeder2_1818,254.0060577392578,254.03453063964844,253.5956268310547,-29.12432098388672,-148.929443359375,91.04857635498047,1.0998784935866708,1.1000017848619594,1.0981012756216597,1.1000017848619594,1.0981012756216597
240,4.0,feeder2_1818,243.40443420410156,243.40643310546875,243.0216064453125,-28.650115966796875,-148.4779510498047,91.50270080566406,1.0539721170726493,1.0539807725694676,1.0523144242507234,1.0539807725694676,1.0523144242507234
270,4.5,feeder2_1818,243.86721801757812,243.70584106445312,244.69277954101562,-28.43691062927246,-148.4438018798828,91.53689575195312,1.055976029767304,1.0552772470623462,1.0595508160257234,1.0595508160257234,1.0552772470623462
300,5.0,feeder2_1818,244.81430053710938,245.5161895751953,245.47525024414062,-28.364810943603516,-148.3351593017578,91.7645263671875,1.0600770173742753,1.0631162860623764,1.06293901355884,1.0631162860623764,1.0600770173742753
330,5.5,feeder2_1818,244.31517028808594,244.66098022460938,244.5418243408203,-28.444921493530273,-148.35406494140625,91.68726348876953,1.0579157199970175,1.0594131209465694,1.0588971608347109,1.0594131209465694,1.0579157199970175
360,6.0,feeder2_1818,247.23838806152344,246.12664794921875,245.3892059326172,-28.30379867553711,-148.0574493408203,91.56887817382812,1.0705736242599728,1.0657596483616627,1.0625664307606877,1.0705736242599728,1.0625664307606877
