Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction
One-stage weighted objective,240,4.0,0.8028310228511782,0.03591885154439009,0.7669121713067881,0.20645100947033898,2.1710379156651923e-10,0.766912179151516,0.7669121789344122,-23.30757947279614,2.171037795772693e-10,0.766912179151516,0.7669121789344122,-23.20502453706951,2.1710381450675152e-10,0.7669121791515159,0.7669121789344121,-23.140236282628337,6.513113856505401e-10,2.300736537454548,2.3007365368032366,-69.65284029249399,0.38345608565339406,0.955259761366934
One-stage weighted objective,270,4.5,3.34813146317036,0.04398237245656745,3.3041490907137923,0.20517282250537955,2.1912077347160254e-10,3.3041491240115253,3.304149123792404,-22.76055346209474,2.191207778264073e-10,3.3041491240115253,3.304149123792404,-23.19711627567602,2.1912068561761463e-10,3.3041491240115253,3.3041491237924046,-23.292054617964983,6.573622369156245e-10,9.912447372034576,9.912447371377214,-69.24972435573574,1.6520745453568961,0.9868636064800991
One-stage weighted objective,300,5.0,7.6124904720528,0.02274493043601473,7.589745541616785,0.19966590729898945,2.224928543179352e-10,7.589745617558107,7.589745617335614,-22.171201125371006,2.2249275661858685e-10,7.589745617558107,7.589745617335614,-22.526883434353362,2.224927762023291e-10,7.589745617558107,7.589745617335614,-22.340933150614354,6.674783871388511e-10,22.769236852674318,22.76923685200684,-67.03901771033873,3.7948727708083925,0.9970121564658089
One-stage weighted objective,1020,17.0,58.8676590442051,51.160161515384864,7.707497528820233,0.9495162969921336,2.2258466221127104e-10,7.707497628636649,7.707497628414064,-4.030913096789526,2.2258239429591993e-10,7.707497628636652,7.707497628414069,-1.5994468204897425,2.2258297760254005e-10,7.707497628636654,7.70749762841407,-1.2364491949067264,6.67750034109731e-10,23.122492885909953,23.122492885242202,-6.866809112185995,3.8537487644101165,0.13092923438712747
One-stage weighted objective,1050,17.5,21.38615526279812,1.8178683106283422,19.568286952169775,0.936670467611373,2.3138940637529228e-10,19.568287051986193,19.568287051754805,-11.640160398061518,2.3138876521038925e-10,19.568287051986193,19.568287051754805,-13.441082997327731,2.3138798011306707e-10,19.568287051986193,19.568287051754808,-14.124527869508018,6.941661516987486e-10,58.70486115595858,58.70486115526442,-39.205771264897265,9.784143476084887,0.9149978905375954
One-stage weighted objective,1080,18.0,35.72629562474032,19.384307999764946,16.341987624975374,0.9040566558583751,2.2909180483540696e-10,16.341987724791785,16.341987724562692,-5.782366967545892,2.2908775142038012e-10,16.341987724791785,16.3419877245627,-10.038701841179632,2.2909011882972723e-10,16.341987724791792,16.341987724562703,-6.912687669877744,6.872696750855143e-10,49.02596317437536,49.02596317368809,-22.733756478603272,8.170993812487687,0.4574218328322462
One-stage weighted objective,1110,18.5,34.88048921037201,15.572963184085959,19.307526026286055,0.8768200096506981,2.3120664512073339e-10,19.307526126102466,19.30752612587126,-2.1892735575665476,2.312058236421315e-10,19.307526126102466,19.307526125871263,-2.528460117304542,2.3120498934095004e-10,19.307526126102466,19.307526125871263,-4.145589758910225,6.936174581038149e-10,57.9225783783074,57.92257837761379,-8.863323433781314,9.653763013143028,0.5535336935740224
One-stage weighted objective,1140,19.0,14.676355200650205,0.23148878051102928,14.444866420139176,0.8446407994408395,2.277027135223012e-10,14.444866519955593,14.44486651972789,-19.414636673637016,2.2770287075299364e-10,14.444866519955593,14.44486651972789,-18.944278201514727,2.277029264377409e-10,14.444866519955593,14.44486651972789,-18.99399670064841,6.831085107130358e-10,43.33459955986678,43.33459955918367,-57.35291157580016,7.222433210069588,0.9842270933521169
One-stage weighted objective,1170,19.5,6.556644238336596,0.035028334014377986,6.521615904322219,0.8205660219078875,2.216584736890117e-10,6.521615969705079,6.52161596948342,-22.701353618285037,2.2165824150197835e-10,6.521615969705079,6.52161596948342,-22.679584306533965,2.2165852195013859e-10,6.521615969705079,6.52161596948342,-21.519130969479438,6.649752371411287e-10,19.564847909115237,19.56484790845026,-66.90006889429844,3.2608079521611093,0.9946575820280796
One-stage weighted objective,1200,20.0,1.4787101336823925,0.03958270637670155,1.439127427305691,0.8096966619586782,2.1763885326869374e-10,1.43912744190921,1.439127441691571,-22.9366474294004,2.1763897463117122e-10,1.43912744190921,1.439127441691571,-21.91550129695584,2.1763898884778746e-10,1.43912744190921,1.439127441691571,-22.7467496556102,6.529168167476524e-10,4.31738232572763,4.317382325074712,-67.59889838196642,0.7195637136528455,0.9732315986243162
One-stage weighted objective,1230,20.5,0.5138621598622417,0.030998993672402466,0.4828631661898392,0.8072981162224567,2.1687757226196267e-10,0.4828631711448783,0.48286317092800074,-22.43659878402378,2.1687776790728994e-10,0.4828631711448782,0.48286317092800046,-22.006643828932898,2.168776346585685e-10,0.48286317114487826,0.48286317092800063,-23.20783211305703,6.506329748278211e-10,1.4485895134346347,1.4485895127840018,-67.6510747260137,0.2414315830949196,0.9396744962098147
