Constraint,Body,Lower,Upper,Raw_violation,Relative_violation
"CentralBESS_night_only_discharge_con[1,1050]",9.999928806792013e-05,,0.0,9.999928806792013e-05,9.999928806792013e-05
"CentralBESS_night_only_discharge_con[1,1140]",9.999928806792013e-05,,0.0,9.999928806792013e-05,9.999928806792013e-05
"CentralBESS_night_only_discharge_con[2,1050]",9.999928806792013e-05,,0.0,9.999928806792013e-05,9.999928806792013e-05
"CentralBESS_night_only_discharge_con[2,1140]",9.999928806792013e-05,,0.0,9.999928806792013e-05,9.999928806792013e-05
"CentralBESS_night_only_discharge_con[3,1050]",9.999928806792013e-05,,0.0,9.999928806792013e-05,9.999928806792013e-05
"CentralBESS_night_only_discharge_con[3,1140]",9.999928806792013e-05,,0.0,9.999928806792013e-05,9.999928806792013e-05
"CentralBESS_night_only_discharge_con[1,390]",9.999767486134787e-05,,0.0,9.999767486134787e-05,9.999767486134787e-05
"CentralBESS_night_only_discharge_con[2,390]",9.999767486134787e-05,,0.0,9.999767486134787e-05,9.999767486134787e-05
"CentralBESS_night_only_discharge_con[3,390]",9.999767486134787e-05,,0.0,9.999767486134787e-05,9.999767486134787e-05
"CentralBESS_night_only_discharge_con[1,330]",9.999767272207914e-05,,0.0,9.999767272207914e-05,9.999767272207914e-05
"CentralBESS_night_only_discharge_con[2,330]",9.999767272207914e-05,,0.0,9.999767272207914e-05,9.999767272207914e-05
"CentralBESS_night_only_discharge_con[3,330]",9.999767272207914e-05,,0.0,9.999767272207914e-05,9.999767272207914e-05
"CentralBESS_night_only_discharge_con[1,360]",9.999767269018779e-05,,0.0,9.999767269018779e-05,9.999767269018779e-05
"CentralBESS_night_only_discharge_con[2,360]",9.999767269018779e-05,,0.0,9.999767269018779e-05,9.999767269018779e-05
"CentralBESS_night_only_discharge_con[3,360]",9.999767269018779e-05,,0.0,9.999767269018779e-05,9.999767269018779e-05
"CentralBESS_night_only_discharge_con[1,780]",9.999766881801333e-05,,0.0,9.999766881801333e-05,9.999766881801333e-05
"CentralBESS_night_only_discharge_con[2,780]",9.999766881801333e-05,,0.0,9.999766881801333e-05,9.999766881801333e-05
"CentralBESS_night_only_discharge_con[3,780]",9.999766881801333e-05,,0.0,9.999766881801333e-05,9.999766881801333e-05
CentralSolar_P_available_con[390],67541.17115030189,,67541.17105030791,9.999398025684059e-05,1.4804892860729384e-09
CentralSolar_P_available_con[330],16214.673080003588,,16214.672980009611,9.999397661886178e-05,6.166882065736946e-09
CentralSolar_P_available_con[360],32040.626429916323,,32040.626329922346,9.999397661886178e-05,3.1208496137733884e-09
CentralSolar_P_available_con[780],63436.078137233984,,63436.07803724001,9.999397298088297e-05,1.5762950030511302e-09
"CentralBESS_night_only_discharge_con[1,660]",9.999122121225881e-05,,0.0,9.999122121225881e-05,9.999122121225881e-05
"CentralBESS_night_only_discharge_con[2,660]",9.999122121225881e-05,,0.0,9.999122121225881e-05,9.999122121225881e-05
"CentralBESS_night_only_discharge_con[3,660]",9.999122121225881e-05,,0.0,9.999122121225881e-05,9.999122121225881e-05
"CentralBESS_night_only_discharge_con[1,690]",9.999121734207079e-05,,0.0,9.999121734207079e-05,9.999121734207079e-05
"CentralBESS_night_only_discharge_con[2,690]",9.999121734207079e-05,,0.0,9.999121734207079e-05,9.999121734207079e-05
"CentralBESS_night_only_discharge_con[3,690]",9.999121734207079e-05,,0.0,9.999121734207079e-05,9.999121734207079e-05
"CentralBESS_night_only_discharge_con[1,630]",9.999121438916464e-05,,0.0,9.999121438916464e-05,9.999121438916464e-05
"CentralBESS_night_only_discharge_con[2,630]",9.999121438916464e-05,,0.0,9.999121438916464e-05,9.999121438916464e-05
"CentralBESS_night_only_discharge_con[3,630]",9.999121438916464e-05,,0.0,9.999121438916464e-05,9.999121438916464e-05
"CentralBESS_night_only_discharge_con[1,840]",9.999119184076139e-05,,0.0,9.999119184076139e-05,9.999119184076139e-05
"CentralBESS_night_only_discharge_con[2,840]",9.999119184076139e-05,,0.0,9.999119184076139e-05,9.999119184076139e-05
"CentralBESS_night_only_discharge_con[3,840]",9.999119184076139e-05,,0.0,9.999119184076139e-05,9.999119184076139e-05
"CentralBESS_night_only_discharge_con[1,810]",9.999118149622149e-05,,0.0,9.999118149622149e-05,9.999118149622149e-05
"CentralBESS_night_only_discharge_con[2,810]",9.999118149622149e-05,,0.0,9.999118149622149e-05,9.999118149622149e-05
"CentralBESS_night_only_discharge_con[3,810]",9.999118149622149e-05,,0.0,9.999118149622149e-05,9.999118149622149e-05
"CentralBESS_night_only_discharge_con[1,870]",9.9991142159769e-05,,0.0,9.9991142159769e-05,9.9991142159769e-05
"CentralBESS_night_only_discharge_con[2,870]",9.9991142159769e-05,,0.0,9.9991142159769e-05,9.9991142159769e-05
"CentralBESS_night_only_discharge_con[3,870]",9.9991142159769e-05,,0.0,9.9991142159769e-05,9.9991142159769e-05
"CentralBESS_night_only_discharge_con[1,570]",9.999102193096032e-05,,0.0,9.999102193096032e-05,9.999102193096032e-05
"CentralBESS_night_only_discharge_con[2,570]",9.999102193096032e-05,,0.0,9.999102193096032e-05,9.999102193096032e-05
"CentralBESS_night_only_discharge_con[3,570]",9.999102193096032e-05,,0.0,9.999102193096032e-05,9.999102193096032e-05
"CentralBESS_night_only_discharge_con[1,540]",9.999094642443567e-05,,0.0,9.999094642443567e-05,9.999094642443567e-05
"CentralBESS_night_only_discharge_con[2,540]",9.999094642443567e-05,,0.0,9.999094642443567e-05,9.999094642443567e-05
"CentralBESS_night_only_discharge_con[3,540]",9.999094642443567e-05,,0.0,9.999094642443567e-05,9.999094642443567e-05
"CentralBESS_night_only_discharge_con[1,960]",9.999092362281917e-05,,0.0,9.999092362281917e-05,9.999092362281917e-05
"CentralBESS_night_only_discharge_con[2,960]",9.999092362281917e-05,,0.0,9.999092362281917e-05,9.999092362281917e-05
"CentralBESS_night_only_discharge_con[3,960]",9.999092362281917e-05,,0.0,9.999092362281917e-05,9.999092362281917e-05
"CentralBESS_night_only_discharge_con[1,900]",9.99909019277264e-05,,0.0,9.99909019277264e-05,9.99909019277264e-05
"CentralBESS_night_only_discharge_con[2,900]",9.99909019277264e-05,,0.0,9.99909019277264e-05,9.99909019277264e-05
"CentralBESS_night_only_discharge_con[3,900]",9.99909019277264e-05,,0.0,9.99909019277264e-05,9.99909019277264e-05
"CentralBESS_night_only_discharge_con[1,510]",9.999081899859062e-05,,0.0,9.999081899859062e-05,9.999081899859062e-05
"CentralBESS_night_only_discharge_con[2,510]",9.999081899859062e-05,,0.0,9.999081899859062e-05,9.999081899859062e-05
"CentralBESS_night_only_discharge_con[3,510]",9.999081899859062e-05,,0.0,9.999081899859062e-05,9.999081899859062e-05
"CentralBESS_night_only_discharge_con[1,450]",9.999060906086977e-05,,0.0,9.999060906086977e-05,9.999060906086977e-05
"CentralBESS_night_only_discharge_con[2,450]",9.999060906086977e-05,,0.0,9.999060906086977e-05,9.999060906086977e-05
"CentralBESS_night_only_discharge_con[3,450]",9.999060906086977e-05,,0.0,9.999060906086977e-05,9.999060906086977e-05
"CentralBESS_night_only_discharge_con[1,480]",9.99905597865898e-05,,0.0,9.99905597865898e-05,9.99905597865898e-05
"CentralBESS_night_only_discharge_con[2,480]",9.99905597865898e-05,,0.0,9.99905597865898e-05,9.99905597865898e-05
"CentralBESS_night_only_discharge_con[3,480]",9.99905597865898e-05,,0.0,9.99905597865898e-05,9.99905597865898e-05
"CentralBESS_night_only_discharge_con[1,720]",9.999052676497224e-05,,0.0,9.999052676497224e-05,9.999052676497224e-05
"CentralBESS_night_only_discharge_con[2,720]",9.999052676497224e-05,,0.0,9.999052676497224e-05,9.999052676497224e-05
"CentralBESS_night_only_discharge_con[3,720]",9.999052676497224e-05,,0.0,9.999052676497224e-05,9.999052676497224e-05
"CentralBESS_night_only_discharge_con[1,990]",9.999021608109691e-05,,0.0,9.999021608109691e-05,9.999021608109691e-05
"CentralBESS_night_only_discharge_con[2,990]",9.999021608109691e-05,,0.0,9.999021608109691e-05,9.999021608109691e-05
"CentralBESS_night_only_discharge_con[3,990]",9.999021608109691e-05,,0.0,9.999021608109691e-05,9.999021608109691e-05
"CentralBESS_night_only_discharge_con[1,600]",9.999017137338195e-05,,0.0,9.999017137338195e-05,9.999017137338195e-05
"CentralBESS_night_only_discharge_con[2,600]",9.999017137338195e-05,,0.0,9.999017137338195e-05,9.999017137338195e-05
"CentralBESS_night_only_discharge_con[3,600]",9.999017137338195e-05,,0.0,9.999017137338195e-05,9.999017137338195e-05
"CentralBESS_night_only_discharge_con[1,930]",9.998951309553306e-05,,0.0,9.998951309553306e-05,9.998951309553306e-05
"CentralBESS_night_only_discharge_con[2,930]",9.998951309553306e-05,,0.0,9.998951309553306e-05,9.998951309553306e-05
"CentralBESS_night_only_discharge_con[3,930]",9.998951309553306e-05,,0.0,9.998951309553306e-05,9.998951309553306e-05
"CentralBESS_night_only_discharge_con[1,750]",9.998870055023812e-05,,0.0,9.998870055023812e-05,9.998870055023812e-05
"CentralBESS_night_only_discharge_con[2,750]",9.998870055023812e-05,,0.0,9.998870055023812e-05,9.998870055023812e-05
"CentralBESS_night_only_discharge_con[3,750]",9.998870055023812e-05,,0.0,9.998870055023812e-05,9.998870055023812e-05
"CentralBESS_night_only_discharge_con[1,420]",9.998864118639095e-05,,0.0,9.998864118639095e-05,9.998864118639095e-05
"CentralBESS_night_only_discharge_con[2,420]",9.998864118639095e-05,,0.0,9.998864118639095e-05,9.998864118639095e-05
"CentralBESS_night_only_discharge_con[3,420]",9.998864118639095e-05,,0.0,9.998864118639095e-05,9.998864118639095e-05
"CentralBESS_night_only_discharge_con[1,300]",7.612419176439289e-05,,0.0,7.612419176439289e-05,7.612419176439289e-05
"CentralBESS_night_only_discharge_con[2,300]",7.612419176439289e-05,,0.0,7.612419176439289e-05,7.612419176439289e-05
"CentralBESS_night_only_discharge_con[3,300]",7.612419176439289e-05,,0.0,7.612419176439289e-05,7.612419176439289e-05
"CentralBESS_night_only_discharge_con[1,1170]",6.55657295283163e-05,,0.0,6.55657295283163e-05,6.55657295283163e-05
"CentralBESS_night_only_discharge_con[2,1170]",6.55657295283163e-05,,0.0,6.55657295283163e-05,6.55657295283163e-05
"CentralBESS_night_only_discharge_con[3,1170]",6.55657295283163e-05,,0.0,6.55657295283163e-05,6.55657295283163e-05
"CentralBESS_night_only_discharge_con[1,270]",3.348060272401199e-05,,0.0,3.348060272401199e-05,3.348060272401199e-05
"CentralBESS_night_only_discharge_con[2,270]",3.348060272401199e-05,,0.0,3.348060272401199e-05,3.348060272401199e-05
"CentralBESS_night_only_discharge_con[3,270]",3.348060272401199e-05,,0.0,3.348060272401199e-05,3.348060272401199e-05
"CentralBESS_night_only_discharge_con[1,1200]",1.4786388874199474e-05,,0.0,1.4786388874199474e-05,1.4786388874199474e-05
"CentralBESS_night_only_discharge_con[2,1200]",1.4786388874199474e-05,,0.0,1.4786388874199474e-05,1.4786388874199474e-05
"CentralBESS_night_only_discharge_con[3,1200]",1.4786388874199474e-05,,0.0,1.4786388874199474e-05,1.4786388874199474e-05
"CentralBESS_night_only_discharge_con[1,240]",8.027598028093053e-06,,0.0,8.027598028093053e-06,8.027598028093053e-06
"CentralBESS_night_only_discharge_con[2,240]",8.027598028093053e-06,,0.0,8.027598028093053e-06,8.027598028093053e-06
"CentralBESS_night_only_discharge_con[3,240]",8.027598028093053e-06,,0.0,8.027598028093053e-06,8.027598028093053e-06
"CentralBESS_night_only_discharge_con[1,1230]",5.137909397490148e-06,,0.0,5.137909397490148e-06,5.137909397490148e-06
"CentralBESS_night_only_discharge_con[2,1230]",5.137909397490148e-06,,0.0,5.137909397490148e-06,5.137909397490148e-06
"CentralBESS_night_only_discharge_con[3,1230]",5.137909397490148e-06,,0.0,5.137909397490148e-06,5.137909397490148e-06
"V_upper_limit_con[feeder2_1818,3,870]",1.2100000120999983,,1.2100000000000002,1.2099998114578625e-08,9.999998341800548e-09
"V_upper_limit_con[feeder2_1818,1,600]",1.210000012099998,,1.2100000000000002,1.209999789253402e-08,9.999998158292613e-09
"V_upper_limit_con[feeder2_1818,3,810]",1.2100000120999979,,1.2100000000000002,1.2099997670489415e-08,9.999997974784679e-09
"V_upper_limit_con[feeder2_1818,3,1080]",1.2100000120999979,,1.2100000000000002,1.2099997670489415e-08,9.999997974784679e-09
