Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction,Feeder_nominal_P_demand_kW,PV_surplus_interval,BESS_net_discharge_kW,Gate_violation,Night_interval,Daytime_interval,Night_gate_max_phase_discharge_kW,Night_gate_allowed_day_discharge_kW,Night_gate_violation
One-stage weighted objective,30,0.5,0.0,1.2690324483163582e-14,0.0,0.5,5.44018078161342e-06,25.524374616542094,25.52436917636131,-0.7648222565679781,5.521509061225984e-06,25.148542691498378,25.148537169989314,-0.20564761282424332,5.550412800076784e-06,25.017617288971273,25.01761173855847,1.40065233255176,1.6512102642916187e-05,75.69053459701175,75.6905180849091,0.43018246315953845,0.0,,15.664,False,75.6905180849091,False,True,False,25.524374616542094,0.0,False
One-stage weighted objective,60,1.0,0.0,1.269028065777778e-14,0.0,0.45794971043210636,5.520525543284298e-06,25.153014735111082,25.153009214585538,-1.054726935431225,5.526682422169246e-06,25.12500497943016,25.124999452747737,1.1070748272559472,5.523589701571554e-06,25.139053871713124,25.13904834812342,0.13754139029839427,1.6570797667025096e-05,75.41707358625436,75.41705701545669,0.18988928212311645,0.0,,11.51,False,75.41705701545669,False,True,False,25.153014735111082,0.0,False
One-stage weighted objective,90,1.5,0.0,1.2690261370462103e-14,0.0,0.4160513436743794,5.517418559405451e-06,25.167132693184797,25.16712717576624,0.6222426940932031,5.522914127490472e-06,25.142057308679956,25.142051785765826,0.4474558423768724,5.521587127576612e-06,25.148118534563142,25.14811301297601,-0.2522392106927784,1.6561919814472537e-05,75.4573085364279,75.45729197450808,0.8174593257772971,0.0,,10.378,False,75.45729197450808,False,True,False,25.167132693184797,0.0,False
One-stage weighted objective,120,2.0,0.0,1.2690310526169604e-14,0.0,0.3741306241625612,5.48450815371489e-06,25.318139542287074,25.31813405777892,-0.7429288462489879,5.524463337663641e-06,25.13508387985149,25.135078355388153,-0.8479675933765943,5.540329128012348e-06,25.063133184015786,25.063127643686663,2.0532489740126345,1.654930061939088e-05,75.51635660615435,75.51634005685374,0.4623525343870519,0.0,,11.028,False,75.51634005685372,False,True,False,25.318139542287074,0.0,False
One-stage weighted objective,150,2.5,0.0,1.2690268664525834e-14,0.0,0.33217710016188295,5.516185124664193e-06,25.172788626479523,25.1727831102944,-0.3341161806854861,5.528378351570106e-06,25.117282927428963,25.11727739905061,-1.2702713288924075,5.521483750796492e-06,25.14863990494521,25.148634383461456,0.19339389425593073,1.6566047227030792e-05,75.43871145885369,75.43869489280647,-1.4109936153219629,0.0,,9.438,False,75.43869489280647,False,True,False,25.172788626479523,0.0,False
One-stage weighted objective,180,3.0,0.0,1.2690269820175974e-14,0.0,0.29026671236168544,5.516321005837458e-06,25.172170649976984,25.172165133655977,0.36903495187830165,5.521507440066427e-06,25.148519470945107,25.148513949437667,-0.2084678833312982,5.525180114948697e-06,25.13181390167473,25.131808376494618,-0.9399046610638903,1.6563008560852582e-05,75.45250402259681,75.45248745958826,-0.7793375925168868,0.0,,10.008,False,75.45248745958826,False,True,False,25.172170649976984,0.0,False
One-stage weighted objective,210,3.5,0.0,1.2690259373334333e-14,0.0,0.2483486620247077,5.517141376902432e-06,25.16836560079792,25.16836008365654,0.4274472546495589,5.522127602538364e-06,25.14563779163429,25.145632269506688,0.43403901550617785,5.5317704073793344e-06,25.101784627973455,25.10177909620305,0.4664373236870244,1.657103938682013e-05,75.41578802040566,75.41577144936628,1.3279235938427612,0.0,,12.638,False,75.41577144936628,False,True,False,25.16836560079792,0.0,False
One-stage weighted objective,240,4.0,0.8028310228511782,0.03591885154439009,0.7669121713067881,0.20645100947033898,2.1710379156651923e-10,0.766912179151516,0.7669121789344122,-23.30757947279614,2.171037795772693e-10,0.766912179151516,0.7669121789344122,-23.20502453706951,2.1710381450675152e-10,0.7669121791515159,0.7669121789344121,-23.140236282628337,6.513113856505401e-10,2.300736537454548,2.3007365368032366,-69.65284029249399,0.38345608565339406,0.955259761366934,10.408,False,2.3007365368032366,False,False,True,0.766912179151516,0.7669121713067881,False
One-stage weighted objective,270,4.5,3.34813146317036,0.04398237245656745,3.3041490907137923,0.20517282250537955,2.1912077347160254e-10,3.3041491240115253,3.304149123792404,-22.76055346209474,2.191207778264073e-10,3.3041491240115253,3.304149123792404,-23.19711627567602,2.1912068561761463e-10,3.3041491240115253,3.3041491237924046,-23.292054617964983,6.573622369156245e-10,9.912447372034576,9.912447371377214,-69.24972435573574,1.6520745453568961,0.9868636064800991,9.298,False,9.912447371377214,False,False,True,3.3041491240115253,3.3041490907137923,False
One-stage weighted objective,300,5.0,7.6124904720528,0.02274493043601473,7.589745541616785,0.19966590729898945,2.224928543179352e-10,7.589745617558107,7.589745617335614,-22.171201125371006,2.2249275661858685e-10,7.589745617558107,7.589745617335614,-22.526883434353362,2.224927762023291e-10,7.589745617558107,7.589745617335614,-22.340933150614354,6.674783871388511e-10,22.769236852674318,22.76923685200684,-67.03901771033873,3.7948727708083925,0.9970121564658089,10.438,False,22.76923685200684,False,False,True,7.589745617558107,7.589745541616785,False
One-stage weighted objective,330,5.5,16.21467298000961,16.21467307935786,0.0,0.18701633127002631,5.696956811910539e-10,4.491206255174637e-10,-1.2057505567359024e-10,-22.656058175153206,5.696953889220915e-10,4.4912098328678254e-10,-1.20574405635309e-10,-22.912444769255323,5.696955312224374e-10,4.491220028598939e-10,-1.2057352836254352e-10,-22.758048701569525,1.7090866013355829e-09,1.34736361166414e-09,-3.617229896714427e-10,-68.32655164597804,0.0,0.0,11.388,True,-3.617229896714428e-10,False,False,True,4.491220028598939e-10,0.0,False
One-stage weighted objective,360,6.0,32.04062632992235,32.040626429270475,0.0,0.18701633127004688,5.697762614066938e-10,4.492159943541827e-10,-1.205602670525111e-10,-21.625912347391658,5.697774436810853e-10,4.4921650330077645e-10,-1.2056094038030882e-10,-20.88584768467502,5.697779279421947e-10,4.4921720574041555e-10,-1.2056072220177912e-10,-21.27064491207363,1.7093316330299737e-09,1.3476497033953747e-09,-3.6168192963459907e-10,-63.78240494414032,0.0,0.0,11.461,True,-3.61681929634599e-10,False,False,True,4.4921720574041555e-10,0.0,False
One-stage weighted objective,390,6.5,67.54117105030791,67.54117114965588,0.0,0.1870163312700674,5.698810645951129e-10,4.4933340371112166e-10,-1.2054766088399115e-10,-10.393591088734558,5.698763469883652e-10,4.4933740411468637e-10,-1.2053894287367887e-10,-10.452490109098518,5.698784772452601e-10,4.4933485064637856e-10,-1.2054362659888155e-10,-10.360660749130375,1.709635888828738e-09,1.3480056584721865e-09,-3.6163023035655156e-10,-31.206741946963447,0.0,0.0,12.3234,True,-3.6163023035655156e-10,False,False,True,4.4933740411468637e-10,0.0,False
One-stage weighted objective,420,7.0,81.2359820112237,81.2359821102908,0.0,0.18701633127008785,2.115612907578249e-10,7.858024966102677e-10,5.742412058524428e-10,2.693755023455389,1.9450667949357554,5.727007196698805e-10,-1.9450667943630546,-0.8908817275697081,1.929949422705405,5.726733543342935e-10,-1.9299494221327318,0.18312146025195167,3.8750162178527217,1.9311765706144415e-09,-3.875016215921545,1.9859947561376328,0.0,0.0,13.8002,True,-3.875016215921545,False,False,True,7.858024966102677e-10,0.0,False
One-stage weighted objective,450,7.5,139.78309169335256,139.7830917926275,0.0,0.1887600885670487,21.52967496759242,4.3939867865009445e-10,-21.529674967153024,-2.283141648338902,21.50731193256006,4.393899486550283e-10,-21.50731193212067,1.7694727740803822,21.546513982973924,4.394085422475346e-10,-21.546513982534513,-0.2382900876813331,64.5835008831264,1.3181971695526573e-09,-64.58350088180819,-0.7519589619398531,0.0,0.0,17.562099999999997,True,-64.5835008818082,False,False,True,4.394085422475346e-10,0.0,False
One-stage weighted objective,480,8.0,137.80699617541745,137.80699627469357,0.0,0.21782266396372324,20.69476797716233,4.380127681908878e-10,-20.694767976724318,-2.1116983292996756,20.802651090439948,4.380878575303955e-10,-20.80265109000186,0.9070847256648058,21.094717481607734,4.3829687088213016e-10,-21.09471748116944,0.6826561574994813,62.59213654921002,1.3143974966034133e-09,-62.59213654789561,-0.5219574461353885,0.0,0.0,30.5205,True,-62.59213654789562,False,False,True,4.3829687088213016e-10,0.0,False
One-stage weighted objective,510,8.5,157.78637576376747,157.78637586303066,0.0,0.24598912541013754,27.427917293820254,4.5190548075604155e-10,-27.42791729336835,-0.2069037868509552,27.451050578486555,4.5194339956970276e-10,-27.451050578034614,0.49995657951238126,27.587327441174583,4.5210901519839e-10,-27.587327440722476,0.5606059283144101,82.46629531348138,1.3559578955241343e-09,-82.46629531212544,0.8536587209758361,0.0,0.0,23.3315,True,-82.46629531212542,False,False,True,4.5210901519839e-10,0.0,False
One-stage weighted objective,540,9.0,172.4434812296132,172.44348132886518,0.0,0.28309895830045084,32.313213225858064,4.641502308097303e-10,-32.31321322539391,0.14542980855558116,32.49729848638635,4.644298223395494e-10,-32.497298485921924,0.864052270380406,32.45350168550656,4.6436577517410696e-10,-32.45350168504219,0.06486052699159814,97.26401339775097,1.3929458283233867e-09,-97.26401339635802,1.0743426059275853,0.0,0.0,35.0474,True,-97.26401339635802,False,False,True,4.644298223395494e-10,0.0,False
One-stage weighted objective,570,9.5,185.00628302110874,185.00628312035008,0.0,0.32686776432866493,36.53300475447376,4.75750641521219e-10,-36.53300475399801,-1.28229913989797,36.899236030275326,4.76557190245159e-10,-36.899236029798764,2.447057267574483,36.69318536281997,4.760284637519753e-10,-36.69318536234394,-1.3903573583904167,110.12542614756906,1.4283362955183533e-09,-110.1254261461407,-0.2255992307139038,0.0,0.0,39.471199999999996,True,-110.12542614614073,False,False,True,4.76557190245159e-10,0.0,False
One-stage weighted objective,600,10.0,119.41607162306806,119.41607172235453,0.0,0.3764242060942775,14.958645335126848,4.2736496255023353e-10,-14.958645334699485,-4.011246068136403,14.785053441122317,4.272697909636694e-10,-14.785053440695046,2.544721855613509,15.081972428824766,4.274346084077317e-10,-15.081972428397332,-0.6257274163216002,44.82567120507393,1.2820693619216346e-09,-44.82567120379186,-2.0922516288444943,0.0,0.0,39.494699999999995,True,-44.82567120379186,False,False,True,4.274346084077317e-10,0.0,False
