Time_sample,Time_h,Feeder_line,OPF_P_sending_A_kW,OPF_P_sending_B_kW,OPF_P_sending_C_kW,OPF_source_flow_total_kW,OPF_feeder_import_kW,OPF_feeder_export_kW,OPF_feeder_export_energy_kWh,sign_convention,units
30,0.5,feeder2_line1,-17.334564136817768,-21.297761088510896,-18.309386011660504,-56.941711236989164,0.0,56.941711236989164,28.470855618494582,positive source flow = import; negative source flow = export,kW; energy column kWh
60,1.0,feeder2_line1,-19.56268932950984,-21.388211456705438,-20.215721157086442,-61.16662194330172,0.0,61.16662194330172,30.58331097165086,positive source flow = import; negative source flow = export,kW; energy column kWh
90,1.5,feeder2_line1,-19.646385069122193,-21.113206387989532,-21.899748434684636,-62.659339891796364,0.0,62.659339891796364,31.329669945898182,positive source flow = import; negative source flow = export,kW; energy column kWh
120,2.0,feeder2_line1,-19.480388955966866,-22.25282809682274,-20.324552825477387,-62.057769878266996,0.0,62.057769878266996,31.028884939133498,positive source flow = import; negative source flow = export,kW; energy column kWh
150,2.5,feeder2_line1,-19.667807750657456,-22.11055450233534,-21.7956079322434,-63.57397018523619,0.0,63.57397018523619,31.786985092618096,positive source flow = import; negative source flow = export,kW; energy column kWh
180,3.0,feeder2_line1,-19.597045468528382,-21.17826024902733,-22.233828323632185,-63.00913404118789,0.0,63.00913404118789,31.504567020593946,positive source flow = import; negative source flow = export,kW; energy column kWh
210,3.5,feeder2_line1,-19.26722363825912,-20.575962999574752,-20.48822851582079,-60.33141515365466,0.0,60.33141515365466,30.16570757682733,positive source flow = import; negative source flow = export,kW; energy column kWh
240,4.0,feeder2_line1,4.224568342067136,3.133857028248485,3.1992091628535575,10.557634533169178,10.557634533169178,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
270,4.5,feeder2_line1,2.4869508958416953,0.3227698386059474,-1.0475449008949451,1.7621758335526976,1.7621758335526976,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
300,5.0,feeder2_line1,-1.6039656859582374,-4.295627110610348,-3.9837771185868256,-9.883369915155411,0.0,9.883369915155411,4.9416849575777055,positive source flow = import; negative source flow = export,kW; energy column kWh
330,5.5,feeder2_line1,0.3391532036814533,-1.309615757796635,-1.3431228059753157,-2.3135853600904976,0.0,2.3135853600904976,1.1567926800452488,positive source flow = import; negative source flow = export,kW; energy column kWh
360,6.0,feeder2_line1,-7.9545768940329795,-6.651440278829467,-3.350625645762725,-17.956642818625173,0.0,17.956642818625173,8.978321409312587,positive source flow = import; negative source flow = export,kW; energy column kWh
390,6.5,feeder2_line1,-14.550372760212305,-18.739915039664563,-19.243067419092668,-52.53335521896953,0.0,52.53335521896953,26.266677609484766,positive source flow = import; negative source flow = export,kW; energy column kWh
420,7.0,feeder2_line1,-18.483903945651818,-19.78043043440823,-22.24757341167701,-60.51190779173706,0.0,60.51190779173706,30.25595389586853,positive source flow = import; negative source flow = export,kW; energy column kWh
450,7.5,feeder2_line1,-20.647897602434355,-20.419059066822776,-13.34476518969286,-54.41172185894999,0.0,54.41172185894999,27.205860929474994,positive source flow = import; negative source flow = export,kW; energy column kWh
480,8.0,feeder2_line1,-16.07865312519473,-17.14426422023411,-6.965193826694138,-40.18811117212298,0.0,40.18811117212298,20.09405558606149,positive source flow = import; negative source flow = export,kW; energy column kWh
510,8.5,feeder2_line1,-15.95440867699119,-18.56490407998457,-13.40691219435753,-47.92622495133329,0.0,47.92622495133329,23.963112475666644,positive source flow = import; negative source flow = export,kW; energy column kWh
540,9.0,feeder2_line1,-12.554366400587153,-10.15004355402886,-12.399844770774362,-35.104254725390376,0.0,35.104254725390376,17.552127362695188,positive source flow = import; negative source flow = export,kW; energy column kWh
570,9.5,feeder2_line1,-14.01776464534281,-7.526871653214368,-8.451786161559921,-29.996422460117103,0.0,29.996422460117103,14.998211230058551,positive source flow = import; negative source flow = export,kW; energy column kWh
600,10.0,feeder2_line1,-13.680057366879309,-13.39039191034529,-2.3467780992243963,-29.41722737644899,0.0,29.41722737644899,14.708613688224496,positive source flow = import; negative source flow = export,kW; energy column kWh
630,10.5,feeder2_line1,-7.252072036187538,-8.47603572571503,-10.036940259360396,-25.765048021262963,0.0,25.765048021262963,12.882524010631482,positive source flow = import; negative source flow = export,kW; energy column kWh
660,11.0,feeder2_line1,-0.27648909475416916,-6.177651958666693,-11.211832123891448,-17.66597317731231,0.0,17.66597317731231,8.832986588656155,positive source flow = import; negative source flow = export,kW; energy column kWh
