Time_sample,Time_h,Bus,Phase,Low_limit_pu,High_limit_pu,OPF_V_pu,DSS_V_pu,OPF_violation_pu,DSS_violation_pu,Voltage_violation_pu
30,0.5,feeder2_1818,1,0.9,1.1,1.1000000054728682,1.0999964990623756,5.472868158662436e-09,0.0,5.472868158662436e-09
30,0.5,feeder2_1818,2,0.9,1.1,1.100000005494976,1.1000013884269904,5.494975807707192e-09,1.3884269902675328e-06,1.3884269902675328e-06
60,1.0,feeder2_1818,1,0.9,1.1,1.1000000054946786,1.0999887025079897,5.494678489981197e-09,0.0,5.494678489981197e-09
60,1.0,feeder2_1818,2,0.9,1.1,1.1000000054916004,1.0999983490922298,5.491600285623122e-09,0.0,5.491600285623122e-09
90,1.5,feeder2_1818,1,0.9,1.1,1.100000005485621,1.1000013884269908,5.4856208464570955e-09,1.388426990711622e-06,1.388426990711622e-06
90,1.5,feeder2_1818,3,0.9,1.1,1.100000005486833,1.0999936579450995,5.486832987955381e-09,0.0,5.486832987955381e-09
120,2.0,feeder2_1818,2,0.9,1.1,1.1000000054964436,1.1000016527169696,5.4964435225457464e-09,1.6527169695024213e-06,1.6527169695024213e-06
150,2.5,feeder2_1818,1,0.9,1.1,1.1000000054943262,1.1000031063118552,5.494326105193181e-09,3.1063118550722635e-06,3.1063118550722635e-06
150,2.5,feeder2_1818,2,0.9,1.1,1.1000000054966506,1.0999978205122716,5.4966504681175365e-09,0.0,5.4966504681175365e-09
150,2.5,feeder2_1818,3,0.9,1.1,1.1000000054962022,1.0999988776721885,5.496202160060193e-09,0.0,5.496202160060193e-09
180,3.0,feeder2_1818,1,0.9,1.1,1.1000000054950319,1.1000023134419177,5.495031762947633e-09,2.3134419175896426e-06,2.3134419175896426e-06
180,3.0,feeder2_1818,2,0.9,1.1,1.1000000054923624,1.0999965651348702,5.492362342707224e-09,0.0,5.492362342707224e-09
180,3.0,feeder2_1818,3,0.9,1.1,1.1000000054958936,1.1000000669770946,5.495893518059347e-09,6.697709453717948e-08,6.697709453717948e-08
210,3.5,feeder2_1818,2,0.9,1.1,1.1000000051744188,1.1000017848619594,5.174418671316516e-09,1.7848619593419102e-06,1.7848619593419102e-06
420,7.0,feeder2_1818,2,0.9,1.1,1.1000000054943022,1.1000022473694229,5.4943021243758494e-09,2.2473694227809204e-06,2.2473694227809204e-06
420,7.0,feeder2_1818,3,0.9,1.1,1.1000000054942953,1.1000027098768865,5.494295240993097e-09,2.7098768864419753e-06,2.7098768864419753e-06
450,7.5,feeder2_1818,1,0.9,1.1,1.1000000054963603,1.0999966312073652,5.4963602558188995e-09,0.0,5.4963602558188995e-09
450,7.5,feeder2_1818,2,0.9,1.1,1.1000000054934524,1.1000011241370113,5.493452359672801e-09,1.124137011254689e-06,1.124137011254689e-06
480,8.0,feeder2_1818,1,0.9,1.1,1.1000000054953243,1.099995111539985,5.495324195692319e-09,0.0,5.495324195692319e-09
480,8.0,feeder2_1818,2,0.9,1.1,1.1000000054957133,1.0999993401796517,5.495713217840148e-09,0.0,5.495713217840148e-09
510,8.5,feeder2_1818,1,0.9,1.1,1.1000000054793435,1.100003833109298,5.47934342343126e-09,3.833109297968207e-06,3.833109297968207e-06
510,8.5,feeder2_1818,2,0.9,1.1,1.100000005483533,1.1000003312670739,5.483532961036985e-09,3.31267073772068e-07,3.31267073772068e-07
540,9.0,feeder2_1818,1,0.9,1.1,1.1000000054829167,1.1000001991220842,5.4829165652137135e-09,1.9912208415462374e-07,1.9912208415462374e-07
570,9.5,feeder2_1818,1,0.9,1.1,1.1000000054965724,1.0999988776721883,5.496572308416603e-09,0.0,5.496572308416603e-09
600,10.0,feeder2_1818,1,0.9,1.1,1.1000000054976389,1.1000016527169698,5.497638788654058e-09,1.652716969724466e-06,1.652716969724466e-06
600,10.0,feeder2_1818,2,0.9,1.1,1.1000000054956125,1.100000925919527,5.495612409589512e-09,9.259195268285225e-07,9.259195268285225e-07
660,11.0,feeder2_1818,3,0.9,1.1,1.100000005445432,1.1000037009643084,5.4454318831886894e-09,3.7009643083507626e-06,3.7009643083507626e-06
750,12.5,feeder2_1818,2,0.9,1.1,1.1000000054930994,1.0999908168278232,5.4930993087509705e-09,0.0,5.4930993087509705e-09
750,12.5,feeder2_1818,3,0.9,1.1,1.1000000054940706,1.0999997366146206,5.494070531852913e-09,0.0,5.494070531852913e-09
810,13.5,feeder2_1818,3,0.9,1.1,1.1000000054973307,1.0999993401796517,5.497330590742422e-09,0.0,5.497330590742422e-09
840,14.0,feeder2_1818,3,0.9,1.1,1.1000000054948234,1.1000046920517303,5.4948232630636085e-09,4.69205173025955e-06,4.69205173025955e-06
870,14.5,feeder2_1818,3,0.9,1.1,1.1000000054978576,1.1000022473694229,5.497857502589909e-09,2.2473694227809204e-06,2.2473694227809204e-06
960,16.0,feeder2_1818,3,0.9,1.1,1.1000000054964514,1.0999855971007346,5.496451294106919e-09,0.0,5.496451294106919e-09
990,16.5,feeder2_1818,2,0.9,1.1,1.100000005463388,1.1000055509941626,5.463387964255162e-09,5.550994162550893e-06,5.550994162550893e-06
1290,21.5,feeder2_1818,3,0.9,1.1,1.1000000054697099,1.099986323898177,5.4697097962019825e-09,0.0,5.4697097962019825e-09
1380,23.0,feeder2_1818,1,0.9,1.1,1.1000000054954187,1.1000011902095064,5.4954185646494125e-09,1.1902095062854556e-06,1.1902095062854556e-06
1380,23.0,feeder2_1818,3,0.9,1.1,1.1000000054916104,1.0999910811178026,5.491610277630343e-09,0.0,5.491610277630343e-09
1410,23.5,feeder2_1818,2,0.9,1.1,1.100000005486826,1.099988966797969,5.486825882528024e-09,0.0,5.486825882528024e-09
